6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893815	-4.421280374095933e-23	1.131318380176525e-22	-4.4270706383838044e-24	1.0003999999999935	-1.3042322154246098e-22	3.494010907423989e-24	6.866260828680172e-23	0.9998677425139981	7.22016736290243e-07	-988.3614003618025	5482.59425985221	-988.8889059791362	28326310.375505824	1455.4063112418683	5482.601873586883	1454.6319700738431	1.1471187606730382e-05	1599.565890624997	7.218235116358687e-07	-988.6242615351772	5481.134630789709	-988.6242615351435	28333843.94286282	1455.018838952483	5481.134630789745	1455.0188389523141	1.1468133636653817e-05	-0.00013365494204234545	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279418177	28333845.697152417	0.0003552546439166505
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108237	8.258902107974449e-23	4.7195617029825545e-23	8.867376166568457e-25	1.0008000000000166	-1.5803649562295118e-21	1.1659937914547478e-23	1.1276126110322873e-22	0.9997354145986067	-8.448932750070527e-06	-1976.8673654063225	10965.957183013234	-1978.9779655546656	56686614.83621166	2912.595360092231	10965.987654455144	2909.497132174013	-1.2298255449422869e-05	1599.565890624997	-8.444413275340527e-06	-1977.9193773080199	10960.121765170079	-1977.9193773080292	56716781.24723052	2911.045453353538	10960.121765169957	2911.0454533535535	-1.2291711063183116e-05	-0.0002673991371391983	0.0	0.0	0.0	0.0007996801705808841	0.0	0.0	0.0	-0.0002646204102861928	56716784.75177552	0.0007104617742037438
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999598734338777	-9.816979509779333e-23	-1.3745756547161193e-21	1.709947762269619e-23	1.0011999999999988	3.188893757955229e-21	6.2998075452038585e-24	-4.828087799349512e-23	0.9996025903565512	-0.011954661594193568	-3083.1552553872484	15395.667803436094	-3088.0941878944636	84965672.96414548	5410.939951736868	15395.727193221379	5402.3068237711	-0.0043490208548610096	1599.565890624997	-0.011945080284457182	-3085.6191711649303	15383.387970607673	-3085.619171209443	85033573.61942774	5406.624098803413	15383.387970593187	5406.624098743132	-0.004345552005718065	-0.0004013461898314072	0.0	0.0	0.0	0.001199280575481078	0.0	0.0	0.0	-0.0003974886315887327	85033578.4856762	0.0010658009844699125
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994604556663327	-4.239399901007773e-22	2.8238225576886254e-21	4.468098796766434e-23	1.0016000000000114	-5.372518226197213e-21	1.2387856853594143e-23	2.216049948254063e-22	0.9994494585829377	1054.5352656916375	-5172.24279567462	-38734.31914494799	-5183.316708533272	108011502.17507477	53561.693348778645	-38733.89281034349	53446.688403144195	1546.6880705151787	1599.565890624997	1053.4306617736324	-5177.885596935832	-38693.31999732565	-5177.887291300125	108129340.30928005	53504.99985781288	-38693.319857356626	53504.997545356375	1545.050946281977	-0.00053968994008775	0.0	0.0	0.0	0.001598721363708158	0.0	0.0	0.0	-0.0005506930206333231	108128101.9244882	0.0014292893469287204
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993169989539975	-5.001729553536644e-22	8.614536831813047e-21	2.7062702664774896e-22	1.0019999999999971	-1.0384412175100909e-20	1.5278356786099443e-22	-8.17810310574027e-22	0.9992435087869903	-4045.561981935366	5832.154989601549	-218535.39934249083	5847.852103476863	118633650.42671332	209937.28329500364	-218519.34518809698	209359.756482581	-897.8774489026537	1599.565890624997	-4040.543643681766	5840.559411938042	-218248.26473371158	5840.598105134156	118804607.35486144	209661.44578818112	-218248.28173782586	209661.45419412712	-896.6977238292877	-0.000683234397475833	0.0	0.0	0.0	0.001998002662670177	0.0	0.0	0.0	-0.0007567774968775196	118808232.80524807	0.0018125031486628685
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999175986247721	1.2705494208814505e-22	-1.5004023990307456e-20	-3.7523559563365505e-22	1.0023999999999766	-4.46288954414082e-20	-6.45862622281404e-23	-2.004926986150929e-21	0.9990094908838649	-1806.8055568408806	34614.28826626953	-395214.2087830638	34725.985032789395	123709968.73372562	397403.04797112494	-395148.37348258524	396058.8741178018	78.35251772602246	1599.565890624997	-1804.2667484493122	34677.18250365633	-394593.1158194658	34677.19028458148	123934750.01713094	396778.51517012244	-394593.1360898764	396778.51395717385	78.22938400168175	-0.0008243534382277498	0.0	0.0	0.0	0.002397124599697971	0.0	0.0	0.0	-0.0009909999944629456	123939417.45674151	0.002205300689455138
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999036958213648	-3.642241673193491e-23	1.8520798908188905e-20	-1.2256566746769726e-21	1.0027999999999884	-1.2368375095807294e-20	-8.976431658527448e-22	4.980553729855286e-22	0.9987654355483662	-1196.961933367243	72318.60569861402	-535276.6824171622	72591.0083460648	127012470.02023734	555305.0482333654	-535131.2181819289	553070.903499738	830.0896415728447	1599.565890624997	-1195.0952200079837	72477.79718628008	-534296.6425510903	72477.79956200556	127292056.49538215	554288.3383654105	-534296.65814615	554288.3520257764	828.5698276749533	-0.0009635058090325198	0.0	0.0	0.0	0.0027960873019890094	0.0	0.0	0.0	-0.0012353271541284472	127299285.89836575	0.0026017400041375345
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998898366021552	3.750661890442042e-21	7.165062288735967e-20	7.0473141211557785e-22	1.0031999999999868	-9.176585543963638e-20	6.200281173901478e-22	9.900968120455517e-21	0.9985172941532071	1093.5716956628771	107575.92917386044	-641689.4228123871	108039.20082960477	129477656.40100455	670199.5015481546	-641444.6201769274	667071.167204223	1670.731006041498	1599.565890624997	1091.7021017803459	107854.48564702472	-640347.9957093823	107854.49466928103	129812925.07679121	668798.475220096	-640347.9925459988	668798.4773293874	1667.2384070151468	-0.001102241223174464	0.0	0.0	0.0	0.0031948908965062296	0.0	0.0	0.0	-0.0014838061428514779	129821586.3469782	0.0030000423044429883
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998759143980409	-3.0493186101154813e-21	-1.5820881388815822e-20	2.932428063394388e-21	1.0036000000000065	4.079522432213524e-20	2.7321047713687456e-21	1.1842367635562373e-20	0.9982674664449471	1513.9020509632046	136727.32813944304	-719233.3467433089	137390.03695977735	131394388.21323413	746215.6721533267	-718879.2562969105	742250.7120952758	964.5926014867376	1599.565890624997	1511.0895667501438	137134.78847405853	-717543.7630206855	137134.79765302342	131785955.88384174	744462.7030245375	-717543.7428413698	744462.6892298723	962.3266331945075	-0.0012416265188734195	0.0	0.0	0.0	0.0035935355101368556	0.0	0.0	0.0	-0.0017340361270676548	131797101.28655814	0.003399486190541503
