6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893815	3.769958359771679e-23	-1.0186894679713047e-22	2.3822801641527196e-24	1.0003999999999935	-3.2440038390859617e-22	-4.367513634279986e-25	-4.907497138154603e-23	0.9998677425139979	-7.849961993997568e-06	-988.3614003666403	5482.594259850552	-988.8889059839262	28326310.37550162	1455.4063112475794	5482.601873585199	1454.6319700795823	2.881661936044111e-06	1599.565890624997	-7.847861203085553e-06	-988.6242615400165	5481.134630788051	-988.6242615399325	28333843.942858625	1455.0188389581926	5481.134630788062	1455.018838958055	2.8808947522418447e-06	-0.00013365494204234545	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.0001322662327946259	28333845.697156798	0.00035525464391679797
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108236	-4.573316170683179e-23	6.195251915777156e-23	-2.7065349642735065e-23	1.0008000000000166	5.696825965877203e-22	1.3234889800848443e-25	-4.9763185651190145e-24	0.9997354145986066	-9.751950601639691e-07	-1976.8673654162951	10965.957183004344	-1978.9779655645468	56686614.83621766	2912.5953600964735	10965.987654446291	2909.497132178281	-4.793863359736861e-06	1599.565890624997	-9.746734120969574e-07	-1977.9193773179982	10960.121765161197	-1977.9193773179052	56716781.247236535	2911.0454533577786	10960.121765161111	2911.045453357824	-4.791312356179211e-06	-0.0002673991371393094	0.0	0.0	0.0	0.0007996801705808841	0.0	0.0	0.0	-0.0002646204102858596	56716784.75177405	0.0007104617742036703
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987343387787	1.7800926782141157e-24	-1.1383064019913728e-21	1.0058516248644817e-23	1.0011999999999988	4.4931656780492416e-21	-3.0466716321553116e-23	-5.574535584117364e-23	0.999602590356554	-0.011956531900495065	-3083.155252278213	15395.66780704219	-3088.0941847803015	84965672.96532269	5410.9399402094095	15395.727196827893	5402.3068122619525	-0.00435281719867271	1599.565890624997	-0.01194694909176314	-3085.6191680533966	15383.387974210867	-3085.6191680977677	85033573.62060551	5406.62408728514	15383.387974196768	5406.624087224762	-0.004349345321504735	-0.0004013461898297412	0.0	0.0	0.0	0.001199280575481078	0.0	0.0	0.0	-0.000397488631585956	85033578.4868568	0.001065800984468433
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994604556773761	-2.2382845631194885e-22	-3.3385009522640197e-21	1.9905274260476058e-23	1.0015999999999907	2.193391816915011e-21	-1.9587636905255695e-23	2.276401045745932e-23	0.9994494586271262	1054.5302261488846	-5172.252833598824	-38734.18165575919	-5183.326767489112	108011514.07340984	53561.61272263984	-38733.755322703226	53446.607951966114	1546.629718693368	1599.565890624997	1053.425627463143	-5177.895645525045	-38693.18265323841	-5177.897339490593	108129352.21462047	53504.9193164244	-38693.18251202189	53504.91700345105	1544.9926562068292	-0.0005396899290384	0.0	0.0	0.0	0.0015987213636879842	0.0	0.0	0.0	-0.0005506929764204404	108128113.86121835	0.0014292893284096084
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993169990850796	-6.661914130155072e-22	1.0881620515139183e-20	-2.0794658855093073e-22	1.002	-1.2967862664226524e-20	-5.840556869114418e-23	-1.018557119073296e-21	0.9992435093503057	-4045.363940026325	5832.372626058743	-218534.4555324902	5848.070307085515	118633799.23486945	209936.81142441256	-218518.4015425243	209359.28602580886	-897.8699511047251	1599.565890624997	-4040.34584515711	5840.777357961246	-218247.3221351585	5840.816034778287	118804756.2948984	209660.9745100807	-218247.33913976743	209660.98291370735	-896.6902357651254	-0.0006832342663040974	0.0	0.0	0.0	0.0019980026626726147	0.0	0.0	0.0	-0.0007567769331356597	118808381.63353132	0.00181250291123964
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991759866254211	-1.923611823214516e-21	-3.6928518917919356e-20	-1.4340267797015305e-21	1.0023999999999924	1.7952863317054895e-21	3.697298814765021e-22	3.7049221112903094e-21	0.9990094929083175	-1806.5218589917263	34615.05914620951	-395211.373705871	34726.75839008773	123710483.99150349	397402.9340350572	-395145.53954740375	396058.76136545255	78.463632569751	1599.565890624997	-1803.9834455786256	34677.9547009047	-394590.28504853015	34677.96248493322	123935265.91313452	396778.40126311616	-394590.30533713306	396778.4000459111	78.34032419492901	-0.0008243530602161697	0.0	0.0	0.0	0.002397124599714363	0.0	0.0	0.0	-0.0009909979680026706	123939933.11230884	0.002205299847216354
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999036958981046	-2.583450489125616e-22	-4.316458723384233e-20	-2.132828961186328e-21	1.0027999999999926	-8.64015957846749e-21	1.0863197548536402e-21	2.676624113323589e-22	0.998765440247392	-1197.257781119074	72320.56941735749	-535271.7047308324	72592.97940621813	127013645.01826058	555307.433864953	-535126.2439864817	553073.2821569868	829.1961821352434	1599.565890624997	-1195.3906007484652	72479.76483098397	-534291.673568011	72479.76720720064	127293233.38320003	554290.7192033633	-534291.6891944173	554290.732885432	827.678003439447	-0.0009635050408947374	0.0	0.0	0.0	0.0027960873019943237	0.0	0.0	0.0	-0.0012353224492935352	127300463.28649974	0.002601738046041852
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988983673966774	2.8223137802513286e-21	-8.815590689755697e-20	-8.470329472543004e-24	1.0031999999999663	-5.436426862067551e-20	-2.0752307207730358e-22	-7.252296094391319e-21	0.9985173029471086	1093.1867039236035	107579.76501375489	-641683.5540091381	108043.05299870562	129479842.05201945	670207.7872958732	-641438.7583292874	667079.4201074897	1669.7816104345445	1599.565890624997	1091.3177586201282	107858.33032103398	-640342.1382931324	107858.33930272823	129815115.06533247	668806.7427260831	-640342.1350804463	668806.7447918116	1666.2909937894087	-0.0011022398465325624	0.0	0.0	0.0	0.0031948908964858666	0.0	0.0	0.0	-0.00148379733589189	129823776.88264874	0.0030000386040505253
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987591463016693	-3.4270953045908994e-21	1.1132395207085659e-19	5.078809551736785e-21	1.0035999999999885	8.589168195042782e-20	-1.3637230450794236e-22	3.8455295805345236e-21	0.9982674808449896	1513.3248479008332	136733.2248347718	-719228.6786298589	137395.96187574998	131397983.17266837	746234.006363437	-718874.5991950583	742268.959588564	963.3006828203544	1599.565890624997	1510.51341421004	137140.7004451015	-717539.1042056615	137140.70958359854	131789559.34922734	744480.9924346544	-717539.0840408362	744480.978632967	961.0377471993697	-0.001241624194729199	0.0	0.0	0.0	0.0035935355101189346	0.0	0.0	0.0	-0.0017340217020331886	131800705.59813325	0.0033994800427692984
