6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893814	2.558304198504004e-23	8.275114847980489e-23	-2.3161057151484773e-24	1.0003999999999935	1.9809321309419906e-22	2.183756817139993e-25	-3.654153074014255e-23	0.9998677425139981	-1.1051505373416148e-05	-988.3614003664221	5482.59425985024	-988.8889059837242	28326310.375500888	1455.4063112302347	5482.601873584775	1454.6319700622432	-3.499635085972841e-07	1599.565890624997	-1.1048547791955207e-05	-988.624261539798	5481.134630787739	-988.6242615397302	28333843.942857884	1455.0188389408524	5481.134630787636	1455.0188389407112	-3.498703379405716e-07	-0.00013365494204245647	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279440384	28333845.697159275	0.0003552546439167614
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108236	7.15246532062352e-23	-7.133340904861294e-22	-1.0415858273267725e-23	1.0008000000000166	-9.042341409735673e-22	1.340694336825947e-23	1.9648517398339598e-22	0.9997354145986067	-4.917495112749748e-06	-1976.8673653983676	10965.957183001174	-1978.9779655466334	56686614.836214855	2912.5953601035008	10965.987654443195	2909.49713218521	-8.7138292601594e-06	1599.565890624997	-4.914864662788151e-06	-1977.9193773000607	10960.121765158026	-1977.919377300001	56716781.24723372	2911.0454533648017	10960.121765158015	2911.0454533647567	-8.709192288310416e-06	-0.0002673991371393094	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102855265	56716784.75177516	0.0007104617742038556
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987938608267	-1.2586380200606869e-23	8.028284153194665e-23	-6.37921688400895e-23	1.0012000000000019	1.943278869458577e-21	5.558653716356346e-24	-4.2034010007494656e-23	0.9996028085774662	0.007315007256790523	-3031.0488049671662	15951.828193992216	-3035.9040868862244	85025021.86286923	4876.43141705827	15951.892261770354	4868.652157737531	0.009372086688010314	1599.565890624997	0.007309142897932761	-3033.4702368071617	15939.10380956159	-3033.470236802655	85092946.30367588	4872.541606608606	15939.103809565258	4872.541606608591	0.009364610802959075	-0.0004012866438897042	0.0	0.0	0.0	0.0011992805754835177	0.0	0.0	0.0	-0.0003972703239404269	85092951.3544885	0.001065708562309547
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994614428551907	-2.0455845676191353e-22	-2.294400495875086e-22	-1.27584337680179e-22	1.001599999999989	3.546632829272162e-21	9.608529995415969e-24	9.486769009248164e-23	0.9994540301844846	617.1425586342059	-5480.338143586689	-25638.792972162824	-5492.066175224448	109204461.53944077	43241.844145930816	-25638.602652310943	43149.195084377774	844.2305299885822	1599.565890624997	616.4932946319069	-5486.286556103398	-25611.629760066415	-5486.288254360087	109322993.12798187	43196.03124883963	-25611.629594727237	43196.02964191802	843.336103602393	-0.0005387022187978658	0.0	0.0	0.0	0.0015987213636866541	0.0	0.0	0.0	-0.0005461189113051988	109322298.22853516	0.001427427708503488
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993184018567056	-7.741881137904305e-22	4.602565277143054e-21	-4.311397701524389e-22	1.0020000000000044	7.669883337387689e-22	1.252682319650305e-22	1.6135977645194422e-22	0.9992520796080471	-3901.2493623328623	3580.906291501844	-202591.74582632637	3590.5557983718936	120773975.39121865	191921.04106146583	-202578.31678847317	191394.7188734583	-434.7493830960884	1599.565890624997	-3896.3766169845007	3586.030760851562	-202325.27561635882	3586.0711160459	120946809.44068947	191668.6060972463	-202325.29206251213	191668.61500218205	-434.17755447136153	-0.0006818305369142264	0.0	0.0	0.0	0.0019980026626777113	0.0	0.0	0.0	-0.0007482002239460129	120949938.19750664	0.0018090845571720237
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991776722593044	1.99137445899486e-21	1.8624878081582777e-20	-2.8460307027744493e-22	1.0024000000000028	4.556190223280881e-21	7.817584707565158e-22	1.4768019435378727e-21	0.9990193408522814	-2309.069943117805	29864.82156355028	-385526.9386440859	29961.145096181466	126188610.72532497	382091.18397258717	-385465.8691340208	380802.5537383473	-255.43413543471252	1599.565890624997	-2305.8026501147	29918.740533282536	-384920.420049108	29918.750607426577	126416435.95668542	381490.0705747231	-384920.441767946	381490.0676859962	-255.0322814073957	-0.0008226660376254788	0.0	0.0	0.0	0.0023971245997245526	0.0	0.0	0.0	-0.0009811403084959223	126421211.81604184	0.0022012541694330493
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990391457319935	-1.6127507315721878e-21	-8.545609525730229e-21	-1.0164395367051604e-23	1.002800000000004	1.7470054537119944e-21	1.3546174408964399e-21	1.5636228206314385e-21	0.9987756347401577	-1476.8996599113443	67031.55215981283	-531268.3119010289	67283.89176732558	129674704.41236195	546905.1747076501	-531128.2012901475	544710.385922913	801.8229770810382	1599.565890624997	-1474.5813135596793	67178.2724015344	-530294.4498268471	67178.27364766675	129958539.46262597	545902.6488729815	-530294.4688700308	545902.6608578619	800.3531642386487	-0.0009613161843819416	0.0	0.0	0.0	0.002796087302005838	0.0	0.0	0.0	-0.0012251154073523445	129965613.95033425	0.0025973380483918706
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9989012195736892	-1.1553529400548657e-21	2.031057952573724e-20	5.861467994999758e-22	1.0032000000000112	-4.9589120380529386e-20	1.4687551305389568e-21	1.2112571145736494e-21	0.9985274827017865	933.2683473644706	103361.8352090541	-643229.8966868516	103806.66328297363	132282091.24677314	669457.6789984999	-642989.2339047471	666339.6068193389	1731.2007999969262	1599.565890624997	931.6633051699555	103628.1263068942	-641883.4156145145	103628.1357725191	132622889.60074434	668056.2949861193	-641883.4159972282	668056.2975599336	1727.5768560204144	-0.0010993845280808064	0.0	0.0	0.0	0.0031948908965305765	0.0	0.0	0.0	-0.001473602517276788	132631388.92868444	0.002995391693200366
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987627585928409	9.271622640645571e-21	7.438156298842594e-20	-1.9142944607947188e-22	1.0036000000000025	1.1260456000798669e-20	-2.6554482896422316e-22	-8.85742352943822e-21	0.9982774353534734	1592.246288217335	134115.86979670942	-725272.3572359042	134765.43292067602	134316429.85894316	752225.9413041258	-724919.9113464941	748236.5203802892	1216.793771619897	1599.565890624997	1589.2723874986843	134513.7176330207	-723565.9683395175	134513.72624641474	134714872.64637342	750456.1372008683	-723565.9500521448	750456.12557044	1213.9309527624437	-0.0012380074222044207	0.0	0.0	0.0	0.003593535510132209	0.0	0.0	0.0	-0.001724049966959876	134725772.43849546	0.00339466116026344
