6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893813	3.0215253415336994e-23	4.9685099801365135e-22	-5.829968957273739e-24	1.0003999999999935	1.1659276170057436e-21	3.805030817743927e-24	-4.354278744479138e-23	0.9998677425139981	-9.53964842028654e-06	-988.3614003767723	5482.594259857157	-988.8889059940943	28326310.375499014	1455.4063112433462	5482.601873591661	1454.6319700753356	1.1982477199126151e-06	1599.565890624997	-9.53709543891576e-06	-988.6242615501511	5481.134630794656	-988.6242615500977	28333843.942856018	1455.0188389539608	5481.134630794521	1455.0188389538073	1.1979287108608057e-06	-0.00013365494204256752	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.0001322662327946259	28333845.697155878	0.0003552546439170203
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108242	4.588536293954155e-23	9.464799092178755e-22	2.117582368135751e-24	1.0008000000000166	-9.773039675640516e-22	1.0561442061077058e-23	-5.320425699941073e-23	0.9997354145986063	-7.249946370393445e-06	-1976.8673654083098	10965.957183005805	-1978.9779655565835	56686614.83621208	2912.5953600933576	10965.987654447752	2909.4971321750895	-1.1091337481047959e-05	1599.565890624997	-7.246068253420758e-06	-1977.9193773100078	10960.121765162647	-1977.9193773099466	56716781.24723093	2911.0454533546617	10960.121765162574	2911.04545335463	-1.108543534340864e-05	-0.0002673991371386431	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102859707	56716784.75177471	0.0007104617742037801
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995988478357943	1.792268776830896e-22	1.8157210015579997e-21	1.7073007843094492e-23	1.0012000000000039	-1.0785111698711395e-21	2.226108464502708e-23	-2.006409293808624e-23	0.9996030162259614	3.4727902002487097e-06	-2965.517473869143	16450.08664878591	-2970.267624123356	85080926.96749733	4371.56766786791	16450.155246683305	4364.594712781341	-5.5643566156504675e-08	1599.565890624997	3.470005382694568e-06	-2967.8857775303127	16436.963928193163	-2967.8857775301844	85148873.78373037	4368.080339060317	16436.96392819293	4368.080339060358	-5.559917763797421e-08	-0.00040123264725977546	0.0	0.0	0.0	0.0011992805754859571	0.0	0.0	0.0	-0.0003970625929574094	85148879.03445424	0.0010656215168177805
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994649876357236	-1.5592023674379551e-22	1.0182394817180759e-21	-2.1546400595781263e-23	1.0015999999999816	2.40739998499473e-21	4.216635890550314e-23	-1.7046538063492795e-23	0.9994705473681237	9.65607243233535e-06	-3954.311305672468	21934.98053502439	-3962.7583284639777	113509260.35489035	5832.323756171791	21935.102552927263	5819.923938707112	6.376334615197266e-06	1599.565890624997	9.645754366559858e-06	-3958.523894488443	21911.663640986564	-3958.5238944885814	113630183.52044757	5826.123993432096	21911.66364098637	5826.123993431901	6.36955656867396e-06	-0.0005351555344588973	0.0	0.0	0.0	0.0015987213636782299	0.0	0.0	0.0	-0.0005295928414131825	113630190.51331684	0.0014207339977436654
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999330620551911	8.454447604781985e-23	1.0287109265285071e-20	4.478686708607113e-23	1.0020000000000275	6.87621346581041e-21	2.3822801641527198e-23	-1.9471169875008229e-22	0.9993352545072668	-56.13708320652561	-7838.313339023858	24279.4633566256	-7859.25107516287	141284724.80416325	11828.089559037253	24279.575778234594	11796.633018012755	-124.62794221406027	1599.565890624997	-56.062300301681375	-7848.781101197666	24247.231952659255	-7848.7813893201155	141473405.0513127	11812.387567311665	24247.23178917477	11812.386961947284	-124.46249648356806	-0.0006696035825379861	0.0	0.0	0.0	0.001998002662700093	0.0	0.0	0.0	-0.0006649665339813636	141473503.6799276	0.0017768604975146975
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991923538214068	5.005964718272915e-22	4.528608712935914e-21	-3.642241673193491e-23	1.002400000000001	-2.3511940549884868e-20	4.9445548295969785e-23	-1.9269999550035333e-22	0.9991472431543272	3714.3999572567745	-5090.835451957991	-136927.97920591515	-5107.189402198781	156880252.9108912	116304.19958891912	-136921.79918684397	115926.77689990454	2725.565718491677	1599.565890624997	3708.669334241294	-5099.298831140146	-136710.5526280241	-5099.309966093501	157141062.17866406	116119.52130579813	-136710.5545113189	116119.50209786622	2721.237819763999	-0.0008079725004816704	0.0	0.0	0.0	0.002397124599722559	0.0	0.0	0.0	-0.0008531206496305996	157138154.59596103	0.002151938658669945
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990563343183295	-4.252105395216588e-22	-9.117526171716333e-20	-1.3383120566617945e-22	1.0027999999999897	-1.3337380787466214e-20	-4.155755397466411e-22	9.605353621863765e-22	0.9989190381522883	-15246.705728969227	10551.363567823888	-368586.480090141	10590.919477879828	164298663.36947212	301289.789821318	-368535.8449907833	300123.76338597207	-7415.622814339585	1599.565890624997	-15220.587027216228	10572.758681193356	-367904.49844459235	10572.776472298814	164631813.535955	300732.32470051624	-367904.5166243996	300732.32756833953	-7401.901967474951	-0.0009441112144412382	0.0	0.0	0.0	0.002796087301991002	0.0	0.0	0.0	-0.0010815465083380813	164645183.0441652	0.0025405168926962564
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998923520571119	1.6398557858843254e-21	-4.55538554198099e-20	1.8634724839594606e-23	1.003200000000024	-1.3286558810630955e-20	-6.636503141737443e-22	-8.012931681025681e-22	0.9986770891063889	-6790.520603674457	25537.160760543957	-548735.0729946066	25646.437217266408	169351146.3273275	497472.55492126715	-548599.7710977788	495229.6347245556	987.3300569342255	1599.565890624997	-6777.8267116633715	25598.545207645908	-547574.1742188958	25598.49492778585	169758220.80913308	496420.1066481759	-547574.2435045259	496420.0332031146	985.2412707225802	-0.001077059249008383	0.0	0.0	0.0	0.0031948908965434143	0.0	0.0	0.0	-0.001323786712732787	169765949.7717989	0.0029336696710210723
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987915197489808	-3.606666289408811e-21	7.120095427148605e-20	2.842642570985432e-21	1.0036000000000183	6.3163246876753175e-21	-1.3008308487457917e-21	-4.2250003409044505e-21	0.9984294369694073	-212.48477200659167	58881.785947861375	-689719.2092673702	59165.2814118584	173308578.99984246	665282.0517226066	-689469.1829598144	661854.4934358615	2151.8085908130456	1599.565890624997	-212.05561746510128	59045.764614790845	-688076.6538582137	59045.78555821826	173791222.4742948	663697.6930183849	-688076.6651417577	663697.6783153248	2146.68409262187	-0.0012092110521095016	0.0	0.0	0.0	0.003593535510148582	0.0	0.0	0.0	-0.001571797657584646	173798173.42050272	0.0033292812144310874
