6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
36	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.000569999999993	-1.0336448934462634e-23	5.4702446524866785e-22	7.100518378155189e-24	1.0006300000000077	-1.3081365079158601e-21	-4.428394127363889e-23	-4.796324063827476e-23	0.9994037542315399	62192521.43212134	1946.0188620924225	-16966.729951425074	1946.1355566623567	65389728.044147916	18777.611198993116	-16946.95384652258	18754.599729626734	-1.8645501493603989	1599.565890624997	62190445.602318145	1946.0705996025256	-16946.388200136895	1946.0705995566384	65391466.51738742	18755.098346022063	-16946.38819986511	18755.098345704868	-1.862314702959636	0.000569837611697702	0.0	0.0	0.0	0.0006298016333175345	0.0	0.0	0.0	-0.000596423593656577	63851179.644268975	0.0007982465770913078
72	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0011400000000226	2.1965681904672142e-21	-1.9976848544519045e-20	4.1165801236558995e-22	1.001260000000016	-2.0410952929986876e-20	1.2536087619363644e-22	1.5699755677358456e-21	0.998514124050564	93874321.91455469	5672.077632704067	31980.58957928398	5672.7581388729795	99128741.4034972	-146718.89356053455	31896.70800669747	-146316.52876544138	55.07262579021435	1599.565890624997	93895706.48829295	5674.049761317128	31903.974214299866	5674.050393370759	99163207.5444702	-146367.40155466212	31903.97407787078	-146367.40166098825	54.94068921927996	0.0011393506934486864	0.0	0.0	0.0	0.001259206866178522	0.0	0.0	0.0	-0.0014869809578438673	96637481.39850962	0.0017921762692034101
108	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0017100000000179	1.4670610646444482e-21	2.1490919937736108e-20	6.115577879176048e-22	1.0018899999999993	-3.7435468136851056e-20	1.4547526171296592e-21	2.1062533024662247e-21	0.9973734853261372	99041601.14856331	26305.527054020018	148734.15405068774	26310.254082227	105649988.93568489	-366602.35174874245	148090.26687169366	-364949.7097137726	-3.949708507261239	1599.565890624997	99115092.8873709	26329.776936924554	148200.15452631106	26329.777053367903	105747382.91130432	-365286.14107259555	148200.1541421605	-365286.14044593123	-3.935527887633113	0.0017085396146201632	0.0	0.0	0.0	0.0018882161972373452	0.0	0.0	0.0	-0.0026299700151916	102594434.68617813	0.0029540539426540008
144	48.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0022800000000165	2.6766241133235892e-21	-6.127097527258707e-20	3.2983462966082456e-21	1.002520000000028	-1.7038575953788604e-19	5.85447997318491e-21	-2.814584604607633e-21	0.9962128919675735	102527295.38923536	63468.041049070096	216306.92547411105	63483.23814190351	109149835.54780522	-473532.99890640314	214997.55367107654	-470553.8818678631	1.1182624982912093	1599.565890624997	102658354.33586846	63564.38830272494	215272.38117546588	63564.387715664816	109315529.75733311	-471268.20380950463	215272.3814894234	-471268.20317769435	1.1129141161741802	0.0022774047440569122	0.0	0.0	0.0	0.0025168301243028153	0.0	0.0	0.0	-0.0037942972827691226	106147480.26200403	0.004129923840125433
180	60.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0028499999999836	-1.6069062042361332e-20	-5.21772295508649e-22	-5.312590645178972e-21	1.003150000000004	6.510634045775454e-20	-6.175717218431104e-21	-1.2226920593615825e-21	0.9950463774505421	105289378.83008602	95510.76177635371	251302.4228045792	95539.33357320423	111646497.40247868	-531427.8752660088	249346.9276001517	-527134.9067861455	-3.0997265294380485	1599.565890624997	105481273.15329209	95713.45803073568	249801.37198088007	95713.45802867447	111883437.47517268	-528253.6112020087	249801.37286753772	-528253.6107852794	-3.0812115982713357	0.0028459464499023994	0.0	0.0	0.0	0.0031450491440766126	0.0	0.0	0.0	-0.0049659324067225985	108828524.05691592	0.005310428637431824
240	117.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0055575000000128	-1.4704491964334653e-20	3.052706741904498e-19	-1.509751525186065e-20	1.006142500000003	-4.543823542250969e-19	1.462317680139824e-20	6.256439458304439e-20	0.9895120056566528	115637851.62896217	145348.52599655165	315060.76068962587	145433.08609877914	121457608.60387523	-640192.5412152897	310033.40987673745	-629610.8275641272	-173.27806712858555	1599.565890624997	116150063.75206818	146077.27357783436	311406.67215337575	146077.27473382515	122066572.04462285	-632767.5600125301	311406.6874745978	-632767.566613188	-171.2683804976887	0.005542114075415921	0.0	0.0	0.0	0.006123711745526032	0.0	0.0	0.0	-0.010543380959404974	119225174.00616491	0.010922691829396976
300	174.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0082650000000155	-4.027133444425845e-20	5.198613891796433e-19	-2.3296794181282278e-20	1.009134999999988	-8.444986246761155e-19	-3.964791819507929e-20	-2.4897686451592903e-20	0.9840132497671038	124430670.99845582	157422.59192562185	349880.37147966685	157558.42280950036	130322820.95721631	-686726.5551655731	341464.72573449946	-669630.9668080139	-173.35329866246903	1599.565890624997	125307546.79563537	158668.75742096087	343871.0526328797	158668.75329711102	131354463.24404171	-674931.7842468922	343871.062943682	-674931.8006669871	-170.3758945846137	0.008231031923274169	0.0	0.0	0.0	0.009093528259058204	0.0	0.0	0.0	-0.01611591681006719	128444973.99804817	0.01652630181960087
360	231.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.010972499999996	6.25584653524136e-20	-7.898954927643142e-19	7.62465177800431e-20	1.012127500000004	-1.9201491525261403e-18	2.337810934421869e-20	-5.65496136245916e-20	0.978552492942734	132229561.1214769	164170.87294431005	368915.2482771968	164358.42543078656	138315833.4875069	-713136.2587207999	357084.83011931874	-689479.6196653821	-138.15136408329604	1599.565890624997	133508588.31027839	165948.2349343898	360538.82488374715	165948.2279912099	139813281.2421417	-696944.1081708784	360538.8324056274	-696944.1281189832	-135.0145614616955	0.010912738877086483	0.0	0.0	0.0	0.01205455107173085	0.0	0.0	0.0	-0.021680847245896237	136777153.192998	0.022119487090160952
420	288.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0136799999999802	1.9390278228545443e-20	-2.608319376457002e-19	-4.9060148304969074e-21	1.0151199999999758	1.5040323587262038e-18	-5.78286333749456e-20	3.5965018940417596e-21	0.973130402743327	139212919.40786177	170420.0411336145	379600.02779264795	170662.1256258236	145504227.8493596	-732203.1122123386	364415.13433106674	-701916.1543851909	-115.50847378941451	1599.565890624997	140925996.88087174	172762.20833991753	368899.4207292396	172762.1997004794	147503964.66775426	-711562.9193231306	368899.42616333184	-711562.9364622261	-112.25238659231432	0.013587273508496202	0.0	0.0	0.0	0.015006832106498037	0.0	0.0	0.0	-0.027237184457248553	144334549.1140146	0.027701618285051376
480	345.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0163874999999967	-3.3682773367335606e-19	-8.116066412683365e-19	-1.1123914289701276e-19	1.0181124999999933	-9.506284648352904e-19	2.9788454689039234e-20	-3.79945098820389e-20	0.9677475673210185	145506907.8692873	176835.43153416194	386935.9081885226	177135.54482765554	151988506.99657464	-746929.7989066357	368418.823730312	-709979.9999069452	-103.79401520488784	1599.565890624997	147681384.05485013	179782.69362424844	373924.5243470673	179782.68391874552	154521652.98951054	-721813.0027899512	373924.5276879158	-721813.019569869	-100.30376334741828	0.01625467408049103	0.0	0.0	0.0	0.01795042282795619	0.0	0.0	0.0	-0.032784003274872	151224570.2169888	0.03327210854808927
540	402.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0190949999999828	1.9038590148845458e-19	-8.455421692671328e-19	1.325979256949772e-19	1.0211049999999982	3.665687545173491e-18	4.263625043299246e-20	-1.1955531237315546e-19	0.9624044103370865	151210265.7101386	183825.4428314151	392957.75697887776	184187.99891524154	157861610.8281728	-759421.1070843869	371098.1610966521	-715764.0403348254	-97.30922206250031	1599.565890624997	153869757.45797938	187427.5142878044	377625.04719698644	187427.50425481555	160954919.31510124	-729789.4654374875	377625.04928404104	-729789.4830563992	-93.51234050338104	0.018914978550594475	0.0	0.0	0.0	0.020885374247415652	0.0	0.0	0.0	-0.03832053168764779	157538739.11676785	0.03883047311076291
600	459.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.021802500000005	7.296680620827445e-20	-1.2172879891581e-18	1.8352832274748376e-19	1.0240974999999906	-4.2954463770616955e-18	-2.5370330836160805e-20	-1.0909445547456486e-19	0.9571011970229216	156402734.96303862	191431.97959641455	398568.42106248776	191861.9303536187	163201808.91444227	-771356.2560889105	373330.7712674969	-720894.264302124	-93.22784287108958	1599.565890624997	159567770.772824	195744.54594303877	380885.6574892874	195744.53432628742	166878407.93575752	-737134.5024668624	380885.6599990505	-737134.5202419001	-89.09172516378501	0.021568224574324422	0.0	0.0	0.0	0.023811736928411518	0.0	0.0	0.0	-0.04384614910409479	163352595.0669581	0.04437632795837192
660	516.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0245099999999978	5.858757489568545e-20	1.4222021997578604e-18	8.863352760068999e-20	1.027089999999975	-9.194034422677077e-20	-2.0003530082357557e-20	6.041377792996572e-20	0.9518380628185417	161149446.40705314	198598.82355746132	405027.55139903893	199098.9399193874	168074142.09372246	-782871.8367666831	376297.5937897805	-725513.077906425	-90.18521363761498	1599.565890624997	164837966.9203592	203656.09025524303	384910.5934208477	203656.07952143822	172354105.82333076	-743988.062593433	384910.6013101127	-743988.0772139594	-85.70588341246038	0.02421444950813397	0.0	0.0	0.0	0.026729560991874457	0.0	0.0	0.0	-0.04936036074113517	168728335.16723257	0.04990937270766581
720	573.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0272175000000021	-4.623580164564434e-19	3.9546274241408774e-19	1.3444106938820255e-20	1.030082499999987	8.764148261286576e-19	4.1470733097570545e-20	-3.475884402352747e-20	0.9466150440199411	165504464.64315575	205005.84703254522	412547.14732047037	205577.61985468472	172533202.33073008	-793661.2510725727	380175.91176067566	-729350.9882054778	-87.53781451373314	1599.565890624997	169732224.29245177	210829.04237935084	389887.37261268153	210829.03568744718	177434011.52971005	-750068.2090156461	389887.3862084593	-750068.2181878595	-82.72966793417977	0.02685369041280181	0.0	0.0	0.0	0.029638896121310127	0.0	0.0	0.0	-0.05486276894671283	173717854.23440102	0.05542937147670648
780	630.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0299249999999744	-2.934257654560457e-19	-1.0500498040522111e-18	2.0003530082357557e-20	1.0330749999999786	1.7672495411513723e-20	-1.4886095828225976e-19	6.79726999512631e-20	0.941432099982198	169513241.91105995	210957.06663275888	419831.85163157794	211602.27340161073	176625186.41497582	-803806.3257402128	383759.20199721074	-732501.5944648441	-84.85141045048739	1599.565890624997	174294135.86369762	217570.2322942017	394582.60193442565	217570.23211601557	182162102.70031098	-755464.3370419008	394582.61630640173	-755464.3445105674	-79.74833301295187	0.029485984056359313	0.0	0.0	0.0	0.03253979156776111	0.0	0.0	0.0	-0.06035305246364417	178364909.33487645	0.06093613905904041
