6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893814	-3.1611534289326507e-23	-1.5967232800233605e-22	-2.3756627192522954e-24	1.0003999999999935	-8.774268716819487e-22	8.07328277851755e-25	-2.6138907356675676e-23	0.9998677425139979	-5.2383706797627385e-06	-988.3614003566456	5482.5942598529855	-988.888905973934	28326310.375503894	1455.4063112416702	5482.601873587587	1454.631970073709	5.512273630301933e-06	1599.565890624997	-5.236968797623344e-06	-988.6242615300191	5481.134630790485	-988.6242615299429	28333843.942860894	1455.0188389522848	5481.134630790449	1455.0188389521802	5.5108060997114704e-06	-0.00013365494204245647	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.0001322662327946259	28333845.69715645	0.0003552546439169831
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108239	-3.938041460242454e-23	6.046359405517611e-22	-1.0243804705856695e-23	1.0008000000000166	1.80059352251563e-21	-9.26442286059391e-25	1.69935985042894e-23	0.9997354145986065	7.583193905702501e-06	-1976.867365414903	10965.957183013072	-1978.9779655632083	56686614.83623758	2912.595360096254	10965.987654455199	2909.4971321780426	3.732718738319818e-06	1599.565890624997	7.579137529094479e-06	-1977.9193773166048	10960.121765169915	-1977.9193773165678	56716781.24725646	2911.045453357558	10960.121765170015	2911.0454533575853	3.730732411621188e-06	-0.0002673991371389762	0.0	0.0	0.0	0.000799680170581106	0.0	0.0	0.0	-0.0002646204102859707	56716784.75178543	0.0007104617742037437
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987354792772	-2.235372887363302e-23	-3.460658985125851e-22	-3.970466940254533e-24	1.001200000000022	-1.1924635710564447e-22	2.1361112138569388e-23	-6.29451358928352e-23	0.9996025945497338	0.21496749078746596	-3082.180181607834	15406.401096861744	-3087.1175483680186	84966812.17150228	5400.767975973456	15406.460575383877	5392.15110018317	0.26253259935780077	1599.565890624997	0.21479519976376155	-3084.643301692366	15394.112685421065	-3084.643301491173	85034713.28345776	5396.4602302145895	15394.112685689157	5396.460230373854	0.2623231988250471	-0.00040134504887333073	0.0	0.0	0.0	0.001199280575504143	0.0	0.0	0.0	-0.00039748443673908883	85034717.90671606	0.0010657992095724803
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994604722743916	3.9810548520952114e-22	5.083388823607878e-21	5.44218668610888e-23	1.0015999999999998	-4.9935768614193205e-21	-1.1911400820763598e-24	2.6067438951751095e-22	0.9994495438090808	1045.0914505440746	-5178.982603314467	-38490.13826453855	-5190.070862513071	108033358.61584552	53373.17872805558	-38489.71725800003	53258.58309856778	1530.8237222511748	1599.565890624997	1043.996649802644	-5184.632229292366	-38449.396936345576	-5184.633928333389	108151209.57539983	53316.6838883562	-38449.396795164386	53316.68158965505	1529.2033645573367	-0.0005396733230633386	0.0	0.0	0.0	0.0015987213636970735	0.0	0.0	0.0	-0.0005506077475474486	108149983.28005199	0.0014292552082541396
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993170181688771	-3.773531780017908e-22	-1.2406915094907365e-20	2.7062702664774896e-22	1.002000000000011	-1.890196373445334e-20	-2.6979322859029553e-22	-8.766791004082008e-23	0.9992436734392999	-4037.255378772915	5786.613509090349	-218220.8323702536	5802.188239555409	118673091.26498099	209604.09790424848	-218204.83309072768	209027.52213346137	-887.1052340774348	1599.565890624997	-4032.2466800666925	5794.9512376124885	-217934.10688194042	5794.989930307617	118844083.16141509	209328.694146178	-217934.12386808614	209328.7025614382	-885.939645628966	-0.0006832151694636889	0.0	0.0	0.0	0.0019980026626843597	0.0	0.0	0.0	-0.0007566127199287628	118847695.20435162	0.0018124398638282408
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991760042827225	-2.8545010322469923e-22	-3.855598684695009e-20	1.0130514049161432e-21	1.0024000000000204	-4.8484589417309776e-20	-4.866204281975956e-22	-3.6600293650858315e-21	0.9990096838689486	-1813.9847015633072	34528.06632564469	-395010.6963834822	34639.484323671146	123755296.25338165	397117.92383289174	-394944.9641974729	395774.79079753143	72.2400513409993	1599.565890624997	-1811.4354555669208	34590.7965910909	-394389.9161280382	34590.804438635234	123980133.70912364	396493.83195777185	-394389.93643571413	396493.8307069632	72.12652226967204	-0.0008243353883530753	0.0	0.0	0.0	0.002397124599741609	0.0	0.0	0.0	-0.0009908068180544565	123984801.64758338	0.0022052259387137373
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990369796727138	3.527045192366906e-21	1.1569411268309674e-20	3.032377951170395e-22	1.002799999999978	3.847731866197385e-20	5.761941623697378e-22	-3.5998900258307764e-21	0.9987656381835466	-1200.3685434107188	72227.65468395654	-535183.2702209468	72499.71317857172	127060620.85276788	555151.2558232656	-535037.9285011921	552917.8420209464	830.2249384853544	1599.565890624997	-1198.4962741396203	72386.6297244483	-534203.3899090263	72386.6320870246	127340284.74928181	554134.8156316757	-534203.40557246	554134.8292913835	828.7048590715281	-0.0009634843292811055	0.0	0.0	0.0	0.0027960873019797095	0.0	0.0	0.0	-0.0012351242684925303	127347509.78317745	0.0026016590362076936
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988983948024329	-1.73133534418779e-21	-7.054482137471919e-20	-9.063252535621014e-22	1.0032000000000056	-7.63604437114488e-20	7.551298724772087e-22	-1.0842868757802299e-20	0.9985174997160273	1089.3844272165713	107506.43880727384	-641703.7998941548	107969.40808973505	129528040.71165216	670193.665208875	-641459.1053824592	667065.4954587094	1669.7998312782036	1599.565890624997	1087.5217680929482	107784.79004748602	-640362.324285883	107784.799059143	129863409.37583959	668792.6318117777	-640362.3211571472	668792.6339447731	1666.3091308261796	-0.0011022124105530152	0.0	0.0	0.0	0.003194890896525043	0.0	0.0	0.0	-0.0014836002748109015	129872069.24566552	0.0029999567839469788
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987591826333281	-3.987831115673246e-21	1.0563337297296539e-19	-2.7918205941501738e-21	1.003599999999984	6.798582896194553e-20	2.571592027864056e-21	-6.777110610981657e-21	0.9982676717102389	1513.767934347069	136687.02449519842	-719336.304086167	137349.53263857996	131446853.5428321	746341.1675308936	-718982.2830089176	742375.6933390702	967.1822118469726	1599.565890624997	1510.9553886071096	137094.33122592446	-717646.450728196	137094.34039005695	131838545.35394935	744587.8747789778	-717646.4305897321	744587.8610100038	964.9101228405157	-0.0012415878179327848	0.0	0.0	0.0	0.003593535510114731	0.0	0.0	0.0	-0.001733830505550372	131849688.26426968	0.0033993969767790594
