6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893814	4.6232778796813825e-23	-2.930138427458841e-22	7.702705864093793e-24	1.0003999999999935	-4.051993861427759e-22	1.971998580326418e-24	-1.920382510103109e-23	0.9998677425139981	-5.158649655186309e-06	-988.3614003588852	5482.594259844186	-988.88890597618	28326310.375496123	1455.4063112331219	5482.601873578791	1454.6319700651434	5.58718195406982e-06	1599.565890624997	-5.15726910782668e-06	-988.6242615322591	5481.1346307816875	-988.624261532188	28333843.942853115	1455.018838943739	5481.134630781654	1455.018838943612	5.585694480663762e-06	-0.00013365494204245647	0.0	0.0	0.0	0.00039992002132089856	0.0	0.0	0.0	-0.0001322662327937376	28333845.697148595	0.0003552546439168362
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108238	9.43647642800494e-24	-5.991699310640107e-22	1.5339237279183346e-23	1.0008000000000166	1.6458511909641098e-21	-7.715940753894642e-24	4.9339669177563e-23	0.9997354145986067	7.615579938828887e-06	-1976.867365412358	10965.95718300374	-1978.9779655606292	56686614.83621343	2912.5953600870803	10965.987654445593	2909.4971321688868	3.7920217637292807e-06	1599.565890624997	7.611506238379502e-06	-1977.919377314058	10960.121765160588	-1977.9193773139893	56716781.24723228	2911.0454533483894	10960.121765160411	2911.045453348424	3.7900038795544876e-06	-0.0002673991371390873	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102855265	56716784.751761205	0.0007104617742037813
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987343387782	-1.4121627417505288e-23	-2.9057465255558772e-21	2.1546400595781263e-23	1.001200000000003	3.30356084318978e-21	-6.988021814847978e-24	-2.0169972056493027e-23	0.9996025903565527	-0.011934614342254462	-3083.155253181013	15395.667805988453	-3088.0941856846166	84965672.96500261	5410.939943546395	15395.727195774223	5402.306815593687	-0.004330937930175424	1599.565890624997	-0.011925049099800966	-3085.6191689569237	15383.387973157915	-3085.6191690013493	85033573.62028532	5406.624090619444	15383.387973143897	5406.6240905591685	-0.004327483504264694	-0.00040134618983018544	0.0	0.0	0.0	0.0011992805754848482	0.0	0.0	0.0	-0.0003974886315873999	85033578.48651473	0.0010658009844715746
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994604556742944	2.0921713797181218e-22	-1.5115832339345024e-21	1.334076891925523e-23	1.0016000000000194	2.1013828630195125e-21	2.387574120073059e-23	-1.5955983143902882e-22	0.9994494586140727	1054.5227435320555	-5172.259911451889	-38734.226871851424	-5183.3338609211605	108011510.63217299	53561.62774261704	-38733.80053822249	53446.6229404007	1546.6206860524746	1599.565890624997	1053.4181526979294	-5177.902731183482	-38693.22782158893	-5177.904425559897	108129348.77137494	53504.93432066684	-38693.22768068308	53504.932009101474	1544.9836331314425	-0.0005396899321217097	0.0	0.0	0.0	0.0015987213637161388	0.0	0.0	0.0	-0.0005506929894815223	108128110.42629546	0.0014292893338353925
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999316999047032	8.09339981101484e-22	4.339349788783781e-21	2.4055735702022127e-22	1.0019999999999656	1.5675615238361708e-20	1.802591990875558e-23	-1.0642968982250283e-21	0.999243509185962	-4045.428731024961	5832.3082226107545	-218534.756765113	5848.005733458305	118633755.84652095	209936.9363255762	-218518.7027255302	209359.41054775578	-897.8492163941609	1599.565890624997	-4040.4105564500383	5840.7128628877535	-218247.6229803074	5840.75154221262	118804712.86808813	209661.0992551259	-218247.6399850714	209661.1076575616	-896.6695283321603	-0.0006832343043777779	0.0	0.0	0.0	0.0019980026626391528	0.0	0.0	0.0	-0.0007567770976030614	118808338.23145612	0.0018125029804219896
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991759865154817	6.615327318056086e-22	1.742600882386272e-20	8.470329472543004e-25	1.0024000000000028	-3.6796381778147686e-20	6.37392292808861e-23	3.8539999100070664e-23	0.9990094923165136	-1806.610613867554	34614.830136800076	-395212.22166381334	34726.52865559226	123710333.44177704	397402.97620705777	-395146.3871788139	396058.80314316566	78.4640011445746	1599.565890624997	-1804.072076810257	34677.72529974357	-394591.13171728933	34677.73309378894	123935115.17691384	396778.44341249537	-394591.15201125166	396778.44217823964	78.34069219914325	-0.0008243531702462268	0.0	0.0	0.0	0.0023971245997245526	0.0	0.0	0.0	-0.0009909985603933772	123939782.43314525	0.00220530009329044
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990369587569883	2.9722386119153398e-21	1.3473011938145307e-20	6.030874584450618e-22	1.002799999999985	1.395910297075087e-20	-5.986405354719768e-22	1.0113573390216346e-21	0.9987654388731051	-1197.1841805063962	72319.98251718834	-535273.1713285261	72592.3903077785	127013301.42155837	555306.7331182313	-535127.7095486654	553072.5834749494	829.5074165104875	1599.565890624997	-1195.3171165641866	72479.17675488825	-534293.137600337	72479.17912721886	127292889.23385833	554290.0198639585	-534293.1532061711	554290.0335524308	827.9886681600973	-0.0009635052651684945	0.0	0.0	0.0	0.0027960873019867954	0.0	0.0	0.0	-0.0012353238252791792	127300118.97244002	0.0026017386185939358
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988983669959489	2.1650162131819917e-21	-1.0030320639413089e-19	9.215718466126788e-22	1.0031999999999768	5.944773685362218e-20	-4.095404299974542e-22	-1.0552336456894074e-20	0.9985173003726859	1093.3366236859042	107578.62127859311	-641685.2598550167	108041.90441191873	129479202.5952138	670205.3416063596	-641440.4621676723	667076.9841651905	1670.019918513197	1599.565890624997	1091.467424889094	107857.18394565424	-640343.8408298837	107857.1929576815	129814474.33949898	668804.3024174905	-640343.8376568541	668804.3045345687	1666.528804362389	-0.0011022402477029554	0.0	0.0	0.0	0.0031948908964962693	0.0	0.0	0.0	-0.0014837999141375478	129823135.99726777	0.003000039686811787
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987591456225432	-2.8121493848842773e-22	-4.204925660054523e-20	-1.9583401740519422e-21	1.0035999999999923	-1.4052318946596205e-19	6.479802046495398e-22	-6.2849844686269085e-21	0.9982674766301751	1513.4759459737222	136731.48924989539	-719230.0355823034	137394.2180024556	131396931.01729116	746228.6399939028	-718875.9528908897	742263.6185764424	963.6903798709659	1599.565890624997	1510.6642379532614	137138.9603603164	-717540.4584583273	137138.96952906548	131788504.70438585	744475.6391777331	-717540.4382513363	744475.6253537085	961.4265294477733	-0.0012416248746990309	0.0	0.0	0.0	0.0035935355101226955	0.0	0.0	0.0	-0.0017340259241623926	131799650.70856434	0.0033994818421029267
