6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893813	-4.2120036791200166e-24	-3.587780101663e-22	-4.499862532288471e-25	1.0003999999999935	7.689735672088962e-22	-1.3036366453835717e-24	3.4543062380214434e-23	0.9998677425139979	2.796382496399019e-06	-988.3614003705662	5482.594259848486	-988.8889059878574	28326310.375520926	1455.406311226586	5482.601873583073	1454.6319700585814	1.3546965100431408e-05	1599.565890624997	2.795634134183187e-06	-988.6242615439436	5481.134630785988	-988.6242615438626	28333843.94287794	1455.0188389372051	5481.134630785937	1455.018838937049	1.354335849687261e-05	-0.00013365494204256752	0.0	0.0	0.0	0.00039992002132089856	0.0	0.0	0.0	-0.00013226623279418177	28333845.69716546	0.0003552546439170208
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108237	5.11727014149805e-23	-5.763794508269497e-23	1.376428539288238e-23	1.0008000000000166	1.1030221857823109e-21	-3.546950466627383e-24	1.1773757966834776e-22	0.9997354145986067	-4.3922447121076406e-06	-1976.8673654026368	10965.957183000788	-1978.9779655509503	56686614.836205386	2912.595360086476	10965.987654442763	2909.4971321682674	-8.237040530730155e-06	1599.565890624997	-4.389895227318993e-06	-1977.919377304332	10960.12176515764	-1977.9193773043157	56716781.24722424	2911.045453347786	10960.121765157583	2911.045453347805	-8.232657276948571e-06	-0.0002673991371391983	0.0	0.0	0.0	0.0007996801705808841	0.0	0.0	0.0	-0.0002646204102859707	56716784.75176518	0.0007104617742036699
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995988478357942	-5.84915954748497e-23	1.2938428269309437e-22	1.519365349137401e-23	1.0012000000000039	1.3993513684233075e-21	-2.1361112138569388e-23	-7.173310272059856e-23	0.999603016225961	1.077201158659591e-05	-2965.5174738616456	16450.086648782497	-2970.267624115929	85080926.9675118	4371.5676678507625	16450.15524667986	4364.594712764119	7.246486424264731e-06	1599.565890624997	1.076337355045266e-05	-2967.8857775228107	16436.963928189754	-2967.8857775227643	85148873.78374489	4368.080339043184	16436.963928189492	4368.080339043125	7.240705687745469e-06	-0.00040123264725988654	0.0	0.0	0.0	0.0011992805754859571	0.0	0.0	0.0	-0.00039706259295774264	85148879.03446144	0.0010656215168179282
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994649876357232	2.000982988990276e-22	4.396365694045836e-22	2.9222636680273364e-23	1.0015999999999816	3.117478292589851e-21	-2.1546400595781263e-23	1.649067269185716e-22	0.9994705473681236	-3.495694480079692e-06	-3954.311305670215	21934.98053502257	-3962.758328461869	113509260.35488778	5832.323756168359	21935.10255292554	5819.92393870363	-6.7453321171342394e-06	1599.565890624997	-3.4919591305372306e-06	-3958.5238944861894	21911.66364098475	-3958.523894486476	113630183.52044505	5826.12399342867	21911.66364098465	5826.123993428418	-6.738161826101399e-06	-0.0005351555344592305	0.0	0.0	0.0	0.0015987213636786731	0.0	0.0	0.0	-0.000529592841412627	113630190.51332745	0.001420733997743888
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993310559820119	8.96928481803499e-23	1.0493679425296713e-21	7.14684049245816e-24	1.0019999999999922	-1.9102181147360574e-21	-1.4240741425712925e-23	5.35748339138345e-23	0.9993380079971262	-3.3054381419788113e-06	-4943.248440244488	27420.63671813276	-4956.450525054122	141971628.58389086	7294.864147066696	27420.82747441881	7275.484037264532	-6.2911735803936606e-06	1599.565890624997	-3.3010257136521487e-06	-4949.834160863742	27384.22342076091	-4949.8341608637365	142160772.52294558	7285.176915504391	27384.223420760773	7285.176915504108	-6.282819202019606e-06	-0.0006691678608688542	0.0	0.0	0.0	0.0019980026626653016	0.0	0.0	0.0	-0.0006622112163300669	142160781.2539489	0.0017757993429259016
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991970437193383	4.2121360280180255e-22	-1.1149071168234728e-22	9.317362419797303e-24	1.0023999999999962	-4.146967430638648e-21	3.478129039662971e-23	-2.4172202732269595e-22	0.9992053508442897	0.00278508203131787	-5977.463035134893	32866.79890724824	-5996.6239732973945	170455846.6803649	8853.109412466652	32867.072155261325	8824.894549633567	0.003039607717881154	1599.565890624997	0.0027806234581898175	-5987.02411728067	32814.45602292998	-5987.024117276748	170728494.51486585	8839.010160417758	32814.45602293158	8839.010160423783	0.003034766910731089	-0.0008032788227257399	0.0	0.0	0.0	0.002397124599717464	0.0	0.0	0.0	-0.0007949650567153258	170728504.97384134	0.0021308364325252735
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990614720116796	2.2404021454876245e-22	-1.1476767039703735e-21	9.952637130238028e-23	1.002799999999989	-1.1627221266959781e-20	6.691560283308973e-23	2.225579068910674e-22	0.9990638056883122	24.69148133164714	-11571.337113313166	18120.293302831607	-11614.637779238186	196735064.82122436	27979.374121997665	18120.33574927086	27875.128925946858	46.69204816167502	1599.565890624997	24.64561130573097	-11593.060696546569	18086.67299684049	-11593.060955685776	197104407.66498747	27927.461324356882	18086.673116427384	27927.460620843893	46.60541595764209	-0.0009389686814696355	0.0	0.0	0.0	0.002796087301990781	0.0	0.0	0.0	-0.0009366328152865964	197104381.48728535	0.002489259065566902
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9989213005954689	7.902817397882623e-22	-7.240861149603387e-21	1.0079692072326174e-22	1.0032000000000008	-4.325373745154084e-21	9.084428359302371e-23	-3.2526065174565134e-22	0.9988793766895646	-1100.0277729332822	-8931.153814879946	-137781.45475738766	-8969.38175853054	212719478.5809853	133203.73813235445	-137775.6729676124	132630.06247143028	2703.708615160648	1599.565890624997	-1097.7490756167028	-8950.828755978437	-137490.27115746564	-8950.801767509007	213188090.2854002	132922.2289549347	-137490.2719404692	132922.2406962266	2697.994670500324	-0.0010792816194613501	0.0	0.0	0.0	0.0031948908965199526	0.0	0.0	0.0	-0.0011212516782238139	213187548.07379502	0.002863540889168056
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987814908722049	-2.117582368135751e-22	-4.872662908198769e-20	2.286988957586611e-23	1.0036000000000005	2.775896374741793e-20	-2.55168675360358e-22	-2.2175322559117582e-21	0.9986615358480092	-3085.79119254587	7085.854989152729	-368085.5676166439	7120.067995448626	221498227.11528894	306157.6724804511	-368041.38182844676	304651.1492609308	53.79138141814044	1599.565890624997	-3078.843113789732	7104.008162056872	-367212.6648343249	7104.0361935234205	222065680.95409036	305431.62965875916	-367212.68657756934	305431.6316439947	53.66381693141333	-0.0012192521136603787	0.0	0.0	0.0	0.0035935355101306605	0.0	0.0	0.0	-0.0013393606952173706	222068734.87288526	0.003249301318260309
