6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893813	2.1571216014157855e-23	2.12506008087323e-22	-6.643914680025918e-24	1.0003999999999935	2.17715922457427e-21	-7.669618639591673e-24	7.931669457648472e-23	0.9998677425139979	-7.097179223364947e-06	-988.361400364016	5482.59425985227	-988.8889059813537	28326310.375506345	1455.406311247186	5482.601873586806	1454.631970079211	3.660677773950738e-06	1599.565890624997	-7.095279890649961e-06	-988.6242615373917	5481.13463078977	-988.6242615373607	28333843.942863353	1455.0188389577995	5481.134630789667	1455.0188389576838	3.659703193047309e-06	-0.00013365494204256752	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.00013226623279418177	28333845.69716076	0.0003552546439168728
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108237	-9.283944323050162e-23	-1.5946718721042288e-22	-7.663001194691248e-24	1.0008000000000166	1.0338831214626786e-21	-1.5484821066992677e-23	-4.5845658270139005e-23	0.9997354145986065	2.8530050221888814e-06	-1976.8673654160946	10965.95718301695	-1978.977965564344	56686614.836238086	2912.595360094927	10965.987654459177	2909.497132176749	-9.762083900568541e-07	1599.565890624997	2.8514789023230982e-06	-1977.9193773177976	10960.121765173793	-1977.9193773177028	56716781.24725698	2911.0454533562324	10960.121765173992	2911.0454533562915	-9.756889111131032e-07	-0.0002673991371391983	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.0002646204102861928	56716784.751790665	0.0007104617742035959
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995988125139383	-5.728060305807206e-23	-7.199780051661553e-23	6.167458647195375e-24	1.0011999999999954	-8.4433302973492725e-22	-2.1414051697772782e-23	-1.0460856898590609e-22	0.9996028849111362	0.005081990100024086	-3004.2036578894854	16128.601087476487	-3009.015881790838	85045319.05159716	4693.233723283247	16128.6667959097	4685.747072871612	0.005660547620671423	1599.565890624997	0.005077915538078817	-3006.603358087182	16115.735394889447	-3006.603358081948	85113251.61948594	4689.489957658727	16115.735394891382	4689.489957661595	0.005656032234298676	-0.0004012679832915208	0.0	0.0	0.0	0.0011992805754773078	0.0	0.0	0.0	-0.0003971939599419427	85113256.73813714	0.0010656769605263791
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994624400180389	-5.421010862427522e-23	3.4315422275639844e-22	3.578714202149419e-23	1.0015999999999974	-6.068991067077062e-22	-1.1117307432712692e-23	-2.543216424131037e-22	0.9994598394237957	75.4801396910728	-5414.157004027399	-8198.6756976438	-5425.736704035472	110665366.53753199	30733.40462242418	-8198.65436374634	30667.735078559046	84.51879115024411	1599.565890624997	75.40029265357785	-5419.996672068636	-8189.981377850985	-5419.997061742572	110784729.34946379	30700.813255481095	-8189.9813768511185	30700.813061392233	84.4291628461299	-0.0005377045191288332	0.0	0.0	0.0	0.0015987213636948566	0.0	0.0	0.0	-0.000540306515484491	110784663.5024618	0.00142515204577465
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993192395003259	-5.442186686108879e-22	2.94026311815649e-21	1.1434944787933054e-23	1.0020000000000118	2.9235342174482174e-21	-3.550920933567637e-23	-1.4505439221729894e-22	0.9992693100517084	-1144.175651142188	-264.27146696659923	-161396.4515255865	-264.95476762247995	124649000.67522289	157929.83193728502	-161388.39580093615	157499.44131127893	1483.8863056086864	1599.565890624997	-1142.7268464276874	-264.6448684437809	-161184.03064098378	-264.61927043192395	124825123.0599646	157721.97362139163	-161184.03883138462	157721.97961522816	1481.9332983479455	-0.0006809923223195335	0.0	0.0	0.0	0.0019980026626845813	0.0	0.0	0.0	-0.0007309570323037683	124825564.61077423	0.0018028823600490357
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991768517773648	3.5660087079406043e-22	-3.2976263186030793e-20	-3.057788939588024e-22	1.0024000000000273	2.480620689328944e-20	-7.763056961585662e-22	1.4539320539620065e-21	0.9990425573541507	-2564.8580752743023	22339.111821413364	-350531.79269408266	22411.193155809226	131001213.00308794	345513.47064882587	-350484.6981927156	344356.2070905721	-682.3194034615813	1599.565890624997	-2561.169326841141	22378.941923819944	-349980.61654304795	22378.961643884373	131234785.03455508	344970.18530680536	-349980.6352608252	344970.1859766803	-681.246524509045	-0.0008234871951625854	0.0	0.0	0.0	0.002397124599748919	0.0	0.0	0.0	-0.0009579012868312206	131239172.12915866	0.002193252591279043
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999037048884824	2.075230720773036e-21	1.1665337749586224e-20	2.2683542327470163e-21	1.0028000000000012	-1.5680697436045234e-20	-6.416274575451325e-22	-6.3103954570445375e-22	0.9988016539217822	-857.0085083952376	58097.641351948536	-507757.79324295296	58316.47263730687	134816240.28746292	521453.99176273344	-507638.171505344	519374.86680578283	1135.5539690760097	1599.565890624997	-855.6409387211935	58223.412262631115	-506828.0918039996	58223.41423859232	135108093.12212515	520499.21266738273	-506828.1088724328	520499.2196790448	1133.4747766478315	-0.0009634150504563213	0.0	0.0	0.0	0.002796087302001852	0.0	0.0	0.0	-0.001199064669017271	135113851.41743633	0.002588462776432909
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988983729597289	-1.846531825014375e-21	5.545090601288437e-20	3.962420127255617e-21	1.0031999999999797	5.349860094858161e-21	-1.3709228251310851e-21	-9.356325935371001e-21	0.9985550157481595	140.36854366273548	95709.08843150492	-631911.9493047853	96121.25575944727	137593216.5143131	659619.337416804	-631694.7450579401	656565.1999902839	1315.5982668500944	1599.565890624997	140.12327303483164	95953.29142527851	-630590.9572548047	95953.29989027712	137944287.40994474	658240.4239436536	-630590.9638066638	658240.4347049049	1312.8480500621552	-0.0011022342773458053	0.0	0.0	0.0	0.003194890896498704	0.0	0.0	0.0	-0.0014460292483750668	137952696.23633543	0.002985953022362036
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987596271834785	-8.553338701373925e-21	-7.412851189543372e-20	4.04373529019203e-21	1.0036000000000105	6.02591944170918e-20	-4.483768906290639e-21	-4.3300324263639834e-21	0.9983058047139614	1055.5419812556518	128591.30939995764	-725992.9766601176	129214.51982489698	139749004.42723268	757792.3484874013	-725663.087322575	753794.8368550392	1224.560595146816	1599.565890624997	1053.5405643342308	128969.50818399634	-724287.1631712375	128969.51571225793	140160019.01127905	756011.8183013288	-724287.1549503825	756011.816307566	1221.6833331783018	-0.0012411427155905345	0.0	0.0	0.0	0.003593535510140838	0.0	0.0	0.0	-0.0016956320578827488	140170790.00921634	0.003384801575384058
