6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999916	1.0029068618837929e-22	5.211833429125113e-22	-9.462946207606636e-25	1.0002964000000032	3.5658101845935916e-22	2.845501307182415e-24	-1.283784310682299e-24	0.9999072045656867	-0.8340781620726748	-0.0007791601149508972	0.004406589433808329	-0.0007794764106779187	20.707817655879722	0.0008561134221117144	0.004406663052031945	0.000855780325407095	-1.1468544663193609e-09	1599.565890624997	-0.8339083974518756	-0.0007793177594567954	0.004405766139109617	-0.0007793177594587669	20.712007389953566	0.0008559534721884215	0.004405766139109348	0.0008559534721890818	-1.1466401964817694e-09	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608220113653	0.0	0.0	0.0	-9.279974007575117e-05	21.141301580141555	0.00026518143858216366
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999961	5.689348253139724e-23	-1.5603670377404297e-21	-8.946785505373548e-24	1.0005928000000197	2.0481521362404998e-21	-1.020410003645415e-23	6.040403705107229e-23	0.9998143509175537	-1.6646804667799964	-0.0015581898509876926	0.008812081266676508	-0.00155945506659502	41.43523447708284	0.0017139498722516043	0.008812375222047798	0.0017126164400063492	-1.3832428172756013e-09	1599.565890624997	-1.6640031494989989	-0.001558820562920983	0.008808789684677501	-0.0015588205629250233	41.45200630808072	0.001713309659528188	0.00880878968467673	0.0017133096595297447	-1.3827261337567125e-09	-0.000219023984005584	0.0	0.0	0.0	0.0005926243635078209	0.0	0.0	0.0	-0.0001856663173705977	42.30856002550551	0.0005303294904295639
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999671499999995	8.390589261492892e-23	-4.027906361990215e-22	-3.1816675081239655e-23	1.0008891999999756	-5.147313341345977e-22	-2.1678749493789748e-23	1.6683902082949547e-22	0.9997214388001956	-2.491785921740302	-0.002337172393152476	0.013216354690975676	-0.00234001930319426	62.182183711093124	0.0025745427916007107	0.013217014916757445	0.0025715390113852325	-5.592621654399582e-08	1599.565890624997	-2.4902658855982533	-0.002338591847526948	0.013208952289791203	-0.0023385918475356845	62.21994933460533	0.0025731008055874995	0.013208952289792509	0.002573100805589858	-5.589489260473509e-08	-0.00032855396794925486	0.0	0.0	0.0	0.0008888048958553404	0.0	0.0	0.0	-0.000278600005182706	63.50171887162483	0.0007954442790244606
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999998	-4.468098796766434e-23	-5.807469644612297e-22	-6.03246277122672e-23	1.001185599999982	2.8635536968707725e-21	-8.682087709356579e-24	-4.701032857261367e-23	0.9996282529453292	-3.303388195382808	-0.0030849328075063017	0.01705514419237033	-0.003089943696248743	82.89046445540879	0.0041323132498853	0.01705627464114525	0.004125885425484769	-4.275268187195997e-06	1599.565890624997	-3.3007033629921576	-0.003087432344041566	0.017042412135060383	-0.0030874323411096256	82.95762564084114	0.004129228383024795	0.017042412135162943	0.004129228383664026	-4.272076601187647e-06	-0.0004380959500185888	0.0	0.0	0.0	0.0011848977313207209	0.0	0.0	0.0	-0.00037181616973654163	84.65625848084241	0.001060593090752788
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999954	-1.8317087484374243e-23	-5.233075427255474e-22	-9.423241538204091e-23	1.001482000000014	5.357483391383449e-22	2.3505164286306835e-23	-2.9889675126236123e-22	0.9995251447205792	-3.6906047721674966	-0.002139128185758027	-0.009608670589716414	-0.002143472615723648	101.07098532246135	0.033486235883734096	-0.00960937018830782	0.03342080612819866	0.0034739681394914904	1599.565890624997	-3.686894130806642	-0.0021413168156028425	-0.009599707452256818	-0.0021413175060235397	101.17439519588288	0.03345499933207713	-0.00959970864807967	0.03345500032666557	0.0034707275607169566	-0.0005476499328575774	0.0	0.0	0.0	0.001480902921793254	0.0	0.0	0.0	-0.00047496805889304467	103.06568790261481	0.0013288040263506643
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999928	2.456395547037471e-22	3.096487757365705e-21	-4.065758146820642e-23	1.001778399999998	-1.6817839167734134e-21	2.0805246766933753e-23	4.1186977060240355e-22	0.9993866414949166	-3.326670452177839	0.009366347351837234	-0.14085227406220308	0.009389176315270448	110.9070017540031	0.14273258311309545	-0.14085842620892391	0.14239180396797455	0.008022205826536885	1599.565890624997	-3.3228028734534707	0.009378257321570953	-0.14069466345548828	0.009378260482434493	111.04802781085638	0.14257286848177547	-0.14069466455588822	0.14257286516631412	0.008013229154091021	-0.0006572159190849756	0.0	0.0	0.0	0.0017768205190733968	0.0	0.0	0.0	-0.0006135466863635782	112.74286528514469	0.0016083321769251623
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999962	-8.978549240895583e-23	2.721696854029359e-20	-3.4135427774348306e-22	1.0020747999999886	-3.340359130792059e-20	2.2303436292389796e-22	9.232659125071874e-22	0.9992257706030001	-3.0715488205816657	0.027899968154803775	-0.2840680819643235	0.02797930230351521	116.05115804404409	0.29334443683530514	-0.28406587819790385	0.29251041733330463	0.003301350815089855	1599.565890624997	-3.06756416445318	0.02794300418009732	-0.28369737186634797	0.02794300533904979	116.23016830474465	0.29296162105337076	-0.2836973654674955	0.29296161805328874	0.0032970425377372905	-0.0007667939113270644	0.0	0.0	0.0	0.0020726505750397425	0.0	0.0	0.0	-0.0007745292673686642	117.79445511856815	0.0018955467040120176
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999848	2.1607810484457203e-21	-1.8914880986898966e-20	-6.99649214432052e-22	1.0023711999999987	3.1726042555883447e-20	-1.0767906341970292e-22	1.9583401740519422e-21	0.999056469379633	-2.991975635909644	0.05479102362021612	-0.39695180184285617	0.054969101938363255	119.53970270073678	0.4422664644971835	-0.3969249699892344	0.4408039227166435	0.0013132535057944793	1599.565890624997	-2.9877168484684047	0.054890853840465374	-0.39635998769680975	0.05489085874741557	119.75750616671804	0.4416070908684552	-0.39635998575038695	0.44160707530960397	0.0013112955804280594	-0.000876383912236323	0.0	0.0	0.0	0.0023683931414854096	0.0	0.0	0.0	-0.0009439760255733538	121.28272972413208	0.0021860637543323807
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999967	-1.4196272195982073e-21	8.119393134583706e-20	-1.6347735882007997e-22	1.0026675999999934	-7.225191040079181e-21	-5.082197683525802e-24	-8.690558038829122e-22	0.9988833923077011	-2.9712412724444963	0.08582618682472487	-0.48767470532723717	0.08614003116054474	122.25044995079658	0.568375817358399	-0.4876107108137082	0.5662306667386287	0.000598064676140819	1599.565890624997	-2.9666488595299767	0.08600688792198531	-0.48685704300332616	0.0860068913192173	122.50783981354098	0.5674228470964614	-0.4868570494579757	0.567422826224767	0.0005970619278998287	-0.000985985924406872	0.0	0.0	0.0	0.002664048270107969	0.0	0.0	0.0	-0.0011172315631238416	124.02434187810516	0.0024782633801387535
40	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989049999999997	-7.036302692841473e-21	7.47288464968002e-20	7.216720710606639e-22	1.0029639999999993	8.242054093257969e-21	2.9256517998163535e-21	9.507097799982267e-21	0.9987082088466113	-2.9404797123647026	0.11440352847295451	-0.5607215723404931	0.11486840534845959	124.47006036946352	0.665496719146394	-0.560611122109698	0.6626728598715421	0.0004596744403506665	1599.565890624997	-2.935582046056366	0.11467707649260153	-0.5596773518475102	0.1146770804036209	124.76767827490653	0.6642573780073597	-0.5596773675956676	0.6642573638716485	0.00045881839789681364	-0.001095599950504146	0.0	0.0	0.0	0.002959616012622256	0.0	0.0	0.0	-0.0012926262348253988	126.26996445725895	0.0027714881680460774
44	33.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987955000000043	3.134021904840911e-22	-3.6132731463973945e-20	5.759824041329243e-22	1.003260400000003	2.0874279952134976e-20	9.910285482875315e-23	-2.0828540172983246e-21	0.9985316594607826	-2.870530711644841	0.1382118024697804	-0.6182858534478884	0.13882965010044715	126.32667382116834	0.73464470539433	-0.6181225444832519	0.7311820507485418	0.0004503743723752695	1599.565890624997	-2.8654094453359926	0.1385819648651706	-0.6170197456829394	0.13858196642061593	126.66500516008236	0.7331403213609714	-0.6170197622872767	0.733140321276347	0.0004494521088513371	-0.0012052259931517755	0.0	0.0	0.0	0.0032550964206565338	0.0	0.0	0.0	-0.001469419607609332	128.1325009632265	0.0030654101049680848
48	36.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9986860000000015	-2.117582368135751e-21	1.0922680437257334e-19	-1.6025863362051362e-21	1.003556799999999	-9.751551508559858e-20	-2.5792153243893445e-21	6.329877214831386e-21	0.9983541738992263	-2.7589555437818714	0.15711027642437989	-0.6640731375194043	0.15787653289193912	127.9094609174653	0.7814646805241908	-0.6638525035216928	0.7774134264786172	0.0004243610204516519	1599.565890624997	-2.753709396867007	0.1575763341941696	-0.6625901769752582	0.157576331068163	128.28889630162294	0.7797195695983219	-0.6625901896829922	0.7797195745931461	0.00042341336782990285	-0.0013148640549935967	0.0	0.0	0.0	0.0035504895458015034	0.0	0.0	0.0	-0.001647181960427255	129.69987074735934	0.0033598243981131574
