6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999916	-6.781226661709721e-24	-4.1357707138671297e-22	-2.514629062161204e-25	1.0002964000000032	4.9908769438999477e-23	-3.341809674714232e-24	1.0270274485458392e-23	0.9999072045656873	-0.8340781620633966	-0.0007791601149615424	0.004406589433812077	-0.0007794764106885513	20.707817655883368	0.0008561134221061428	0.00440666305203559	0.0008557803254015291	-1.1289563484097321e-09	1599.565890624997	-0.8339083974425989	-0.0007793177594674425	0.004405766139113365	-0.0007793177594693971	20.712007389957204	0.0008559534721828511	0.004405766139112991	0.0008559534721835143	-1.128745422524604e-09	-0.0001095059955711033	0.0	0.0	0.0	0.0002963560822015805	0.0	0.0	0.0	-9.279974007497395e-05	21.14130158013187	0.00026518143858221684
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999780999999996	2.0715911260778025e-23	-1.5307076496967283e-21	-2.2327259094031324e-23	1.0005928000000197	7.194618444639222e-22	4.4601578628859255e-24	-5.2754270746181896e-23	0.9998143509175538	-1.6646804668067854	-0.0015581898509664715	0.008812081266690615	-0.0015594550665738195	41.43523447705595	0.0017139498722423883	0.008812375222062189	0.0017126164399970973	-1.3899425412404465e-09	1599.565890624997	-1.6640031495257768	-0.0015588205628997533	0.008808789684691605	-0.0015588205629038312	41.452006308053825	0.0017133096595189756	0.008808789684691114	0.001713309659520489	-1.3894233551696484e-09	-0.00021902398400569506	0.0	0.0	0.0	0.0005926243635080428	0.0	0.0	0.0	-0.0001856663173700425	42.30856002549595	0.0005303294904295778
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999948	1.1647364769236671e-22	3.755267632092737e-22	-1.99714487094803e-23	1.0008891999999756	-1.4432912025621245e-21	2.37963318619255e-23	7.55976905424463e-23	0.9997214388001957	-2.4917859217453535	-0.0023371723931479562	0.013216354691007093	-0.002340019303189733	62.182183711072895	0.002574542791898644	0.013217014916788708	0.002571539011682686	-5.592338865314031e-08	1599.565890624997	-2.4902658856033013	-0.002338591847522425	0.013208952289822603	-0.0023385918475311595	62.219949334585095	0.002573100805885266	0.01320895228982375	0.002573100805887492	-5.589206629776434e-08	-0.00032855396794947696	0.0	0.0	0.0	0.0008888048958562278	0.0	0.0	0.0	-0.0002786000051817065	63.501718871605945	0.0007954442790248184
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999964	4.9180850499952816e-23	4.743384504624082e-23	8.780025893882857e-23	1.0011855999999866	7.995726324284578e-22	1.9587636905255695e-23	1.0275568441378731e-22	0.9996282529310455	-3.3033868463566405	-0.003084930741795458	0.017055131450349634	-0.0030899416270984493	82.89046003753246	0.004132375002296082	0.01705626189804892	0.004125947081735633	-4.280694849631131e-06	1599.565890624997	-3.3007020151095614	-0.0030874302767011272	0.017042399402551884	-0.0030874302736851383	82.95762122057096	0.004129290089335978	0.017042399402667018	0.00412929008993028	-4.277499212494486e-06	-0.000438095950022032	0.0	0.0	0.0	0.0011848977313249347	0.0	0.0	0.0	-0.000371816184025761	84.65625335267356	0.0010605930952191267
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999983	3.65282958503417e-23	1.3289152849031921e-21	3.589302113990098e-23	1.001482000000007	8.597384414631148e-22	-3.3193103620527895e-23	-9.391477802682055e-23	0.9995251171868283	-3.6890266468590003	-0.002141611567860042	-0.009666240219539891	-0.0021459610671699498	101.06340655645229	0.03357276261463711	-0.009666943753383984	0.03350716289515659	0.003543161354863766	1599.565890624997	-3.6853176937100747	-0.002143802797609982	-0.009657223380113888	-0.002143803514563403	101.16681146255209	0.03354144534931904	-0.009657224593045273	0.03354144637273667	0.003539856231437116	-0.0005476499328546892	0.0	0.0	0.0	0.0014809029217863808	0.0	0.0	0.0	-0.0004749956057247952	103.05724505836109	0.0013288127018962384
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999901	7.898582233146351e-22	2.5638046187052365e-20	-6.268043809681822e-23	1.0017783999999834	-3.622548157169829e-21	-1.4738373282224825e-22	-4.0339944112986054e-22	0.9993863369036889	-3.3168288547825773	0.009329437110499817	-0.14149150607010208	0.009352176418510307	110.83135848509973	0.1432411625133764	-0.14149764309362117	0.14289912533734628	0.008308654262810994	1599.565890624997	-3.312973727596763	0.009341302993289656	-0.14133318017678703	0.009341306448687914	110.97232217815498	0.14308087879285977	-0.14133318136390838	0.1430808752384325	0.008299357060845008	-0.0006572159190876419	0.0	0.0	0.0	0.0017768205190589897	0.0	0.0	0.0	-0.0006138514645755434	112.66192187824682	0.0016084310085349735
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999921	1.644090950620597e-21	-3.39310810758232e-21	-1.9989977555201487e-22	1.0020748000000046	2.6350771472607657e-20	-2.2151235059680036e-22	-8.004461351553138e-22	0.9992249343540761	-3.0532082172980295	0.02766228520798877	-0.28538319969773407	0.027740943699465066	115.85295322811217	0.2939178473435367	-0.28538074664950275	0.2930819519546095	0.0034210710137920213	1599.565890624997	-3.049249905958763	0.027704977790782553	-0.28501077336532143	0.027704979138848	116.0317548621929	0.2935342832583603	-0.28501076669233144	0.2935342799313152	0.003416606501052872	-0.0007667939113311753	0.0	0.0	0.0	0.0020726505750559183	0.0	0.0	0.0	-0.0007753661645927992	117.58653986380011	0.0018958268688018347
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999963	3.5744790374131473e-22	1.3139598594282334e-21	-1.4696021634862112e-21	1.0023712000000118	5.0088446302935797e-20	3.265312011665328e-22	1.9413995151068562e-21	0.9990549804729779	-2.9665152330630877	0.05425292126132833	-0.3987494723007349	0.05442925101422848	119.19422315940409	0.44228940003205636	-0.39872192435550985	0.44082612453532216	0.0013556200580664005	1599.565890624997	-2.962297100787859	0.0543518520507629	-0.3981549780136591	0.054351857250036474	119.4115751161107	0.44162999220880306	-0.3981549757016751	0.4416299757471968	0.0013535989685454144	-0.0008763839122247665	0.0	0.0	0.0	0.002368393141498258	0.0	0.0	0.0	-0.0009454663394947203	120.92371136571116	0.002186575972199052
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990145000000041	8.182338270476541e-22	7.884712068635061e-21	-1.336617990767286e-21	1.0026676000000128	1.4718044491490724e-20	-1.2699141461710098e-21	2.0659133583532386e-21	0.9988811812810612	-2.938703214456457	0.08497501832883848	-0.48961713619975555	0.08528575040184064	121.74267746731063	0.567333800473728	-0.4895518031314984	0.5651913308112095	0.0006157985844294024	1599.565890624997	-2.93416758782251	0.08515411583821665	-0.48879621708903515	0.08515411944328864	121.99926829539434	0.5663825773147891	-0.4887962235322871	0.5663825557342652	0.0006147661025390904	-0.0009859859243994261	0.0	0.0	0.0	0.002664048270127014	0.0	0.0	0.0	-0.0011194450638231355	123.49908822556823	0.002479040261030834
