6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999916	-1.2280323373962249e-23	-2.6174641559137967e-22	1.5021599923962983e-24	1.0002964000000032	-4.271825381019852e-22	-4.698385879301197e-24	-6.498330892216585e-24	0.9999072045656867	-0.8340781620765334	-0.0007791601149608844	0.004406589433804044	-0.0007794764106879105	20.707817655864	0.0008561134221166761	0.004406663052027616	0.0008557803254120627	-1.1462197299916265e-09	1599.565890624997	-0.8339083974557334	-0.0007793177594667847	0.0044057661391053325	-0.0007793177594687567	20.712007389937845	0.0008559534721933823	0.00440576613910502	0.0008559534721940505	-1.1460055787434932e-09	-0.0001095059955711033	0.0	0.0	0.0	0.0002963560822013585	0.0	0.0	0.0	-9.27997400761953e-05	21.14130158012759	0.00026518143858245016
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999780999999996	3.028804530924166e-23	-5.772661884436065e-22	8.41738991333961e-24	1.0005928000000197	1.1186128859677103e-21	5.558653716356346e-24	-1.1673172804348327e-23	0.9998143509175531	-1.664680466765451	-0.0015581898509736854	0.008812081266707092	-0.0015594550665810278	41.4352344771559	0.001713949872259545	0.0088123752220785	0.001712616440014265	-1.3874734511726272e-09	1599.565890624997	-1.6640031494844603	-0.0015588205629069713	0.008808789684708074	-0.0015588205629110375	41.45200630815384	0.001713309659536126	0.008808789684707424	0.0017133096595376648	-1.3869551873825224e-09	-0.00021902398400569506	0.0	0.0	0.0	0.0005926243635084866	0.0	0.0	0.0	-0.00018566631737026458	42.30856002557288	0.0005303294904299427
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999945	-6.11981304391232e-23	8.893845946170153e-23	4.37677805714058e-23	1.0008891999999756	-7.3580693336797e-22	1.2626084870009414e-23	-1.2215803286183113e-22	0.9997214388001954	-2.4917859217394493	-0.0023371723931713997	0.013216354691054139	-0.002340019303213181	62.18218371105821	0.0025745427921354765	0.0132170149168359	0.0025715390119193282	-5.593761224189156e-08	1599.565890624997	-2.490265885597401	-0.0023385918475458847	0.013208952289869628	-0.0023385918475545943	62.21994933457044	0.002573100806121967	0.013208952289870918	0.0025731008061242798	-5.590628191996865e-08	-0.00032855396794981013	0.0	0.0	0.0	0.0008888048958562278	0.0	0.0	0.0	-0.0002786000051822618	63.50171887159487	0.0007954442790251097
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995620000000162	-7.012506360979547e-23	1.1626850690045356e-21	-2.398162031913738e-23	1.0011856000000052	2.319017390904664e-22	1.3499587596865412e-23	-6.511565782017434e-23	0.9996282529208547	-3.3033858944672083	-0.0030849296062427345	0.01705512419881958	-0.0030899404897743224	82.89045689007757	0.004132419386103333	0.01705625464585	0.004125991396543546	-4.278730842999012e-06	1599.565890624997	-3.3007010640273653	-0.0030874291402597466	0.017042392156434605	-0.0030874291373167895	82.95761807140994	0.004129334440009537	0.01704239215653575	0.004129334440685847	-4.275536672038315e-06	-0.00043809595000226137	0.0	0.0	0.0	0.0011848977313437862	0.0	0.0	0.0	-0.00037181619421995475	84.65624970130567	0.0010605930984081847
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999983	-3.029201577618192e-22	2.50083830698872e-21	-4.2457526481121807e-23	1.0014819999999722	2.363327801957905e-21	2.355810384551023e-23	-1.0259686573617713e-22	0.9995250972103038	-3.687879063774004	-0.0021435742919366932	-0.009708334187174107	-0.002147927795663946	101.0579045508314	0.03363581834581511	-0.009709040598289665	0.03357009476732667	0.0035940929585782937	1599.565890624997	-3.6841713380389374	-0.0021457675727696605	-0.009699278081752735	-0.002145768308590935	101.16130584926314	0.03360444226099963	-0.009699279307567662	0.033604443306442404	0.003590740325253197	-0.0005476499328546892	0.0	0.0	0.0	0.0014809029217520149	0.0	0.0	0.0	-0.0004750155917405559	103.05111442743878	0.0013288189963577164
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000042	5.171136142987504e-22	3.9924897968831445e-21	-1.740652706607587e-22	1.001778399999996	6.041886012764924e-21	9.423241538204091e-23	-2.5220406004496794e-22	0.9993861146758864	-3.3096365119581286	0.009301844658669029	-0.14195600036368106	0.009324516953056873	110.7761515352907	0.14361023025242167	-0.14196212602819308	0.14326727975868142	0.008524195794457269	1599.565890624997	-3.305790479472131	0.00931367751832338	-0.14179715471143098	0.009313681202669143	110.91706967596772	0.14344953355319243	-0.1417971559638029	0.14344952980441456	0.008514657406242548	-0.0006572159190735328	0.0	0.0	0.0	0.0017768205190711805	0.0	0.0	0.0	-0.000614073828860166	112.60283877995913	0.0016085031278340906
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999862	-9.147955830346444e-23	-1.0811422659635483e-20	-4.379160337304733e-22	1.0020747999999904	-7.123123569935038e-21	3.308722450212111e-24	-3.358909152336928e-21	0.9992243225718913	-3.039771475541737	0.027487246829189158	-0.2863389206765623	0.027565407792546737	115.70793268161289	0.29432184588912524	-0.2863362839058647	0.293484621640923	0.0035119918584250367	1599.565890624997	-3.0358324428851744	0.027529686121768777	-0.28596524712406907	0.027529687659517015	115.8865814505992	0.2939377545840736	-0.28596524023296394	0.2939377510431813	0.003507408693583303	-0.0007667939113370641	0.0	0.0	0.0	0.0020726505750415154	0.0	0.0	0.0	-0.0007759784215039601	117.43440416425902	0.0018960319093899705
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991240000000091	2.7096583982665067e-21	-3.1652880085064353e-20	-5.802175688691958e-22	1.0023712000000073	1.199737466490991e-20	-7.503653121489033e-22	7.403067959002585e-22	0.9990538900091643	-2.9478228430333258	0.053858334401042256	-0.40005727099326244	0.05403338198380712	118.94116341749913	0.44226751221502625	-0.4000291958024998	0.44080382732679607	0.001387489388722387	1599.565890624997	-2.943634502709633	0.05395660455044351	-0.3994608269133802	0.053956610005082846	119.15818397762195	0.44160813702424423	-0.39946082432950114	0.4416081198926503	0.0013854207853203084	-0.0008763839122119878	0.0	0.0	0.0	0.002368393141493163	0.0	0.0	0.0	-0.000946557835389241	120.66071201700856	0.0021869513273494157
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990145000000041	-3.49824607216026e-22	-7.029452313880554e-20	-1.4026865606531213e-21	1.0026676000000057	1.5273274588415918e-20	-1.9039183071908535e-21	-7.19130972218901e-22	0.9988795609982615	-2.9147701178412437	0.08435070161393562	-0.49102835242234594	0.08465915084046123	121.37051067040969	0.5665037643717572	-0.4909620345861105	0.564363513302441	0.0006285594280157637	1599.565890624997	-2.910276150562055	0.08452862039651127	-0.4902050671886304	0.08452862409619685	121.62651439161044	0.5655539328971576	-0.49020507358076437	0.5655539108604418	0.0006275055505908752	-0.0009859859243994261	0.0	0.0	0.0	0.002664048270120149	0.0	0.0	0.0	-0.0011210671627709741	123.11406439454048	0.0024796099784008463
