6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	3.1325329797383157e-24	-1.5831244307529886e-22	5.525566491854225e-25	1.000200000000001	3.4419977905066547e-22	1.3102540902839959e-24	-1.4333385654318863e-23	0.9999338800589289	-9.016189617388342e-12	-0.000494162603378802	0.0027412009144819854	-0.0004942944617322064	14.158906776157902	0.0007274803460063451	0.002741202817400086	0.000727286787691168	1.1112209633359903e-11	1599.565890624997	-9.014982810172928e-12	-0.0004942283009538165	0.002740835910371702	-0.0004942283009538191	14.16078916433072	0.0007273834784928988	0.00274083591037167	0.000727383478492869	1.1110729989102856e-11	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.61221270905273e-05	14.160790041985162	0.0001776332690464083
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999866353989382	5.185264387849909e-23	4.30782428127816e-22	9.092369293182881e-24	1.0003999999999935	-2.0455845676191353e-22	7.940933880509065e-24	3.5840081580697586e-23	0.9998677425139983	-1.0251993556170679e-11	-0.0009883614006036077	0.005482594259827569	-0.0009888889062211325	28.32631037553297	0.001455406311258581	0.00548260187356205	0.0014546319700907025	-7.508784705123616e-12	1599.565890624997	-1.0249249938439334e-11	-0.000988624261777046	0.0054811346307650725	-0.0009886242617770749	28.333843942889953	0.0014550188389691905	0.005481134630764917	0.0014550188389691769	-7.506785644120606e-12	-0.0001336549420419013	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279418177	28.33384569719452	0.0003552546439165019
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228781	1.7558728298785628e-22	-3.004717031486622e-22	1.0574676950877906e-23	1.000599999999987	7.856892330273678e-22	1.9428818227645514e-23	-5.966288322222478e-23	0.9998015873617158	-3.2133579633969457e-12	-0.0014825963387303214	0.008224179771034096	-0.0014837833888371725	42.5022124960593	0.0021837779609271152	0.008224196906577809	0.0021820354505101744	-4.2450148951544975e-13	1599.565890624997	-3.2120684197063805e-12	-0.0014831879358770262	0.00822089647712876	-0.001483187935877033	42.51917206015943	0.002182906143302825	0.00822089647712858	0.0021829061433028167	-4.2433201812834754e-13	-0.00020051587908716245	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467559564	42.51917469008295	0.0005328641403784563
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108235	1.376428539288238e-24	-5.813954740614713e-22	4.6851509895003485e-24	1.0008000000000166	-1.849840547464587e-21	1.708624273289534e-23	-7.067431153653068e-23	0.9997354145986066	8.474869141530949e-12	-0.0019768673654549894	0.01096595718307923	-0.0019789779656033124	56.68661483623351	0.002912595360149071	0.010965987654521078	0.002909497132230784	1.1276628790468646e-11	1599.565890624997	8.470335792987519e-12	-0.001977919377356713	0.010960121765236041	-0.00197791937735665	56.7167812472524	0.0029110454534103485	0.010960121765235855	0.0029110454534103554	1.1270628052023611e-11	-0.0002673991371394204	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102858596	56.71678475177715	0.0007104617742040033
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670858	5.977207106308178e-23	-6.886642558973479e-22	-4.3781015461206647e-23	1.0009999999999997	-2.7688977650151043e-21	3.308722450212111e-24	-7.363892685192074e-23	0.9996692167745275	9.627604009073559e-11	-0.0024747620979812435	0.013691857911846293	-0.0024780651554213756	70.87750844314952	0.0036596203013303484	0.013691905405709812	0.003654755005317719	8.332820026352162e-11	1599.565890624997	9.621168544213423e-11	-0.00247640872031968	0.013682753203769101	-0.0024764087203196167	70.92466792114153	0.0036571867547122417	0.013682753203769372	0.0036571867547122074	8.327278930739828e-11	-0.00033430670717484004	0.0	0.0	0.0	0.0009995003330827577	0.0	0.0	0.0	-0.00033083794631159165	70.92467229312747	0.0008880506980728543
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677249141	4.4211149379734223e-23	-2.2243085194897926e-21	-3.287546626530753e-23	1.0012000000000152	5.207558559719438e-21	-1.9905274260476058e-23	8.184455852844677e-23	0.9996027007197126	2.231892265182854e-09	-0.0030716183647518215	0.015708442390705908	-0.003076538713413789	84.99638983254901	0.005132968020890219	0.015708504196727254	0.005124778961637587	2.3109490385926635e-09	1599.565890624997	2.230103222942782e-09	-0.0030740726187056208	0.015695912559588045	-0.003074072618702468	85.06430280253221	0.005128873711547798	0.015695912559588604	0.005128873711549646	2.309105711262343e-09	-0.00040131279029279965	0.0	0.0	0.0	0.0011992805754977114	0.0	0.0	0.0	-0.0003973782245568405	85.06430777503326	0.0010657531429006507
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307518457386	-2.525746369593917e-22	-1.3608378391028386e-21	-2.329340604949326e-23	1.0013999999999927	-4.61357670545736e-21	-3.970466940254533e-24	-2.980497183151069e-23	0.9995318049107527	8.30963362473237e-06	-0.0046500863600028265	0.005892662245326326	-0.004658782602920099	97.97183416674238	0.016727843548833814	0.005892668443263406	0.016696636366966753	9.228949162750692e-06	1599.565890624997	8.3019033121321e-06	-0.00465444861883193	0.00588718660310135	-0.004654448615709147	98.0637418143666	0.016712299524307136	0.005887186592778374	0.01671229952755547	9.220373340546086e-06	-0.0004693582856305289	0.0	0.0	0.0	0.001399020913700535	0.0	0.0	0.0	-0.00046830472679019813	98.06373818698864	0.001245235095171755
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994599889167047	1.4357208455960392e-22	-7.114812059140106e-22	4.150461441546072e-23	1.001599999999995	4.281963306607302e-21	8.046812998915853e-24	5.399835038746165e-23	0.9994454946563206	0.00017482020849028988	-0.005187231467297301	-0.05130952703531234	-0.005198337835020394	107.06437071253966	0.061648274544993345	-0.05130878294754757	0.061515664098561136	0.0005382019720475741	1599.565890624997	0.00017463778056405144	-0.005192913641620885	-0.05125524133301401	-0.00519291327913341	107.18165069552651	0.06158305040295727	-0.051255241340706054	0.06158304931729348	0.0005376325520252294	-0.0005401569417928079	0.0	0.0	0.0	0.001598721363691753	0.0	0.0	0.0	-0.000554659138623748	107.18138477995122	0.0014307774349118334
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993879660180226	-3.5151867311053466e-23	9.88106284619504e-21	2.151463686025923e-22	1.0017999999999765	5.942571399699357e-21	2.048760941171339e-22	-5.171136142987504e-22	0.999342987432594	-0.0003158914810676735	-0.0005215581794351709	-0.14833983285813648	-0.0005228140820042835	112.4139321120463	0.139989579680704	-0.14833315801268737	0.1396462374672346	0.00017650195506416607	1599.565890624997	-0.000315531206018952	-0.0005222206918098682	-0.1481639823085682	-0.0005222178111956192	112.556726576881	0.13982362800038745	-0.14816398366347916	0.1398236239296656	0.00017629271951900006	-0.0006122213512297479	0.0	0.0	0.0	0.0017983819413561245	0.0	0.0	0.0	-0.0006572284947458301	112.55734929613483	0.0016222793629188776
