6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	1.3495451693802648e-23	-1.4571613670734135e-22	6.815968247436948e-25	1.000200000000001	6.332464635787452e-22	1.2143011392278446e-24	-1.9607489239956969e-23	0.9999338800589291	-7.64799354142226e-12	-0.0004941626033757806	0.0027412009144914583	-0.0004942944617292243	14.15890677615879	0.000727480346006217	0.002741202817409529	0.0007272867876910405	1.2449274130674204e-11	1599.565890624997	-7.64696986576984e-12	-0.0004942283009507945	0.0027408359103811737	-0.0004942283009508374	14.160789164331606	0.0007273834784927706	0.002740835910381111	0.0007273834784927414	1.2447616449836668e-11	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.61221270905273e-05	14.160790041984695	0.0001776332690464083
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893818	-3.546785030504872e-23	2.5483780311533675e-22	5.558653716356346e-24	1.0003999999999935	8.912705664136363e-22	6.988021814847978e-24	2.2499312661442354e-24	0.9998677425139986	7.466796005280163e-13	-0.0009883614006157078	0.005482594259822787	-0.0009888889062332192	28.326310375536362	0.0014554063112534044	0.0054826018735574045	0.0014546319700855317	3.5757917252188242e-12	1599.565890624997	7.464797756486877e-13	-0.0009886242617891492	0.005481134630760292	-0.0009886242617891579	28.33384394289334	0.0014550188389640154	0.005481134630760271	0.0014550188389640046	3.574839743497036e-12	-0.00013365494204201233	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.0001322662327937376	28.333845697186867	0.00035525464391653955
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228784	-1.0630925232531512e-23	-1.912176878426583e-22	2.124199813036175e-23	1.000599999999987	6.842438027038645e-23	-9.555590436212575e-24	-2.37963318619255e-23	0.9998015873617155	-9.39164662228445e-12	-0.0014825963387261095	0.008224179771041139	-0.001483783388832927	42.50221249603394	0.002183777960924363	0.008224196906584836	0.0021820354505074067	-6.626464233230878e-12	1599.565890624997	-9.3878776868579e-12	-0.0014831879358728126	0.0082208964771358	-0.0014831879358727896	42.51917206013405	0.002182906143300074	0.008220896477135609	0.002182906143300048	-6.623818786482929e-12	-0.0002005158790868293	0.0	0.0	0.0	0.0005998200719542348	0.0	0.0	0.0	-0.0001984323246760398	42.519174690063764	0.0005328641403780485
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108237	5.133813753749111e-23	-3.5184954535555586e-22	2.4616895029578105e-23	1.0008000000000166	4.022083010477842e-22	-1.8647959729395456e-23	1.3711345833678987e-23	0.9997354145986063	-7.316298902652895e-12	-0.001976867365473946	0.010965957183069332	-0.001978977965622294	56.686614836141494	0.002912595360141689	0.010965987654511431	0.002909497132223457	-4.5524104382022035e-12	1599.565890624997	-7.312385292620751e-12	-0.00197791937737568	0.010960121765226148	-0.0019779193773756224	56.71678124716035	0.00291104545340297	0.010960121765226219	0.0029110454534030253	-4.549987921256779e-12	-0.0002673991371391983	0.0	0.0	0.0	0.0007996801705808841	0.0	0.0	0.0	-0.0002646204102861928	56.71678475170091	0.0007104617742037438
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670844	-4.324169370182208e-23	-7.244778676984438e-23	3.798413372843503e-23	1.0009999999999997	-3.3730440146442343e-21	-3.1393158607612505e-23	-1.4587495538495154e-22	0.9996692167745249	9.651332331505474e-11	-0.002474762100184484	0.013691857910028686	-0.0024780651576275354	70.87750844215846	0.0036596203111670857	0.01369190540389164	0.003654755015141378	8.348293902352144e-11	1599.565890624997	9.644881005712916e-11	-0.002476408722524396	0.013682753201952724	-0.002476408722524308	70.9246679201501	0.003657186764542443	0.01368275320195245	0.003657186764542418	8.342742517038767e-11	-0.00033430670717628377	0.0	0.0	0.0	0.0009995003330834232	0.0	0.0	0.0	-0.0003308379463137018	70.92467229213585	0.0008880506980744817
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677226219	-1.9003316520548236e-22	1.1628438876821458e-21	6.170105625155544e-23	1.0011999999999905	-4.608918024247461e-22	-1.1037898093907601e-23	-1.8370027043577637e-23	0.9996027007130927	2.204744174238299e-09	-0.0030716227277875234	0.015708438093171177	-0.0030765430834456204	84.99638793074796	0.005132987625367802	0.01570849989910772	0.005124798534804501	2.2840082251583684e-09	1599.565890624997	2.2029768934044543e-09	-0.003074076985254839	0.015695908265517616	-0.0030740769852517984	85.06430089997	0.005128893300399766	0.01569590826551829	0.005128893300401444	2.2821863871595294e-09	-0.00040131279258588616	0.0	0.0	0.0	0.0011992805754724287	0.0	0.0	0.0	-0.0003973782311793985	85.0643058724998	0.0010657531458503427
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307509513148	1.011145580784821e-22	3.1668444315470155e-22	1.1948458512205975e-22	1.0014000000000145	-3.006014050687105e-21	-4.2536935819926895e-23	4.648093298057973e-23	0.9995318020285904	8.41516804035706e-06	-0.004651891872642035	0.0058882991768931916	-0.004660591496440549	97.97102552537652	0.016735327838390247	0.005888305358427476	0.016704106645916834	9.337079320425135e-06	1599.565890624997	8.407339575104875e-06	-0.004656255842820514	0.005882827594229109	-0.004656255839872606	98.0629327849287	0.016719776874193727	0.0058828275838100665	0.01671977687756809	9.328403028713721e-06	-0.0004693591804741903	0.0	0.0	0.0	0.0013990209137220433	0.0	0.0	0.0	-0.00046830761030275733	98.06292905415656	0.0012452363540776945
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.99945998048011	-3.790472438962994e-23	-6.949031829494678e-21	1.4145450219146816e-22	1.001599999999987	-1.423862384334479e-21	-1.6043333416588482e-22	-1.3891340334970526e-22	0.9994454620481615	0.00017764485180789028	-0.005200142053536056	-0.05138050713010153	-0.005211276104555857	107.05556514248156	0.061714214796613424	-0.0513797607693252	0.06158146048354879	0.0005456205457497488	1599.565890624997	0.0001774594821070916	-0.005205838584107617	-0.05132614676380712	-0.0052058382172067465	107.17283988101974	0.061648921409893406	-0.051326146770473056	0.06164892030842941	0.0005450432814450269	-0.0005401653829459159	0.0	0.0	0.0	0.0015987213636844372	0.0	0.0	0.0	-0.0005546917648745501	107.17256907395733	0.0014307912055870125
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993879423594191	6.284984468626908e-22	6.644391136058749e-21	7.538593230563273e-23	1.0018000000000071	-6.970869397666078e-21	-1.3944279894173919e-22	-2.8206197143568203e-22	0.9993428795875967	-0.0003217464371048091	-0.0005550252732691739	-0.14856013280178543	-0.0005563619028256237	112.38574411709288	0.14013996670318435	-0.14855343555469044	0.13979624048418507	0.0001788801453035318	1599.565890624997	-0.00032137951914557955	-0.0005557303705465557	-0.14838402460872738	-0.000555727430612614	112.5285175834735	0.13997384005907154	-0.14838402599136866	0.13997383590785473	0.000178668094744817	-0.0006122450243222857	0.0	0.0	0.0	0.0017983819413862684	0.0	0.0	0.0	-0.0006573364106514652	112.52914360840536	0.001622324000072957
20	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993164150678658	5.802175688691958e-22	-4.771760108357101e-21	7.8265844326297355e-22	1.0020000000000076	-1.3041131014164022e-20	-2.074966022977019e-22	-5.200782296141404e-22	0.9992308788975294	-0.0002000083291816963	0.007992321612893639	-0.2486211616823134	0.008013787416868638	115.79643380346845	0.23507856945092823	-0.24859988345273604	0.23442890317838055	0.00023434610007291013	1599.565890624997	-0.00019976275270837087	0.00800394478363068	-0.24829464233482407	0.00800394783838775	115.9648356503945	0.23476983587174913	-0.24829464475144186	0.23476983129655637	0.00023403832846101387	-0.0006838186828455962	0.0	0.0	0.0	0.001998002662680814	0.0	0.0	0.0	-0.0007694170278502362	115.96632970956148	0.0018170858568064777
