6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	-2.519261273591501e-23	-6.07084395164918e-23	-4.618976540496106e-24	1.0002964000000167	3.357162146883216e-22	-2.1374347028370236e-24	9.886462681233787e-24	0.9999072045656949	-834078.1616581322	-779.1601154637881	4406.589430582285	-779.476411194873	20707817.656411003	856.1134459630761	4406.6630488055225	855.7803492435531	-0.00027607213387818776	1599.565890624997	-833908.3970373992	-779.3177599697837	4405.766135884116	-779.317759975599	20712007.390484788	855.9534960353153	4405.766135883487	855.9534960303555	-0.00027602055459499957	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.279974006775682e-05	21141301.58004379	0.0002651814385888376
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999977	4.135241318275096e-23	-2.5490397756434103e-22	4.367513634279986e-25	1.0005927999999777	6.244485705836313e-22	-8.457094582742155e-24	-1.233491729439075e-23	0.9998143509175602	-1664680.4664043798	-1558.189851467143	8812.081263583415	-1559.4550670822518	41435234.477575235	1713.9498958633271	8812.375218954117	1712.6164635889916	-0.0005468655341064732	1599.565890624997	-1664003.149123594	-1558.8205634006147	8808.789681585919	-1558.8205634121118	41452006.30857298	1713.3096831311602	8808.789681584618	1713.3096831219186	-0.0005466612630956561	-0.00021902398400402935	0.0	0.0	0.0	0.0005926243634661012	0.0	0.0	0.0	-0.00018566631736360203	42308560.02540569	0.0005303294903990349
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999895	-1.233491729439075e-23	1.0926989717376491e-21	-8.867376166568457e-25	1.0008891999999887	-3.286223137550668e-22	-1.4055452968501047e-23	1.0018811579242272e-22	0.9997214390393795	-2491807.9990612217	-2337.0891699929284	13216.475518297468	-2339.9359786690507	62182256.969921224	2573.5103913728467	13217.135753274288	2570.5078162830814	-0.0006039738342187774	1599.565890624997	-2490287.9488557572	-2338.508573263309	13209.073049438231	-2338.508573280478	62220022.62304048	2572.0689836008064	13209.073049436358	2572.068983588042	-0.0006036355520880075	-0.0003285539679548078	0.0	0.0	0.0	0.0008888048958690949	0.0	0.0	0.0	-0.00027859976593149887	63501803.7659006	0.0007954442043459697
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999974	-3.267032547339438e-23	-1.1957193539474535e-21	1.1593763465543236e-23	1.001185600000009	8.445183181921392e-22	6.696854239229312e-24	3.160491684442608e-23	0.9996284319535003	-3313385.2091341647	-3110.9717764413426	17523.90245041837	-3116.0249653232045	82938882.27951887	3554.371823432062	17525.06710641997	3548.8436194848996	-1.307926752766718	1599.565890624997	-3310691.658798245	-3113.491853247928	17510.820454289613	-3113.4918550561147	83006067.83072816	3551.718403135649	17510.820453099557	3551.718399180231	-1.3069503553709436	-0.0004380959500210324	0.0	0.0	0.0	0.0011848977313468911	0.0	0.0	0.0	-0.0003716370950112259	84709955.51495655	0.00106053717362006
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999952	1.0291450309139749e-22	-1.3441618779537695e-21	2.943439491708694e-23	1.0014819999999698	-1.637102928805749e-21	-5.616887231480079e-23	-1.793592265810981e-22	0.99953290462137	-4008546.2355313017	-3530.0686367673084	14907.897161339033	-3537.2365014230427	103061598.91130468	12073.560782744755	14909.09670913383	12050.063299383983	168.03402766097025	1599.565890624997	-4004484.8374096975	-3533.652961053543	14893.99081183557	-3533.652627160795	103166244.52303824	12062.298352223595	14893.991038945327	12062.298567017247	167.87728255521597	-0.0005476499328577996	0.0	0.0	0.0	0.0014809029217493542	0.0	0.0	0.0	-0.0004672045016582557	105225577.03427877	0.0013263668576203483
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000008	1.0079692072326174e-22	1.1246797594524193e-20	1.0926725019580475e-22	1.0017783999999752	-3.873058151320288e-22	-6.20451633863775e-23	1.130788984584491e-22	0.9994147994950862	-3942136.200870896	923.4024441939973	-59180.908532566784	925.6442894644584	117579573.01701501	77819.6107094955	-59185.16248951054	77635.98954943751	6104.797940744146	1599.565890624997	-3937442.144669108	924.5505659056031	-59114.68639336648	924.5420885012725	117725766.7611089	77732.53227118321	-59114.68839503954	77732.51903748918	6097.966805686474	-0.0006572159190769767	0.0	0.0	0.0	0.0017768205190507886	0.0	0.0	0.0	-0.0005853718015609441	119740272.16726589	0.001599280916114239
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992335000000044	1.5564230405797768e-21	-8.244912829454952e-21	1.49501315190384e-22	1.0020747999999982	4.662916374634923e-22	8.142104205481962e-23	9.969577789183115e-22	0.9992647004796877	-3520882.57097529	15678.85043582604	-210769.60494305546	15723.432244690086	124866730.32454589	210327.6067835095	-210776.18294391086	209737.79167196123	5093.886146882266	1599.565890624997	-3516178.0131192803	15702.423477875702	-210494.54968038935	15702.422797428202	125054466.5808864	210053.1283303881	-210494.54652822835	210053.13097586765	5087.2386030274465	-0.0007667939113188424	0.0	0.0	0.0	0.0020726505750494925	0.0	0.0	0.0	-0.0007355699855946681	126847722.27992567	0.0018826413266666813
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991239999999886	8.724439356719293e-23	4.88780362213094e-20	2.642742795433417e-22	1.0023712000000056	-4.828934832296766e-21	-1.5090421350927393e-22	-9.22418879559933e-22	0.9990988526605796	-3307193.257383513	37437.41560272961	-353517.2128218625	37559.09372700097	128965184.02195026	367343.1902005979	-353508.30955918884	366143.9767995046	2057.1815817687157	1599.565890624997	-3302345.6917673186	37504.036194995206	-352990.15516284923	37504.04095047515	129194680.01687564	366795.51943702705	-352990.1497199862	366795.53696187556	2054.114536461367	-0.0008763839122325449	0.0	0.0	0.0	0.0023683931414920554	0.0	0.0	0.0	-0.0009015536167793338	130879102.13746746	0.0021716232251645946
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999938	-9.258070113489502e-22	-8.695936698044186e-20	-5.421010862427522e-22	1.0026676000000014	6.999880276109537e-21	-1.5337649092407244e-21	3.759979252861839e-21	0.9989263765651255	-3259443.702113434	66376.14062577611	-469783.97806476156	66618.86885215857	131782691.88128544	517399.82187330705	-469742.53769361606	515469.2719412047	761.3034899221552	1599.565890624997	-3254265.79890362	66513.02878757528	-468996.31232149934	66513.03911972904	132054468.61127464	516532.3207785733	-468996.3117679672	516532.3292451509	760.0270464774302	-0.0009859859244097614	0.0	0.0	0.0	0.0026640482701157197	0.0	0.0	0.0	-0.0010742001813570966	133716449.76341373	0.002463287453847577
