6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999915	4.7460314825842514e-23	-1.7243076177035393e-22	-1.7205356741102976e-24	1.0002964000000167	-5.560638949826473e-22	5.618210720460164e-24	2.9487334476290333e-23	0.9999072045656955	-834078.1616977715	-779.1601154688742	4406.589430571845	-779.476411199952	20707817.656288996	856.1134459474769	4406.663048795119	855.7803492279734	-0.0002766405113170549	1599.565890624997	-833908.39707703	-779.3177599748705	4405.766135873678	-779.3177599806767	20712007.390362743	855.9534960197192	4405.766135873083	855.9534960147723	-0.0002765888258424143	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.27997400669796e-05	21141301.57994306	0.0002651814385886343
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999979	1.0961797477552723e-23	3.602404654892938e-22	8.655617929754882e-24	1.0005927999999777	9.160131928963225e-22	8.285041015331125e-24	2.260519177984914e-23	0.9998143509175592	-1664680.4663617301	-1558.1898514695392	8812.081263586937	-1559.4550670846695	41435234.477678016	1713.9498958602549	8812.375218957712	1712.6164635859154	-0.0005384253684551368	1599.565890624997	-1664003.1490809633	-1558.8205634030132	8808.789681589438	-1558.8205634145302	41452006.30867584	1713.309683128089	8808.789681588221	1713.3096831188427	-0.0005382242501044552	-0.00021902398400380728	0.0	0.0	0.0	0.0005926243634661012	0.0	0.0	0.0	-0.00018566631736437932	42308560.02548196	0.0005303294903991991
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996715000000094	-1.7529611541223763e-23	-3.8198538943208773e-22	-2.4180143666150104e-23	1.0008892000000023	1.972607385257257e-21	1.0190865146653301e-23	-1.7740046289057253e-22	0.9997214375319885	-2491714.1799257	-2337.277784204029	13213.398525861088	-2340.12482275831	62181841.05883399	2578.4637355808964	13214.058587129752	2575.455377225212	-0.21261960455685402	1599.565890624997	-2490194.1907063993	-2338.6973055532712	13205.997780406466	-2338.697305697538	62219606.55316879	2577.0195534703166	13205.997780333586	2577.0195532579883	-0.21250051758850835	-0.00032855396793492826	0.0	0.0	0.0	0.0008888048958828496	0.0	0.0	0.0	-0.000278601273742285	63501338.42482817	0.0007954446750580098
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999912	2.393066599340411e-22	5.712178438046188e-23	-2.3240466490289866e-23	1.0011856000000052	-1.736814588565341e-21	1.1276126110322873e-23	5.43689273018854e-23	0.9996281393101535	-3298452.8108891677	-3070.4615362346663	16738.016814972867	-3075.4489232853475	82861167.70693822	4449.837985123266	16739.124336559584	4442.915734949409	-9.18782073383166	1599.565890624997	-3295772.3643925674	-3072.949696889453	16725.521500542014	-3072.949698113873	82928314.58204643	4446.516078746597	16725.521496150297	4446.5160692945165	-9.180961814386627	-0.00043809595002725234	0.0	0.0	0.0	0.0011848977313431207	0.0	0.0	0.0	-0.00037192984717796814	84624358.07909037	0.0010606285926728393
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999941	4.838675711190191e-23	-1.4620847460793291e-21	1.3234889800848443e-23	1.0014820000000242	-1.768604793866979e-21	-2.5808035111654463e-23	-5.219840537454626e-23	0.9995255452906913	-3712187.135846714	-2370.6033454365147	-7354.057070180191	-2375.4193174198576	101180155.52898999	31941.624027462145	-7354.5943633055285	31879.221276551023	2127.427376562758	1599.565890624997	-3708453.308748475	-2373.027856002194	-7347.197075991515	-2373.030050744313	101283636.5084585	31911.828316997267	-7347.196895795044	31911.825427287335	2125.442874769968	-0.0005476499328589104	0.0	0.0	0.0	0.0014809029218034529	0.0	0.0	0.0	-0.00047456729855851424	103186865.12935646	0.001328677833898345
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000055	5.209252625613947e-23	7.450501804048825e-21	6.395098751769967e-23	1.0017784000000047	1.3903198796232087e-20	1.412427439546546e-22	-5.370188885592264e-22	0.9993899363429298	-3349218.02028821	6995.115019851518	-127206.49727345271	7012.156717124595	111637522.35292114	134923.08619244242	-127212.47309862064	134601.38862414417	6838.283865979653	1599.565890624997	-3345313.1987543674	7003.986709585118	-127064.15599180023	7003.981310094703	111779108.79690845	134772.11021696334	-127064.15728241525	134772.09943507385	6830.631976251924	-0.0006572159190721996	0.0	0.0	0.0	0.001776820519080268	0.0	0.0	0.0	-0.0006102498216214553	113485941.2472134	0.001607264343052888
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992335000000044	-1.3332298589782688e-21	-1.2538416959968594e-20	3.2780175058741424e-22	1.0020747999999882	-4.634286661017728e-20	3.025363459575946e-22	-1.3721933745519666e-21	0.999229645598351	-3013474.7175570684	26149.345016396317	-274344.62834121333	26223.70262186422	116822954.0805864	284178.2123091685	-274343.56472529	283371.3693841178	3257.530769989	1599.565890624997	-3009553.728706653	26189.57912201229	-273986.60739303514	26189.581597055923	117002701.10942787	283807.3584906057	-273986.60202963377	283807.3724120022	3253.279677988246	-0.0007667939113188424	0.0	0.0	0.0	0.002072650575039964	0.0	0.0	0.0	-0.0007706512770765774	118536549.04061379	0.0018942500886532832
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000059	-9.486769009248164e-23	3.545521098528891e-20	-2.668153783851046e-22	1.0023711999999867	2.977574919483042e-20	1.4643082075658717e-22	2.2670836833261348e-21	0.999059274900928	-2886205.4791604825	54018.66630858531	-396662.5545655213	54194.2395480209	120033944.07611045	436016.1046234684	-396636.85602288204	434575.47979059134	1237.2683384086185	1599.565890624997	-2882089.1518910467	54116.937310456575	-396071.17165729316	54116.94732897809	120252310.36963451	435366.04963587585	-396071.1696508275	435366.06146737223	1235.4236990802904	-0.0008763839122152103	0.0	0.0	0.0	0.0023683931414730046	0.0	0.0	0.0	-0.0009411678586266455	121722658.11979263	0.0021850994943650513
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990145000000001	3.0306838852758865e-21	-2.517826611537089e-20	-1.3442412872925746e-21	1.002667600000011	-1.3112917056443823e-20	-7.335305323222241e-22	-2.783350264677631e-21	0.9988844709324772	-2861094.389080712	85833.99477656242	-496045.6747788233	86147.87501678776	122370409.89890312	567166.9409324396	-495981.1155922904	565026.9848081812	485.51888878279357	1599.565890624997	-2856669.1367839137	86014.61943171335	-495213.9772255566	86014.63017060676	122627919.9116458	566215.9975394192	-495213.98201594985	566215.9986079888	484.7048410198624	-0.0009859859244034268	0.0	0.0	0.0	0.002664048270125242	0.0	0.0	0.0	-0.001116151733184071	124087615.61468111	0.0024778846186044256
