6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	-2.4282714062106682e-23	1.0147851754800544e-22	-2.845501307182415e-25	1.0002964000000167	-6.0929462176165975e-22	-2.8057966377798698e-24	3.8989985353299515e-23	0.9999072045656953	-834078.1616968985	-779.1601154541684	4406.589430561819	-779.476411185228	20707817.65630163	856.1134459475521	4406.663048784987	855.7803492280555	-0.00028617006905005835	1599.565890624997	-833908.3970761574	-779.3177599601618	4405.766135863654	-779.3177599659559	20712007.390375383	855.9534960197944	4405.766135862955	855.9534960148546	-0.0002861166031430718	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608221445525	0.0	0.0	0.0	-9.27997400676458e-05	21141301.57995971	0.0002651814385885071
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999977	-2.696277924677849e-23	-7.598017885769082e-22	1.2255507955585659e-23	1.0005927999999777	-1.4850869845532038e-22	7.133605602657311e-24	-2.991085094991748e-23	0.9998143509175592	-1664680.4663760327	-1558.1898514486259	8812.08126359453	-1559.4550670637645	41435234.47767487	1713.949895881741	8812.375218965512	1712.6164636073834	-0.0005464302532946022	1599.565890624997	-1664003.14909526	-1558.820563382092	8808.789681597029	-1558.8205633936338	41452006.3086727	1713.3096831495675	8808.789681596018	1713.3096831403197	-0.0005462261448744875	-0.00021902398400402935	0.0	0.0	0.0	0.0005926243634661012	0.0	0.0	0.0	-0.00018566631736437932	42308560.02549015	0.0005303294903992776
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999997	-9.419932815753879e-24	1.9158826475708205e-21	4.314574075076592e-23	1.0008892000000005	1.1515942313514247e-21	3.494010907423989e-24	-1.0701731892966051e-22	0.9997214384127847	-2491766.461521744	-2337.1866320066006	13215.31299528503	-2340.033559468735	62182081.56862714	2575.953055066145	13215.973163858283	2572.9476283306344	-0.14539655968250373	1599.565890624997	-2490246.4382157484	-2338.606095935117	13207.911177547689	-2338.60609601976	62219847.15421539	2574.510279172729	13207.911177500138	2574.5102790399797	-0.1453151239393783	-0.0003285539679445904	0.0	0.0	0.0	0.0008888048958808529	0.0	0.0	0.0	-0.00027860039270042437	63501606.50170196	0.00079544440001543
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999561999999993	1.290931151174757e-22	1.851322855122282e-21	3.90958644717063e-23	1.0011856000000086	-1.5421293595948605e-21	-1.011145580784821e-23	1.2599615090407717e-23	0.9996282569594972	-3304338.9353424697	-3086.0855429567696	17055.56541059073	-3091.098311330146	82892291.57479742	4094.7845621507477	17056.69595149924	4088.415118298732	-6.1785409550523145	1599.565890624997	-3301653.3169784634	-3088.5860010819283	17042.833038831366	-3088.5860053735546	82959453.90749888	4091.7277113185005	17042.833034657793	4091.727700098321	-6.173928532158299	-0.0004380959500254752	0.0	0.0	0.0	0.001184897731347113	0.0	0.0	0.0	-0.0003718121540755195	84658589.08253337	0.0010605918367437251
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999903	3.356368053495165e-22	-1.0683732442836897e-21	8.597384414631149e-23	1.0014820000000098	8.776426003857027e-21	3.3854848110570314e-23	2.1493461036577873e-23	0.9995277845438143	-3795899.9644889394	-2745.995026512285	-532.9271039422808	-2751.572100905027	101746018.1805498	26138.804278358668	-532.9669042078699	26087.79747567703	1452.1741045723488	1599.565890624997	-3792073.4411204224	-2748.7973069436694	-532.4299801368667	-2748.7983305099237	101849849.7144622	26114.421540540094	-532.4296375958211	26114.42000181352	1450.8194909457407	-0.0005476499328626873	0.0	0.0	0.0	0.001480902921789263	0.0	0.0	0.0	-0.0004723269850160357	103797175.42064697	0.0013279731673517038
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999343000000001	-4.836558128822055e-22	1.239156262273838e-21	-3.4728350837426315e-23	1.0017784000000056	4.7942064814593395e-22	1.6808310047077523e-23	-5.38712954453735e-22	0.9993958892304726	-3476709.6306447433	5522.756974568708	-112145.50862202805	5536.20939807244	113044508.61981314	121525.45081405203	-112151.44575877294	121236.41651540752	6957.546367938609	1599.565890624997	-3472635.4830236407	5529.728379827581	-112020.02025648912	5529.721846120942	113187205.2992991	121389.46649884032	-112020.02220188057	121389.45388343846	6949.761026085852	-0.0006572159190767545	0.0	0.0	0.0	0.0017768205190807113	0.0	0.0	0.0	-0.0006042933179616592	114959906.26153246	0.0016053408976110346
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999988	-9.978048118655657e-22	-4.314574075076593e-22	-2.371692252312041e-22	1.0020748000000084	2.414340361206295e-20	-8.72046888977904e-23	5.082197683525802e-22	0.9992374509657558	-3118165.052282593	23520.114390697257	-261968.27189068712	23586.994927196924	118604688.06714304	268364.03687497997	-261969.30232388285	267604.1834588528	3603.2665180521903	1599.565890624997	-3114083.5200818325	23556.11908342597	-261626.40214217763	23556.120654122748	118786248.6360717	268013.82062499935	-261626.3967607976	268013.8330990844	3598.5642393775684	-0.0007667939113245089	0.0	0.0	0.0	0.0020726505750594637	0.0	0.0	0.0	-0.0007628399226459918	120373530.9100327	0.0018916463721590216
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000137	-1.2908782116155537e-21	-9.283946970028122e-20	3.8370592510619807e-22	1.002371200000015	2.2702600568783384e-20	-1.861354901591325e-22	-2.3052001659525782e-21	0.9990678958300272	-2975682.3637604006	50078.41135074281	-388632.6690577477	50241.17759944718	121976129.78056288	422457.8599170629	-388610.84319553076	421065.66786089295	1384.7253803351616	1599.565890624997	-2971412.783447011	50169.081311643946	-388053.25787960633	50169.09035471552	122196974.86369891	421828.0188722452	-388053.25505175436	421828.0324529796	1382.6608977841515	-0.0008763839122074319	0.0	0.0	0.0	0.0023683931415009163	0.0	0.0	0.0	-0.0009325388491967347	123712795.98253964	0.002182143875103445
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999984	4.3037744049991e-21	1.203856164197015e-20	9.342773408214933e-22	1.0026675999999988	5.493940399186118e-20	5.2028998785095395e-22	6.545870616381233e-21	0.9988935176274083	-2948756.5034104744	81622.28893674338	-491561.2345049474	81920.76832154892	124403061.43689978	558442.2355068586	-491501.70908871206	556340.2378659078	521.333867299846	1599.565890624997	-2944168.9994507926	81793.30990870426	-490737.05581173056	81793.32075216819	124663719.80312541	557505.9204364469	-490737.0593002243	557505.9225025456	520.4597701674438	-0.000985985924405205	0.0	0.0	0.0	0.002664048270112841	0.0	0.0	0.0	-0.0011070949761438408	126167958.90069401	0.0024747138289036535
