6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	5.876952816066751e-23	-3.639594695233322e-25	4.102815838263017e-24	1.0002964000000167	-1.0177630256852453e-22	2.7594745234769002e-24	-1.1606998355344084e-23	0.9999072045656948	-834078.1616689534	-779.16011546703	4406.589430578325	-779.4764111981087	20707817.656394	856.1134459525921	4406.663048801601	855.7803492330934	-0.0002880093505700643	1599.565890624997	-833908.3970482184	-779.3177599730263	4405.766135880157	-779.3177599788343	20712007.39046778	855.9534960248335	4405.766135879568	855.9534960198939	-0.00028795554102527173	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.279974006808993e-05	21141301.58003813	0.00026518143858894155
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999977	8.367759076586428e-23	8.720468889779039e-22	1.6384793573450372e-23	1.0005927999999777	-4.608653326451445e-22	-6.154223757394526e-24	2.943439491708694e-23	0.9998143509175602	-1664680.466410303	-1558.1898514708644	8812.081263592327	-1559.4550670860326	41435234.47756415	1713.9498958496945	8812.375218963005	1712.6164635753823	-0.0005304892007570742	1599.565890624997	-1664003.1491295146	-1558.8205634043377	8808.789681594826	-1558.8205634158912	41452006.30856189	1713.3096831175328	8808.789681593502	1713.309683108304	-0.0005302910468078711	-0.00021902398400402935	0.0	0.0	0.0	0.0005926243634656573	0.0	0.0	0.0	-0.00018566631736360203	42308560.025390044	0.0005303294903987393
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999976	9.549303863557173e-23	2.6993881237810485e-22	-2.1877272840802476e-23	1.0008891999999985	-2.446601728584843e-22	-1.6173035336636797e-23	-2.4696304368383196e-23	0.9997214385480407	-2491773.653832736	-2337.159918900504	13215.923315746913	-2340.0068138105794	62182117.64550844	2575.501284758436	13216.583516604447	2572.4963854844596	-0.1281965564265811	1599.565890624997	-2490253.6258023884	-2338.579366288727	13208.521156172787	-2338.579366360557	62219883.24458974	2574.058761898877	13208.521156132914	2574.0587617883057	-0.12812475430236686	-0.00032855396794670053	0.0	0.0	0.0	0.0008888048958790782	0.0	0.0	0.0	-0.0002786002574069303	63501646.366611436	0.0007954443577789448
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999957	-9.732276215053903e-23	-6.143635845553848e-23	-5.000141366760542e-23	1.0011856000000077	1.4734667513080587e-21	-4.1584023754265806e-23	-6.140988867593677e-23	0.9996282791781809	-3305462.1840161146	-3089.0899408755927	17115.584684914982	-3094.1075894824594	82898181.29852217	4026.964223687991	17116.71958492036	4020.700363895323	-5.572254296067975	1599.565890624997	-3302775.5793153928	-3091.592764555934	17102.8075073872	-3091.5927690030003	82965346.55922428	4023.9580022978776	17102.807503420787	4023.9579913114612	-5.568094480106002	-0.0004380959500226984	0.0	0.0	0.0	0.0011848977313457822	0.0	0.0	0.0	-0.0003717899271298274	84665071.75395373	0.0010605848957044787
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999944	5.918642718939424e-23	2.442101866052555e-22	-9.825582188149884e-23	1.0014819999999862	-2.0628428639194417e-21	-1.8793543517204787e-24	2.2806362104822036e-22	0.9995282698021809	-3814617.8315079277	-2823.3693878401996	927.4271498749598	-2829.1033520954925	101869234.49343985	24858.266331228093	927.4978246723985	24809.770570946454	1314.289705153109	1599.565890624997	-3810770.5891842344	-2826.2492564871422	926.5620294662396	-2826.2500528568676	101973142.26256464	24835.07810180064	926.5623944291012	24835.07681699163	1313.063712527109	-0.0005476499328585772	0.0	0.0	0.0	0.0014809029217659829	0.0	0.0	0.0	-0.0004718414975123036	103930327.3927457	0.001327820634632186
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000009	2.0201735792015062e-22	-6.056814968460281e-21	1.0206747014414319e-22	1.001778399999997	5.29056778855036e-21	1.0746730518288936e-23	-7.136252580617481e-22	0.9993972553851637	-3509727.59035553	5316.767436763047	-109014.88192167372	5329.71762094826	113371265.23326182	118497.83019145204	-109020.80262144691	118216.15772329035	7028.779339666529	1599.565890624997	-3505609.9588661296	5323.471543260069	-108892.89665877953	5323.464767260717	113514219.20762047	118365.23371734236	-108892.89882312727	118365.22079976906	7020.914289680137	-0.0006572159190768657	0.0	0.0	0.0	0.0017768205190716237	0.0	0.0	0.0	-0.000602926338397517	115303986.13270783	0.0016049005401124238
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999842	-6.598386659111e-22	-9.829076199057308e-21	7.962109704190423e-23	1.002074799999981	-1.130196061521413e-20	1.182934450399834e-22	-2.0540548970916783e-22	0.9992392956850588	-3156656.157685771	23522.828749695625	-260293.2173236512	23589.716848085485	119040008.85874754	265285.8601756964	-260294.72153819617	264535.21138481464	3644.000798101521	1599.565890624997	-3152518.4224789673	23558.794105049736	-259953.53352873935	23558.795519614785	119222015.71963651	264939.6609598755	-259953.52801579388	264939.67391703674	3639.2453610121947	-0.000766793911339064	0.0	0.0	0.0	0.002072650575031987	0.0	0.0	0.0	-0.0007609937972846923	120829092.4615845	0.0018910325845519773
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000015	1.8041801776516596e-21	1.7540993546452492e-21	4.828087799349512e-23	1.0023712000000018	-2.2617897274057955e-20	-6.315689412964877e-23	1.2963839257727066e-21	0.9990701165468334	-3026540.955560518	50251.35186653528	-388507.1535115154	50414.67964162401	122505118.98233354	420974.96815827355	-388486.19799933233	419588.59651485464	1364.4538102451927	1599.565890624997	-3022191.6844283007	50342.223046467865	-387927.9294641022	50342.23155186582	122726649.03667462	420347.3379519508	-387927.9264176711	420347.35243753763	1362.4195505119153	-0.0008763839122196551	0.0	0.0	0.0	0.0023683931414882897	0.0	0.0	0.0	-0.0009303160629900863	124268634.58496413	0.002181384332170066
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990145000000067	-2.0413494028828637e-22	-2.2334141236727764e-20	1.4484263398048537e-22	1.0026675999999826	2.2285013325787015e-20	-8.078576734437889e-22	-3.1289397071573854e-21	0.9988961862836317	-3016511.2551063914	82147.05430267689	-492398.1581676907	82447.45217173864	125045803.27272694	559531.5156516021	-492339.84664861124	557426.9073607272	487.4492171859757	1599.565890624997	-3011810.2958531086	82318.95487696584	-491572.576242078	82318.96529387926	125307473.58552727	558593.3742339908	-491572.5796430781	558593.3765215856	486.6319329279267	-0.00098598592439687	0.0	0.0	0.0	0.0026640482700964535	0.0	0.0	0.0	-0.0011044233673976537	126846592.79503182	0.0024737805315154827
