6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999914	1.3224963633497806e-23	-3.058318335180058e-22	5.922613185879678e-24	1.0002964000000167	5.817594335309946e-22	-1.852884572118782e-25	-1.3843694731687472e-23	0.9999072045656949	-834078.1616771552	-779.1601154732308	4406.589430595233	-779.4764112043315	20707817.656391613	856.1134459463146	4406.663048818265	855.780349226817	-0.0002819171007440673	1599.565890624997	-833908.3970564182	-779.3177599792284	4405.766135897063	-779.3177599850557	20712007.390465394	855.9534960185573	4405.766135896228	855.9534960136162	-0.00028186442943034	-0.00010950599557132536	0.0	0.0	0.0	0.00029635608221445525	0.0	0.0	0.0	-9.279974006820095e-05	21141301.58003722	0.00026518143858875903
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999977	5.687363019669597e-23	1.0481238628883916e-21	6.0748144185894355e-24	1.0005927999999777	1.2434178967897111e-22	1.1090837653110995e-23	2.6205081805679918e-24	0.9998143509175604	-1664680.466403764	-1558.1898514647064	8812.081263591534	-1559.4550670798485	41435234.47756928	1713.9498958512415	8812.375218962232	1712.6164635768932	-0.0005317291715000465	1599.565890624997	-1664003.1491229779	-1558.820563398177	8808.789681594033	-1558.8205634097092	41452006.30856702	1713.3096831190792	8808.789681592727	1713.309683109815	-0.0005315305543838281	-0.00021902398400402935	0.0	0.0	0.0	0.0005926243634656573	0.0	0.0	0.0	-0.0001856663173638241	42308560.025392294	0.0005303294903988085
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996715000000085	-8.958696906194311e-23	-9.963754437670742e-22	5.7836468429707695e-24	1.0008891999999865	-4.1149919368797977e-22	1.9217059990831938e-23	-2.406102965794247e-23	0.999721438436198	-2491767.7211122504	-2337.1641816714236	13215.437593915707	-2340.0110817846835	62182087.82824946	2575.870450638343	13216.097769024645	2572.8651203434792	-0.14244735535146538	1599.565890624997	-2490247.6969795953	-2338.5836319101927	13208.035706391485	-2338.583631992772	62219853.41618169	2574.4277210111854	13208.035706345914	2574.427720882214	-0.14236757144004047	-0.00032855396793581677	0.0	0.0	0.0	0.0008888048958670984	0.0	0.0	0.0	-0.0002786003692806292	63501613.42477557	0.000795444392691946
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999952	-3.1657856403629474e-23	-5.728060305807206e-23	3.599890025830777e-24	1.001185600000014	1.1712348078158837e-21	3.160491684442608e-23	-5.585123495958043e-23	0.9996282606848694	-3304526.971647207	-3086.565618180144	17065.691391225686	-3091.5791663237	82893278.7953298	4083.39612782185	17066.82266698346	4077.044413849154	-6.078836476750632	1599.565890624997	-3301841.1881505526	-3089.0664537674033	17052.951460188804	-3089.066458037535	82960441.6187394	4080.347778717666	17052.951456049912	4080.347767486263	-6.074298485542253	-0.0004380959500232538	0.0	0.0	0.0	0.0011848977313528792	0.0	0.0	0.0	-0.0003718084273178973	84659675.56508985	0.0010605906729424977
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999986	-1.3674288142236612e-22	-1.1064367873509297e-21	6.818615225397118e-23	1.0014820000000133	-3.53551552183945e-21	-7.490947627280218e-24	9.285598684275267e-23	0.9995278630517517	-3798942.644325504	-2760.156419796476	-284.60858227325633	-2765.7622112579725	101765967.89568573	25923.145027140057	-284.629697169533	25872.561121886014	1429.2066543579908	1599.565890624997	-3795112.755643097	-2762.9729348732553	-284.34309436613285	-2762.973919256	101869811.78685999	25898.963460075767	-284.3427488899914	25898.9619656759	1427.873465174159	-0.000547649932854356	0.0	0.0	0.0	0.0014809029217930322	0.0	0.0	0.0	-0.0004722484399913489	103818740.38745365	0.0013279484855524095
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993429999999993	-2.0667603913004928e-22	8.191232116422712e-21	-2.541098841762901e-24	1.0017783999999974	1.077065919904887e-20	-7.4750657595192e-23	-2.0095856673608275e-22	0.9993960857961103	-3481063.2744843145	5399.210083153808	-111409.51303977965	5412.361443399919	113091103.29890543	120830.40022930021	-111415.43313592461	120543.04247569885	6976.773043805861	1599.565890624997	-3476983.3412204036	5406.024471239021	-111284.84823716285	5406.017958163356	113233836.52376515	120695.19366045616	-111284.85018010874	120695.18085515636	6968.96618772439	-0.000657215919078421	0.0	0.0	0.0	0.001776820519072732	0.0	0.0	0.0	-0.0006040966335245917	115008779.70695175	0.001605277513445188
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999931	-1.6652667743019544e-21	-1.1509271929054619e-20	-2.3886329112571267e-22	1.0020747999999886	4.813264722772562e-21	2.2472842881840656e-22	2.909558173818522e-22	0.9992376611465742	-3118330.396234532	23108.52618113515	-261017.82487891262	23174.236406869342	118649945.28136913	266856.7829008969	-261018.90662485152	266101.25296833937	3618.934476518746	1599.565890624997	-3114247.9925516304	23143.89594473934	-260677.19546794577	23143.897547276378	118831550.13506502	266508.5336239971	-260677.19025412988	266508.54585835297	3614.2117510894154	-0.0007667939113301754	0.0	0.0	0.0	0.002072650575039964	0.0	0.0	0.0	-0.0007626295814539856	120418881.80793159	0.0018915764089263076
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991239999999854	-4.186883858278006e-21	-2.947388782825267e-20	-1.0672615135404184e-22	1.0023711999999771	3.890803491565266e-20	1.189551895300258e-21	-2.0633722595114756e-21	0.9990680890234895	-2967030.804160492	49249.37019719762	-387711.99544948805	49409.44156459776	122008740.78156224	419995.78245615255	-387690.29655429674	418611.7850652762	1389.1436759582257	1599.565890624997	-2962773.0643896954	49338.5295886999	-387133.9569006506	49338.5381738721	122229621.27287585	419369.612114615	-387133.95437137206	419369.6256606515	1387.0726061847802	-0.0008763839122357674	0.0	0.0	0.0	0.0023683931414634793	0.0	0.0	0.0	-0.0009323454755084318	123740923.1987094	0.0021820777683639425
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990145000000042	-8.707498697774208e-22	-5.347954270726839e-20	1.1993986533120892e-21	1.0026676000000292	-3.895250414538351e-20	2.9093464155817083e-21	2.6495190590114516e-21	0.9988937004976395	-2926830.962821291	80232.75244763316	-490652.3005753117	80526.14922967069	124419862.76346895	555086.268192767	-490592.97525320674	552997.0039903198	528.211951061807	1599.565890624997	-2922277.0343536255	80400.84724220369	-489829.64585086424	80400.85660839303	124680533.50744434	554155.5799223374	-489829.64954549697	554155.582188725	527.3263217545742	-0.0009859859243993151	0.0	0.0	0.0	0.0026640482701436228	0.0	0.0	0.0	-0.0011069119033625945	126173382.49320684	0.002474649844765517
