6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	-5.445826280804113e-23	-5.288794313317046e-22	6.061579528788587e-24	1.0002964000000167	3.327052772586286e-22	-5.525566491854225e-24	1.766857788413267e-23	0.9999072045656948	-834078.1616743696	-779.1601154639228	4406.589430577409	-779.4764111950046	20707817.65639455	856.113445949558	4406.663048800402	855.7803492300459	-0.00029161869395829854	1599.565890624997	-833908.3970536336	-779.3177599699186	4405.766135879242	-779.3177599757308	20712007.39046833	855.9534960218	4405.766135878369	855.9534960168457	-0.0002915642100703837	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.27997400676458e-05	21141301.58004324	0.0002651814385888029
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999979	1.1838608926858932e-23	1.080761101137284e-22	2.1202293460959207e-23	1.0005927999999777	2.10368573384486e-22	-5.174841912131741e-24	6.230986118239447e-23	0.9998143509175601	-1664680.466389264	-1558.1898514599147	8812.081263582008	-1559.455067075046	41435234.47757809	1713.949895855011	8812.375218952691	1712.6164635806797	-0.000528814174951549	1599.565890624997	-1664003.1491084846	-1558.8205633933835	8808.78968158451	-1558.8205634049093	41452006.30857584	1713.309683122847	8808.789681583195	1713.3096831136033	-0.0005286166466757391	-0.00021902398400380728	0.0	0.0	0.0	0.0005926243634661012	0.0	0.0	0.0	-0.00018566631736371305	42308560.02539207	0.000530329490398991
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999898	-1.4950462391283423e-22	-2.5675686213645977e-22	1.0892314306098268e-23	1.000889199999972	1.1138747954190067e-21	1.1805521702356811e-23	-2.073642533996934e-22	0.9997214390393796	-2491807.999083618	-2337.089169992311	13216.475518299243	-2339.935978668414	62182256.96991095	2573.510391368029	13217.13575327627	2570.5078162782706	-0.0006158229655957257	1599.565890624997	-2490287.9488781816	-2338.50857326269	13209.073049440221	-2338.5085732798802	62220022.62303018	2572.068983596033	13209.073049438559	2572.0689835832272	-0.0006154780468373793	-0.00032855396795447464	0.0	0.0	0.0	0.0008888048958522346	0.0	0.0	0.0	-0.0002785997659311657	63501803.76590773	0.0007954442043345149
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999963	-4.501847765758598e-23	1.7381910171046294e-21	2.705211475293422e-23	1.001185600000009	-2.1334377661171674e-21	-2.3558103845510227e-24	1.164670302474663e-22	0.9996284319534975	-3313385.208796477	-3110.9717760159374	17523.902448942656	-3116.0249648971994	82938882.2784598	3554.3718391482726	17525.067104944337	3548.843635176714	-1.307910098421249	1599.565890624997	-3310691.658460841	-3113.4918528221906	17510.820452815024	-3113.4918546304652	83006067.82966855	3551.7184188401316	17510.82045162517	3551.7184148847705	-1.3069337134583283	-0.0004380959500221431	0.0	0.0	0.0	0.0011848977313475564	0.0	0.0	0.0	-0.00037163709501355824	84709955.51371124	0.0010605371736216245
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994525000000027	-9.709115157902418e-23	-4.581389453461697e-22	4.801618019747815e-23	1.0014820000000233	-3.403007805153355e-21	-2.4616895029578103e-24	1.842296660278103e-23	0.9995329045985377	-4008544.5366500337	-3530.07164640122	14907.890793195236	-3537.239516867096	103061592.25929093	12073.652903457654	14909.090339608665	12050.155240056552	168.05584947775233	1599.565890624997	-4004483.14034097	-3533.655973824037	14893.98444963118	-3533.655639630176	103166237.86662607	12062.390387003932	14893.984676213095	12062.390601319028	167.8990840162121	-0.0005476499328502459	0.0	0.0	0.0	0.0014809029218030094	0.0	0.0	0.0	-0.000467204524500995	105225569.47472678	0.001326366864801193
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993429999999981	-5.69629657028517e-23	-3.630171453695118e-21	-8.682087709356578e-23	1.0017783999999927	3.875175733688424e-23	1.607245017415035e-22	2.168404344971009e-22	0.9994147977675747	-3942049.317454815	923.0320279418221	-59183.92589636727	925.2729649169568	117579110.49660525	77823.83398521232	-59188.17996951318	77640.20271709659	6107.514023970687	1599.565890624997	-3937355.3715142584	924.1796906901252	-59117.70038080213	924.1712077019093	117725303.86911093	77736.75082114594	-59117.70238419565	77736.73757800256	6100.679849675339	-0.0006572159190796431	0.0	0.0	0.0	0.0017768205190685205	0.0	0.0	0.0	-0.0005853735300837232	119739762.67554732	0.001599281466224401
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999986	-1.2095630486791408e-21	-3.543032939246332e-21	2.1811098391798234e-22	1.0020747999999982	-5.546371738621159e-21	-1.6707724884591075e-22	-1.2519146960418559e-21	0.9992646878780327	-3520434.3531666514	15675.202494080246	-210787.6872815417	15719.773922096803	124863557.26354487	210342.3657237026	-210794.26319163002	209752.5065324104	5101.367418461184	1599.565890624997	-3515730.438550117	15698.770249451141	-210512.60842134547	15698.769561014411	125051290.32622388	210067.86801010053	-210512.6052721131	210067.8706091587	5094.710111514037	-0.0007667939113247312	0.0	0.0	0.0	0.0020726505750494925	0.0	0.0	0.0	-0.0007355825965221652	126844310.5133863	0.0018826454604145668
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991239999999952	-3.508410467527312e-21	1.7371163440528005e-20	1.1384122811097797e-21	1.0023711999999803	3.7540500222310594e-21	-9.020636190462282e-22	-1.1329065669526266e-21	0.9990988134130967	-3306094.5486776526	37423.64828387948	-353559.51906513656	37545.281665841685	128955619.55782425	367352.5400131072	-353550.60085046926	366153.2816956554	2064.672622657909	1599.565890624997	-3301248.723192041	37490.24584966432	-353032.3983318899	37490.25060726728	129185103.60736646	366804.85530993826	-353032.3928903431	366804.87282541615	2061.594408982182	-0.0008763839122258777	0.0	0.0	0.0	0.0023683931414665805	0.0	0.0	0.0	-0.0009015928996627008	130868955.93651879	0.00217163647103065
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999967	-1.8719428134320038e-22	-2.4477346351517956e-20	-3.1763735522036263e-22	1.0026676000000154	-2.641980465780888e-20	-2.6969529040576924e-21	1.923611823214516e-21	0.9989262918556129	-3257423.294881986	66344.68325287418	-469854.1741159909	66587.29650794051	131762412.77757075	517361.78745373565	-469812.68774121685	515431.3356642485	767.816649535885	1599.565890624997	-3252248.8770531616	66481.51217749565	-469066.3906781475	66481.52256853101	132034158.88233648	516494.3501296001	-469066.3901533425	516494.3585308486	766.5292857683015	-0.000985985924406872	0.0	0.0	0.0	0.002664048270130114	0.0	0.0	0.0	-0.0010742849819171836	133695097.49213189	0.0024633167274230082
40	30.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9989049999999882	4.526544070126981e-21	3.597984201699454e-21	-2.8697476252975695e-21	1.0029640000000122	5.282097459077817e-20	-3.7100043089738355e-22	3.904821886842325e-21	0.9987505106371506	-3273518.101054263	97609.21937152141	-565880.7588788937	98005.85868569298	133907222.67500672	645580.9346594737	-565793.2462967234	642868.8244661748	299.24610433346885	1599.565890624997	-3267927.3076483984	97838.46675441056	-564826.9305367096	97838.47592147377	134221720.42988947	644378.6822848468	-564826.9363351382	644378.6817982876	298.68882433925324	-0.0010955999505157048	0.0	0.0	0.0	0.002959616012634875	0.0	0.0	0.0	-0.0012502706255374332	135893225.63073483	0.0027564810510570534
