6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	6.121136532892404e-26	-1.9847702489842366e-22	-1.4823076576950256e-24	1.0002964000000167	-2.724666763300669e-22	1.9852334701272663e-25	-2.234049398383217e-23	0.9999072045656949	-834078.1616699634	-779.1601154624705	4406.589430579898	-779.4764111935674	20707817.656382095	856.1134459572492	4406.663048803042	855.7803492377528	-0.00029268366353335295	1599.565890624997	-833908.3970492281	-779.3177599684657	4405.76613588173	-779.3177599742938	20712007.390455868	855.9534960294895	4405.766135881008	855.953496024554	-0.0002926289806743702	-0.0001095059955711033	0.0	0.0	0.0	0.0002963560822140113	0.0	0.0	0.0	-9.27997400679789e-05	21141301.580028955	0.0002651814385883153
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999978	6.39311351829984e-23	-1.095319479918217e-22	-1.367164116427644e-23	1.0005927999999777	-9.822273465699672e-22	-1.4558378780933287e-24	-7.517417406881915e-23	0.99981435091756	-1664680.4663947013	-1558.189851469026	8812.081263593362	-1559.4550670841443	41435234.47759058	1713.9498958490599	8812.375218964162	1712.6164635747648	-0.0005265325253349147	1599.565890624997	-1664003.1491139198	-1558.820563402499	8808.789681595861	-1558.820563414004	41452006.30858835	1713.3096831168984	8808.789681594662	1713.3096831076866	-0.0005263358493250543	-0.0002190239840039183	0.0	0.0	0.0	0.0005926243634658793	0.0	0.0	0.0	-0.0001856663173640462	42308560.025406376	0.0005303294903989865
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999896	1.6877793218531977e-23	1.4383148839970054e-21	3.5337155768265344e-24	1.000889199999972	2.8220755522349133e-21	1.0296744265060089e-23	-1.7152417181899582e-23	0.9997214390393792	-2491807.999063359	-2337.0891699873328	13216.475518304544	-2339.935978663445	62182256.96992688	2573.5103913595544	13217.135753281582	2570.5078162698073	-0.0006150610901750043	1599.565890624997	-2490287.9488579356	-2338.5085732577104	13209.073049445522	-2338.508573274915	62220022.62304616	2572.0689835875637	13209.073049443872	2572.0689835747603	-0.0006147165981385221	-0.00032855396795469674	0.0	0.0	0.0	0.0008888048958517908	0.0	0.0	0.0	-0.00027859976593249834	63501803.76591263	0.000795444204334714
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999992	-1.4439264772725651e-22	8.866846770976422e-22	4.1186977060240355e-23	1.0011856000000094	-2.706958480747134e-21	2.398162031913738e-23	8.390920133737913e-23	0.999628431953674	-3313385.22775855	-3110.971744495659	17523.903126643363	-3116.024933325661	82938882.33523335	3554.3712256996487	17525.06778269297	3548.8430226827645	-1.3079210443404445	1599.565890624997	-3310691.6774069127	-3113.4918212758193	17510.82113000975	-3113.4918230840403	83006067.88647318	3551.7178058494487	17510.821128819745	3551.717801894026	-1.306944651206139	-0.0004380959500192552	0.0	0.0	0.0	0.0011848977313477782	0.0	0.0	0.0	-0.0003716370948369672	84709955.58051175	0.0010605371735656136
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999452499999994	-6.686266327388633e-23	-6.031139282246635e-22	2.9646153153900512e-24	1.0014819999999969	2.5241052432586117e-21	2.0275851174899815e-23	1.197492829180767e-22	0.9995329060452591	-4008653.2846573936	-3530.0027483291547	14913.455302186809	-3537.1704796139543	103062014.8003924	12069.120865360259	14914.65531713866	12045.63204074411	166.67427028650985	1599.565890624997	-4004591.7723703734	-3533.5870006804903	14899.543767951109	-3533.586667210117	103166660.68744065	12057.86257647206	14899.543993827392	12057.86279183511	166.51879358642137	-0.0005476499328590215	0.0	0.0	0.0	0.0014809029217764036	0.0	0.0	0.0	-0.00046720307710395833	105226050.10422292	0.0013263664118790487
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993429999999949	-2.602508730438838e-22	1.2513323608906186e-20	-2.371692252312041e-23	1.0017783999999965	-5.80175217221833e-21	-2.1387581918171085e-23	4.889497688025449e-22	0.999414863514498	-3943799.5145922936	887.6822866835151	-58845.86515814669	889.8372331173709	117595124.51468918	77664.72364000788	-58850.09872186617	77481.47314330492	5996.5086640341915	1599.565890624997	-3939103.2254907973	888.7859384453338	-58780.01792513615	888.7776120883271	117741330.05275033	77577.8185169295	-58780.01983569894	77577.80554243659	5989.798702302995	-0.0006572159190828648	0.0	0.0	0.0	0.001776820519072067	0.0	0.0	0.0	-0.0005853077446649838	119756750.94054474	0.0015992605306591942
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999951	-1.3552527156068806e-23	-3.962208369018803e-21	3.142492234313454e-22	1.0020748000000053	-1.4715079876175332e-20	4.4469229730850766e-23	-2.3335757696855976e-22	0.9992649552839908	-3519244.422802612	15337.087606675595	-209266.8349602257	15380.697496254055	124919826.00802514	209622.55590563748	-209273.4194329912	209034.77075699662	5011.892675631208	1599.565890624997	-3514541.1576398555	15360.142893989916	-208993.74081900573	15360.142090029834	125107610.19194128	209348.99754701718	-208993.737698829	209348.9996915949	5005.3521336174745	-0.0007667939113281755	0.0	0.0	0.0	0.002072650575056583	0.0	0.0	0.0	-0.0007353149938285078	126900026.02650554	0.001882557748829556
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991239999999948	1.2671612890924333e-21	-3.983892412468513e-20	1.3654171109739322e-21	1.0023711999999967	-7.551298724772087e-21	1.5010350267632262e-21	1.7084654546119237e-21	0.9990992964807734	-3294324.010962453	36677.74297456703	-350729.01211561327	36796.95201622234	129047231.12432092	365674.012687583	-350720.33502553724	364480.4094723825	2065.82179416697	1599.565890624997	-3289493.8473668983	36742.99539296718	-350206.11137593555	36743.000037769496	129276815.69621089	365128.8304953205	-350206.1061309829	365128.84708737	2062.7418671951573	-0.0008763839122263223	0.0	0.0	0.0	0.0023683931414827516	0.0	0.0	0.0	-0.0009011093963760579	130954508.1369917	0.0021714734538203196
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999938	-9.56300197450105e-22	4.529932201915998e-20	2.8629713617195353e-22	1.002667599999993	1.3599961001115047e-20	2.284341979626441e-21	2.7774210340468507e-21	0.9989269362910487	-3230994.016712384	65293.71232499186	-465958.6254359834	65532.48231195991	131873565.2354842	514473.4467309501	-465917.7834929164	512554.1026798597	791.5475554375938	1599.565890624997	-3225859.5007068487	65428.33152306191	-465177.37349004956	65428.34173553891	132145455.32974438	513610.8521582801	-465177.37286255497	513610.8602115319	790.2204031235742	-0.0009859859244097614	0.0	0.0	0.0	0.002664048270107083	0.0	0.0	0.0	-0.0010736398540103968	133792607.16872938	0.002463094049978852
