6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999915	-2.665175933645855e-23	4.634659884910112e-22	1.376428539288238e-24	1.0002964000000167	-2.469233390144294e-22	-5.293955920339377e-25	1.553776062619607e-23	0.9999072045656949	-834078.1616753163	-779.160115453094	4406.589430574438	-779.476411184193	20707817.656382363	856.1134459584999	4406.663048797665	855.7803492389803	-0.0002822014030043647	1599.565890624997	-833908.3970545799	-779.3177599590877	4405.766135876271	-779.3177599649214	20712007.390456147	855.9534960307403	4405.766135875632	855.9534960257821	-0.000282148678573698	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.279974006775682e-05	21141301.58002714	0.0002651814385888769
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999975	4.704010707466558e-23	-8.043239578669625e-22	2.117582368135751e-24	1.0005927999999777	-2.9996083640234945e-21	-1.257314531080602e-24	-7.776821246978545e-23	0.9998143509175603	-1664680.466407097	-1558.1898514476848	8812.081263596529	-1559.4550670628314	41435234.47757212	1713.9498958585589	8812.375218967363	1712.6164635842467	-0.0005332086345224525	1599.565890624997	-1664003.14912631	-1558.820563381149	8808.78968159903	-1558.8205633926991	41452006.30856987	1713.3096831263942	8808.78968159786	1713.3096831171724	-0.0005330094647815248	-0.00021902398400425145	0.0	0.0	0.0	0.0005926243634663232	0.0	0.0	0.0	-0.00018566631736326888	42308560.025397606	0.0005303294903991575
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999903	7.814540682910963e-23	-1.6812280514017777e-21	-3.992966252915975e-23	1.000889199999972	-2.591656120802142e-22	1.0164395367051604e-23	5.135137242729196e-24	0.9997214390393792	-2491807.999061395	-2337.089169980419	13216.475518301768	-2339.9359786565724	62182256.96992002	2573.510391370788	13217.13575327867	2570.507816281041	-0.0006015155054519709	1599.565890624997	-2490287.948855973	-2338.508573250791	13209.073049442739	-2338.508573268047	62220022.62303925	2572.0689835987896	13209.07304944096	2572.0689835859994	-0.0006011786002164438	-0.0003285539679540304	0.0	0.0	0.0	0.0008888048958529001	0.0	0.0	0.0	-0.0002785997659313878	63501803.76589833	0.0007954442043348703
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999976	-5.440863197128795e-23	3.528156923110178e-22	2.1784628612196536e-23	1.001185600000009	-7.396450514102161e-22	3.0466716321553116e-23	-1.3536645288307787e-22	0.9996284319535004	-3313385.209086563	-3110.971776342623	17523.902450170655	-3116.0249652242824	82938882.27932385	3554.3718260565356	17525.06710617185	3548.843622105285	-1.3079212797311848	1599.565890624997	-3310691.6587506817	-3113.4918531491276	17510.820454042085	-3113.491854957273	83006067.83053294	3551.718405758163	17510.82045285164	3551.718401802738	-1.3069448864211572	-0.00043809595002081023	0.0	0.0	0.0	0.0011848977313475564	0.0	0.0	0.0	-0.00037163709501089273	84709955.51473372	0.0010605371736203202
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999945	8.946785505373548e-24	-1.5267768874258763e-22	2.6310960924086704e-23	1.0014820000000162	-6.20981029455809e-23	4.6957389013410276e-23	2.0964065444543934e-23	0.9995329046175279	-4008545.9362546694	-3530.067893571827	14907.888029557302	-3537.2357566953933	103061597.77744354	12073.575959765029	14909.08757660577	12050.07844704794	168.03883524996988	1599.565890624997	-4004484.538451494	-3533.652217117028	14893.981688571443	-3533.651883201111	103166243.38842241	12062.313515085923	14893.981915726767	12062.313730108055	167.88208565960406	-0.0005476499328584661	0.0	0.0	0.0	0.0014809029217959146	0.0	0.0	0.0	-0.0004672045055024222	105225575.7400864	0.0013263668588544906
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993429999999949	-4.108109794183357e-23	4.13124438155524e-21	4.743384504624082e-23	1.0017783999999685	-4.140508804415834e-21	-4.4892746204477917e-23	-2.6046263128069735e-23	0.9994147991976312	-3942121.2091525584	923.3428640139892	-59181.43522536127	925.5845620953077	117579493.34104289	77820.34337657838	-59185.68920283378	77636.72046314254	6105.268979433848	1599.565890624997	-3937427.1719739167	924.4909119211401	-59115.21249680401	924.482432527002	117725687.02111015	77733.26411842868	-59115.21449877937	77733.25088311925	6098.437317294285	-0.0006572159190828648	0.0	0.0	0.0	0.001776820519044139	0.0	0.0	0.0	-0.0005853720991898443	119740184.38532402	0.0015992810108313557
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999924	4.8577339525034125e-22	1.4597024659151765e-20	1.6728900708272432e-22	1.0020747999999793	8.521998482325516e-21	3.969143451274448e-22	9.262305278225774e-22	0.999264698274544	-3520803.979089008	15678.205144164745	-210772.7766006	15722.785114409886	124866174.91268918	210330.19630797365	-210779.35423512963	209740.37346078793	5095.195855734232	1599.565890624997	-3516099.5340057393	15701.777250673247	-210497.71719891328	15701.776566485578	125053910.60993809	210055.7144755179	-210497.71404653194	210055.71710994223	5088.546602703749	-0.000766793911330842	0.0	0.0	0.0	0.002072650575029993	0.0	0.0	0.0	-0.0007355721923614835	126847125.01426168	0.0018826420500135316
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000028	-1.068955579434927e-21	-2.607548576475001e-20	-4.87890977618477e-22	1.0023712000000018	7.619484877026059e-21	3.7256214789388366e-23	-9.287716266643403e-22	0.9990988456695857	-3306997.011443529	37434.96850420973	-353524.7422596807	37556.638682708915	128963479.8066855	367344.8719331143	-353515.8363371344	366145.65047476377	2058.5132776660425	1599.565890624997	-3302149.756583759	37501.58500422631	-352997.6733750495	37501.58976710923	129192973.67292756	366797.19866225007	-352997.6679354815	366797.2161820564	2055.444246937605	-0.0008763839122183216	0.0	0.0	0.0	0.002368393141488068	0.0	0.0	0.0	-0.0009015606140790732	130877294.02168235	0.0021716255845755403
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999927	-9.893344823930227e-22	1.2791891569434444e-20	-1.0486267887008238e-21	1.0026675999999968	-5.62158826433734e-20	1.0253333826513305e-21	-1.5415999640028267e-21	0.9989263612007134	-3259075.942010062	66370.44213099327	-469796.7178985912	66613.14953478493	131779012.32005608	517392.9778657594	-469755.26919374603	515462.44553256186	762.5601873835955	1599.565890624997	-3253898.6730664005	66507.31956367531	-469009.03079502325	66507.32991092149	132050783.49271369	516525.4882460694	-469009.03025682276	516525.4967029797	761.2816368905585	-0.0009859859244108727	0.0	0.0	0.0	0.0026640482701112906	0.0	0.0	0.0	-0.0010742155622823905	133712574.84063606	0.002463292763344882
40	30.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998904999999994	1.9973036896256403e-21	-1.9051041533170095e-20	-1.6601845766184286e-21	1.0029640000000082	9.607725314116078e-20	1.9149297355051593e-21	-4.551108025597356e-21	0.9987506332453174	-3276159.283093984	97656.70323480353	-565808.8480778144	98053.5354578011	133936287.82836322	645700.7806531935	-565721.4160967654	642988.2459728465	294.65546200965866	1599.565890624997	-3270563.577352709	97886.05012280263	-564755.153653666	97886.05925047967	134250837.36552843	644498.3050917846	-564755.1594827021	644498.3046615912	294.10673107620084	-0.0010955999505098141	0.0	0.0	0.0	0.002959616012631333	0.0	0.0	0.0	-0.0012501478639888684	135923702.9391007	0.0027564378567746474
44	33.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987955000000084	3.7489678245475334e-21	-1.0215619684536808e-19	-2.2158381900172498e-21	1.0032603999999827	1.3478835289657682e-20	2.0862421490873418e-21	1.5864927102073045e-21	0.998573040891249	-3296593.575505304	126249.6583983356	-644422.5463287313	126814.03822690694	135667445.86348656	747764.3843862455	-644279.0284479833	744270.7341861456	189.24033272927983	1599.565890624997	-3290575.808526282	126582.53760336722	-643102.9166052649	126582.54553172346	136025156.70485154	746233.134256331	-643102.9292492593	746233.1335578928	188.8528118869832	-0.0012052259931476627	0.0	0.0	0.0	0.003255096420636615	0.0	0.0	0.0	-0.001427978184468102	137710589.9111257	0.0030505111531829534
48	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9986859999999987	-4.904320764602399e-21	-1.585639324512946e-19	-8.91078660511524e-22	1.003556799999998	-6.455068684435572e-20	4.760325163569168e-22	-2.2683542327470163e-21	0.9983942512567914	-3290745.2513693846	150418.07011513566	-706919.3050386715	151151.69556521752	137084602.95866156	824121.0560464485	-706712.8054058598	819881.5764702543	176.94462599077727	1599.565890624997	-3284356.0623780214	150858.21990923685	-705340.6635035211	150858.22503633678	137485736.6769742	822280.6879594633	-705340.6780208928	822280.6945203298	176.5494859316224	-0.001314864054996376	0.0	0.0	0.0	0.003550489545799733	0.0	0.0	0.0	-0.0016070393394892724	139169797.1240442	0.0033452166932050114
52	39.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9985765000000049	5.905513708256982e-21	6.330978357662817e-20	-4.9636130709102e-22	1.0038531999999873	-2.134946543554464e-20	-2.0074680849926917e-22	3.930232875259954e-22	0.998214657474194	-3250894.8107894626	170188.14794339094	-756106.0020393189	171087.45963108787	138263791.26787868	878910.0749423605	-755832.0334984927	873973.3360608525	164.1926353760887	1599.565890624997	-3244208.5676800036	170735.57761211263	-754277.4713020116	170735.5773295515	138708532.5872046	876784.5606850651	-754277.4840528709	876784.5713884179	163.79555972821007	-0.001424514138651969	0.0	0.0	0.0	0.0038457954396074706	0.0	0.0	0.0	-0.0017869381492120185	140373286.74682355	0.0036403663398295785
56	42.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9984669999999936	2.1480755542369057e-21	-7.312435433646374e-21	1.7669107279724704e-21	1.0041496000000292	1.374742943723202e-19	-2.005774019098183e-21	8.961608581950498e-21	0.9980345180306913	-3180851.087199247	186476.81041209487	-795653.9971767202	187538.11070793445	139264277.92340443	917353.2202172815	-795309.3717462923	911766.7212267079	144.06460900839338	1599.565890624997	-3173944.7039215816	187130.92072298887	-793582.5573031883	187130.9209224929	139752779.41550735	914964.9433466648	-793582.5661854462	914964.9527503296	143.68954500252693	-0.0015341762467843598	0.0	0.0	0.0	0.004141014153639455	0.0	0.0	0.0	-0.0019674160636949187	141382343.68144125	0.003935829787988041
60	45.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9983575000000069	-8.47541167022653e-21	-3.1825992443659456e-20	5.571782727038788e-21	1.0044459999999844	-1.2054718795439027e-19	3.5321273900504323e-22	-1.9617283058409594e-21	0.9978540068086438	-3088287.2423691796	200434.7393660446	-828501.4222355717	201657.0973863589	140131352.1786069	943734.2755522092	-828083.5975749247	937540.7285644216	121.65879010492313	1599.565890624997	-3081229.791148178	201196.2608550828	-826191.2284335514	201196.26423954277	140663760.0651315	941102.7664013235	-826191.234870893	941102.7728183693	121.31955667053349	-0.001643850381988952	0.0	0.0	0.0	0.004436145739216738	0.0	0.0	0.0	-0.0021482991343615377	142246315.5523838	0.004231514981417877
64	48.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9982480000000045	-1.2644507836612196e-20	-1.3094536441488404e-19	1.729641278293281e-21	1.0047423999999914	9.291443211611322e-20	6.042733045712179e-21	-1.356946781501389e-20	0.9976732417798868	-2980814.0632226802	212585.18354679062	-856292.5571295589	213968.22309442153	140898341.60335082	961154.9180984577	-855799.5367265616	954392.4379077536	98.83318643032777	1599.565890624997	-2973663.569911267	213454.9445114416	-853746.6067880783	213454.94775565804	141474806.41367322	958297.1883756262	-853746.6113399114	958297.1939852982	98.53933314076349	-0.001753536546944633	0.0	0.0	0.0	0.004731190247892783	0.0	0.0	0.0	-0.0023294693282322255	143002540.86653423	0.0045273562023221015
68	51.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9981384999999925	-9.178449016447599e-21	-1.254972484981444e-19	2.4174320314637732e-21	1.0050388000000163	7.324293894907935e-20	3.911598150420359e-21	1.6484955219463193e-20	0.997492304781152	-2864546.065216189	222998.67728143724	-879910.2878161101	224540.3046338847	141589306.01115403	971918.1076766682	-879340.637135556	964620.3112962759	77.80439454691735	1599.565890624997	-2857349.918006964	223976.22760648248	-877131.6048223948	223976.22744686707	142209985.35240164	968848.8716937728	-877131.6083652669	968848.8785252325	77.55869478529688	-0.0018632347442844594	0.0	0.0	0.0	0.0050261477310001934	0.0	0.0	0.0	-0.0025108447529857813	143678292.87861797	0.004823305581993202
72	54.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9980290000000083	-7.870630145886959e-21	9.455005273726128e-20	-4.948366477859622e-21	1.0053352000000224	-2.152480125562628e-20	-8.758320674609466e-22	-2.0742142812363306e-20	0.9973112530048461	-2744048.1426800117	231767.63234167683	-900011.2189327279	233464.3132072907	142221412.04958692	977831.9183685799	-899363.9665901589	970027.4924466639	59.271046842470994	1599.565890624997	-2736844.472444136	232851.42707844995	-897002.9541895238	232851.4231132605	142886469.61728278	974563.5399051468	-897002.9579268717	974563.5472883902	59.07293486702199	-0.0019729449766112063	0.0	0.0	0.0	0.005321018239823965	0.0	0.0	0.0	-0.0026923681677571668	144293136.037164	0.005119327882270701
76	57.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9979194999999922	1.0570971181733668e-21	1.0245879936577468e-19	-1.2925722775100623e-21	1.0056315999999939	1.0696670871106207e-19	-1.2163393122571752e-21	-1.0401564592282808e-21	0.9971301269652655	-2622625.0779836713	239161.76221832907	-917194.919290239	241010.04087253448	142806930.0169877	980319.87652845	-916469.405665606	972032.3925030857	42.41718281828362	1599.565890624997	-2615444.2059430424	240350.15004433543	-913960.064159538	240350.1439324263	143516533.49008223	976862.3859606107	-913960.0688997518	976862.393131196	42.26758163909721	-0.002082667246625627	0.0	0.0	0.0	0.005615801825627816	0.0	0.0	0.0	-0.0028739990162720574	144861076.61413017	0.0054153967816304065
