6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999914	-1.2409363549520522e-23	-7.596826745687006e-24	3.5734202462290795e-25	1.0002964000000167	-1.4206330712230718e-22	1.3036366453835717e-24	2.0712602538327812e-23	0.9999072045656949	-834078.1616868392	-779.1601154700879	4406.589430575835	-779.4764112011663	20707817.65637076	856.1134459570492	4406.663048799047	855.7803492375247	-0.0002932000256787433	1599.565890624997	-833908.3970661004	-779.317759976085	4405.766135877668	-779.3177599818912	20712007.39044454	855.9534960292898	4405.766135877013	855.9534960243261	-0.0002931452463464622	-0.00010950599557132536	0.0	0.0	0.0	0.0002963560822140113	0.0	0.0	0.0	-9.279974006775682e-05	21141301.58002681	0.00026518143858832464
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999977	1.2823615600287077e-22	7.332128949670038e-24	-3.692534254436716e-24	1.0005927999999777	-2.476142002620337e-21	1.9852334701272663e-25	1.22343321319043e-22	0.9998143509175602	-1664680.466384166	-1558.1898514649126	8812.081263583	-1559.455067080036	41435234.477583565	1713.9498958578117	8812.37521895359	1712.6164635835146	-0.0005324847139581834	1599.565890624997	-1664003.1491033882	-1558.8205633983835	8808.789681585504	-1558.820563409897	41452006.308581315	1713.3096831256469	8808.789681584092	1713.3096831164396	-0.0005322858146237377	-0.00021902398400402935	0.0	0.0	0.0	0.0005926243634661012	0.0	0.0	0.0	-0.0001856663173640462	42308560.02539657	0.0005303294903991736
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999903	1.37146545561292e-22	9.298833574076117e-22	-1.6133330667234253e-23	1.0008891999999918	2.9954261388464264e-21	-1.8211208365967456e-23	1.274255190025688e-22	0.9997214390180835	-2491801.7645197194	-2337.1002467315116	13216.609464638756	-2339.94706890195	62182246.13447905	2573.6982006596218	13217.26970602138	2570.695406382975	-0.019234436795901276	1599.565890624997	-2490281.7181704836	-2338.5196567790304	13209.206920756924	-2338.519656797932	62220011.782342896	2572.256687696714	13209.20692075107	2572.2566876733404	-0.019223663702937842	-0.0003285539679540304	0.0	0.0	0.0	0.000888804895871979	0.0	0.0	0.0	-0.00027859978723361985	63501789.64352002	0.000795444210997727
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995620000000032	-5.610931531069697e-23	-1.0739583677796477e-21	1.1461414567534751e-23	1.0011856000000237	-2.2342611566200308e-21	-3.05990652195616e-23	-3.213431243646002e-23	0.9996283816857968	-3310727.722711869	-3103.856305924816	17390.146418830165	-3108.8979386564847	82925438.91273324	3711.7466238077477	17391.30130951675	3705.9734612001453	-2.72253258278262	1599.565890624997	-3308036.499075624	-3106.3707749746204	17377.16427465426	-3106.370778371515	82992617.74739434	3708.9757196040587	17377.16427226414	3708.975712158025	-2.720500149606841	-0.0004380959500152567	0.0	0.0	0.0	0.0011848977313617503	0.0	0.0	0.0	-0.0003716873814007495	84695109.11265244	0.0010605528747936628
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999994	-9.455005273726128e-23	3.9991337115631705e-21	5.278074052578359e-23	1.001481999999977	8.678911335804374e-22	4.0234064994579267e-23	1.0826139857094026e-22	0.9995310028591535	-3925268.8378083953	-3251.511106679707	9241.839471836312	-3258.1134940492493	102568597.04116327	17463.296063854446	9242.565752748123	17429.27553708596	560.4490282686065	1599.565890624997	-3921299.275944174	-3254.818784909407	9233.218520916076	-3254.8186157594596	102672937.42455822	17447.00599316767	9233.218893193874	17447.00588871694	559.9262315266027	-0.0005476499328535784	0.0	0.0	0.0	0.0014809029217562274	0.0	0.0	0.0	-0.0004691071544046849	104688422.90336706	0.0013269626930300599
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999343	-1.2938428269309437e-22	9.305398079417337e-21	7.136252580617481e-23	1.001778400000015	-6.95202291458967e-22	9.809700320388866e-23	-3.417777942171102e-22	0.9994063491956989	-3722260.906980263	2898.637703554668	-83755.03924234214	2905.693463114848	115540017.72400233	97527.94567389305	-83760.35095260169	97297.00083963339	6822.288069158483	1599.565890624997	-3717860.100342166	2902.2662932618355	-83661.31918962322	2902.258079244585	115684653.70888762	97418.81404082583	-83661.32159445265	97418.799743771	6814.654078376685	-0.0006572159190777544	0.0	0.0	0.0	0.0017768205190904639	0.0	0.0	0.0	-0.0005938270847090293	117584639.60645844	0.0016019794414032168
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992335000000074	-5.522654816098038e-22	-1.8745262639211295e-20	-2.8290900438293633e-22	1.0020748000000022	-1.2699564978183725e-20	5.699737641633391e-22	5.641239428713641e-22	0.9992517969390933	-3328187.298168969	18684.58731823078	-236655.538111369	18737.716953363815	121898573.2302302	237791.85905022148	-236659.86695266736	237121.9697794752	4418.641960769479	1599.565890624997	-3323783.1373796198	18712.921105291127	-236346.70159191664	18712.92149839248	122083423.35070866	237481.53962693963	-236346.69704572763	237481.54761144082	4412.875613551236	-0.0007667939113158425	0.0	0.0	0.0	0.0020726505750537022	0.0	0.0	0.0	-0.0007484831045117145	123778036.76529385	0.0018868890042606304
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000013	-3.3796614595446585e-22	-3.568655685900774e-20	-3.6591823321385774e-22	1.002371200000006	-1.5953442045061118e-20	3.3351922298138075e-22	1.195587005049445e-21	0.9990837545413929	-3158970.564181222	42011.14322977078	-372485.18302826583	42147.68832810078	125569338.6979608	393911.2552206771	-372470.1751644428	392619.37348789215	1751.2678367174276	1599.565890624997	-3154387.92636951	42086.538857945685	-371929.8460843625	42086.54575450461	125794692.69794266	393323.9742156585	-371929.8422066756	393323.9909303611	1748.656877214308	-0.0008763839122197662	0.0	0.0	0.0	0.0023683931414927198	0.0	0.0	0.0	-0.0009166654680509949	127403807.24992827	0.002176736129579562
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999978	7.724940478959219e-22	-2.4886675023278598e-20	4.1081097941833565e-22	1.0026675999999888	-4.4399773029175915e-20	-4.331514734021679e-22	1.4069217253893929e-21	0.9989099499608366	-3135208.816314809	71713.11097579166	-483271.4894655846	71975.3549992834	128124360.3083628	536729.8315814339	-483220.9148192234	534718.3607657731	643.0199181416211	1599.565890624997	-3130279.7459064582	71862.18734400191	-482461.2098163861	71862.19775418655	128390703.71550463	535829.9207256765	-482461.2110637551	535829.9269794493	641.9417954609814	-0.0009859859244057607	0.0	0.0	0.0	0.0026640482701037614	0.0	0.0	0.0	-0.0010906445757959552	129989864.99673292	0.002468981860400945
