6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999933185913899	6.365154813595548e-24	4.2636197493433256e-23	1.84957584966857e-24	1.000200000000001	-2.7368759491419516e-22	2.5179377846114163e-24	-1.0680556069284694e-23	0.9999338800589289	-1.2508239378939898e-11	-0.0004941626033621204	0.002741200914480744	-0.0004942944617155158	14.15890677613757	0.0007274803460118348	0.0027412028173988716	0.0007272867876966739	7.629555369426111e-12	1599.565890624997	-1.25065651646452e-11	-0.0004942283009371325	0.0027408359103704596	-0.0004942283009371307	14.160789164310382	0.0007273834784983876	0.0027408359103704553	0.0007273834784983754	7.628539457365537e-12	-6.681631826146364e-05	0.0	0.0	0.0	0.0001999800026669107	0.0	0.0	0.0	-6.612212709097142e-05	14.160790041968312	0.0001776332690460746
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999866353989382	-2.4919643133772513e-23	-6.214508680437391e-22	2.4947767274599315e-24	1.0003999999999935	1.1764295020627167e-21	2.2234614865425385e-24	-1.2176098616780567e-24	0.9998677425139982	-1.1755831965873376e-11	-0.000988361400619381	0.0054825942598293815	-0.000988888906236874	28.326310375531193	0.0014554063112565776	0.005482601873563928	0.0014546319700887173	-8.992468042770541e-12	1599.565890624997	-1.1752685893961631e-11	-0.0009886242617928235	0.005481134630766884	-0.0009886242617928123	28.333843942888176	0.0014550188389671876	0.005481134630766794	0.0014550188389671913	-8.99007398129584e-12	-0.0001336549420419013	0.0	0.0	0.0	0.0003999200213202327	0.0	0.0	0.0	-0.00013226623279451486	28.333845697194242	0.0003552546439164645
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228781	2.0765542097531206e-23	5.936642169068578e-22	8.748262158360821e-24	1.000599999999987	-9.94376975407146e-22	5.651297944962285e-24	8.639736061993863e-23	0.9998015873617155	-4.105090046970656e-12	-0.0014825963387115786	0.00822417977104715	-0.0014837833888184492	42.502212496043605	0.0021837779609192114	0.008224196906591002	0.0021820354505022793	-1.3025449469017403e-12	1599.565890624997	-4.103442644765122e-12	-0.0014831879358582763	0.008220896477141809	-0.0014831879358583175	42.51917206014373	0.0021829061432949246	0.00822089647714177	0.002182906143294919	-1.3020249390703719e-12	-0.00020051587908716245	0.0	0.0	0.0	0.0005998200719551225	0.0	0.0	0.0	-0.00019843232467559564	42.51917469006814	0.0005328641403786042
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108241	3.834809319795836e-23	3.4779966907649623e-22	-5.743942173568224e-24	1.0008000000000166	-2.003352034264628e-21	-8.735027268559973e-25	3.5919490919502673e-23	0.9997354145986067	7.82593463817538e-12	-0.0019768673654574787	0.010965957183063717	-0.001978977965605838	56.68661483612882	0.0029125953601529626	0.010965987654505521	0.002909497132234642	1.0663042188802096e-11	1599.565890624997	7.821748415507055e-12	-0.0019779193773592023	0.01096012176522053	-0.001977919377359174	56.71678124714761	0.002911045453414236	0.010960121765220307	0.002911045453414214	1.0657367963961401e-11	-0.0002673991371387541	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.0002646204102859707	56.71678475167299	0.0007104617742033735
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670877	-1.796636290465176e-23	-1.9450258749122887e-21	-3.171079596283287e-23	1.0009999999999997	-2.621090515719229e-21	5.849821291975012e-24	3.1843144860841355e-23	0.9996692167745356	1.0903205580840153e-10	-0.002474762092561874	0.013691857916340342	-0.0024780651499948566	70.87750844550493	0.0036596202767462628	0.013691905410203568	0.0036547549807663493	9.608650848591527e-11	1599.565890624997	1.0895917454289852e-10	-0.00247640871489668	0.013682753208260137	-0.0024764087148967046	70.9246679234978	0.0036571867301444967	0.013682753208260014	0.0036571867301444655	9.602261360652394e-11	-0.000334306707172952	0.0	0.0	0.0	0.0009995003330832014	0.0	0.0	0.0	-0.0003308379463030401	70.92467229547098	0.0008880506980696789
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677306217	2.1848817827730654e-22	-1.7098154133716103e-21	-5.296602898299547e-23	1.001200000000019	3.4494357985747314e-21	5.082197683525802e-24	9.17971956586848e-23	0.9996027007361802	2.2264169617725384e-09	-0.003071607371718437	0.015708455137540666	-0.0030765277027534044	84.99639457241138	0.005132918238541363	0.015708516943781413	0.00512472925879494	2.300183787391774e-09	1599.565890624997	2.224632308394524e-09	-0.0030740616168204974	0.015695925296165616	-0.0030740616168173644	85.06430754429469	0.005128823968878503	0.015695925296166334	0.00512882396888015	2.298349046945491e-09	-0.00040131278458285205	0.0	0.0	0.0	0.0011992805755010382	0.0	0.0	0.0	-0.00039737820808291243	85.06431251680044	0.0010657531355215064
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307539691931	6.866260828680172e-23	-1.3310593370509296e-21	-2.5675686213645978e-23	1.0014000000000154	4.50219187289342e-21	-1.9905274260476058e-23	-1.800474408507422e-22	0.9995318120255923	8.056732619045098e-06	-0.004645811483137658	0.005903701487628357	-0.004654499721496505	97.97381227879963	0.01670917219438346	0.005903707726975004	0.01667799996422018	8.940864743431198e-06	1599.565890624997	8.049237518706887e-06	-0.004650169688713225	0.005898215574870745	-0.004650169685477397	98.06572087571166	0.01669364548438594	0.005898215564845092	0.016693645487655038	8.932556599114812e-06	-0.0004693561611791129	0.0	0.0	0.0	0.0013990209137224867	0.0	0.0	0.0	-0.0004682976086190345	98.06571751031883	0.0012452320157242541
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994600076769408	2.526275765185951e-22	3.828244814454616e-21	3.324604317973129e-23	1.001599999999994	3.833882877509777e-21	-1.3488999685024733e-22	6.413098201899122e-22	0.9994455740600772	0.0001680914373666989	-0.005157864513242903	-0.05112653176043616	-0.005168907916563232	107.08543018021857	0.061475285504236546	-0.05112579342857494	0.06134305207748137	0.0005202991072246439	1599.565890624997	0.00016791601768952576	-0.005163514011395616	-0.051072438709284254	-0.005163513661077849	107.20272270281825	0.061410243232663336	-0.05107243871688373	0.06141024218270879	0.0005197486187551096	-0.0005401381714207437	0.0	0.0	0.0	0.0015987213636906444	0.0	0.0	0.0	-0.0005545796908160985	107.20246850893132	0.0014307444914961195
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993880127733997	7.216720710606639e-22	7.626631717518516e-21	-1.982057096575063e-22	1.0017999999999858	-3.3171927796846535e-21	-2.7668860617653753e-22	-1.068955579434927e-21	0.999343246000502	-0.0003022621089331541	-0.00047534278162199783	-0.14773689428630213	-0.00047648726379003706	112.47937460377447	0.13954215621967644	-0.14773027782878842	0.1391999475593782	0.0001713617402449597	1599.565890624997	-0.0003019173001010454	-0.0004759464432010999	-0.14756175159118148	-0.00047594370569232504	112.62221778876622	0.13937672842020005	-0.14756175288616485	0.13937672453675837	0.0001711585901978976	-0.0006121745672203125	0.0	0.0	0.0	0.0017983819413656553	0.0	0.0	0.0	-0.0006569697568772758	112.62283191198716	0.0016221755797670829
