6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	4.88499782549316e-23	1.6625006823335772e-22	-1.9587636905255694e-24	1.0002964000000032	3.4889816492996663e-22	1.8661194619196303e-24	1.2904017555827231e-23	0.9999072045656869	-0.834078162086317	-0.0007791601149695398	0.004406589433812789	-0.0007794764106965339	20.70781765585444	0.000856113422107622	0.004406663052036332	0.0008557803254030072	-1.1464649843943505e-09	1599.565890624997	-0.833908397465515	-0.0007793177594754418	0.004405766139114077	-0.0007793177594773783	20.71200738992828	0.0008559534721843301	0.004405766139113734	0.000855953472184993	-1.146250787324692e-09	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608220091454	0.0	0.0	0.0	-9.279974007575117e-05	21.141301580123326	0.0002651814385820551
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999965	-9.641617219918091e-24	2.1374347028370233e-22	-9.224718191191364e-24	1.0005928000000197	1.6245165486051422e-21	4.552802091491864e-24	6.233633096199617e-23	0.9998143509175531	-1.6646804667481514	-0.0015581898509869955	0.008812081266693169	-0.001559455066594323	41.43523447718057	0.0017139498722664535	0.008812375222064604	0.0017126164400211377	-1.373632978233022e-09	1599.565890624997	-1.6640031494671677	-0.001558820562920286	0.008808789684694153	-0.0015588205629243272	41.452006308178504	0.0017133096595430312	0.008808789684693534	0.0017133096595445395	-1.3731198842830721e-09	-0.00021902398400525086	0.0	0.0	0.0	0.0005926243635078209	0.0	0.0	0.0	-0.00018566631737115293	42.308560025581876	0.0005303294904296193
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999947	1.4337356121259118e-22	1.1882284063201732e-21	-1.9786160252268423e-23	1.0008891999999756	2.160384001751695e-21	2.3293406049493258e-24	-6.998609726688657e-23	0.9997214388001956	-2.4917859217461307	-0.0023371723931664727	0.01321635469097829	-0.002340019303208335	62.18218371105155	0.0025745427919338796	0.01321701491675991	0.0025715390117179164	-5.593729445556306e-08	1599.565890624997	-2.4902658856040776	-0.0023385918475409533	0.013208952289793819	-0.002338591847549751	62.21994933456375	0.0025731008059204823	0.013208952289794972	0.0025731008059227444	-5.5905964311630356e-08	-0.00032855396794958803	0.0	0.0	0.0	0.000888804895856006	0.0	0.0	0.0	-0.00027860000518203963	63.50171887159156	0.000795444279024814
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995620000000021	3.159829939952566e-23	-1.0167836438399824e-21	-9.370301979000697e-24	1.001185599999988	3.6700084719956715e-21	-1.257314531080602e-23	8.729733312639633e-23	0.9996282529290074	-3.3033866573794683	-0.003084931256139574	0.017055124800453993	-0.003089942142277508	82.89045940789433	0.004132379607506596	0.017056255247677597	0.004125951679773906	-4.280837164434423e-06	1599.565890624997	-3.3007018262927055	-0.0030874307914682624	0.01704239275762042	-0.003087430788451775	82.95762059059132	0.004129294691108567	0.017042392757735513	0.004129294691702464	-4.277641421056476e-06	-0.0004380959500163674	0.0	0.0	0.0	0.001184897731326487	0.0	0.0	0.0	-0.00037181618606422215	84.65625262324085	0.0010605930958547372
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994525000000002	-1.6421851264892747e-22	-2.6559776852342657e-22	-4.446922973085077e-24	1.001482000000014	9.894403615114297e-22	-4.1689902872672594e-23	3.748120791600279e-23	0.9995251121527452	-3.688827483599378	-0.0021425720181586345	-0.009681097753341006	-0.0021469234711702576	101.06211507829275	0.03357478200251259	-0.009681802324803365	0.03350917817227383	0.0035529377536087344	1599.565890624997	-3.6851187492494866	-0.002144764241413227	-0.009672067054545243	-0.002144764961763266	101.16551917251002	0.03354346285347358	-0.009672068274346817	0.03354346388076296	0.0035496235105848106	-0.0005476499328528009	0.0	0.0	0.0	0.0014809029217936974	0.0	0.0	0.0	-0.0004750006421996936	103.05584401156943	0.001328814288100394
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000058	-8.313628377300958e-22	-8.001761434033765e-21	1.7830043539703022e-22	1.0017784000000098	-9.949248998449012e-21	-6.432156443212344e-23	2.55168675360358e-22	0.9993862733301645	-3.316323410402254	0.009309022374304823	-0.14160269348673812	0.009331712094750203	110.81715782916797	0.14313537970858453	-0.141608826329816	0.14279358593382271	0.008364180070140415	1599.565890624997	-3.3124690814054936	0.009320862885015012	-0.1414442431771355	0.0093208665033934	110.95811051908423	0.1429752143567013	-0.14144424437022537	0.142975210696941	0.008354820736012989	-0.0006572159190719774	0.0	0.0	0.0	0.001776820519085366	0.0	0.0	0.0	-0.0006139150771389149	112.64742503654516	0.0016084516389126577
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999936	-5.624298769768555e-22	1.4266893567959402e-20	-1.5924219408380846e-22	1.0020748000000044	-1.1621715552802627e-20	-3.286884882040711e-22	2.191697751020502e-21	0.9992247713075765	-3.0525931050456143	0.027592394338730793	-0.28571657175580406	0.02767085420224123	115.81735644853075	0.29341816363585227	-0.2857140693732239	0.29258364154838234	0.0034319279155851454	1599.565890624997	-3.0486360886195105	0.02763498356474663	-0.2853437103713871	0.027634985017965862	115.99612207175974	0.29303525164011457	-0.28534370384241997	0.29303524827324523	0.003427449234541338	-0.000766793911329731	0.0	0.0	0.0	0.0020726505750556967	0.0	0.0	0.0	-0.0007755293375752877	117.55059138384676	0.001895881507880287
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999967	5.946171289725188e-22	6.720973502402378e-20	-4.0318768289304694e-22	1.0023711999999882	4.225847373851704e-21	-1.2970192004831475e-22	2.038808304041101e-21	0.9990547258533473	-2.9641663383320216	0.05406906592192659	-0.39952509337862896	0.054244797722002094	119.13723308521585	0.4413877300990555	-0.3994973903632015	0.4399273255052736	0.0013547471382997463	1599.565890624997	-2.95995230036019	0.05416767525435839	-0.3989294427206284	0.05416768003990081	119.35451153865296	0.4407296665725733	-0.39892944073403674	0.44072965007195314	0.0013527273502120232	-0.0008763839122244333	0.0	0.0	0.0	0.002368393141474334	0.0	0.0	0.0	-0.000945721200006595	120.865445514298	0.0021866636004092633
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999879	-2.823160813198583e-21	-5.325063205327291e-20	1.8465318250143747e-22	1.002667600000014	-2.686322640569651e-20	4.199165836013194e-22	-4.741690438729573e-21	0.9988808509467473	-2.9326067873154047	0.0845124865471739	-0.4908309751434715	0.08482152649584974	121.66562707512719	0.56619357496593	-0.4907653184121738	0.5640552245455139	0.0006147083818870399	1599.565890624997	-2.9280815383028713	0.08469063720948175	-0.49000802084339806	0.08469064003310366	121.92209582819642	0.5652442635720109	-0.49000802790799297	0.5652442418840926	0.0006136777278904839	-0.0009859859244156514	0.0	0.0	0.0	0.0026640482701283425	0.0	0.0	0.0	-0.0011197757681896735	123.4187841102045	0.002479156384139606
