6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	5.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998329313366072	5.911032657303936e-24	-6.097181382352869e-22	-2.991085094991748e-24	1.000499999999992	5.566859348032872e-22	2.117582368135751e-24	-2.936822046808269e-23	0.999834667138988	-1.7570341743610578e-11	-0.0012354743551327631	0.006853363011267077	-0.0012362986390716023	35.41319901457112	0.0018195364214970895	0.006853374909338805	0.001818326429120155	4.2132361165875265e-11	1599.565890624997	-1.7564464946375064e-11	-0.0012358851310967838	0.006851082643466047	-0.0012358851310968824	35.424973351208564	0.0018189309943131562	0.006851082643466149	0.0018189309943130488	4.2118342168249375e-11	-0.0001670826209165197	0.0	0.0	0.0	0.0004998750416427813	0.0	0.0	0.0	-0.0001653465299958318	35.424975543431685	0.00044406087596474575
4	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657465925779	2.339266772299962e-24	5.512331602053376e-22	-4.84396966711053e-24	1.0009999999999932	2.3377315250830637e-21	1.394957385009426e-23	-4.963083675318166e-23	0.9996692068925371	2.764589179596322e-10	-0.002478309075781086	0.013668525626368735	-0.002481616873752682	70.87485227358023	0.00368276051887265	0.01366857293938202	0.0036778644226538727	2.417920321358402e-10	1599.565890624997	2.7627412480067154e-10	-0.002479958089059476	0.013659436468796375	-0.0024799580890593398	70.92201086798042	0.0036803115941259506	0.013659436468796455	0.003680311594125882	2.416312477220784e-10	-0.00033430928254360264	0.0	0.0	0.0	0.0009995003330765465	0.0	0.0	0.0	-0.00033084783157163376	70.92201523043795	0.0008880548420935854
6	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994951266138763	2.1599340154984657e-23	-3.825015501343208e-21	1.6517142471458857e-23	1.0014999999999978	-1.604703918573272e-21	4.6375053862172944e-23	-9.126780006665086e-23	0.9994874573095472	0.0011924308112749205	-0.005022974228687809	-0.026373184016911775	-0.005033052390752599	102.20798351763965	0.041792306654869375	-0.026372981817785808	0.041708324672750464	0.0012524628836978711	1599.565890624997	0.0011912554132634402	-0.005028088585735108	-0.026346985383398986	-0.005028091230980619	102.31205096791805	0.041750790949939595	-0.02634698555025202	0.04175079179571574	0.0012512187102200944	-0.0005050008776048898	0.0	0.0	0.0	0.001498876123733953	0.0	0.0	0.0	-0.0005126740853562178	102.31086583516291	0.0013384830682781376
8	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993166223187145	2.1412992906588713e-21	-2.7309612768899526e-20	-2.841795538038178e-22	1.0019999999999731	-3.441706622931036e-21	8.134163271601453e-23	-2.608861477543245e-22	0.9992286084069326	-0.012479933297232544	0.008749504186850932	-0.24492402513735254	0.008773071214400645	115.3676772387025	0.23634950863499843	-0.2449024906892368	0.23569572027021624	-0.005549097292332127	1599.565890624997	-0.0124646383679791	0.00876224661496663	-0.24460231058755008	0.00876231927363591	115.53569411173838	0.23603905695218008	-0.24460234755706842	0.23603897809472632	-0.005541808398005768	-0.0006836112902479276	0.0	0.0	0.0	0.0019980026626464655	0.0	0.0	0.0	-0.0007716892686546748	115.546198477896	0.0018178133700167691
10	25.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991406606999865	3.4796113473206655e-21	-3.0633793570399023e-20	1.6432439176733427e-22	1.002500000000001	2.0286439086740493e-21	3.4230718980914413e-22	-1.0418505251227894e-22	0.9989327127958547	-0.004877554060257288	0.04730211432711996	-0.43892270180183746	0.0474611703782142	121.03541249934277	0.45211644025839887	-0.438831393583785	0.450507606339495	-0.0014382872559441757	1599.565890624997	-0.004870588901008487	0.04739338020213934	-0.43820469799158884	0.04739339570965393	121.26894123240726	0.4513768537083093	-0.43820474126954634	0.4513768269119861	-0.0014359344595958423	-0.0008597087436965612	0.0	0.0	0.0	0.0024968801985884746	0.0	0.0	0.0	-0.001067857160707448	121.27701737557298	0.002310236521404218
12	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989652811663972	3.5863374986747076e-21	3.721852182323555e-20	3.2017845406212553e-22	1.0030000000000183	9.444798526711713e-20	2.769797737521562e-22	1.5695520512622185e-21	0.9986265188825686	-0.0006258638497885396	0.09206766904810297	-0.5761784858299605	0.09243946785790222	124.55123093156591	0.6048097521197476	-0.5759830384492426	0.602172504034338	-0.0036988885979947093	1599.565890624997	-0.000624850093971325	0.09228979015705628	-0.5750501356741924	0.09228973713242121	124.8517214058231	0.6036253323699693	-0.5750500781000514	0.6036252965918145	-0.0036916449371702264	-0.0010352545246934705	0.0	0.0	0.0	0.0029955089798169667	0.0	0.0	0.0	-0.0013744252071800224	124.86233203886133	0.0028070710706213447
14	35.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987881438904407	5.404917236429691e-21	1.0395423603415215e-20	2.354751593366955e-22	1.0034999999999983	-1.0726952298970547e-19	-1.5602346888424213e-21	3.8955045244225274e-21	0.9983172765127643	0.002637097912203886	0.12875185400143033	-0.6666362434966542	0.12935924999829493	126.94597030347646	0.6940111522333898	-0.6663219035915212	0.6904267655348245	-5.799626713434852e-05	1599.565890624997	0.0026323297443763887	0.12912535430258137	-0.6651171807751544	0.1291253540131756	127.31423185983223	0.692429710360183	-0.6651171191014351	0.692429646245553	-5.786411115235775e-05	-0.0012125910009562057	0.0	0.0	0.0	0.0034938892542540683	0.0	0.0	0.0	-0.0016841408566533674	127.32400172060359	0.0033060655195684143
16	40.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9986084729771268	8.91078660511524e-22	-1.1491060720688651e-19	1.212951180468158e-21	1.0040000000000002	5.914746367382053e-20	-4.3249502286804574e-21	1.1282478857427281e-20	0.9980076639744385	0.000849285505932394	0.15663251461256078	-0.7278513063601798	0.15747817178309828	128.64043008165515	0.7401504437756434	-0.7274133427330716	0.7357328238734284	-0.0011591577257917215	1599.565890624997	0.000847590583593658	0.15716390000680838	-0.7259616956758485	0.15716389199219868	129.07685061556668	0.7382289026939008	-0.7259616411374586	0.7382288425170793	-0.0011561483792337894	-0.0013924960956991862	0.0	0.0	0.0	0.00399202126953812	0.0	0.0	0.0	-0.001994323367053609	129.0897490261891	0.003806180512714042
18	45.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9984264497885369	-1.0856421284958368e-20	-1.9002379490350336e-19	-3.066259269060567e-22	1.0045000000000182	-8.617120282302174e-20	-4.259728691741876e-21	-1.3599961001115047e-20	0.9976988610948089	-0.00015670987925323705	0.17692266435707127	-0.77142291042439	0.17799888449359647	129.91545496728054	0.7610935056084537	-0.7708607072846464	0.7559403664111339	-0.0013751286004200418	1599.565890624997	-0.00015636766767904487	0.17761020556856888	-0.76917739791755	0.17761018354661565	130.42032091888183	0.7588780606655776	-0.7691773580447661	0.7588780350090548	-0.0013711257785838872	-0.0015747895418668052	0.0	0.0	0.0	0.0044899052728703485	0.0	0.0	0.0	-0.0023037905940388975	130.4348747528594	0.004306745852265503
