6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	-4.6105392982480656e-23	-4.463400410887133e-22	-2.5477162866633253e-24	1.0002964000000032	1.672029802990188e-22	3.7587087034409574e-24	-9.926167350636332e-24	0.9999072045656866	-0.8340781620775408	-0.00077916011496508	0.004406589433809314	-0.0007794764106920752	20.70781765588698	0.0008561134221060846	0.004406663052032863	0.0008557803254014638	-1.1458294913550827e-09	1599.565890624997	-0.8339083974567407	-0.0007793177594709812	0.004405766139110603	-0.0007793177594729206	20.71200738996083	0.0008559534721827929	0.004405766139110268	0.0008559534721834496	-1.1456154130162608e-09	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608220180245	0.0	0.0	0.0	-9.279974007564014e-05	21.141301580150913	0.0002651814385826119
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999959	4.5091269551490645e-23	-2.445410588502767e-22	-1.138200522872966e-23	1.0005928000000197	5.949082965481375e-23	7.345363839470886e-24	1.1037898093907601e-23	0.9998143509175538	-1.6646804667926083	-0.0015581898509758225	0.0088120812666873	-0.0015594550665831263	41.435234477057854	0.001713949872230208	0.0088123752220588	0.0017126164399849265	-1.3815307945124616e-09	1599.565890624997	-1.6640031495116052	-0.001558820562909108	0.00880878968468829	-0.0015588205629131341	41.45200630805573	0.0017133096595068	0.008808789684687724	0.0017133096595083133	-1.381014750486462e-09	-0.0002190239840058061	0.0	0.0	0.0	0.0005926243635078209	0.0	0.0	0.0	-0.00018566631737026458	42.3085600254864	0.0005303294904295385
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999671499999995	1.432676820941844e-23	-6.56953459934515e-22	-3.194902397924814e-23	1.0008891999999756	-2.8230284643005744e-21	-1.3896634290890866e-23	5.2410163611359836e-24	0.9997214388001956	-2.491785921734514	-0.002337172393157084	0.013216354691114268	-0.00234001930319891	62.182183711044495	0.002574542792232419	0.013217014916895944	0.0025715390120161297	-5.593308981043099e-08	1599.565890624997	-2.490265885592469	-0.0023385918475315585	0.013208952289929717	-0.002338591847540332	62.219949334556674	0.002573100806218854	0.013208952289930924	0.002573100806221138	-5.590176202149486e-08	-0.00032855396794925486	0.0	0.0	0.0	0.000888804895856006	0.0	0.0	0.0	-0.00027860000518203963	63.501718871576365	0.000795444279024696
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999941	-1.4154714642007408e-23	2.7907088634069025e-22	-1.0084986028246514e-23	1.001185600000017	2.6209581668212204e-21	1.394957385009426e-23	5.971582278142817e-23	0.9996282529186862	-3.3033857181698116	-0.0030849271326515793	0.017055141206451754	-0.00308993801216485	82.89045624624384	0.004132440707331899	0.017056271654573137	0.0041260126845977735	-4.278818321143556e-06	1599.565890624997	-3.3007008878803763	-0.0030874266646711544	0.017042409151370366	-0.003087426661727658	82.95761742723634	0.004129355745321358	0.0170424091514718	0.004129355745997561	-4.275624084878456e-06	-0.0004380959500243645	0.0	0.0	0.0	0.0011848977313557623	0.0	0.0	0.0	-0.0003718161963892488	84.65624896437951	0.0010605930991014253
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999934	-7.898582233146351e-23	4.634964287375532e-21	1.3976043629695956e-23	1.0014820000000124	5.341813281859245e-21	1.2440796412797536e-24	1.7194768829262298e-22	0.9995250967810411	-3.687736408134017	-0.0021441068788568413	-0.009679909018453493	-0.002148461469353659	101.05765501049896	0.033673193073005495	-0.009680613348124787	0.03360739645684834	0.0036060664579599523	1599.565890624997	-3.6840288274043242	-0.002146300705548462	-0.009670879428530689	-0.002146301446656621	101.16105609704967	0.033641782124383866	-0.009670880641789826	0.03364178317707668	0.003602702655543247	-0.0005476499328595769	0.0	0.0	0.0	0.0014809029217919237	0.0	0.0	0.0	-0.00047501602120769167	103.05078412066766	0.0013288191316454486
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999963	2.9053230090822504e-22	9.308997969443168e-21	1.249373597200093e-22	1.0017784000000027	-1.9715538880291095e-20	-1.471719745854347e-23	-7.030373462210693e-23	0.9993861693345601	-3.308758488640522	0.009287005901977922	-0.141682871724941	0.009309642042081638	110.7870806459831	0.1439771358510323	-0.14168899341331942	0.14363331712812272	0.00843327765215956	1599.565890624997	-3.304913295726765	0.009298819376703637	-0.14152433169764997	0.009298823068822416	110.92800662266072	0.14381602859248221	-0.14152433300812492	0.14381602494370646	0.008423840999352847	-0.0006572159190814205	0.0	0.0	0.0	0.001776820519078495	0.0	0.0	0.0	-0.0006140191366127503	112.6133580718687	0.001608485388565673
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992335000000012	-4.37069000783219e-22	4.436546819481212e-21	2.744386749103933e-22	1.002074800000008	1.2868124534687331e-20	-2.200962173881096e-22	6.293454798099451e-22	0.9992245738108702	-3.0355362207932695	0.027468296569192634	-0.28557254046292185	0.02754640365310931	115.75764259717378	0.29551894418771013	-0.2855699826788009	0.2946783887521249	0.0034294916548151316	1599.565890624997	-3.0316019140667687	0.027510699686145657	-0.2851998670399732	0.027510701229122084	115.93633896609094	0.29513329066409727	-0.2851998602944776	0.2951332870801049	0.00342501615310232	-0.0007667939113220646	0.0	0.0	0.0	0.0020726505750590205	0.0	0.0	0.0	-0.0007757269875252619	117.48199453407744	0.0018959476979497306
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999967	9.385125055577649e-22	-1.29643686533191e-20	-6.073226231813333e-22	1.0023711999999925	1.0118655587899872e-20	-7.514241033329712e-22	-2.2404021454876244e-21	0.9990544425853584	-2.9374062056344608	0.05370385058035276	-0.39853706656689164	0.05387839592214032	119.04927992578705	0.4449285511764915	-0.39850931867148653	0.44345630467384184	0.0013434251593243472	1599.565890624997	-2.933231043160821	0.05380180910015569	-0.3979428889548388	0.053801814393728435	119.26643178955676	0.4442652086514173	-0.39794288657587734	0.4442651912384677	0.001341422251138127	-0.0008763839122244333	0.0	0.0	0.0	0.0023683931414787644	0.0	0.0	0.0	-0.0009460047360547814	120.76357654685187	0.002186761099482698
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999893	3.914986282209376e-21	1.4209401206664516e-20	-1.2104100816263952e-21	1.0026676000000017	-4.391569369982008e-20	-2.7867383964666482e-22	-4.708656153786656e-21	0.998880485205803	-2.89773312991473	0.08403220956058	-0.48858832113191253	0.08433949393148658	121.55181788486846	0.5713961135511831	-0.48852278446317055	0.5692379052874041	0.0005870203883672475	1599.565890624997	-2.8932627531410824	0.0842093786417546	-0.48776912698932406	0.08420938211722727	121.80809133051955	0.5704380792939693	-0.4877691329669314	0.5704380564815342	0.0005860361575886312	-0.0009859859244143179	0.0	0.0	0.0	0.0026640482701157197	0.0	0.0	0.0	-0.0011201419189786927	123.28684616444092	0.0024792849703696826
