6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	-4.743880812991614e-23	-6.667671307218441e-22	2.4616895029578103e-24	1.0002964000000032	4.390873214778483e-22	3.5072457972248372e-25	1.1580528575742387e-23	0.9999072045656868	-0.8340781620696486	-0.0007791601149643774	0.004406589433806044	-0.000779476410691389	20.707817655894928	0.0008561134220988521	0.004406663052029544	0.000855780325394234	-1.1329073224316393e-09	1599.565890624997	-0.8339083974488499	-0.0007793177594702783	0.004405766139107333	-0.0007793177594722344	20.712007389968775	0.0008559534721755618	0.0044057661391069475	0.0008559534721762182	-1.1326956583756387e-09	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608220113653	0.0	0.0	0.0	-9.279974007608427e-05	21.1413015801486	0.0002651814385823069
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999961	-7.314592720683913e-23	-6.950964123405603e-22	1.105113298370845e-23	1.0005928000000197	2.1221748748966454e-21	-1.4121627417505288e-23	2.3955150539535682e-23	0.999814350917554	-1.66468046677095	-0.0015581898509849231	0.008812081266696688	-0.001559455066592251	41.43523447709254	0.0017139498722467457	0.008812375222068266	0.0017126164400014772	-1.3685573486185015e-09	1599.565890624997	-1.6640031494899554	-0.0015588205629182117	0.008808789684697673	-0.0015588205629222546	41.45200630809041	0.001713309659523331	0.008808789684697185	0.0017133096595248701	-1.368046150571525e-09	-0.000219023984005584	0.0	0.0	0.0	0.0005926243635082647	0.0	0.0	0.0	-0.00018566631736982041	42.3085600255035	0.0005303294904296169
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999949	-1.7155725904349793e-23	8.127545826701028e-22	-3.467541127822292e-24	1.0008891999999756	-6.154223757394526e-23	5.320425699941074e-24	-1.063026348804147e-22	0.9997214388001955	-2.4917859217302984	-0.0023371723931688445	0.01321635469095791	-0.002340019303210648	62.18218371105252	0.002574542792120505	0.013217014916739376	0.002571539011904309	-5.592549080689346e-08	1599.565890624997	-2.4902658855882556	-0.002338591847543327	0.013208952289773448	-0.0023385918475520625	62.21994933456472	0.002573100806107003	0.013208952289774454	0.00257310080610925	-5.5894167274113746e-08	-0.00032855396794936593	0.0	0.0	0.0	0.000888804895856006	0.0	0.0	0.0	-0.0002786000051821507	63.5017188715786	0.0007954442790247701
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999984	2.427609661720626e-22	2.0176060105801417e-21	3.4463653041409346e-23	1.0011856000000128	-3.374632201420336e-22	3.7692966152816363e-23	-1.7020068283891097e-22	0.9996282529201779	-3.3033857708910768	-0.0030849314702564986	0.01705510645475378	-0.003089942356815679	82.89045661895987	0.004132417019925448	0.017056236900597016	0.004125989034042877	-4.278837344188654e-06	1599.565890624997	-3.3007009405538814	-0.0030874310057859558	0.017042374425615337	-0.003087431002842774	82.95761780013022	0.0041293320755981	0.017042374425716655	0.004129332076273855	-4.275643093722414e-06	-0.00043809595002003275	0.0	0.0	0.0	0.0011848977313506613	0.0	0.0	0.0	-0.00037181619489744266	84.65624936490772	0.0010605930986306248
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999943	-1.0407917339387215e-22	-5.15048971489818e-22	1.2896076621946722e-22	1.0014820000000029	-6.595527922914016e-21	4.497215554328301e-23	1.3457235949502696e-22	0.9995250955669659	-3.687934397176017	-0.002141236248067898	-0.00974609672798907	-0.0021455850108145005	101.05760519578631	0.03363174879118864	-0.009746805882403422	0.0335660331026017	0.0035982610456265123	1599.565890624997	-3.6842266218669586	-0.0021434271401650305	-0.009737005397003092	-0.002143427882658242	101.16100635424249	0.03360037650252461	-0.00973700663916834	0.03360037754111143	0.00359490452423618	-0.0005476499328586883	0.0	0.0	0.0	0.0014809029217826117	0.0	0.0	0.0	-0.0004750172358590418	103.0508422259765	0.0013288195141900917
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000063	-1.24090326772755e-22	-8.01774918091319e-21	-1.2705494208814505e-24	1.0017784000000127	8.00869651628941e-21	1.3896634290890866e-23	1.5246593050577405e-23	0.9993861075109471	-3.3142362646168246	0.009456475707847191	-0.14249560933966493	0.009479524834307612	110.77931337419174	0.14373829864722945	-0.14250175737349272	0.14339504145692916	0.008542647749636353	1599.565890624997	-3.310384910625051	0.009468505341260584	-0.14233615987679815	0.009468509021644977	110.92023633226302	0.14357745864227145	-0.14233616123963996	0.1435774550574414	0.008533088714088158	-0.000657215919071422	0.0	0.0	0.0	0.0017768205190880257	0.0	0.0	0.0	-0.0006140809981999866	112.6083961011248	0.0016085054532464901
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999926	3.5744790374131473e-22	2.4116086799514e-21	-5.099138342470888e-22	1.0020748000000197	5.3741275887969967e-20	-2.998496633280223e-22	-3.2695471764015994e-22	0.9992243339635333	-3.0571453265032624	0.028029753128119415	-0.28806779532543453	0.028109456647981836	115.72823254709252	0.29526533598323274	-0.2880651460268077	0.29442543169249275	0.0034921100034777594	1599.565890624997	-3.0531837454496196	0.028073029710315445	-0.2876918655839005	0.028073031199077118	115.90691133692464	0.2948800134194427	-0.2876918587594929	0.2948800103089009	0.003487552784544165	-0.0007667939113307309	0.0	0.0	0.0	0.0020726505750700997	0.0	0.0	0.0	-0.0007759670210194075	117.4637692223924	0.0018960280908634122
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999124000000004	-1.9312351197398046e-21	2.6135201587531438e-21	-1.3586408473958978e-21	1.0023711999999811	-9.596883292391223e-22	-2.5583571380632074e-21	2.574980159653073e-22	0.9990539502224323	-2.9835198294072067	0.05468192184702242	-0.40338754526107895	0.05485964608590966	118.99080332430393	0.444854354960354	-0.4033592613555358	0.44338213582402	0.0013634194754366914	1599.565890624997	-2.9792805903516357	0.05478169141592405	-0.40278613608617053	0.05478169682880403	119.20790727292038	0.4441911230541781	-0.402786134166197	0.4441911060111616	0.0013613867577898296	-0.0008763839122170993	0.0	0.0	0.0	0.0023683931414670237	0.0	0.0	0.0	-0.0009464975651008062	120.7289711447616	0.002186930596314056
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990145000000008	-4.599388903590851e-22	9.326891540453914e-20	5.675120746603813e-23	1.002667600000006	4.3221126683071555e-20	-9.592648127654952e-22	4.653599012215126e-21	0.9988796998405843	-2.973424361433015	0.08530496200115058	-0.4962670997976205	0.08561690093965788	121.46075181655279	0.5715287743689977	-0.49620014395055523	0.5693696172985641	0.0005874327210393115	1599.565890624997	-2.9688395488869954	0.08548488169857894	-0.49543503099094977	0.08548488566236652	121.71692896268364	0.5705705176853266	-0.4954350380091265	0.5705704947957942	0.0005864477989209727	-0.00098598592440276	0.0	0.0	0.0	0.0026640482701194845	0.0	0.0	0.0	-0.001120928164719813	123.234930682659	0.002479561145834401
40	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989050000000098	-2.7604803751017647e-21	-3.9910074892254496e-20	1.7584403984999276e-21	1.0029639999999886	-5.640392395766386e-20	3.767602549387128e-21	-1.1570470059493744e-21	0.9987032944404937	-2.957123152692412	0.1133599724601996	-0.5707770568566319	0.11382060940586212	123.43298664868834	0.6693260916443214	-0.5706618190955454	0.6664827010013366	0.000417822336890721	1599.565890624997	-2.9522122921873977	0.11363158440771752	-0.5697141102373212	0.11363158882520791	123.72873366735823	0.6680796191419964	-0.5697141275573812	0.6680796020985871	0.0004170442347663707	-0.0010955999504940318	0.0	0.0	0.0	0.002959616012611408	0.0	0.0	0.0	-0.0012975470096479639	125.24012800153304	0.0027732450354621126
44	33.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987955000000109	-8.11881079943247e-21	-2.1075471452931555e-19	7.792703114739563e-23	1.003260399999996	-8.318117651921406e-20	3.1801852004662708e-21	6.94905829927428e-21	0.9985255032134175	-2.9062353214043406	0.1365893979511507	-0.6288302513699425	0.13719999232374777	125.04272106762457	0.739391973444522	-0.6286602832841679	0.7359024026509784	0.00038488031820272045	1599.565890624997	-2.9010682410488706	0.13695605955634427	-0.627542551094003	0.13695606046458775	125.37838668671475	0.7378778680939004	-0.6275425698711837	0.7378778645848417	0.0003840921714956026	-0.0012052259931451062	0.0	0.0	0.0	0.003255096420649894	0.0	0.0	0.0	-0.0014755849267398687	126.86493349039111	0.0030676417289912518
48	36.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9986859999999896	-1.1989751368384621e-20	-7.28272575302143e-20	-1.4026865606531213e-21	1.003556799999985	-4.5992194970014e-20	-8.411037166235202e-22	-5.563312397566244e-21	0.9983467726265146	-2.8186745906028268	0.15505849057384574	-0.6742621374091597	0.15581473896920042	126.38314441272807	0.787415523734871	-0.674033123008936	0.7833276093228407	0.0003448788439938709	1599.565890624997	-2.813335744664506	0.15551961479036766	-0.6727564235206068	0.15551961058189043	126.758991799306	0.7856571238123935	-0.6727564382106741	0.7856571259381012	0.0003441086852730134	-0.0013148640550054917	0.0	0.0	0.0	0.003550489545787564	0.0	0.0	0.0	-0.0016545954619083464	128.20145063908686	0.0033625384930279774
52	39.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9985765000000092	-1.3230654636112172e-21	1.1217342023783426e-19	-9.825582188149883e-22	1.0038531999999751	4.3188515914602265e-20	-3.7523559563365505e-22	-2.7901265282556653e-21	0.9981673939199519	-2.7035744502640524	0.17009383355937543	-0.7112054626746512	0.1709926463316597	127.52597049631476	0.8196127843706645	-0.7109140989912853	0.8149705139575939	0.00029819749902996453	1599.565890624997	-2.6981416542936847	0.17064903976062484	-0.7094855172628572	0.17064903894187153	127.9422302051959	0.8176306718561958	-0.7094855268090395	0.8176306731986208	0.0002974763524033115	-0.0014245141386476329	0.0	0.0	0.0	0.003845795439595084	0.0	0.0	0.0	-0.0018342873569628282	129.32620103448303	0.0036577897915641313
56	42.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9984669999999989	-2.1506166530786687e-21	-1.8351731131916945e-19	-2.947674656444965e-21	1.0041495999999956	3.41444063235892e-19	2.2209203877007754e-21	-3.4389537658524596e-22	0.997987559970483	-2.5717720845303726	0.18282397180398838	-0.7422839407491989	0.18386448393639496	128.52378902469658	0.8405572819061963	-0.7419275209623096	0.8353991371803924	0.0002505713859186068	1599.565890624997	-2.5663089026583807	0.18347390148876552	-0.7403514467784658	0.1834739030129972	128.9806843916605	0.8383689388878898	-0.7403514540132847	0.8383689375437324	0.00024991903758403655	-0.0015341762467790225	0.0	0.0	0.0	0.0041410141536058435	0.0	0.0	0.0	-0.0020144677077973726	130.2974654746289	0.003953294629215026
60	45.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.998357499999997	-1.0158466136420824e-20	-1.2369179777107186e-19	-3.440647831746968e-21	1.0044459999999837	-1.4795124489690863e-20	2.208214893491961e-21	1.1575552257177269e-20	0.9978074022235537	-2.4319753133209185	0.19351317003254653	-0.7687317307268902	0.1946933130162191	129.41392161111014	0.853452559863835	-0.7683081631337064	0.8478119096808255	0.0002039200501442854	1599.565890624997	-2.4265310174580543	0.19425746682407768	-0.7665881987641534	0.19425746648736017	129.91167774118858	0.8510727922965228	-0.766588204493073	0.8510727920491481	0.0002033514393690884	-0.0016438503819988493	0.0	0.0	0.0	0.004436145739216517	0.0	0.0	0.0	-0.002195005038366288	131.15711956514906	0.004248981183093358
64	48.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9982479999999953	1.139259314057034e-21	2.6981387501838482e-20	1.2061749168901236e-21	1.004742399999997	-2.483178728829652e-19	-5.5599242657772275e-21	-1.3979431761484974e-20	0.9976270125568729	-2.2902976291541868	0.20223712847787445	-0.791310654974181	0.20355283847775668	130.22254956711197	0.8606704708930191	-0.7908184039336212	0.8545753723659992	0.0001627147901204426	1599.565890624997	-2.2849094495971385	0.20307396174538508	-0.7889579104414015	0.20307395781652574	130.76139504260897	0.8581115040293865	-0.7889579158017856	0.8581115039684087	0.00016223100245696075	-0.0017535365469538641	0.0	0.0	0.0	0.0047311902478985295	0.0	0.0	0.0	-0.0023758074399243476	131.9345310975867	0.004544797240382179
68	51.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9981384999999977	-1.0789505682125277e-20	-3.835280481872747e-20	2.149769620131414e-21	1.005038800000009	-1.2653994605621443e-19	-1.9312351197398046e-21	-2.2476866288340115e-20	0.9974464560713127	-2.1508419386658155	0.20929708555115337	-0.8106903101006093	0.21074398630966704	130.96803348273625	0.8640071061942937	-0.8101282364411021	0.8574801542570495	0.00012607254590857022	1599.565890624997	-2.1455373351709994	0.21022423550125577	-0.8081302179991341	0.210224230177804	131.54819925708884	0.8612786441162013	-0.8081302239432891	0.8612786432811066	0.00012567441936755684	-0.0018632347442792316	0.0	0.0	0.0	0.005026147730992682	0.0	0.0	0.0	-0.0025568097828376967	132.65019629568584	0.004840704307828947
72	54.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9980290000000056	-7.905358496724385e-21	5.914238147613701e-20	8.702416500090681e-21	1.005335200000009	-1.3455287773724012e-19	-1.5636228206314385e-21	-3.885170722466025e-20	0.9972657808871637	-2.0161930674236035	0.21513548902305332	-0.8274771677953842	0.21671040991601345	131.6635112888454	0.8647464599860739	-0.8268443802785447	0.8578054876436089	9.348094475202071e-05	1599.565890624997	-2.010991851609726	0.2161513636794732	-0.8247113462841529	0.21615135749722536	132.2852293740436	0.8618560668080207	-0.8247113523776921	0.8618560646032367	9.316848705778096e-05	-0.0019729449766138765	0.0	0.0	0.0	0.0053210182398109335	0.0	0.0	0.0	-0.002737963917549964	133.31859351936	0.0051366730866325965
76	57.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.997919499999999	3.630383211931931e-21	1.2001355719762006e-19	4.069146278609659e-21	1.0056315999999943	-2.052970694919193e-19	-3.3711911300721153e-21	8.639736061993864e-22	0.9970850245087888	-1.8878050918860652	0.22010716224424662	-0.8421304045986145	0.22180818350656595	132.3186643425285	0.8637259475618193	-0.8414262086739853	0.8563853846001247	6.484140170045605e-05	1599.565890624997	-1.8827213516275032	0.22121087418773352	-0.839160294535043	0.22121086803315326	132.98216701410004	0.8606796721690624	-0.8391603008691857	0.8606796691094216	6.461271253465114e-05	-0.0020826672466188402	0.0	0.0	0.0	0.005615801825628258	0.0	0.0	0.0	-0.0029192323066227384	133.950151023584	0.005432680426919497
80	60.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9978099999999962	8.007849483342156e-21	-6.0986372202309626e-21	-6.7508525896167735e-21	1.0059279999999764	-2.4036592757414183e-19	-1.8702487475374953e-21	5.0550926292136644e-21	0.9969042164832029	-1.766456585462416	0.22443317732971677	-0.8549764750616956	0.22625911798012982	132.94075511168566	0.8614804008544095	-0.8542003577680729	0.8537523960912147	4.060638943448702e-05	1599.565890624997	-1.7614999629355468	0.22562424858428698	-0.851803491994155	0.22562424189524927	133.64627429498256	0.8582832804602699	-0.8518034979920572	0.8582832767283978	4.045569126925354e-05	-0.0021924015569175456	0.0	0.0	0.0	0.0059104985396868795	0.0	0.0	0.0	-0.003100585367476208	134.55252306746038	0.005728707843275857
84	87.1	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9968208499999913	1.9524109434211623e-20	-8.874872408151657e-20	1.0779341286758227e-20	1.008605480000015	5.271323199988742e-19	1.245816058821625e-20	1.554474864801092e-20	0.9952711494093059	-1.0331028448482895	0.2510735727048444	-0.9241474961252231	0.25404122828410036	137.6259175238162	0.828681211492466	-0.9227106132494389	0.8177255126784474	-0.007433391602066909	1599.565890624997	-1.0291550724940592	0.25307105414982756	-0.9191848429977596	0.2530704663286419	138.72083648976317	0.8242312103583115	-0.9191846802137247	0.8242311417698239	-0.007393474441401184	-0.0031842142335236734	0.0	0.0	0.0	0.00856866391958754	0.0	0.0	0.0	-0.004740066979035015	139.2590315602887	0.00840202542749921
88	114.2	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9958316999999998	-8.6764972919047e-20	4.583871259997152e-19	-8.31193431140645e-21	1.0112829600000053	-2.9010539630280883e-19	-2.4109945810646404e-20	1.8831236483357605e-20	0.9936435443616455	-0.6750944752087178	0.2741609058383653	-0.9658847490588778	0.2784152777547824	141.57120628642846	0.811085923835456	-0.9637627734999966	0.7969383313827934	0.009054707312862129	1599.565890624997	-0.671832871246334	0.27706965512269127	-0.959106142444349	0.27707016176515376	143.07322621778073	0.8053936997749568	-0.9591065178257463	0.8053935624230216	0.008991161119650783	-0.004177011579189966	0.0	0.0	0.0	0.011219782184511444	0.0	0.0	0.0	-0.006376743922577521	143.4230678024714	0.011070860767718746
92	141.3	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9948425499999922	-2.9002408113987243e-21	9.254377049839475e-19	-1.1582328520755302e-20	1.0139604400000124	2.293290882714183e-19	-6.085084693074894e-21	1.6906777627195835e-20	0.9920235249724306	-0.5545126397722275	0.2959461703512191	-0.9994466102653853	0.30163388678347275	145.10688703921574	0.8118100160543101	-0.9966147607402998	0.7942467814733398	0.005050317138799318	1599.565890624997	-0.5512752154998202	0.2998723348860396	-0.9907959807343303	0.2998728505213336	147.03194494071	0.8047834599317967	-0.9907962011886446	0.8047836420842246	0.00500660452610609	-0.0051707955510428534	0.0	0.0	0.0	0.013863890601239182	0.0	0.0	0.0	-0.008008457288503069	147.32337319622735	0.01373374759295943
96	168.4	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.993853399999992	4.7813315806610746e-20	1.489260104126089e-18	9.497145162852028e-21	1.0166379199999784	1.7436749201633907e-18	5.748982019604387e-20	1.5815799191132296e-20	0.9904123440306754	-0.5619114962817894	0.31492817991260297	-1.0292705628144692	0.322148965436275	148.38648581048145	0.8253009901141409	-1.0257069152198393	0.8040113217422076	0.0037211822119939822	1599.565890624997	-0.5580660055337349	0.31994339646848813	-1.018687365417078	0.31994431065651363	150.74953366638582	0.8168150549225652	-1.018687399728888	0.8168151644883208	0.00368292015794912	-0.0061655681119965325	0.0	0.0	0.0	0.016501026141596785	0.0	0.0	0.0	-0.009633913447453442	151.04545747455487	0.016389962929565016
100	195.5	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9928642499999984	-4.198572912950116e-20	1.5707378973883745e-19	9.920449878242365e-21	1.019315399999989	1.817800467443509e-19	-2.2266802117421048e-20	1.428978463335895e-19	0.9888103085934449	-0.656309592707791	0.3309872584727399	-1.0569933749552218	0.3398038386023217	151.46883974262013	0.8473420507427732	-1.0526768722671964	0.8219822711111775	-0.011474388768997095	1599.565890624997	-0.6511592000297256	0.33713855180151325	-1.0444166969452042	0.3371372263483468	154.2838401378772	0.8372599174115296	-1.0444159854608266	0.837258551183066	-0.011337860294619901	-0.007161331230853125	0.0	0.0	0.0	0.01913122548581953	0.0	0.0	0.0	-0.011252766975605868	154.63456626434493	0.01903928910349359
