6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999917	8.514997225620867e-24	8.482240873363767e-23	-5.161607022330893e-25	1.0002964000000032	8.280872025043858e-22	9.462946207606636e-25	1.3102540902839959e-24	0.9999072045656867	-0.834078162059453	-0.0007791601149704724	0.004406589433807255	-0.0007794764106975021	20.707817655899298	0.000856113422106341	0.004406663052030809	0.0008557803254017428	-1.1407008303080183e-09	1599.565890624997	-0.8339083974386565	-0.0007793177594763744	0.004405766139108543	-0.0007793177594783464	20.71200738997315	0.0008559534721830492	0.004405766139108214	0.0008559534721837284	-1.1404877101704344e-09	-0.00010950599557099227	0.0	0.0	0.0	0.00029635608220069255	0.0	0.0	0.0	-9.27997400761953e-05	21.141301580151236	0.0002651814385819672
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999963	-5.430275285288116e-23	-2.3978973341177207e-22	-1.7470054537119945e-23	1.000592800000015	-1.6260385609322397e-21	7.411538288475128e-25	-2.736975210815458e-23	0.9998143509175537	-1.6646804667782413	-0.00155818985097172	0.008812081266684871	-0.001559455066579018	41.435234477078374	0.0017139498722487194	0.008812375222056058	0.0017126164400034266	-1.384708426647313e-09	1599.565890624997	-1.6640031494972523	-0.0015588205629050037	0.008808789684685901	-0.0015588205629090347	41.45200630807625	0.0017133096595253118	0.008808789684685027	0.0017133096595268206	-1.3841911956784831e-09	-0.00021902398400547296	0.0	0.0	0.0	0.0005926243635031607	0.0	0.0	0.0	-0.00018566631737037563	42.3085600255008	0.0005303294904263504
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999953	-1.8764757631887944e-22	-1.1859255354948255e-21	-1.0680556069284694e-23	1.0008891999999756	-2.1878331631986543e-21	-1.326135958045014e-23	3.202843331805323e-23	0.9997214388001961	-2.4917859217478013	-0.002337172393167637	0.01321635469098715	-0.002340019303209388	62.182183711054606	0.0025745427918585813	0.013217014916768906	0.0025715390116427665	-5.59397111931266e-08	1599.565890624997	-2.490265885605746	-0.0023385918475421165	0.013208952289802666	-0.002338591847550802	62.219949334566735	0.0025731008058452252	0.013208952289803956	0.002573100805847546	-5.590837969559362e-08	-0.00032855396794903276	0.0	0.0	0.0	0.000888804895856006	0.0	0.0	0.0	-0.0002786000051814844	63.50171887159656	0.000795444279024444
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999984	-2.657565872010367e-22	-1.8994713842177686e-22	-4.110756772143526e-23	1.0011856000000017	-1.9845187860780206e-21	-3.7163570560782425e-23	-1.011145580784821e-22	0.9996282529324985	-3.3033869634263398	-0.0030849316598489072	0.01705512633689966	-0.003089942546643468	82.89046046625394	0.004132366943853433	0.017056256784284133	0.004125939035833975	-4.280650978079156e-06	1599.565890624997	-3.300702132079264	-0.003087431195493926	0.017042394292918924	-0.003087431192478261	82.95762164951906	0.00412928203690907	0.017042394293033423	0.004129282037503499	-4.277455373693561e-06	-0.00043809595002003275	0.0	0.0	0.0	0.0011848977313400158	0.0	0.0	0.0	-0.0003718161825718275	84.65625384322418	0.0010605930947744245
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999999	8.142104205481962e-23	3.1098814658441637e-21	-6.860966872759833e-23	1.0014819999999907	5.7366365143981556e-21	2.310811759228138e-23	-1.3880752423129846e-22	0.9995251200544529	-3.6892764624647665	-0.002140835146100225	-0.009671905132286183	-0.0021451830696934235	101.06428310714203	0.03356150091233039	-0.009672609108983841	0.0334959232892966	0.0035361402017870486	1599.565890624997	-3.685567247577056	-0.0021430255752914696	-0.009662883008529763	-0.0021430262931384737	101.16768861985203	0.033530194152127435	-0.009662884224965234	0.033530195170666924	0.0035328416278159205	-0.0005476499328531341	0.0	0.0	0.0	0.0014809029217697522	0.0	0.0	0.0	-0.00047499273673845093	103.05825651838029	0.0013288117983218562
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000019	-1.3552527156068806e-22	1.3570420727079554e-20	-8.427977825180289e-23	1.001778400000013	-2.622837521172941e-21	6.12246002187249e-23	8.88537561669761e-22	0.9993863770208756	-3.320569605665539	0.009369786403380629	-0.14159874105472275	0.009392624021558977	110.8438294779331	0.14323683303843948	-0.14160488846013644	0.1428948120222627	0.008269049322966	1599.565890624997	-3.3167099974920298	0.00938170322885007	-0.14144029516780504	0.009381706663168883	110.98480457740563	0.1430765541625045	-0.14144029640220246	0.14307655069399414	0.008259796438059085	-0.0006572159190758658	0.0	0.0	0.0	0.0017768205190882476	0.0	0.0	0.0	-0.0006138113227563338	112.67636960651792	0.0016084179904858563
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999889	-5.022905377218001e-22	2.2893818256626043e-20	3.2187251995663413e-22	1.0020748000000252	-1.811718770882223e-20	-7.9086407493949955e-22	6.225692162319107e-23	0.9992250670323505	-3.064165151583688	0.027766026791400736	-0.2858878719811944	0.027844980205872435	115.89267880127052	0.2942560761732766	-0.28588545271799376	0.29341925810536457	0.0033879687118213877	1599.565890624997	-3.060192228864345	0.027808875791252727	-0.28551478704922434	0.027808877075327275	116.07152633369242	0.2938720706979827	-0.2855147805270233	0.2938720676427745	0.0033835473977320307	-0.0007667939113343975	0.0	0.0	0.0	0.002072650575076747	0.0	0.0	0.0	-0.0007752333834128877	117.63200574455763	0.0018957824099899113
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999998	1.7957098481791168e-21	-4.184723924262508e-20	1.506024580218146e-21	1.0023712000000056	2.0528266993181594e-20	-2.150669592637872e-21	1.0088162401798718e-21	0.9990552477184832	-2.9863711511202062	0.054283198162365764	-0.39992146515900884	0.05445962598868018	119.27197668607472	0.4434745441120463	-0.39989394371518594	0.4420074661771028	0.001333883792600306	1599.565890624997	-2.9821239877057404	0.05438216961491933	-0.39932522355160616	0.05438217448672006	119.48943846395758	0.4428133693613526	-0.3993252217307211	0.44281335312643505	0.0013318951096065782	-0.0008763839122213218	0.0	0.0	0.0	0.0023683931414918338	0.0	0.0	0.0	-0.0009451988412343256	121.0118656168199	0.0021864840091772694
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999977	-2.382703680626347e-21	-6.289325512481587e-21	5.903819642362473e-22	1.0026675999999766	-2.669763146450829e-20	-4.836558128822055e-22	-5.929230630780102e-21	0.9988816182904249	-2.9691963111940316	0.08481122902673159	-0.49164232713749834	0.08512136171270948	121.86789020787054	0.5699399734172168	-0.491576939110377	0.5677879099192059	0.0005860858111302535	1599.565890624997	-2.96461232416721	0.08498994414275489	-0.4908180124799097	0.08498994729045475	122.12469151104644	0.56898438060492	-0.4908180191618808	0.568984358589533	0.0005851031473154182	-0.0009859859244058717	0.0	0.0	0.0	0.00266404827009136	0.0	0.0	0.0	-0.0011190075650727993	123.6403148424078	0.002478886660035301
40	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.998904999999995	4.204671550170347e-21	-5.602275913139942e-21	-2.180262806232569e-21	1.0029639999999995	2.410189899764749e-20	9.368184396632563e-22	-3.140798168418946e-21	0.9987058730965036	-2.944553869609306	0.11278137268210268	-0.5652169413808408	0.11323965771332611	123.97330515449774	0.6677401560311772	-0.5651042843037972	0.6649052202859372	0.00042097392227514254	1599.565890624997	-2.9396562925638943	0.11305130639819748	-0.5641643492526194	0.11305131001353666	124.27002591751979	0.6664966369848113	-0.5641643654252076	0.6664966208221633	0.00042018995101679565	-0.0010955999505088139	0.0	0.0	0.0	0.0029596160126224773	0.0	0.0	0.0	-0.0012949650088718593	125.77466733022837	0.0027723228368440123
