6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999915	6.261426364781398e-23	6.540086969538262e-22	2.594038400966295e-24	1.0002964000000167	-2.8461630516724575e-22	1.7403880088115703e-24	5.8233515123733145e-25	0.9999072045656949	-834078.1616617122	-779.1601154719468	4406.589430575594	-779.4764112030441	20707817.65639587	856.1134459498126	4406.663048798777	855.7803492303015	-0.00027816265993442355	1599.565890624997	-833908.3970409787	-779.3177599779442	4405.766135877427	-779.3177599837686	20712007.390469655	855.9534960220545	4405.766135876744	855.9534960171014	-0.00027811069007275163	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.279974006753476e-05	21141301.580031544	0.00026518143858880755
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999977	1.1407482391596293e-22	7.287792068837195e-22	2.991085094991748e-24	1.0005927999999777	6.308277874676402e-22	-2.7660919683773244e-24	2.6866826295722336e-23	0.9998143509175602	-1664680.4663877508	-1558.189851465449	8812.081263588312	-1559.4550670805763	41435234.477586046	1713.949895863786	8812.375218959072	1712.6164635894484	-0.0005297812760054512	1599.565890624997	-1664003.1491069715	-1558.8205633989203	8808.789681590813	-1558.820563410437	41452006.308583796	1713.3096831316188	8808.789681589571	1713.3096831223756	-0.000529583386487805	-0.00021902398400402935	0.0	0.0	0.0	0.0005926243634661012	0.0	0.0	0.0	-0.0001856663173638241	42308560.02539967	0.0005303294903991043
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999897	1.7221900353354036e-23	-1.3619231000665081e-21	2.7581510344968156e-23	1.000889199999972	1.6523230520767247e-21	4.235164736271502e-25	-2.88785295454513e-23	0.9997214390393796	-2491807.999081111	-2337.0891699956987	13216.475518305211	-2339.9359786717096	62182256.96990041	2573.5103913693047	13217.135753282331	2570.507816279585	-0.0006218563018010173	1599.565890624997	-2490287.948875676	-2338.50857326608	13209.07304944619	-2338.508573283174	62220022.62301965	2572.068983597309	13209.073049444616	2572.068983584543	-0.0006215080038071616	-0.00032855396795458566	0.0	0.0	0.0	0.0008888048958520127	0.0	0.0	0.0	-0.00027859976593183204	63501803.76589872	0.0007954442043346144
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995620000000048	-5.390570615885571e-23	-2.4937179362758634e-22	6.355394082367422e-23	1.001185599999992	-2.4569778821887084e-21	-3.9228213369714784e-23	-1.2297859602948373e-22	0.999628423023803	-3312907.081573859	-3109.4590011197447	17500.0290689956	-3114.5097331227466	82936488.00909111	3582.450574213861	17501.191981775402	3576.878666026604	-1.561654361900517	1599.565890624997	-3310213.9494924434	-3111.9778802854166	17486.964894895198	-3111.9778824328173	83003672.36226794	3579.776192484374	17486.96489347242	3579.77618779703	-1.5604885510102557	-0.00043809595001359063	0.0	0.0	0.0	0.001184897731329592	0.0	0.0	0.0	-0.00037164602802802635	84707308.807251	0.0010605399627450715
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994525000000043	3.1419628387214205e-23	8.161691842387218e-22	1.1085543697190655e-22	1.0014819999999967	-1.8755427034578344e-21	-3.6104779376714555e-23	-1.2525499707522967e-22	0.9995325113991232	-3990708.5481815627	-3473.2902168384294	13749.2575587498	-3480.342779534285	102959036.24322635	13210.66487573968	13750.358528938723	13184.94913635866	237.86589082717862	1599.565890624997	-3986666.791312221	-3476.8182578457836	13736.432008709895	-3476.8179169273035	103063618.26179272	13198.341734457306	13736.432278657787	13198.341924847062	237.64400532735766	-0.0005476499328486908	0.0	0.0	0.0	0.001480902921776182	0.0	0.0	0.0	-0.00046759790774030853	105113561.47314829	0.0013264899793026979
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000055	2.66603620148291e-22	-3.63504189314183e-21	1.2303153558868712e-22	1.0017783999999916	-5.698414152653305e-22	1.1096131609031335e-22	6.594151494374728e-22	0.9994127390235231	-3885257.0793586886	1421.0465171107758	-65392.683988651166	1424.5008331402714	117078658.98218417	82688.14369844062	-65397.249659685345	82492.86480691306	6464.76570964794	1599.565890624997	-3880638.75198563	1422.8163229722581	-65319.511008897454	1422.8075574943464	117224471.58889775	82595.61747844683	-65319.51325716242	82595.60342518333	6457.53177854845	-0.0006572159190721996	0.0	0.0	0.0	0.0017768205190667474	0.0	0.0	0.0	-0.0005874334817442826	119209241.73880003	0.0015999374953831803
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992335000000003	-2.473336205982557e-22	-3.785199658866336e-20	-4.764560328305439e-22	1.0020747999999677	1.288591222657967e-20	-5.61159327555974e-23	7.428478947420214e-22	0.9992612032058347	-3466235.1641974286	16693.56617775579	-218777.54206309002	16741.03369418522	124059543.68825111	217860.6027500072	-218783.60388026328	217248.9042031356	5071.620016925985	1599.565890624997	-3461615.7406277275	16718.72335081019	-218492.03640722335	16718.72305397625	124246501.1889063	217576.29370398223	-218492.03274081272	217576.29789605425	5065.001530468991	-0.0007667939113229534	0.0	0.0	0.0	0.0020726505750189137	0.0	0.0	0.0	-0.0007390698390084733	126011681.23895021	0.0018837896380470977
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000061	9.147955830346444e-22	2.0055728487732102e-20	-6.242632821264193e-22	1.002371199999982	-1.1722935989999517e-20	-2.3176939019245794e-22	-7.343775652694784e-22	0.9990943786761455	-3265450.138751967	39213.61539909486	-361213.60542926466	39341.06716487273	127961108.08876383	375678.2199965083	-361202.8909939733	374450.11965315725	2019.8537685610684	1599.565890624997	-3260678.36008869	39283.57268525585	-360675.0732436297	39283.57834804466	128189391.34612067	375118.1225642155	-360675.06782255054	375118.14054097875	2016.8423751686366	-0.000876383912214988	0.0	0.0	0.0	0.0023683931414681314	0.0	0.0	0.0	-0.0009060316465956862	129852614.62101093	0.002173134694856421
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999986	4.006465840512841e-21	4.568133387837167e-20	-6.920259179067633e-22	1.00266759999998	4.322790294664959e-20	-4.156814188650479e-22	5.79285832627216e-21	0.9989210958541295	-3229219.9208696093	68746.12017334819	-477438.47494140046	68997.51585153565	130616818.34049875	525095.9615967363	-477393.8360470466	523133.9291556143	728.6938144604775	1599.565890624997	-3224107.0745802596	68888.26013704306	-476637.97524625954	68888.2716063184	130886882.59678032	524215.5567294296	-476637.97507659456	524215.56456296874	727.472046197251	-0.0009859859244049827	0.0	0.0	0.0	0.0026640482700944603	0.0	0.0	0.0	-0.0010794865819146466	132533737.40233134	0.002465114159275693
