6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999915	1.586532414876707e-24	-7.318827885420185e-22	-2.6469779601696887e-24	1.0002964000000167	-2.4787625108009047e-22	9.132073962585426e-25	-5.889525961377557e-24	0.9999072045656949	-834078.1616697161	-779.1601154642477	4406.589430570161	-779.476411195306	20707817.65638751	856.1134459474339	4406.663048793438	855.7803492279257	-0.0002863617359380441	1599.565890624997	-833908.3970489808	-779.3177599702435	4405.766135871996	-779.3177599760321	20712007.390461292	855.9534960196763	4405.766135871406	855.9534960147253	-0.0002863082342214286	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.279974006753476e-05	21141301.580031276	0.00026518143858880755
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999974	3.8606173549074905e-23	2.0770836053451547e-22	6.776263578034403e-24	1.0005927999999777	3.0080257539368343e-22	-7.676236084492097e-25	9.031488800098977e-23	0.9998143509175601	-1664680.4664003619	-1558.1898514531697	8812.081263587232	-1559.4550670682793	41435234.477567345	1713.9498958593435	8812.375218957657	1712.6164635850503	-0.0005355969924767123	1599.565890624997	-1664003.1491195776	-1558.8205633866366	8808.789681589737	-1558.820563398145	41452006.30856511	1713.3096831271787	8808.789681588158	1713.3096831179766	-0.0005353969306110058	-0.0002190239840043625	0.0	0.0	0.0	0.0005926243634663232	0.0	0.0	0.0	-0.00018566631736371305	42308560.02539041	0.0005303294903993355
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999898	-4.4763706028919645e-23	-1.8663841597156474e-22	2.0725837428128662e-23	1.000889199999972	-2.582815214415175e-21	3.017554874593445e-24	-7.144193514497989e-23	0.9997214390393796	-2491807.9990864713	-2337.0891700072552	13216.475518311265	-2339.935978683371	62182256.969894595	2573.51039136036	13217.135753288041	2570.5078162705718	-0.0006172615637005947	1599.565890624997	-2490287.948881033	-2338.5085732776433	13209.073049452238	-2338.508573294828	62220022.62301382	2572.068983588368	13209.07304945032	2572.068983575524	-0.0006169158391920572	-0.00032855396795447464	0.0	0.0	0.0	0.0008888048958522346	0.0	0.0	0.0	-0.0002785997659316099	63501803.765893556	0.0007954442043346535
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999971	-2.9050583112862332e-24	1.6135977645194422e-22	-3.578714202149419e-23	1.001185600000009	2.205594385311393e-21	1.4320150764518016e-23	1.7131241358218225e-22	0.9996284319535003	-3313385.2090770835	-3110.9717763846834	17523.902450241185	-3116.0249652665098	82938882.27941875	3554.3718253933293	17525.06710624263	3548.8436214431504	-1.3079190675731187	1599.565890624997	-3310691.65874121	-3113.491853191224	17510.82045411257	-3113.4918549994663	83006067.830628	3551.718405095454	17510.820452922362	3551.7184011400695	-1.3069426759145188	-0.00043809595002136556	0.0	0.0	0.0	0.0011848977313475564	0.0	0.0	0.0	-0.0003716370950112259	84709955.51482266	0.001060537173620621
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999852	-8.84090638696676e-23	-3.303190266275356e-21	-1.4457793618446838e-22	1.001481999999988	-3.21729583146785e-21	8.576208590949791e-24	-1.8370027043577637e-23	0.9995329046185026	-4008546.0108503383	-3530.0680166578245	14907.889268903667	-3537.2358800310694	103061598.06277843	12073.572173042707	14909.088816063717	12050.0746677057	168.0381885862318	1599.565890624997	-4004484.6129677915	-3533.6523403245906	14893.982926762283	-3533.6520064084793	103166243.67394738	12062.309731896377	14893.983153914807	12062.309946916735	167.88143959909164	-0.0005476499328677971	0.0	0.0	0.0	0.001480902921767535	0.0	0.0	0.0	-0.00046720450452674653	105225576.06512474	0.001326366858533579
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993429999999976	-3.0895526751100606e-22	4.087992761686067e-22	-1.8761779781682753e-22	1.0017784000000107	-6.093343264310623e-21	-6.686266327388633e-23	-3.536362554786704e-23	0.999414799274152	-3942125.062777151	923.35946001809	-59181.30053139365	925.6011991563377	117579513.82870808	77820.15561674429	-59185.55450379743	77636.53315277195	6105.150822858516	1599.565890624997	-3937431.0207082108	924.5075284892664	-59115.077953553344	924.499049706812	117725707.52523482	77733.07656869025	-59115.07995560574	77733.06333390248	6098.319292933297	-0.0006572159190800874	0.0	0.0	0.0	0.0017768205190862526	0.0	0.0	0.0	-0.0005853720226244705	119740206.95524338	0.0015992809864917542
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992335000000033	8.893845946170153e-23	1.7663389807330738e-20	1.0333801956502464e-22	1.0020748000000053	-2.1108061045577164e-21	-1.3062836233437412e-22	-2.159934015498466e-22	0.9992646988401512	-3520824.135762807	15678.370334358266	-210771.96542412174	15722.950776564448	124866317.3767088	210329.5333106038	-210778.54315000257	209739.71244406656	5094.8552283566005	1599.565890624997	-3516119.661756197	15701.942680341594	-210496.90708101614	15701.941998396798	125054053.2173668	210055.0523433548	-210496.90392601295	210055.054980487	5088.2064198461585	-0.0007667939113199535	0.0	0.0	0.0	0.002072650575056583	0.0	0.0	0.0	-0.0007355716263373913	126847278.21492712	0.0018826418644905276
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991239999999975	3.7269449679189215e-22	1.2464619214439063e-20	4.760325163569168e-22	1.0023711999999847	-3.453522732545233e-20	-2.54903977564341e-23	3.725250902024413e-21	0.9990988474580095	-3307047.2023628517	37435.59911782234	-353522.81818472105	37557.27134226306	128963915.75088297	367344.44611743494	-353513.91293750814	366145.2267025476	2058.1833777219927	1599.565890624997	-3302199.8680243758	37502.216672902105	-352995.75216869486	37502.22143220834	129193410.16163881	366796.77348142624	-352995.7467232229	366796.79099914874	2055.1148388403517	-0.0008763839122236553	0.0	0.0	0.0	0.0023683931414714542	0.0	0.0	0.0	-0.0009015588240415662	130877756.53395583	0.0021716249809830743
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999856	-2.1099590716104622e-21	2.6403287515337425e-20	-7.487771253728015e-22	1.002667600000008	1.4551179000881624e-20	-3.237783440879563e-22	3.1679032227310833e-22	0.9989263651199605	-3259169.67989333	66371.91107826274	-469793.46453859005	66614.62384020124	131779950.82177337	517394.74057808594	-469752.01795597054	515464.20370026666	762.2709508722182	1599.565890624997	-3253992.249273575	66508.79127944763	-469005.78288978315	66508.80161335571	132051723.41182806	516527.2480029331	-469005.78234373435	516527.256470028	760.9928853290751	-0.000985985924417985	0.0	0.0	0.0	0.002664048270122806	0.0	0.0	0.0	-0.0010742116388227597	133713563.12371206	0.002463291408972465
