6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	7.037652651601159e-24	1.2885488710106045e-22	-6.485096002415737e-25	1.0002964000000167	-5.37276968910343e-22	1.793327568014964e-24	9.964548531058792e-23	0.9999072045656953	-834078.1616845904	-779.1601154695599	4406.589430591193	-779.4764112006252	20707817.656355318	856.1134459376173	4406.663048814408	855.7803492181247	-0.00028525652481039285	1599.565890624997	-833908.3970638518	-779.3177599755564	4405.766135893023	-779.3177599813499	20712007.390429083	855.9534960098615	4405.76613589237	855.9534960049218	-0.00028520322958328027	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.279974006720167e-05	21141301.58000644	0.00026518143858866427
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999976	7.301688703128086e-23	-3.240562767737741e-22	-1.1249656330721176e-23	1.0005927999999777	-7.995858673182587e-22	-5.915995740979254e-24	4.645446320097803e-23	0.9998143509175593	-1664680.4663560449	-1558.1898514544532	8812.081263598822	-1559.455067069559	41435234.47769913	1713.9498958605109	8812.375218969562	1712.6164635861544	-0.0005259145684703981	1599.565890624997	-1664003.1490752802	-1558.8205633879215	8808.789681601322	-1558.8205633994257	41452006.30869697	1713.3096831283453	8808.789681600067	1713.3096831190824	-0.0005257181232863357	-0.0002190239840041404	0.0	0.0	0.0	0.0005926243634654355	0.0	0.0	0.0	-0.00018566631736493454	42308560.025494196	0.0005303294903990467
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996715000000094	3.910909936150715e-23	4.976318565119014e-23	-1.0124690697649059e-23	1.0008892000000023	-1.6360441376216811e-21	-1.6464202912255463e-23	1.0402623383466876e-22	0.9997214375319888	-2491714.179922061	-2337.2777842175824	13213.398525861367	-2340.124822771919	62181841.058842644	2578.463735580371	13214.058587129748	2575.4553772247014	-0.21261473627435043	1599.565890624997	-2490194.190702761	-2338.6973055668323	13205.997780406742	-2338.6973057111372	62219606.553177424	2577.0195534697914	13205.997780333575	2577.019553257476	-0.21249565203270065	-0.00032855396793492826	0.0	0.0	0.0	0.0008888048958826276	0.0	0.0	0.0	-0.0002786012737421739	63501338.42483259	0.0007954446750578273
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999907	-7.83571650659232e-23	5.384217868781164e-22	-1.0852609636695724e-24	1.0011856000000052	-6.819541667683177e-21	-3.501951841304498e-23	5.0663158157647837e-23	0.9996281393101538	-3298452.8109110068	-3070.4615362371933	16738.016814983053	-3075.4489232879455	82861167.70691007	4449.8379851077525	16739.124336569574	4442.9157349339175	-9.187840721768984	1599.565890624997	-3295772.364414387	-3072.9496968919825	16725.5215005522	-3072.949698116468	82928314.58201826	4446.516078731095	16725.521496160272	4446.516069279011	-9.1809817874025	-0.00043809595002769665	0.0	0.0	0.0	0.0011848977313435643	0.0	0.0	0.0	-0.00037192984717763497	84624358.07908314	0.0010606285926731882
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999943	-6.776263578034403e-24	7.844054487166855e-22	-4.235164736271502e-23	1.0014820000000242	-9.21995363086306e-22	-9.079134403382032e-24	-6.225692162319107e-23	0.9995255452906906	-3712187.1358576617	-2370.6033454093613	-7354.057070006667	-2375.4193173927943	101180155.5289928	31941.624027408045	-7354.5943631317805	31879.221276496788	2127.427376923527	1599.565890624997	-3708453.308759414	-2373.027855975014	-7347.1970758181515	-2373.0300507172788	101283636.50846136	31911.82831694321	-7347.196895621475	31911.82542723306	2125.4428751304	-0.0005476499328586883	0.0	0.0	0.0	0.0014809029218036747	0.0	0.0	0.0	-0.0004745672985587364	103186865.12936491	0.0013286778338984844
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000064	-8.893845946170153e-23	-1.722240327916647e-20	1.3976043629695956e-23	1.0017784000000047	3.8535763935334395e-21	3.621065849512134e-23	-1.018133602599669e-21	0.9993899363429295	-3349218.0202518236	6995.115019973609	-127206.49727335585	7012.156717246564	111637522.35295458	134923.08619255587	-127212.47309852378	134601.38862425106	6838.283868922538	1599.565890624997	-3345313.1987180244	7003.98670970736	-127064.15599170334	7003.981310216532	111779108.79694186	134772.11021707652	-127064.15728231854	134772.09943518077	6830.63197919151	-0.0006572159190713109	0.0	0.0	0.0	0.001776820519080268	0.0	0.0	0.0	-0.0006102498216220109	113485941.2472264	0.001607264343052763
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999233500000004	-3.5236570605778892e-22	1.121789259519914e-20	-3.2441361879839704e-22	1.0020747999999977	-1.550324403359546e-20	-8.915021769851511e-23	1.6343500717271725e-21	0.9992296455983503	-3013474.7175576063	26149.345016607673	-274344.6283411019	26223.702622076828	116822954.0805866	284178.2123094854	-274343.56472518895	283371.3693844326	3257.5307672430085	1599.565890624997	-3009553.7287071645	26189.579122224	-273986.6073929214	26189.58159726803	117002701.10942823	283807.3584909197	-273986.6020295305	283807.37241231784	3253.279675245809	-0.0007667939113192868	0.0	0.0	0.0	0.002072650575048606	0.0	0.0	0.0	-0.0007706512770780218	118536549.04061571	0.0018942500886596748
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000053	-4.8026768109318825e-22	3.3741980970348684e-20	-6.522153693858113e-23	1.0023712	-2.948140524565955e-20	-8.048930581283989e-22	1.0367683274392636e-21	0.9990592749009268	-2886205.4792000004	54018.6663090502	-396662.5545653563	54194.23954848772	120033944.07607014	436016.1046243534	-396636.8560227149	434575.4797914748	1237.2682955303305	1599.565890624997	-2882089.1519304737	54116.937310922396	-396071.1716571233	54116.94732944358	120252310.36959435	435366.0496367539	-396071.1696506558	435366.06146825803	1235.4236562659137	-0.0008763839122157659	0.0	0.0	0.0	0.002368393141486739	0.0	0.0	0.0	-0.0009411678586276457	121722658.11979352	0.0021850994943747285
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999985	-5.5734767929332965e-22	4.2812962681613393e-20	1.813497540071457e-21	1.002667600000011	3.1815828048292404e-20	-8.24798332388875e-22	-3.172138387467355e-21	0.9988844709324775	-2861094.3891510204	85833.99477740015	-496045.67477851454	86147.87501762461	122370409.89883374	567166.9409339253	-495981.1155919813	565026.9848096432	485.5188494792724	1599.565890624997	-2856669.136854112	86014.61943255297	-495213.97722524917	86014.6301714423	122627919.91157643	566215.9975409034	-495213.982015641	566215.9986094547	484.7048017822404	-0.000985985924405094	0.0	0.0	0.0	0.002664048270125021	0.0	0.0	0.0	-0.0011161517331838488	124087615.61466703	0.0024778846186047265
