6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	8.84090638696676e-24	-2.1530518728020248e-22	9.754113783225302e-24	1.0002964000000167	1.0926063275090433e-21	1.61465655570351e-24	-3.546950466627383e-24	0.9999072045656948	-834078.1616657828	-779.160115454628	4406.589430572644	-779.4764111857013	20707817.656409595	856.1134459598671	4406.663048795843	855.7803492403635	-0.0002888441393542962	1599.565890624997	-833908.3970450485	-779.3177599606219	4405.766135874477	-779.3177599664294	20712007.390483383	855.9534960321072	4405.7661358738105	855.9534960271656	-0.00028879017384371853	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.279974006742373e-05	21141301.58005244	0.0002651814385887336
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999975	8.692344748952236e-23	1.0494738216480782e-21	1.0257039595657543e-23	1.0005927999999777	3.3460448394505033e-22	-9.59529510561512e-24	1.8211208365967456e-23	0.9998143509175601	-1664680.4664185676	-1558.1898514670306	8812.081263597267	-1559.4550670821639	41435234.47755654	1713.9498958607137	8812.375218968053	1712.6164635864066	-0.0005462257788185525	1599.565890624997	-1664003.1491377763	-1558.820563400503	8808.789681599768	-1558.8205634120243	41452006.3085543	1713.3096831285484	8808.789681598551	1713.3096831193334	-0.0005460217467759118	-0.00021902398400425145	0.0	0.0	0.0	0.0005926243634661012	0.0	0.0	0.0	-0.00018566631736393515	42308560.02539423	0.0005303294903992175
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999997	5.44781151427424e-23	2.243843216835845e-22	-6.935082255644584e-24	1.0008892000000005	2.512035023760238e-21	-3.441071348220595e-25	2.9222636680273364e-23	0.9997214384127847	-2491766.4615372326	-2337.1866319901537	13215.31299529555	-2340.033559452221	62182081.56865973	2575.9530550485883	13215.973163868834	2572.9476283131817	-0.14541385625554903	1599.565890624997	-2490246.438231228	-2338.6060959186602	13207.911177558204	-2338.6060960032564	62219847.154248	2574.510279155182	13207.911177510681	2574.5102790225164	-0.1453324108247165	-0.0003285539679445904	0.0	0.0	0.0	0.0008888048958806311	0.0	0.0	0.0	-0.0002786003927010907	63501606.501750864	0.0007954444000154903
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999561999999993	-1.2342196483781215e-22	-3.468335221210343e-22	3.1128460811595536e-23	1.0011856000000086	-3.719824597206065e-21	-3.102258169318875e-23	-7.093900933254766e-24	0.9996282569594975	-3304338.9353656233	-3086.085542975144	17055.56541059838	-3091.09831134864	82892291.57479213	4094.784562142536	17056.695951506732	4088.415118290462	-6.178550322952855	1599.565890624997	-3301653.3170015966	-3088.586001100316	17042.83303883901	-3088.5860053920323	82959453.90749355	4091.7277113102937	17042.83303466527	4091.727700090042	-6.173937893065485	-0.0004380959500254752	0.0	0.0	0.0	0.0011848977313466693	0.0	0.0	0.0	-0.0003718121540754084	84658589.08254468	0.001060591836743395
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999902	-1.699889246020974e-22	-5.509949321889223e-22	6.638620724105579e-23	1.0014820000000098	3.2081372877256624e-23	-6.45068528893353e-23	-1.1350241493207625e-22	0.9995277845438137	-3795899.964489116	-2745.995026528794	-532.9271037190078	-2751.5721009214776	101746018.18054345	26138.804278340296	-532.9669039846044	26087.79747565856	1452.174092863631	1599.565890624997	-3792073.441120601	-2748.7973069601967	-532.429979913802	-2748.798330526359	101849849.71445592	26114.421540521744	-532.4296373727808	26114.42000179505	1450.819479247945	-0.0005476499328627983	0.0	0.0	0.0	0.001480902921789263	0.0	0.0	0.0	-0.0004723269850168132	103797175.4206463	0.0013279731673519872
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000005	5.480303168735323e-22	5.325560837183803e-21	-2.752857078576476e-23	1.0017784000000056	4.789759558486255e-21	6.453332266893701e-23	1.5098362284807903e-22	0.9993958892304726	-3476709.630593147	5522.756974638987	-112145.50862142096	5536.2093981429925	113044508.61985192	121525.45081389831	-112151.44575816585	121236.41651525104	6957.546418354873	1599.565890624997	-3472635.482972105	5529.7283798979515	-112020.02025588276	5529.721846191412	113187205.29933798	121389.46649868682	-112020.02220127419	121389.45388328184	6949.761076445704	-0.000657215919077199	0.0	0.0	0.0	0.0017768205190811547	0.0	0.0	0.0	-0.0006042933179616592	114959906.26152036	0.001605340897611483
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999991	1.122318655111948e-21	2.889663487469886e-20	-1.0587911840678754e-22	1.0020748000000175	1.3607584297640335e-21	1.4006483876237907e-22	-2.6639186191147746e-21	0.9992374509657562	-3118165.0522569055	23520.1143909227	-261968.2718899687	23586.994927423628	118604688.06717591	268364.03687461844	-261969.30232316465	267604.18345849303	3603.2665426694707	1599.565890624997	-3114083.5200561485	23556.119083651734	-261626.4021414576	23556.120654348924	118786248.63610451	268013.8206246358	-261626.39676007783	268013.8330987238	3598.564263962688	-0.0007667939113241756	0.0	0.0	0.0	0.0020726505750683273	0.0	0.0	0.0	-0.0007628399226459918	120373530.91004035	0.0018916463721648192
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000136	3.049318610115481e-22	-4.7085502746682484e-21	4.531626267810507e-22	1.002371200000001	1.2247249384349928e-20	-1.0908725569451321e-21	7.737645973168033e-22	0.9990678958300274	-2975682.3637841092	50078.411351117415	-388632.6690567423	50241.177599825	121976129.78054531	422457.859916431	-388610.84319452336	421065.6678602729	1384.725392174003	1599.565890624997	-2971412.7834707266	50169.08131201922	-388053.25787860784	50169.090355093474	122196974.86368129	421828.0188716202	-388053.2550507537	421828.0324523584	1382.6609096053617	-0.000876383912207543	0.0	0.0	0.0	0.002368393141487182	0.0	0.0	0.0	-0.000932538849196068	123712795.9825286	0.002182143875094098
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999974	2.408114669043976e-21	-2.7281872439876945e-21	-8.690558038829122e-22	1.0026675999999988	1.3753273964568073e-20	-1.6940658945086007e-21	-1.6390087529370712e-21	0.9988935176274083	-2948756.5034081624	81622.2889372139	-491561.2345038443	81920.76832202193	124403061.43689631	558442.2355060382	-491501.70908760256	556340.2378650774	521.3338556807835	1599.565890624997	-2944168.999448484	81793.30990917583	-490737.05581062974	81793.32075264046	124663719.80312204	557505.9204356285	-490737.05929911643	557505.9225017141	520.4597585678629	-0.0009859859244062052	0.0	0.0	0.0	0.002664048270112841	0.0	0.0	0.0	-0.0011070949761438408	126167958.90069501	0.0024747138289039705
40	30.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9989050000000105	7.667342238545926e-21	8.772233190768117e-20	-9.402065714522735e-22	1.0029640000000086	-2.687212025164268e-20	5.797940523955686e-22	2.441995986934148e-21	0.9987166136634236	-2950224.4187182668	111753.02304073235	-575684.5487580448	112207.13510625866	126288230.84358543	667339.409925718	-575575.9894298377	664513.337994003	297.7626987769328	1599.565890624997	-2945285.735009885	112019.29076972106	-574612.4630153758	112019.30005662734	126589130.80592889	666096.637180738	-574612.4736566317	666096.6370634687	297.2081812990083	-0.0010955999504933648	0.0	0.0	0.0	0.0029596160126308902	0.0	0.0	0.0	-0.0012842105821137782	128096238.80965954	0.0027684899471733747
44	33.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987955000000052	-5.319366908757006e-22	2.133293770516134e-19	2.944286524655948e-21	1.0032604000000136	-1.1183037189419627e-19	1.0160160202315333e-21	6.6771607232056496e-21	0.9985381590986281	-2932720.914539352	137505.3150428783	-642881.7516798291	138120.01051412916	127791455.3341394	748048.0778689205	-642716.1264571329	744527.1019255262	274.6124323602811	1599.565890624997	-2927469.6402469226	137872.68786522787	-641565.2771507557	137872.69545019415	128132875.64653695	746516.2467997334	-641565.2911848566	746516.25429149	274.0500890185631	-0.0012052259931508863	0.0	0.0	0.0	0.003255096420666936	0.0	0.0	0.0	-0.0014629104332330638	129632705.7306779	0.0030630582386204763
48	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9986859999999897	2.9798619084406284e-21	-3.329961801364512e-20	5.14487812162262e-21	1.0035568000000332	-3.065412236113313e-21	2.061678193616967e-21	-4.265657922372656e-21	0.9983586734483187	-2879247.2407432683	158508.82142421827	-695775.749845471	159281.90456267018	129006124.80166602	804380.5527176054	-695547.717058881	800214.1132258568	261.66324738980336	1599.565890624997	-2873759.407535816	158978.31137996734	-694221.993299228	158978.3139182698	129388230.22192144	802584.2677080559	-694222.0060171096	802584.2809252477	261.0789197761529	-0.0013148640550053807	0.0	0.0	0.0	0.0035504895458353556	0.0	0.0	0.0	-0.0016426750038080597	130861851.98958112	0.0033581768770517243
52	39.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9985764999999995	-6.844026213814747e-22	-2.7835408470907634e-20	1.3688052427629494e-21	1.0038531999999862	-1.0416811185333386e-19	3.930232875259953e-21	-6.640738306473715e-22	0.9981784890211624	-2790745.2097595544	175468.36253019416	-738067.8774918554	176395.57881551696	130004226.02942453	842140.9844418048	-737773.7088707781	837380.4334379534	236.1149404928076	1599.565890624997	-2785106.287567764	176039.15506548644	-736282.9692956904	176039.15754838087	130427125.29573117	840104.3908014412	-736282.9785364853	840104.4031252181	235.54393136834224	-0.0014245141386573057	0.0	0.0	0.0	0.003845795439605701	0.0	0.0	0.0	-0.0018231719472488084	131856178.48559293	0.0036536825359963676
