6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	-4.799136477910156e-23	9.637646752977836e-23	1.4558378780933286e-25	1.0002964000000167	-7.246763910454565e-23	-4.7116207691020454e-24	2.0540548970916784e-23	0.9999072045656949	-834078.1616760993	-779.1601154551898	4406.589430590416	-779.4764111862842	20707817.656375725	856.1134459609456	4406.663048813465	855.7803492414308	-0.0002875150897689309	1599.565890624997	-833908.3970553627	-779.3177599611836	4405.766135892245	-779.3177599670121	20712007.3904495	855.9534960331853	4405.766135891428	855.9534960282328	-0.00028746137256818434	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608221489923	0.0	0.0	0.0	-9.279974006731269e-05	21141301.58002341	0.0002651814385886989
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999977	-1.5580774018048828e-23	6.645238169006003e-22	-1.1593763465543236e-23	1.0005927999999777	8.50725481508737e-22	-1.01908651466533e-24	-8.179161896924338e-24	0.9998143509175598	-1664680.4663661362	-1558.1898514618333	8812.08126358491	-1559.455067076912	41435234.4776727	1713.9498958713682	8812.375218955543	1712.6164635970601	-0.000529582135442979	1599.565890624997	-1664003.1490853666	-1558.8205633953037	8808.789681587414	-1558.8205634067747	41452006.308670506	1713.3096831391983	8808.789681586048	1713.3096831299913	-0.0005293843203104264	-0.00021902398400402935	0.0	0.0	0.0	0.000592624363466545	0.0	0.0	0.0	-0.00018566631736360203	42308560.02547481	0.0005303294903993306
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996715000000084	-2.284441241299948e-22	-2.1713160207271954e-22	-1.801268501895473e-23	1.0008891999999974	-2.4417577589177326e-21	-7.676236084492097e-25	6.723324018831009e-24	0.9997214384361979	-2491767.721105722	-2337.1641816568426	13215.437593910996	-2340.011081770152	62182087.828274556	2575.8704506613694	13216.09776902004	2572.865120366496	-0.14244861879923337	1599.565890624997	-2490247.696973044	-2338.583631895603	13208.035706386636	-2338.5836319782243	62219853.416206814	2574.427721034172	13208.03570634117	2574.4277209052457	-0.1423688341801574	-0.0003285539679359278	0.0	0.0	0.0	0.0008888048958775251	0.0	0.0	0.0	-0.00027860036928118446	63501613.42479782	0.0007954443926991051
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999948	8.100414302609289e-23	-3.721651011998582e-23	-4.7777952181062877e-23	1.001185600000014	-3.3277806915253322e-22	-1.3234889800848443e-23	1.0519090413714343e-22	0.9996282606848698	-3304526.9716781816	-3086.565618170005	17065.69139123124	-3091.5791663135833	82893278.79531322	4083.396127838453	17066.82266698952	4077.044413865706	-6.078862253199768	1599.565890624997	-3301841.188181501	-3089.0664537572566	17052.951460194363	-3089.066458027426	82960441.61872281	4080.347778734258	17052.951456055966	4080.347767502828	-6.074324242748679	-0.000438095950023587	0.0	0.0	0.0	0.001184897731353101	0.0	0.0	0.0	-0.000371808427317342	84659675.56510176	0.00106059067294259
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999452499999999	3.6263598054324736e-23	-1.033512544548255e-21	-4.055170234979963e-23	1.0014820000000133	-4.788912525539e-22	-4.836028733230021e-23	-1.3647818362634913e-22	0.9995278630517517	-3798942.64431	-2760.1564198025603	-284.60858221076086	-2765.762211264022	101765967.89570668	25923.14502722137	-284.6296971070424	25872.561121966886	1429.2066615354906	1599.565890624997	-3795112.755627608	-2762.972934879345	-284.3430943036955	-2762.9739192620427	101869811.78688093	25898.96346015699	-284.34274882756375	25898.96196575684	1427.873472344963	-0.0005476499328540227	0.0	0.0	0.0	0.0014809029217930322	0.0	0.0	0.0	-0.00047224843999112674	103818740.387463	0.0013279484855522221
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993429999999995	4.1928130889087866e-22	-1.59156961393491e-20	-3.8539999100070664e-23	1.0017783999999974	2.4796889530869644e-21	-1.8142386939003046e-22	4.595153738854579e-22	0.9993960857961115	-3481063.2744618165	5399.210083119377	-111409.51303959706	5412.361443365531	113091103.29892653	120830.40022932603	-111415.43313574117	120543.04247572461	6976.773086320373	1599.565890624997	-3476983.341197928	5406.024471204537	-111284.84823698044	5406.017958129	113233836.5237861	120695.19366048192	-111284.85017992536	120695.18085518197	6968.966230191328	-0.0006572159190781988	0.0	0.0	0.0	0.0017768205190731752	0.0	0.0	0.0	-0.0006040966335229253	115008779.70694068	0.00160527751344487
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999928	-2.134523027080837e-22	-1.4654728778683463e-20	-9.817111858677341e-22	1.0020747999999702	2.7363399361050174e-21	-3.5395389283389075e-22	1.320100848295827e-21	0.9992376611465751	-3118330.396265607	23108.52618132058	-261017.82487863113	23174.236407054133	118649945.28131942	266856.782900474	-261018.9066245753	266101.2529679188	3618.934461169999	1599.565890624997	-3114247.992582719	23143.895944925043	-260677.19546766952	23143.89754746133	118831550.13501516	266508.53362357966	-260677.19025385854	266508.54585793166	3614.2117357607663	-0.0007667939113305087	0.0	0.0	0.0	0.0020726505750215726	0.0	0.0	0.0	-0.0007626295814537633	120418881.80790524	0.001891576408914084
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999123999999986	-5.954641619197731e-22	4.9120817039816164e-20	-1.1545059071076114e-21	1.0023711999999931	2.6025087304388376e-21	-3.562832334388401e-23	-5.293955920339377e-22	0.9990680890234913	-2967030.8041423247	49249.370197667304	-387711.99544921995	49409.44156506898	122008740.78158455	419995.78245549515	-387690.296554027	418611.7850646109	1389.143690896015	1599.565890624997	-2962773.064371501	49338.52958917031	-387133.9569003764	49338.53817434177	122229621.2728979	419369.6121139516	-387133.95437109587	419369.6256599839	1387.0726211002757	-0.0008763839122351007	0.0	0.0	0.0	0.0023683931414794288	0.0	0.0	0.0	-0.0009323454755066538	123740923.19871482	0.0021820777683737498
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990145000000046	1.8719428134320037e-21	3.05022917053378e-20	-1.4314856808597677e-22	1.0026676000000152	-2.367668845812583e-20	4.0572878173480985e-22	3.9971484780930436e-21	0.9988937004976374	-2926830.962783159	80232.75244838477	-490652.30057474715	80526.14923042484	124419862.7635017	555086.2681919814	-490592.97525263304	552997.0039895112	528.2119657885015	1599.565890624997	-2922277.0343156	80400.847242957	-489829.64585030725	80400.85660914729	124680533.50747737	554155.5799215607	-489829.64954493206	554155.5821879157	527.3263364565845	-0.0009859859243989816	0.0	0.0	0.0	0.0026640482701292285	0.0	0.0	0.0	-0.0011069119033649286	126173382.4932131	0.002474649844756634
