6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999915	8.3330174908592e-24	2.55340728927769e-22	1.4293680984916318e-24	1.0002964000000167	1.4643214424556726e-21	1.4558378780933286e-25	-2.6310960924086704e-23	0.9999072045656949	-834078.1616635164	-779.1601154650452	4406.589430572132	-779.4764111961224	20707817.656411394	856.1134459536241	4406.663048795373	855.7803492341146	-0.000280929053111322	1599.565890624997	-833908.3970427824	-779.3177599710413	4405.766135873966	-779.3177599768483	20712007.390485182	855.9534960258654	4405.76613587334	855.9534960209154	-0.0002808765663971338	-0.00010950599557121432	0.0	0.0	0.0	0.0002963560822151212	0.0	0.0	0.0	-9.279974006709064e-05	21141301.580049317	0.0002651814385888168
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999977	-5.629460376790885e-23	4.3092801191562527e-23	-1.0839374746894874e-23	1.0005927999999777	3.883910760956984e-22	-3.6528295850341705e-24	-3.5151867311053466e-23	0.9998143509175601	-1664680.4663952827	-1558.1898514680881	8812.081263589513	-1559.4550670832682	41435234.47758411	1713.9498958580275	8812.375218960211	1712.6164635837124	-0.0005284831530534576	1599.565890624997	-1664003.1491145007	-1558.8205634015605	8808.789681592014	-1558.820563413128	41452006.30858187	1713.3096831258626	8808.789681590712	1713.3096831166376	-0.0005282857484244558	-0.00021902398400402935	0.0	0.0	0.0	0.0005926243634654355	0.0	0.0	0.0	-0.00018566631736415722	42308560.025401115	0.0005303294903987647
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999897	-8.598707903611233e-23	1.4359326038328526e-21	5.1483721325300444e-24	1.000889199999972	-1.281084393162926e-21	3.255782891008717e-24	-7.98593250583195e-23	0.9997214390393797	-2491807.999082582	-2337.0891699977615	13216.475518296125	-2339.9359786739383	62182256.969905354	2573.5103913649723	13217.135753272998	2570.507816275189	-0.0006181821679092537	1599.565890624997	-2490287.9488771455	-2338.5085732681437	13209.073049437107	-2338.5085732854004	62220022.62302458	2572.0689835929784	13209.073049435285	2572.0689835801436	-0.0006178359277758073	-0.00032855396795458566	0.0	0.0	0.0	0.0008888048958524564	0.0	0.0	0.0	-0.00027859976593105467	63501803.7659027	0.0007954442043346673
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999965	2.919550515618162e-22	-4.939260873676639e-23	-3.57342024622908e-23	1.001185600000009	-5.6499744559822e-22	2.5728625772849372e-23	-1.0587911840678754e-24	0.9996284319534973	-3313385.208790865	-3110.9717760268563	17523.90244893145	-3116.0249649081857	82938882.278448	3554.3718391318944	17525.067104932492	3548.8436351602973	-1.3079149414192726	1599.565890624997	-3310691.658455234	-3113.491852833118	17510.820452803822	-3113.4918546414424	83006067.82965674	3551.7184188237648	17510.820451613345	3551.7184148683405	-1.306938552840942	-0.00043809595002192094	0.0	0.0	0.0	0.001184897731347113	0.0	0.0	0.0	-0.00037163709501422464	84709955.51369874	0.0010605371736214584
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994525000000032	6.776263578034403e-24	-1.9097416587032268e-21	-9.476181097407485e-23	1.0014820000000233	3.48374063293853e-21	8.655617929754882e-24	8.872670122488796e-23	0.9995329045985386	-4008544.536640682	-3530.0716464061134	14907.890793137492	-3537.2395168720377	103061592.25929305	12073.652903382448	14909.09033955086	12050.155239981734	168.05586137366453	1599.565890624997	-4004483.140331624	-3533.655973828931	14893.984449573483	-3533.6556396351098	103166237.86662805	12062.390386928791	14893.984676155334	12062.390601244117	167.8990959010275	-0.0005476499328498016	0.0	0.0	0.0	0.0014809029218032313	0.0	0.0	0.0	-0.0004672045244998843	105225569.47471821	0.0013263668648008362
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993429999999978	2.7316812548951187e-23	9.228953355927636e-22	-4.870439446712227e-24	1.0017783999999927	1.9407642403964155e-21	4.563390003332543e-23	-6.162164691275035e-23	0.9994147977675751	-3942049.317422684	923.0320280207848	-59183.92589675973	925.272964995596	117579110.49664319	77823.8339849819	-59188.179969907644	77640.20271686514	6107.514040458591	1599.565890624997	-3937355.371482164	924.1796907691861	-59117.700381194176	924.1712077804546	117725303.86914891	77736.75082091581	-59117.70238458962	77736.73757777082	6100.679866144796	-0.0006572159190799764	0.0	0.0	0.0	0.001776820519068299	0.0	0.0	0.0	-0.0005853735300837232	119739762.67556064	0.0015992814662243691
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999974	-1.1011428314305904e-23	-6.982727858927638e-22	-3.4940109074239887e-22	1.0020747999999982	6.28625501804779e-21	-2.6866826295722336e-23	-1.1282478857427281e-21	0.9992646878780326	-3520434.353188968	15675.202494226807	-210787.68728257867	15719.773922244114	124863557.26353097	210342.36572362858	-210794.26319266608	209752.50653233542	5101.367392545944	1599.565890624997	-3515730.4385724035	15698.770249597941	-210512.6084223813	15698.769561161524	125051290.3262101	210067.8680100268	-210512.60527314778	210067.87060908382	5094.7100856326215	-0.0007667939113258421	0.0	0.0	0.0	0.002072650575049271	0.0	0.0	0.0	-0.0007355825965227208	126844310.51339653	0.0018826454604149775
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991239999999947	-6.85249654328729e-22	-4.226842637564728e-20	2.625802136488331e-22	1.0023711999999803	4.794968811111869e-20	2.797326308307327e-22	-5.108879221364313e-21	0.9990988134130967	-3306094.548675003	37423.64828405423	-353559.5190664973	37545.28166601807	128955619.55782121	367352.54001302633	-353550.6008518265	366153.2816955816	2064.6726309706182	1599.565890624997	-3301248.723189395	37490.245849839404	-353032.39833324874	37490.2506074434	129185103.60736348	366804.8553098577	-353032.3928916983	366804.87282534246	2061.594417282499	-0.0008763839122264334	0.0	0.0	0.0	0.002368393141466802	0.0	0.0	0.0	-0.0009015928996627008	130868955.93651046	0.002171636471030981
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999968	-1.3874399676025439e-21	-3.0107786110154105e-21	-7.250602028496811e-22	1.0026676000000436	-5.840292171318401e-22	9.247482201648824e-22	2.346281263894412e-22	0.9989262918556139	-3257423.294865944	66344.68325323539	-469854.17411748756	66587.29650830507	131762412.77758504	517361.7874536945	-469812.6877427268	515431.3356642266	767.8166841095133	1599.565890624997	-3252248.87703705	66481.51217785751	-469066.3906796284	66481.52256889305	132034158.88235064	516494.3501295444	-469066.3901548364	516494.35853082594	766.52932028394	-0.0009859859244067608	0.0	0.0	0.0	0.0026640482701580175	0.0	0.0	0.0	-0.0010742849819161833	133695097.4921211	0.002463316727441226
