6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999916	-4.019766904762693e-23	-6.58700465388227e-22	-5.816734067472891e-24	1.0002964000000167	-8.590105225240682e-22	1.376428539288238e-24	-2.5622746654442585e-23	0.9999072045656957	-834078.1617107099	-779.1601154654454	4406.589430568454	-779.4764111965308	20707817.656269934	856.1134459378255	4406.663048791497	855.780349218332	-0.00028233300336887626	1599.565890624997	-833908.3970899656	-779.3177599714408	4405.766135870289	-779.3177599772561	20712007.390343677	855.9534960100697	4405.766135869462	855.9534960051288	-0.0002822802543509672	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608221445525	0.0	0.0	0.0	-9.279974006720167e-05	21141301.579933528	0.0002651814385883685
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999979	1.324812469064929e-23	9.404050947992862e-22	-9.754113783225302e-24	1.0005927999999777	-4.354278744479138e-23	1.326135958045014e-23	2.0355260513704905e-23	0.9998143509175601	-1664680.4663916528	-1558.18985145775	8812.08126357916	-1559.4550670729543	41435234.47760051	1713.9498958684965	8812.375218949595	1712.6164635942177	-0.0005437486372284184	1599.565890624997	-1664003.1491108723	-1558.8205633912178	8808.789681581664	-1558.8205634028184	41452006.30859826	1713.3096831363275	8808.7896815801	1713.309683127147	-0.0005435455304739604	-0.00021902398400380728	0.0	0.0	0.0	0.0005926243634663232	0.0	0.0	0.0	-0.00018566631736371305	42308560.02542276	0.0005303294903991389
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999897	3.340155313489126e-23	1.830623487473755e-21	-5.149695621510129e-23	1.000889199999972	3.961731912985973e-22	-6.829203137237797e-24	-1.3240183756768782e-22	0.9997214390393795	-2491807.9990709736	-2337.089169986682	13216.475518277866	-2339.935978662772	62182256.96991225	2573.5103913608596	13217.135753254746	2570.5078162711134	-0.0006124645214440534	1599.565890624997	-2490287.9488655445	-2338.5085732570583	13209.073049418857	-2338.5085732742414	62220022.6230315	2572.068983588868	13209.07304941705	2572.0689835760663	-0.0006121214837301818	-0.00032855396795458566	0.0	0.0	0.0	0.0008888048958524564	0.0	0.0	0.0	-0.00027859976593127677	63501803.76590079	0.0007954442043347367
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999966	-2.1142736456855386e-23	1.6908365813971937e-21	7.768880313098036e-23	1.001185600000009	-7.24371988580037e-22	2.4775713707188286e-23	-2.338340330013903e-22	0.9996284319534965	-3313385.2086956096	-3110.9717758299316	17523.902448318793	-3116.0249647108785	82938882.2779175	3554.3718455508824	17525.06710432005	3548.8436415693113	-1.3079277363998116	1599.565890624997	-3310691.658360059	-3113.491852636036	17510.82045219162	-3113.4918544442985	83006067.82912587	3551.71842523796	17510.82045100141	3551.7184212825487	-1.3069513382697338	-0.00043809595002180986	0.0	0.0	0.0	0.0011848977313475564	0.0	0.0	0.0	-0.0003716370950145578	84709955.51312384	0.0010605371736218186
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999452499999997	3.1393158607612505e-23	-1.3313505046265482e-21	3.864587821847745e-23	1.0014820000000055	1.7644755082491143e-21	7.755645423297187e-24	6.935082255644584e-24	0.9995329045892334	-4008543.86358071	-3530.0639980076935	14907.867532221644	-3537.2318528550977	103061589.58411849	12073.690221703206	14909.067076746016	12050.192485920195	168.05404407659125	1599.565890624997	-4004482.467990937	-3533.6483176974784	14893.961210356185	-3533.6479834161946	103166235.18969826	12062.42767043865	14893.961437058932	12062.427885113344	167.89728029916503	-0.0005476499328560222	0.0	0.0	0.0	0.0014809029217852721	0.0	0.0	0.0	-0.0004672045338096782	105225566.44492207	0.0013263668677042145
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000054	-3.8370592510619807e-22	1.1383911052860983e-20	-7.538593230563273e-23	1.0017784000000012	2.6838238933752505e-21	-3.3351922298138076e-23	-1.3383120566617945e-22	0.999414797086626	-3942015.135712845	922.8991954253167	-59185.12873033772	925.1398072026477	117578928.23031752	77825.50021582971	-59189.38285046771	77641.86496093536	6108.600460620049	1599.565890624997	-3937321.2331564208	924.0466936443354	-59118.90186882681	924.0382091730671	117725121.45641111	77738.41518728658	-59118.90387311474	77738.40194157808	6101.765070625812	-0.0006572159190723107	0.0	0.0	0.0	0.0017768205190760568	0.0	0.0	0.0	-0.00058537421143208	119739561.92123312	0.0015992816830642062
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992335000000017	7.928228386300252e-22	-9.123603633112883e-22	4.150461441546072e-23	1.0020747999999957	6.560693692958183e-21	-3.6766523866756974e-23	3.273782341137871e-22	0.9992646830445315	-3520263.14319684	15673.819245066317	-210794.6687169013	15718.386744394185	124862341.05230436	210348.0011315176	-210801.24382721196	209758.1251102665	5104.109185764704	1599.565890624997	-3515559.474351674	15697.384996643626	-210519.580745901	15697.384312752461	125050072.89127693	210073.49606368333	-210519.57759864363	210073.49865071528	5097.448300799147	-0.0007667939113216202	0.0	0.0	0.0	0.0020726505750466116	0.0	0.0	0.0	-0.0007355874335805235	126843003.17504282	0.0018826470459623278
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999124000000006	-2.5673568631277844e-21	1.3599537484641418e-20	-9.1394855008739e-22	1.0023712000000138	1.367958209815695e-21	8.474829335075293e-22	-2.118429401083005e-21	0.9990987988133937	-3305687.8973006327	37418.55764197656	-353575.2845630593	37540.17447258931	128952063.96830532	367355.9637910199	-353566.36079486687	366156.68890464696	2067.240547580623	1599.565890624997	-3300842.716088799	37485.14669643234	-353048.14032506756	37485.15144752028	129181543.57818045	366808.2739833354	-353048.1348940313	366808.2914578536	2064.158505393917	-0.0008763839122150991	0.0	0.0	0.0	0.002368393141500473	0.0	0.0	0.0	-0.0009016075125345116	130865185.12160774	0.002171641398457316
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990145000000028	-2.1599340154984657e-21	-3.2587475063241067e-20	-1.2934193104573165e-21	1.002667600000015	3.187850848638922e-20	1.8724722090240376e-21	-3.3796614595446585e-22	0.9989262613223682	-3256699.430626293	66333.36106939084	-469879.39043250313	66575.93293499116	131755108.01974611	517347.9321943165	-469837.8874598637	515417.51628733275	769.7933889508541	1599.565890624997	-3251526.2620424046	66470.16867493183	-469091.56471558916	66470.17907835229	132026843.09475793	516480.51810067054	-469091.564180512	516480.52643969626	768.5027108728742	-0.0009859859244007597	0.0	0.0	0.0	0.0026640482701296713	0.0	0.0	0.0	-0.0010743155479807258	133687408.36951499	0.002463327279207722
