6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999917	1.9941670207428392e-23	-2.4226465780453075e-23	1.3102540902839959e-24	1.0002964000000167	6.744499842512367e-23	2.5874209560658707e-24	7.120370712856463e-24	0.9999072045656949	-834078.1616648213	-779.1601154541421	4406.589430588559	-779.4764111852256	20707817.65639279	856.1134459461073	4406.663048811778	855.7803492266135	-0.0002766907338600504	1599.565890624997	-833908.3970440871	-779.3177599601356	4405.766135890389	-779.3177599659537	20712007.390466567	855.9534960183497	4405.766135889742	855.9534960134124	-0.00027663903900219987	-0.00010950599557099227	0.0	0.0	0.0	0.00029635608221445525	0.0	0.0	0.0	-9.279974006775682e-05	21141301.58002941	0.00026518143858850245
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999976	1.6454276744904826e-23	-1.2029853084481192e-21	6.538035561619131e-24	1.0005927999999777	1.6201490349708622e-21	-1.0058516248644816e-24	3.560185356428231e-23	0.9998143509175601	-1664680.4664002405	-1558.1898514581064	8812.081263585751	-1559.45506707321	41435234.47756795	1713.9498958570061	8812.375218956393	1712.6164635826565	-0.0005319953985817847	1599.565890624997	-1664003.1491194565	-1558.8205633915748	8808.789681588254	-1558.820563403074	41452006.3085657	1713.3096831248417	8808.789681586895	1713.3096831155815	-0.0005317966820216051	-0.0002190239840041404	0.0	0.0	0.0	0.0005926243634658793	0.0	0.0	0.0	-0.00018566631736393515	42308560.02538924	0.0005303294903990305
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999896	-3.7487825360903214e-24	-1.3263212465022258e-21	2.776679880218003e-23	1.000889199999972	1.4284416562055725e-21	-2.006409293808624e-23	-9.529120656610879e-23	0.9997214390393796	-2491807.999078485	-2337.0891700018065	13216.475518301626	-2339.935978677941	62182256.969916396	2573.5103913587586	13217.135753278377	2570.507816268962	-0.0006083224275062094	1599.565890624997	-2490287.9488730514	-2338.5085732721914	13209.073049442606	-2338.5085732894013	62220022.62303565	2572.0689835867684	13209.073049440663	2572.0689835739136	-0.0006079817097543688	-0.00032855396795469674	0.0	0.0	0.0	0.0008888048958526783	0.0	0.0	0.0	-0.0002785997659309436	63501803.76590696	0.0007954442043348198
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999894	-9.251187970793061e-24	4.1025511404670004e-22	8.864729188608288e-23	1.0011855999999855	3.299960953163949e-21	-3.3881317890172014e-24	3.1763735522036263e-25	0.9996284625297949	-3315064.6706503984	-3115.182091414963	17604.427492585346	-3120.2421177906012	82947123.5597325	3456.5063367925245	17605.59803979337	3451.1304539706316	-0.40275301265452434	1599.565890624997	-3312369.65371222	-3117.7054834700784	17591.285382661554	-3117.7054839103903	83014313.24766828	3453.925975332344	17591.285382383074	3453.9259743970993	-0.402452348269575	-0.00043809595002902946	0.0	0.0	0.0	0.0011848977313238258	0.0	0.0	0.0	-0.0003716065073516893	84719083.52971861	0.001060527623477388
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994525000000078	-2.117582368135751e-23	6.959963848470179e-22	7.506829495041236e-23	1.001481999999994	4.3094389378338635e-21	-3.599890025830777e-24	-1.8407084735020014e-22	0.9995346612188029	-4092963.203859121	-3781.737836168131	19942.2677073667	-3789.4169969920313	103524501.84103736	6808.2738600482235	19943.907113662353	6795.035515083222	-8.495029220816082	1599.565890624997	-4088809.0900001456	-3785.5710448700966	19923.665208191942	-3785.5709644526237	103629435.3500523	6801.9229820677665	19923.665235879314	6801.9230335720695	-8.48710490767433	-0.0005476499328451361	0.0	0.0	0.0	0.0014809029217739648	0.0	0.0	0.0	-0.00046544708488725116	105733161.42750694	0.0013258173446030108
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993429999999991	3.0704944337968385e-23	1.2913546676483843e-21	-2.1599340154984657e-23	1.0017783999999832	-1.645573258278292e-21	6.643914680025918e-23	2.733798837263254e-22	0.999427124242881	-4316155.868348336	-1931.5083107779712	-20872.952051187447	-1936.2205537632663	120611704.56254265	47810.79008314732	-20874.70950182634	47698.56606077099	3808.182365023308	1599.565890624997	-4310963.289611695	-1933.8860224391947	-20849.595675448432	-1933.8911713258417	120760179.12763675	47757.290857219785	-20849.59604994949	47757.28361125394	3803.9210924451863	-0.0006572159190786432	0.0	0.0	0.0	0.0017768205190583247	0.0	0.0	0.0	-0.0005730399131327151	122970578.49316286	0.0015953726860261671
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992335000000041	1.7702988597614876e-22	-2.214218239505626e-20	-5.039846036163087e-23	1.0020747999999569	-1.6235504016496802e-20	4.8069119756681546e-23	-3.316133988500586e-22	0.9992865800217735	-3899879.2409316744	10489.88222148321	-159734.2471934225	10519.706435132408	129956492.39118885	161876.00682568335	-159742.73331634104	161425.58788558896	6276.163640381908	1599.565890624997	-3894582.998221365	10505.423663093718	-159525.7932973826	10505.42011622876	130149031.37263398	161664.75792389127	-159525.79421782435	161664.7503752714	6267.97321919166	-0.0007667939113191757	0.0	0.0	0.0	0.0020726505750078344	0.0	0.0	0.0	-0.0007136745833599535	132136967.24072528	0.0018755073116412456
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991239999999856	-1.7702988597614876e-21	-4.620532963536686e-20	4.1504614415460716e-22	1.0023711999999867	-7.696141358752573e-21	-2.4087499437544165e-22	-6.060520737604519e-22	0.9991253678317175	-3598686.7082370142	29980.908977006107	-314187.9122161824	30078.350103736233	134964947.42571467	315211.7625785829	-314188.3350122709	314191.0753432276	2771.66701330333	1599.565890624997	-3593316.518605151	30033.463513385628	-313719.49048311124	30033.465272972582	135201531.98840705	314741.81439034746	-313719.48315715574	314741.83136973466	2767.5347439976463	-0.0008763839122355451	0.0	0.0	0.0	0.0023683931414732263	0.0	0.0	0.0	-0.0008750148821694064	137034371.61610782	0.00216272850355223
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999893	-7.453889935837843e-22	-1.9198425265992346e-20	1.0740377771184528e-21	1.0026675999999972	3.131396102704423e-20	8.363391562952148e-22	-2.292918188217391e-21	0.9989554157480971	-3496375.378024426	56385.9413455916	-441810.93632751575	56592.13571540016	138272262.85611713	473656.72669752076	-441784.802823473	471903.11687037034	1087.035816255403	1599.565890624997	-3490719.612126982	56500.5841278175	-441070.17172976275	56500.59180588335	138553395.2898445	472862.5676901824	-441070.1680512679	472862.58096670435	1085.2132320163958	-0.0009859859244143179	0.0	0.0	0.0	0.002664048270111512	0.0	0.0	0.0	-0.001045130210265128	140335301.88826528	0.0024533085445779266
