6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	4.474881677789369e-23	7.345363839470886e-25	1.0018811579242271e-23	1.0002964000000032	4.681643743703124e-22	1.727153119010722e-24	3.321957340012959e-24	0.999907204565687	-0.8340781620829166	-0.0007791601149737443	0.004406589433803501	-0.0007794764107007479	20.707817655863984	0.0008561134221085584	0.004406663052026964	0.0008557803254039563	-1.1424906140771253e-09	1599.565890624997	-0.8339083974621151	-0.0007793177594796469	0.00440576613910479	-0.0007793177594815913	20.71200738993782	0.0008559534721852663	0.004405766139104368	0.0008559534721859423	-1.1422771595495307e-09	-0.00010950599557121432	0.0	0.0	0.0	0.0002963560822013585	0.0	0.0	0.0	-9.279974007586221e-05	21.14130158012919	0.0002651814385823855
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999965	7.77549775799846e-23	-6.265529180619661e-22	1.9772925362467573e-23	1.0005928000000197	-1.7003657020538045e-21	7.47771273747937e-24	-6.03510974918689e-24	0.9998143509175541	-1.6646804667710036	-0.0015581898509820864	0.008812081266686011	-0.0015594550665894362	41.43523447707996	0.0017139498722404634	0.008812375222057618	0.001712616439995138	-1.3694183035508484e-09	1599.565890624997	-1.6640031494900087	-0.0015588205629153734	0.008808789684686997	-0.0015588205629194407	41.452006308077806	0.0017133096595170507	0.008808789684686541	0.0017133096595185273	-1.3689067839108594e-09	-0.00021902398400525086	0.0	0.0	0.0	0.0005926243635082647	0.0	0.0	0.0	-0.00018566631736993146	42.30856002549134	0.0005303294904295336
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999952	8.28073967614585e-23	-8.24798332388875e-22	5.43953970814871e-24	1.0008891999999756	-8.062165471084837e-22	4.2378117142316713e-23	-2.8852059765849605e-24	0.9997214388001961	-2.4917859217421334	-0.002337172393153102	0.013216354690972756	-0.0023400193031949557	62.18218371110895	0.002574542791593988	0.013217014916754335	0.0025715390113784345	-5.5925049141238024e-08	1599.565890624997	-2.490265885600082	-0.0023385918475275725	0.013208952289788283	-0.0023385918475363784	62.21994933462113	0.00257310080558078	0.013208952289789393	0.002573100805583054	-5.5893725855832586e-08	-0.0003285539679491438	0.0	0.0	0.0	0.0008888048958562278	0.0	0.0	0.0	-0.00027860000518126226	63.50171887164103	0.0007954442790245618
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999998	3.8837784120589754e-23	1.408218744589876e-21	-3.90958644717063e-23	1.001185599999982	-4.458172629415798e-21	8.549738811348094e-24	-8.32739266269384e-23	0.9996282529453283	-3.30338819536	-0.00308493280750812	0.01705514419234942	-0.003089943696250602	82.89046445545465	0.004132313249880683	0.01705627464112463	0.004125885425480317	-4.275273498733797e-06	1599.565890624997	-3.300703362969371	-0.003087432344043388	0.01704241213503949	-0.0030874323411114856	82.95762564088712	0.004129228383020181	0.017042412135142355	0.004129228383659574	-4.272081908760262e-06	-0.0004380959500185888	0.0	0.0	0.0	0.0011848977313202772	0.0	0.0	0.0	-0.00037181616973720803	84.6562584808788	0.0010605930907527004
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999955	-4.828087799349512e-23	-2.3268259758871648e-21	-3.642241673193491e-23	1.001482000000014	1.2405856303723297e-21	-4.579271871093561e-24	-1.5500702934753696e-22	0.9995251447205794	-3.690604772150205	-0.0021391281859211293	-0.00960867058957758	-0.0021434726158870753	101.07098532246917	0.03348623588371381	-0.009609370188169063	0.03342080612817796	0.003473968169058397	1599.565890624997	-3.6868941307893675	-0.0021413168157661112	-0.009599707452118111	-0.0021413175061868028	101.17439519589068	0.03345499933205687	-0.00959970864794105	0.033455000326644835	0.003470727590256283	-0.0005476499328574663	0.0	0.0	0.0	0.0014809029217934756	0.0	0.0	0.0	-0.00047496805889348897	103.06568790259954	0.001328804026350913
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999923	9.994988777600743e-23	-5.058480761002682e-21	9.317362419797303e-24	1.001778399999998	-5.241651635846424e-21	-2.013820832097099e-22	3.7608262858090936e-22	0.9993866414949159	-3.326670452207551	0.009366347351366402	-0.14085227406184125	0.009389176314798676	110.90700175396961	0.14273258311289713	-0.14085842620855965	0.14239180396777487	0.008022205797447838	1599.565890624997	-3.3228028734831505	0.009378257321099533	-0.1406946634551269	0.009378260481963276	111.04802781082297	0.14257286848157744	-0.14069466455552448	0.14257286516611434	0.008013229125034526	-0.00065721591908542	0.0	0.0	0.0	0.0017768205190733968	0.0	0.0	0.0	-0.000613546686364578	112.74286528514067	0.001608332176925639
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999233499999997	1.0164395367051604e-22	-3.3854318714978283e-20	2.168404344971009e-22	1.002074799999997	-1.7911358702639436e-20	-2.6030381260308716e-22	-1.7448878713438586e-22	0.9992257706030014	-3.0715488205843626	0.027899968154300125	-0.28406808196387257	0.02797930230301126	116.05115804404232	0.29334443683503886	-0.28406587819744217	0.29251041733302513	0.0033013508359905092	1599.565890624997	-3.067564164455843	0.027943004179592834	-0.28369737186589505	0.027943005338546215	116.23016830474262	0.29296162105310203	-0.28369736546703167	0.2929616180530082	0.0032970425586106387	-0.0007667939113262867	0.0	0.0	0.0	0.002072650575047498	0.0	0.0	0.0	-0.0007745292673677754	117.79445511855748	0.0018955467040166324
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999855	2.541098841762901e-21	-5.0326886077587883e-20	8.919256934587782e-22	1.0023712000000076	-3.480161918736381e-20	4.567625168068815e-22	3.3118988237643144e-21	0.9990564693796341	-2.9919756358878957	0.05479102361958361	-0.3969518018423293	0.05496910193772904	119.5397027007605	0.4422664644968818	-0.39692496998871696	0.44080392271634017	0.0013132535280075608	1599.565890624997	-2.9877168484466576	0.0548908538398316	-0.3963599876962799	0.054890858746781714	119.75750616674159	0.4416070908681497	-0.3963599857498663	0.4416070753092993	0.001311295602608011	-0.0008763839122356563	0.0	0.0	0.0	0.002368393141494049	0.0	0.0	0.0	-0.0009439760255731315	121.28272972413366	0.002186063754337847
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999963	-1.8151916059659655e-21	-7.071338093122279e-20	-3.9725845226226684e-22	1.0026675999999934	8.045542449494972e-20	-2.702035101741218e-22	3.1458803661024714e-21	0.9988833923077011	-2.971241272441443	0.0858261868239743	-0.48767470532657475	0.08614003115979112	122.25044995081056	0.5683758173581204	-0.48761071081305724	0.5662306667383641	0.0005980646762895623	1599.565890624997	-2.9666488595269285	0.0860068879212332	-0.4868570430026651	0.08600689131846484	122.50783981355505	0.5674228470961833	-0.4868570494573257	0.5674228262245022	0.0005970619280483227	-0.0009859859244073165	0.0	0.0	0.0	0.00266404827010819	0.0	0.0	0.0	-0.0011172315631238416	124.02434187811757	0.0024782633801390414
40	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989049999999995	1.6119036986249336e-21	-3.0251464073832115e-20	-2.3598337910504808e-21	1.0029639999999993	-4.202130451328584e-20	5.30242624981192e-22	3.048471577168227e-21	0.998708208846611	-2.940479712338951	0.11440352847187125	-0.5607215723397863	0.11486840534737401	124.47006036948628	0.6654967191460431	-0.5606111221089735	0.6626728598711803	0.0004596744801429751	1599.565890624997	-2.9355820460306576	0.11467707649151572	-0.5596773518468048	0.11467708040253716	124.7676782749294	0.6642573780070098	-0.5596773675949444	0.6642573638712862	0.0004588184376150179	-0.0010955999505043682	0.0	0.0	0.0	0.0029596160126215917	0.0	0.0	0.0	-0.0012926262348260658	126.26996445724933	0.0027714881680459416
44	33.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987955000000039	2.6579893884839944e-21	-1.1467132039928718e-20	1.0113573390216346e-21	1.0032603999999958	-5.634632571725057e-20	1.841449627330849e-21	4.447770006032331e-21	0.9985316594607813	-2.870530711622535	0.13821180246810785	-0.6182858534471148	0.1388296500987665	126.3266738211893	0.734644705394027	-0.618122544482481	0.7311820507482413	0.0004503743839350112	1599.565890624997	-2.8654094453137504	0.13858196486349378	-0.6170197456821719	0.13858196641893947	126.66500516010359	0.7331403213606745	-0.6170197622865125	0.7331403212760468	0.00044945212038741036	-0.001205225993152109	0.0	0.0	0.0	0.0032550964206487874	0.0	0.0	0.0	-0.0014694196076113332	128.13250096323063	0.0030654101049637523
48	36.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9986860000000015	8.726980455561057e-21	3.183213343252705e-20	2.2209203877007754e-21	1.003556799999999	-3.282083264020963e-20	1.5754812818929986e-22	-8.180644204582032e-21	0.9983541738992255	-2.758955543808304	0.1571102764223234	-0.6640731375182007	0.15787653288988054	127.90946091745215	0.7814646805239525	-0.6638525035205	0.7774134264784041	0.00042436102943094336	1599.565890624997	-2.7537093968933917	0.15757633419210712	-0.6625901769740573	0.15757633106610847	128.28889630160987	0.7797195695980841	-0.6625901896818023	0.7797195745929331	0.0004234133767891424	-0.0013148640549935967	0.0	0.0	0.0	0.0035504895458015034	0.0	0.0	0.0	-0.001647181960428256	129.69987074735553	0.003359824398113524
52	39.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9985764999999989	2.3200232425295285e-21	4.999040223929111e-20	1.8211208365967457e-21	1.0038531999999822	-2.859752636519969e-20	-2.6105555434377535e-21	8.411037166235202e-21	0.9981760384379802	-2.615206932462456	0.17230961687056984	-0.7018460357304889	0.17322013827895238	129.28936321025463	0.8122406870572066	-0.7015645813566923	0.8076471695879295	0.00038941928158987	1599.565890624997	-2.6099291068117956	0.17287055852185168	-0.7001487247109714	0.17287055764819184	129.71025549827365	0.8102764028717047	-0.7001487333420986	0.8102764072659521	0.00038847752854973623	-0.0014245141386579727	0.0	0.0	0.0	0.0038457954396019407	0.0	0.0	0.0	-0.0018256270053541987	131.04799589521718	0.003654588808962712
56	42.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9984669999999951	-8.658370786833458e-21	-5.297852271896747e-20	5.3684948196977556e-21	1.004149600000004	-2.243629341016663e-19	-1.8380614955418317e-21	-1.0696332057927305e-20	0.9979974443330415	-2.451036022514322	0.18475587361109327	-0.7338325804255851	0.185807379321947	130.5195646872795	0.8317024761897135	-0.7334874832081857	0.8266068606313377	0.00034925913547496267	1599.565890624997	-2.4458050947093866	0.1854108347425549	-0.7319220890901924	0.18541083476775463	130.98225764580164	0.8295371861538533	-0.7319220961493085	0.8295371889296016	0.000348349859204148	-0.0015341762467828031	0.0	0.0	0.0	0.004141014153614246	0.0	0.0	0.0	-0.002004563462487256	132.2362307966458	0.003949604043416809
60	45.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9983574999999948	3.3550975040742835e-21	3.665323321006171e-20	8.722745290824785e-21	1.0044459999999946	-1.5401600079924943e-20	-7.08119543904595e-21	-9.937390537187451e-21	0.9978185223110322	-2.276233762509954	0.19464565509743137	-0.7611066790052704	0.19583270300702674	131.63835996721713	0.8431329031011201	-0.760695790707093	0.8375697944052131	0.0003068009381273885	1599.565890624997	-2.2711128040762416	0.1953921301386145	-0.7589844087407627	0.19539212825210583	132.14319913318064	0.8407819108701516	-0.758984414841806	0.8407819130957608	0.0003059454542299646	-0.0016438503820010734	0.0	0.0	0.0	0.0044361457392275705	0.0	0.0	0.0	-0.0021838605775310934	133.3079849720092	0.004244799366528315
64	48.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.998248000000001	3.937009138837988e-21	6.70790801919098e-20	-5.905513708256982e-21	1.0047423999999816	1.4742777853550548e-19	-6.425591937871123e-21	-7.413232354369637e-21	0.9976393634462685	-2.0978754815937872	0.20213130069206062	-0.7844951164462122	0.20344632087277453	132.67276344917684	0.8489043204329516	-0.7840168107762648	0.8429029841319512	0.00026672191388582345	1599.565890624997	-2.0929140856748516	0.2029651832934499	-0.7821626360422103	0.20296517804282266	133.22009831883688	0.8463803369807	-0.7821626407649889	0.8463803383602186	0.0002659288896535315	-0.0017535365469480808	0.0	0.0	0.0	0.00473119024788306	0.0	0.0	0.0	-0.0023634272489445286	134.2939545701209	0.004540123485796758
68	51.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9981385000000054	-1.5752271720088225e-20	5.888657752606621e-20	6.674619624363887e-22	1.0050387999999975	-7.692583820374105e-20	-2.027796875726795e-21	1.0028870095490916e-21	0.9974600326494036	-1.9207173828195832	0.20763033315841858	-0.8047323628145431	0.20906570945989023	133.6417807211053	0.8507719714430424	-0.8041853633324519	0.8443564946306821	0.00022977754502508086	1599.565890624997	-1.915954254897646	0.20854726107653168	-0.8021910854116038	0.2085472538416117	134.23196365779611	0.8480853048120142	-0.8021910888010897	0.8480853045352362	0.00022905192678247306	-0.0018632347442715568	0.0	0.0	0.0	0.005026147730980973	0.0	0.0	0.0	-0.002543198540237654	135.2156118812182	0.004835538453936705
