6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	-3.205821182010514e-23	1.2164848960449846e-22	-2.693300074472658e-24	1.0002964000000032	3.678968492390846e-22	-1.3168715351844201e-24	1.2043749718772083e-23	0.9999072045656868	-0.834078162080818	-0.0007791601149787003	0.00440658943380809	-0.0007794764107057424	20.70781765587752	0.0008561134221048089	0.0044066630520317625	0.0008557803254002019	-1.1489604430361609e-09	1599.565890624997	-0.833908397460017	-0.0007793177594846041	0.004405766139109379	-0.0007793177594865849	20.712007389951363	0.0008559534721815174	0.004405766139109166	0.0008559534721821872	-1.148745779733398e-09	-0.00010950599557121432	0.0	0.0	0.0	0.0002963560822013585	0.0	0.0	0.0	-9.279974007586221e-05	21.141301580144653	0.0002651814385823855
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999780999999996	9.222732957721237e-23	2.570215599324768e-22	5.651297944962285e-24	1.000592800000015	-8.89424299286418e-22	-1.4823076576950256e-24	-2.914322734146827e-23	0.999814350917554	-1.6646804667932218	-0.0015581898509947445	0.008812081266690606	-0.001559455066602034	41.435234477069045	0.0017139498722361815	0.008812375222061995	0.0017126164399908703	-1.3878659420370892e-09	1599.565890624997	-1.664003149512226	-0.0015588205629280376	0.008808789684691636	-0.0015588205629320409	41.45200630806691	0.0017133096595127791	0.008808789684690958	0.0017133096595142593	-1.387347531639643e-09	-0.00021902398400569506	0.0	0.0	0.0	0.0005926243635033826	0.0	0.0	0.0	-0.00018566631736959834	42.30856002550088	0.0005303294904263344
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999948	5.2234801321498594e-23	-1.8396496823179334e-23	5.532183936754649e-24	1.0008891999999756	4.719826400778572e-22	-6.061579528788587e-24	8.012402285433648e-23	0.9997214388001956	-2.4917859217263434	-0.002337172393183317	0.013216354690992173	-0.002340019303225076	62.182183711086914	0.002574542791932384	0.013217014916773618	0.0025715390117164146	-5.5924880759599534e-08	1599.565890624997	-2.490265885584303	-0.002338591847557808	0.013208952289807693	-0.002338591847566482	62.21994933459913	0.0025731008059189874	0.013208952289808671	0.0025731008059212417	-5.5893557568503664e-08	-0.00032855396794947696	0.0	0.0	0.0	0.0008888048958564497	0.0	0.0	0.0	-0.00027860000518181754	63.50171887161062	0.0007954442790250009
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999994	1.0528354836574936e-22	5.098079551286821e-22	-6.1939284267970716e-24	1.0011856000000052	-2.0587400480811787e-21	-2.5808035111654463e-23	1.36054667152722e-23	0.9996282529294079	-3.3033866695402927	-0.0030849311770135123	0.017055124315114068	-0.0030899420630231367	82.89045950591968	0.004132380211201203	0.017056254762312636	0.004125952282531064	-4.280823169003821e-06	1599.565890624997	-3.300701838442267	-0.003087430712276861	0.017042392272642568	-0.0030874307092605274	82.9576206886631	0.0041292952943524424	0.017042392272757913	0.004129295294946357	-4.277627436073722e-06	-0.0004380959500190331	0.0	0.0	0.0	0.0011848977313437862	0.0	0.0	0.0	-0.0003718161856635047	84.6562527276765	0.0010605930957420676
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994525000000003	2.5845092803096837e-22	3.425983573847628e-22	-4.108109794183357e-23	1.0014820000000118	2.8942057016495376e-21	-1.172611236355172e-23	-4.235164736271502e-23	0.9995251137830184	-3.6888587256891996	-0.0021408233032711725	-0.009685747821784576	-0.0021451712057391653	101.06249765932908	0.033579522901031666	-0.009686452747548	0.03351390985854648	0.0035515385783269683	1599.565890624997	-3.6851499539179726	-0.002143013733791395	-0.009676712785322944	-0.002143014454558403	101.16590197998677	0.033548199329598946	-0.009676714005789405	0.033548200353653655	0.0035482256404784423	-0.0005476499328526897	0.0	0.0	0.0	0.001480902921791702	0.0	0.0	0.0	-0.00047499901115210255	103.05624373443804	0.0013288137744121146
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999952	-5.603122946087197e-22	7.85908932198062e-21	2.710505431213761e-23	1.0017784000000016	-2.4466546681440466e-21	4.536920223730846e-23	-1.9926450084157414e-22	0.9993863003053025	-3.316724301970853	0.009394211055041443	-0.14174350425698487	0.009417108235123381	110.82336724837185	0.14332499781635755	-0.14174964704966822	0.14298275523718618	0.008350271618071699	1599.565890624997	-3.3128694176261115	0.009406159666688068	-0.14158489638322008	0.009406163139962247	110.964324841177	0.14316462028597152	-0.14158489760246223	0.14316461674790631	0.008340927847197376	-0.0006572159190825315	0.0	0.0	0.0	0.0017768205190767216	0.0	0.0	0.0	-0.000613888085436183	112.6538541666457	0.0016084428850528774
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999233499999997	-5.319366908757006e-22	-6.326065566568742e-21	7.27601301691444e-22	1.002074800000014	1.1988057302490113e-20	1.4189125355489616e-22	-3.9598790284138543e-22	0.9992248379868862	-3.0553546550320045	0.027920989422179552	-0.28605482584624625	0.028000383549741922	115.83448549700951	0.29423437123122725	-0.2860523393167572	0.29339754744073665	0.0034338084521189837	1599.565890624997	-3.0513938552402284	0.027964083972985113	-0.28568152303874794	0.02796408533697935	116.01326981746492	0.2938503940809793	-0.2856815162294482	0.2938503908311778	0.003429327316966674	-0.0007667939113262867	0.0	0.0	0.0	0.0020726505750658895	0.0	0.0	0.0	-0.0007754626065355113	117.5691746049186	0.0018958591621854436
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999995	4.130132650811969e-21	-4.472281021943502e-20	7.801173444212106e-22	1.002371199999993	6.393489389170184e-20	1.3805578249061027e-21	2.617331807015788e-21	0.9990548138681871	-2.973050513848184	0.054750797412491004	-0.3998725359977595	0.054928745477658414	119.16520885868555	0.4429508911016597	-0.39984484374837875	0.44148535351829954	0.0013568127783795036	1599.565890624997	-2.968823584047845	0.05485064523150302	-0.3992763673386888	0.054850650621861896	119.38252781601524	0.4422904970635362	-0.3992763649829897	0.44229048059877735	0.0013547899106357158	-0.0008763839122216552	0.0	0.0	0.0	0.0023683931414796504	0.0	0.0	0.0	-0.0009456331018931871	120.89807262442929	0.002186633308701889
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999946	8.116269700590706e-21	1.3268771118738614e-20	-7.148958074826295e-22	1.0026676000000077	2.570236775148449e-20	1.661031609565683e-21	-4.791665382617577e-21	0.9988809397843708	-2.9511419746865877	0.08571713154714415	-0.49122452698290897	0.08603057768523333	121.70366485040951	0.5683758200833454	-0.49115886081438687	0.5662292784133497	0.0006134485826091361	1599.565890624997	-2.9465878623225263	0.08589781393795175	-0.4904009128321027	0.08589781791939208	121.96020293956761	0.5674228498168321	-0.49040091942764935	0.5674228281498188	0.0006124200408615728	-0.0009859859244089834	0.0	0.0	0.0	0.0026640482701223633	0.0	0.0	0.0	-0.0011196868310364354	123.4664997856732	0.0024791251534640774
