6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	1.7163997710475324e-23	-1.8035846076106215e-22	-3.110199103199384e-24	1.0002964000000032	1.565488940093358e-22	3.196225886904899e-24	-3.6898872764765456e-23	0.9999072045656869	-0.8340781620631905	-0.0007791601149700355	0.004406589433808747	-0.0007794764106970318	20.707817655889226	0.0008561134221112803	0.004406663052032272	0.0008557803254066623	-1.1292364273437354e-09	1599.565890624997	-0.8339083974423931	-0.0007793177594759376	0.004405766139110036	-0.0007793177594778761	20.712007389963073	0.0008559534721879877	0.004405766139109675	0.000855953472188649	-1.1290254491307233e-09	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608220113653	0.0	0.0	0.0	-9.279974007575117e-05	21.141301580137757	0.00026518143858220297
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999965	3.1254192264703597e-23	4.069066869270854e-22	-4.645446320097803e-24	1.0005928000000197	-6.741852864552196e-22	4.2881042954748956e-24	2.991085094991748e-24	0.9998143509175538	-1.6646804667831394	-0.0015581898509717093	0.008812081266697514	-0.0015594550665790122	41.43523447707934	0.0017139498722438464	0.00881237522206924	0.001712616439998611	-1.389545956341845e-09	1599.565890624997	-1.6640031495021403	-0.0015588205629049926	0.008808789684698497	-0.0015588205629090217	41.45200630807721	0.0017133096595204325	0.008808789684698164	0.0017133096595220026	-1.3890269184076412e-09	-0.00021902398400525086	0.0	0.0	0.0	0.0005926243635078209	0.0	0.0	0.0	-0.0001856663173700425	42.30856002550662	0.0005303294904292727
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999947	3.5658101845935915e-23	-1.002675251312278e-22	-2.5463927976832403e-23	1.0008891999999756	8.53438633917911e-22	3.9969367198562296e-24	-3.6528295850341705e-24	0.9997214388001954	-2.491785921730158	-0.002337172393156783	0.013216354690981529	-0.002340019303198659	62.182183711071474	0.002574542791938603	0.013217014916763328	0.0025715390117227108	-5.593277286708789e-08	1599.565890624997	-2.4902658855881157	-0.0023385918475312584	0.013208952289797054	-0.0023385918475400808	62.2199493345837	0.0025731008059252033	0.01320895228979839	0.002573100805927542	-5.590144525566984e-08	-0.00032855396794958803	0.0	0.0	0.0	0.0008888048958562278	0.0	0.0	0.0	-0.00027860000518181754	63.501718871600936	0.0007954442790248925
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999958	-6.875525251540766e-23	-2.9810265787431034e-22	-4.274869405674047e-23	1.0011855999999948	-4.2753458617068776e-21	-3.509892775185007e-23	-7.05684324181239e-23	0.9996282529297134	-3.3033867375427244	-0.003084931521900236	0.01705512688201808	-0.003089942408470311	82.89045964437382	0.004132380721703699	0.01705625732939269	0.004125952792240923	-4.280836010378573e-06	1599.565890624997	-3.300701906388455	-0.0030874310574420935	0.01704239483763056	-0.0030874310544260278	82.95762082720435	0.004129295804473894	0.017042394837746538	0.004129295805067956	-4.277640267862151e-06	-0.00043809595002258734	0.0	0.0	0.0	0.0011848977313333624	0.0	0.0	0.0	-0.00037181618535796874	84.65625290208703	0.0010605930956409668
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999997	1.3478411773184053e-22	-1.2192774577929637e-21	-1.429368098491632e-23	1.0014820000000038	-2.6191317520287033e-21	-3.6369477172731524e-23	7.676236084492097e-23	0.9995251155158694	-3.6891972912296502	-0.002143978196001085	-0.009673216438363951	-0.0021483325095638006	101.06321665473557	0.03358355773593495	-0.009673920466879449	0.03351793687110472	0.0035496774245023814	1599.565890624997	-3.6854881726758455	-0.0021461718507985376	-0.00966419309139796	-0.0021461725762932466	101.16662153565933	0.033552230400737335	-0.009664194308298275	0.033552231428369876	0.003546366222771011	-0.0005476499328532452	0.0	0.0	0.0	0.0014809029217832767	0.0	0.0	0.0	-0.0004749972774778322	103.05714193199903	0.0013288132283989955
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999978	-7.564004218980902e-22	-4.042888257244775e-21	-1.2959604092990795e-22	1.0017783999999958	7.44605488107574e-21	-3.0969642133985354e-23	-1.2205744769934468e-21	0.9993863474233016	-3.323157432074013	0.009236331793219765	-0.14164665902067844	0.009258844370799319	110.84012830110657	0.1433900179513972	-0.14165280441546318	0.14304762690571715	0.008283481245285733	1599.565890624997	-3.3192949142875032	0.00924807916028862	-0.14148815951461033	0.009248082782822905	110.98110198008028	0.14322956766490597	-0.14148816085350524	0.14322956417466884	0.008274212211374312	-0.0006572159190799764	0.0	0.0	0.0	0.001776820519071402	0.0	0.0	0.0	-0.0006138409385039558	112.67401134269801	0.0016084275948836874
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992335000000037	8.453388813597917e-22	3.58154117461088e-20	-4.45539330255762e-22	1.002074799999976	2.707540815898371e-21	5.99143461284409e-23	-1.0410034921755352e-21	0.9992250260096794	-3.0714953974232504	0.027059167347221812	-0.2863304010544841	0.027136110760865955	115.89145149366821	0.2945665003138297	-0.28632796691233653	0.29372878764580346	0.003373200247279247	1599.565890624997	-3.067513096419062	0.027100926622297173	-0.2859567386201344	0.027100927845982406	116.0703018972932	0.2941820897336755	-0.28595673270794253	0.2941820869318996	0.0033687982061012733	-0.0007667939113196201	0.0	0.0	0.0	0.0020726505750271124	0.0	0.0	0.0	-0.0007752744378992426	117.6345963758342	0.001895796155804117
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999959	2.5182289521870348e-21	-1.1990386643095062e-20	-1.5924219408380846e-22	1.0023711999999916	3.394315129532158e-20	-7.345893235062919e-22	-5.84198623721291e-21	0.9990552200046116	-2.996381319995035	0.05237234496575027	-0.40111307036510924	0.05254256179714399	119.27644889245228	0.44413115491017474	-0.40108545685878194	0.4426618927262565	0.001312282030089169	1599.565890624997	-2.9921200032998696	0.05246783392435084	-0.40051505219740025	0.0524678381649084	119.49392213902472	0.44346900122059263	-0.4005150514360492	0.4434689851559773	0.0013103255530927025	-0.0008763839122252111	0.0	0.0	0.0	0.002368393141477435	0.0	0.0	0.0	-0.0009452265813142999	121.02155676242323	0.0021864935454129855
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999923	-8.300922883092143e-22	9.598259720930512e-21	-6.386628422297425e-22	1.0026676000000154	-5.919659158476129e-20	-5.505714157152952e-22	1.7533582008164016e-22	0.9988816287630911	-2.9810104064545495	0.08117102215278259	-0.4934754612736033	0.08146784162442211	121.88265066733013	0.5715070567280905	-0.49340983473176353	0.5693490816598493	0.0005346728734129443	1599.565890624997	-2.976408149057468	0.08134206573367848	-0.4926480730821418	0.08134206682808846	122.13948179334433	0.5705488364574143	-0.49264807990636256	0.5705488140658745	0.0005337764113667569	-0.0009859859244113172	0.0	0.0	0.0	0.002664048270129007	0.0	0.0	0.0	-0.0011189970806817905	123.66127079590449	0.0024788829794126234
