6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	9.257805415693486e-24	-1.6329207036286808e-22	-8.205631676526034e-24	1.0002964000000032	-2.086480377103757e-22	-2.276401045745932e-24	1.1501119236937297e-23	0.9999072045656875	-0.8340781621040682	-0.0007791601149532298	0.004406589433801877	-0.0007794764106802132	20.707817655801083	0.0008561134220966159	0.004406663052025442	0.0008557803253920029	-1.1486645656588746e-09	1599.565890624997	-0.833908397483262	-0.0007793177594591278	0.004405766139103167	-0.0007793177594610604	20.7120073898749	0.000855953472173326	0.004405766139102844	0.0008559534721739861	-1.1484499576356607e-09	-0.00010950599557121432	0.0	0.0	0.0	0.0002963560822013585	0.0	0.0	0.0	-9.279974007497395e-05	21.1413015800804	0.00026518143858210826
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999963	-1.0961797477552723e-23	-8.236071923067986e-23	-2.9222636680273364e-23	1.0005928000000197	-1.8381938444398401e-22	8.2056316765260345e-25	-6.895377586242039e-23	0.9998143509175533	-1.6646804667673203	-0.0015581898509815719	0.00881208126668454	-0.0015594550665888945	41.43523447714798	0.00171394987226124	0.008812375222055815	0.001712616440015914	-1.390749968613672e-09	1599.565890624997	-1.6640031494863283	-0.0015588205629148602	0.00880878968468553	-0.0015588205629189006	41.452006308145904	0.00171330965953782	0.008808789684684747	0.0017133096595393139	-1.3902304809440428e-09	-0.00021902398400547296	0.0	0.0	0.0	0.000592624363507377	0.0	0.0	0.0	-0.00018566631737070875	42.30856002556748	0.0005303294904292635
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999947	-9.519194489260242e-23	1.443582370137743e-21	8.139457227521792e-24	1.0008891999999756	-2.671303687623648e-21	-4.499862532288471e-25	8.552385789308263e-23	0.9997214388001956	-2.491785921748209	-0.002337172393150223	0.013216354690984918	-0.0023400193031920314	62.182183711053426	0.0025745427919379557	0.013217014916766624	0.0025715390117219943	-5.592878026488071e-08	1599.565890624997	-2.490265885606155	-0.002338591847524694	0.013208952289800442	-0.0023385918475334567	62.21994933456563	0.0025731008059245563	0.013208952289801682	0.0025731008059268244	-5.589745488969526e-08	-0.00032855396794958803	0.0	0.0	0.0	0.000888804895856006	0.0	0.0	0.0	-0.00027860000518203963	63.50171887159053	0.000795444279024814
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999928	-1.815760706227402e-22	5.35483641342328e-22	-1.630538423464528e-23	1.0011856000000092	5.156895401561791e-21	-1.998468359928115e-23	-8.618560238312505e-23	0.9996282529293502	-3.303386659242095	-0.00308493099558565	0.017055124749194468	-0.0030899418813005583	82.89045948289682	0.004132380029551846	0.017056255196420816	0.004125952101164123	-4.280833431853679e-06	1599.565890624997	-3.3007018281526155	-0.0030874305307021965	0.017042392706398957	-0.0030874305276858095	82.95762066562689	0.0041292951128387	0.017042392706514184	0.004129295113432729	-4.277637691262136e-06	-0.0004380959500255863	0.0	0.0	0.0	0.0011848977313473345	0.0	0.0	0.0	-0.0003718161857214799	84.65625269921567	0.0010605930957648562
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994525000000009	-1.4357208455960392e-22	-4.04998215817803e-21	-9.020900888258298e-23	1.001482000000036	1.541917601358047e-21	2.898440866385809e-23	-3.3373098121819435e-22	0.9995251135667452	-3.6888164978585714	-0.0021409485465730166	-0.009681482211821635	-0.0021452967042512247	101.0624079953065	0.03357807671094418	-0.009682186825135653	0.033512466487423814	0.003551726894391963	1599.565890624997	-3.685107769340407	-0.002143139105702405	-0.009672451154396	-0.0021431398273581617	101.16581224611227	0.03354675448854226	-0.009672452374420248	0.033546755512972724	0.003548413780878801	-0.0005476499328521344	0.0	0.0	0.0	0.0014809029218154255	0.0	0.0	0.0	-0.00047499922752785597	103.05613173754195	0.0013288138425737019
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000019	-9.584177798182408e-22	7.739710615976967e-21	-7.623296525288703e-23	1.001778400000009	-4.029971004799147e-21	1.0497914590032985e-22	-2.8121493848842773e-22	0.9993862932325921	-3.3157488584881056	0.009301335155339048	-0.14159348203270605	0.009324006023297199	110.82084048265166	0.1432302157633911	-0.14159961728496231	0.1428881984778973	0.008360355398335243	1599.565890624997	-3.3118951312973173	0.009313165702905501	-0.14143504203051924	0.009313169202695702	110.9617956469145	0.1430699442920424	-0.14143504321176634	0.14306994073323442	0.008351000343931757	-0.0006572159190758658	0.0	0.0	0.0	0.001776820519084036	0.0	0.0	0.0	-0.0006138951624895888	112.65081152632139	0.0016084451802466043
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999989	9.16489648929153e-22	-4.7556664823592695e-20	-4.0996394647108135e-22	1.0020747999999926	-4.094133750553661e-20	2.2147264592739787e-22	-5.891114148153659e-22	0.9992248020114667	-3.0508721243848442	0.02728677507647648	-0.2855704820815021	0.02736436570949431	115.8221449628264	0.2937106405749387	-0.2855679895022541	0.2928752957148952	0.003449231833606692	1599.565890624997	-3.046917245207378	0.02732889173535985	-0.2851978113447553	0.02732889298047232	116.0009144127474	0.2933273468955093	-0.2851978045684424	0.29332734359854645	0.003444730570873684	-0.0007667939113243978	0.0	0.0	0.0	0.0020726505750439527	0.0	0.0	0.0	-0.0007754986098645482	117.55448238337918	0.0018958712182259674
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999966	1.8719428134320038e-22	6.761334622339046e-21	1.2027867851011064e-22	1.0023712000000282	-2.789364198603136e-20	2.8751474603363157e-22	-3.945479468310531e-21	0.9990547324060808	-2.9614703798535063	0.05322779809887381	-0.3991035633655919	0.053400795778465335	119.13580575747402	0.44188355451144495	-0.39907589187149234	0.440421512052353	0.0013611947186790972	1599.565890624997	-2.957260155222556	0.053324872805768794	-0.3985085411652963	0.05332487763076805	119.35308082497016	0.44122475176194664	-0.39850853885624493	0.44122473500576753	0.0013591653179147716	-0.0008763839122245443	0.0	0.0	0.0	0.0023683931415146506	0.0	0.0	0.0	-0.0009457146410727148	120.8626170354914	0.002186661345168381
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999873	2.8807590536118753e-21	-2.5695803246143268e-20	1.0596382170151296e-21	1.0026675999999968	-2.208807816555039e-20	-4.0572878173480985e-22	3.774378812965163e-21	0.9988808090417144	-2.929275230661099	0.08317719584719527	-0.49011995109870815	0.08348135323401734	121.653102811098	0.5670549611384511	-0.4900543684063774	0.5649133331663279	0.0006044810316539628	1599.565890624997	-2.9247552452087633	0.08335253523972913	-0.4892981889407957	0.08335253826360776	121.90955027761207	0.5661042054969484	-0.4892981954824863	0.5661041831302246	0.000603467525397228	-0.0009859859244163182	0.0	0.0	0.0	0.0026640482701110694	0.0	0.0	0.0	-0.0011198177201737418	123.40452560027593	0.0024791711161062106
