6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	-1.587028723244239e-23	1.2892106155006468e-22	-5.39321759384574e-24	1.0002964000000032	-2.4643364809179802e-23	-2.7660919683773244e-24	3.9744374071947875e-23	0.9999072045656869	-0.83407816207217	-0.0007791601149694624	0.004406589433799536	-0.0007794764106964583	20.707817655880614	0.0008561134221106069	0.004406663052023016	0.0008557803254059833	-1.1472099980536221e-09	1599.565890624997	-0.8339083974513708	-0.0007793177594753644	0.0044057661391008265	-0.0007793177594773026	20.712007389954458	0.0008559534721873144	0.0044057661391004215	0.0008559534721879698	-1.1469956617911012e-09	-0.00010950599557121432	0.0	0.0	0.0	0.0002963560822013585	0.0	0.0	0.0	-9.279974007552912e-05	21.14130158014235	0.0002651814385822815
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999963	9.481475053327824e-23	1.7781074447439884e-22	3.586655136029928e-24	1.0005928000000197	2.503114708034466e-22	8.973255284975245e-24	9.706468179942247e-23	0.9998143509175541	-1.6646804667899504	-0.0015581898509761318	0.008812081266681022	-0.0015594550665834334	41.43523447706105	0.0017139498722357623	0.008812375222052478	0.001712616439990476	-1.390590164808067e-09	1599.565890624997	-1.6640031495089478	-0.0015588205629094164	0.00880878968468201	-0.0015588205629134405	41.4520063080589	0.0017133096595123517	0.008808789684681401	0.0017133096595138642	-1.3900707368300486e-09	-0.00021902398400547296	0.0	0.0	0.0	0.0005926243635078209	0.0	0.0	0.0	-0.00018566631736993146	42.308560025492426	0.0005303294904293166
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999671499999995	5.416709523242246e-23	-1.2963045164339016e-21	-1.1434944787933054e-23	1.0008891999999756	-4.200277566756465e-21	9.396771758602394e-24	3.038730698274802e-23	0.9997214388001957	-2.491785921724845	-0.002337172393169591	0.01321635469098045	-0.00234001930321143	62.182183711077236	0.0025745427919254224	0.013217014916762354	0.002571539011709546	-5.592250935525927e-08	1599.565890624997	-2.490265885582805	-0.002338591847544073	0.013208952289795971	-0.002338591847552843	62.21994933458942	0.002573100805912029	0.013208952289797413	0.002573100805914368	-5.5891187492372765e-08	-0.00032855396794925486	0.0	0.0	0.0	0.0008888048958557842	0.0	0.0	0.0	-0.0002786000051817065	63.50171887159901	0.0007954442790244443
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999932	2.0479006733342837e-22	-1.9240088699085415e-21	6.323630346845385e-23	1.001185599999996	-7.490947627280219e-22	-6.538035561619131e-24	5.071609771685123e-23	0.9996282529295833	-3.3033867072337206	-0.003084931498792529	0.017055124907260587	-0.0030899423853248827	82.89045958476893	0.00413238059972858	0.017056255354501827	0.00412595267045494	-4.2808229114996295e-06	1599.565890624997	-3.3007018761045104	-0.0030874310343160733	0.017042392864347295	-0.0030874310312998094	82.95762076756218	0.004129295682589838	0.01704239286446297	0.004129295683183846	-4.2776271787618295e-06	-0.00043809595002525307	0.0	0.0	0.0	0.001184897731334693	0.0	0.0	0.0	-0.0003718161854878021	84.6562528264526	0.0010605930956833418
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999452499999987	8.671499797515899e-23	-4.09911006911878e-22	1.173140631947206e-22	1.0014819999999813	-6.357935181209185e-21	9.68793933422106e-24	-4.3198680309969315e-23	0.9995251147029016	-3.6890403609848224	-0.002141996522918765	-0.009685015905780605	-0.0021463468079063967	101.06288127573264	0.033582674843496384	-0.009685720786586936	0.03351705567394631	0.0035505620460251114	1599.565890624997	-3.68533140320623	-0.002144188151871202	-0.00967598155206356	-0.0021441888728041046	101.16628589579186	0.03355134833187758	-0.009675982771835833	0.03355134935688627	0.0035472500191033006	-0.0005476499328660198	0.0	0.0	0.0	0.0014809029217611052	0.0	0.0	0.0	-0.0004749980908318859	103.05672348211398	0.0013288134845483687
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000015	1.571246117156727e-22	-1.4704386085216246e-20	1.5585406229479126e-22	1.0017783999999839	-5.505714157152952e-22	2.0249381395298118e-23	7.981167945503645e-22	0.9993863276447743	-3.320572347895687	0.009413801388787061	-0.14184420195961522	0.009436746337876481	110.83321658772249	0.14345195893329402	-0.14185035309147026	0.14310941715791492	0.008306238750026505	1599.565890624997	-3.316712900401793	0.009425774659764165	-0.14168548140733042	0.009425778160349101	110.97418367218313	0.14329143933620317	-0.14168548272203116	0.1432914358515585	0.008296944250966267	-0.0006572159190761991	0.0	0.0	0.0	0.0017768205190589897	0.0	0.0	0.0	-0.0006138607291760088	112.66573774553574	0.0016084340131060236
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999972	1.4391089773850563e-21	2.051662029015685e-20	-6.06475590234079e-22	1.0020748000000004	1.383882429224076e-20	1.8863688433149286e-22	9.317362419797303e-24	0.9992249600956447	-3.0675354128073518	0.028114964839254745	-0.28664072667944507	0.028194910627623807	115.8732361002875	0.29495443180837483	-0.28663827048377216	0.29411559627708117	0.0033855333332282983	1599.565890624997	-3.0635584481494917	0.028158355339671665	-0.286266659268783	0.028158356799221556	116.05206604825526	0.2945695149759065	-0.28626665284358305	0.29456951193999764	0.0033811151973187873	-0.0007667939113260644	0.0	0.0	0.0	0.002072650575051265	0.0	0.0	0.0	-0.0007753404030579288	117.61431134918008	0.0018958182428780164
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999909	9.198777807181702e-22	4.4919639500553244e-20	7.420008617947671e-22	1.0023712000000053	5.5311251455705814e-21	1.555364249395709e-22	3.483846512056938e-21	0.9990550913294316	-2.996257796530492	0.055084874690451154	-0.4012371121556448	0.0552639082145031	119.24866114335559	0.44479761534008005	-0.4012094376521005	0.44332609110642995	0.0013296074953701217	1599.565890624997	-2.991997040864555	0.05518531643253815	-0.40063890905443156	0.0551853215153481	119.46609911220071	0.4441344680268139	-0.40063890751057424	0.44413445175267946	0.001327625187893992	-0.0008763839122302114	0.0	0.0	0.0	0.0023683931414911694	0.0	0.0	0.0	-0.0009453553781872511	120.99368125375453	0.0021865378235996734
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999911	-1.0299920638612292e-21	2.3553233406063517e-20	1.170599533105443e-21	1.0026676000000085	4.5396307291620597e-20	1.0314743715189243e-21	2.1412992906588713e-21	0.9988814173881683	-2.9884673944569964	0.08608743335056215	-0.49354108405638486	0.0864022330453415	121.84473596111765	0.5718215916638626	-0.4934753444813292	0.5696623090361276	0.0005806790492299274	1599.565890624997	-2.983854255945891	0.08626885504880574	-0.4927135858381482	0.08626885850378008	122.10151303135613	0.5708628440265595	-0.49271359278207016	0.570862822276078	0.0005797054506904586	-0.0009859859244124285	0.0	0.0	0.0	0.0026640482701223633	0.0	0.0	0.0	-0.0011192086922872753	123.62716213428276	0.0024789572705194007
