6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999916	4.735774442988594e-23	4.740605177765904e-22	1.0852609636695724e-24	1.0002964000000032	5.34828514297186e-22	1.6278914455043584e-24	1.340694336825947e-23	0.9999072045656866	-0.8340781620667296	-0.000779160114970737	0.004406589433800451	-0.0007794764106977172	20.707817655879985	0.0008561134221053172	0.004406663052024016	0.0008557803254007065	-1.147206763963543e-09	1599.565890624997	-0.8339083974459318	-0.0007793177594766394	0.004405766139101742	-0.0007793177594785616	20.712007389953836	0.0008559534721820257	0.004405766139101422	0.0008559534721826922	-1.1469924283052559e-09	-0.0001095059955711033	0.0	0.0	0.0	0.0002963560822015805	0.0	0.0	0.0	-9.279974007564014e-05	21.141301580138844	0.00026518143858242474
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999966	-2.1969917069408416e-24	-2.315443970658435e-22	1.6186270226437647e-23	1.0005928000000197	3.2194663533951888e-21	1.4558378780933288e-23	3.4119545906587284e-23	0.9998143509175537	-1.6646804667737467	-0.00155818985098719	0.008812081266686266	-0.0015594550665944716	41.435234477095506	0.0017139498722520499	0.008812375222057649	0.0017126164400066816	-1.3828024978349701e-09	1599.565890624997	-1.6640031494927519	-0.0015588205629204796	0.008808789684687252	-0.001558820562924475	41.452006308093374	0.0017133096595286328	0.008808789684686577	0.0017133096595300765	-1.3822859787888652e-09	-0.00021902398400513981	0.0	0.0	0.0	0.0005926243635080428	0.0	0.0	0.0	-0.00018566631737037563	42.308560025514645	0.0005303294904294852
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999947	7.397972526429259e-23	4.567889865864832e-22	1.581569331201389e-23	1.0008891999999756	5.00292069361872e-21	3.6792993646358674e-24	9.26442286059391e-24	0.9997214388001957	-2.4917859217725393	-0.0023371723931557213	0.013216354690911068	-0.002340019303197605	62.18218371107607	0.0025745427913619135	0.013217014916692648	0.002571539011146674	-5.593795796358242e-08	1599.565890624997	-2.4902658856304707	-0.0023385918475301954	0.013208952289726635	-0.0023385918475390273	62.219949334588286	0.002573100805348837	0.013208952289727752	0.002573100805351155	-5.590662744802285e-08	-0.00032855396794958803	0.0	0.0	0.0	0.0008888048958566715	0.0	0.0	0.0	-0.0002786000051817065	63.50171887163036	0.0007954442790251534
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999945	1.0475415277371543e-22	1.6147889046015186e-21	-5.132490264769026e-23	1.0011855999999921	6.845085004998814e-22	-7.358598729271735e-24	-4.663975165818991e-23	0.9996282529562969	-3.3033893563476875	-0.003084942651749808	0.01705514072501779	-0.003089953556505355	82.89046798277751	0.004132259867389973	0.0170562711737018	0.004125832126122078	-4.278127255528723e-06	1599.565890624997	-3.300704522977213	-0.003087442196227415	0.01704240867029622	-0.0030874421933183966	82.95762917015811	0.004129175040380708	0.017042408670350503	0.004129175041070767	-4.2749335351601e-06	-0.0004380959500239202	0.0	0.0	0.0	0.001184897731330701	0.0	0.0	0.0	-0.0003718161587645696	84.65626262306405	0.001060593087334939
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994525000000001	5.315131744020735e-23	1.043465181678493e-21	-4.4151592375630403e-23	1.0014819999999975	6.585681164902185e-22	1.8820013296806485e-23	1.6718312796431753e-22	0.999525165085632	-3.691920923749565	-0.0021363922447973373	-0.009586468889450283	-0.002140731105096445	101.07674187692226	0.033418192321831124	-0.009587167065758555	0.03335289617556403	0.0034241084272550685	1599.565890624997	-3.6882088839454443	-0.002138578031815707	-0.009577526462128533	-0.0021385787082179204	101.18015557859233	0.03338701924240965	-0.009577527654056122	0.03338702021231951	0.003420914358499865	-0.0005476499328529119	0.0	0.0	0.0	0.0014809029217766254	0.0	0.0	0.0	-0.00047494768416578314	103.07216136985275	0.0013287976096837068
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000024	-6.094402055494691e-22	9.043929596511775e-21	-1.4145450219146816e-22	1.001778400000018	1.0742071837079037e-20	8.650323973834542e-23	2.2213439041744025e-22	0.9993868778254364	-3.3385079768479393	0.00945888600653959	-0.14068648403457637	0.009481940317006745	110.96999106896814	0.14243955687398074	-0.14069266224435845	0.14209951120923722	0.007810315900195357	1599.565890624997	-3.334625847289483	0.009470911406045163	-0.14052905894326365	0.00947091439733501	111.11107094611346	0.142280170132594	-0.14052906007640065	0.14228016709098232	0.007801576327931489	-0.0006572159190753103	0.0	0.0	0.0	0.001776820519093567	0.0	0.0	0.0	-0.0006133102108274195	112.81215867722686	0.0016082555075929122
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992334999999933	1.7787691892340306e-22	4.486267653485039e-20	-4.573977915173222e-22	1.0020747999999944	-1.610802555793503e-20	-6.305101501124198e-23	1.4081922748102744e-21	0.9992264487086138	-3.100100644441442	0.028238856916679086	-0.28421241443127715	0.028319154443009302	116.22594973244037	0.2935676104525047	-0.2842104028246221	0.29273315565610863	0.0031925793725666924	1599.565890624997	-3.096076847534397	0.028282396488516576	-0.2838415159787958	0.02828239740214928	116.40515061520581	0.2931845034280161	-0.28384150998177643	0.2931845009884466	0.0031884130424256313	-0.0007667939113299531	0.0	0.0	0.0	0.0020726505750452823	0.0	0.0	0.0	-0.0007738506365691806	117.98425647745484	0.0018953196116457468
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999943	-2.5461810394464266e-21	1.7107418556576696e-20	-3.2610768469290564e-22	1.002371199999977	-5.603546462560824e-21	-6.11981304391232e-23	-1.5432940298973353e-21	0.9990577148251415	-3.039094479972639	0.05521967809209195	-0.39795533177767317	0.05539914898152693	119.85530559635265	0.44413028609390226	-0.397928929005541	0.4426621334643372	0.001260463873674959	1599.565890624997	-3.0347648402182257	0.055320220365028906	-0.39736202147212646	0.055320224696885	120.07353441014823	0.4434681336996428	-0.3973620203681797	0.44346811891335414	0.00125858465219882	-0.0008763839122267667	0.0	0.0	0.0	0.002368393141462815	0.0	0.0	0.0	-0.000942729404616328	121.6231226571629	0.0021856355479287675
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990145000000009	2.9544509200229996e-21	-1.4017654123229824e-19	-1.5415999640028266e-22	1.0026676000000116	5.804293271060093e-21	2.0498197323554068e-22	-2.823160813198583e-21	0.9988852891227209	-3.039592636938167	0.08614753588129292	-0.4900085353298287	0.08646255459038743	122.72788252983048	0.5730418087805693	-0.48994516506245556	0.5708801320078711	0.0005440926920027232	1599.565890624997	-3.0348888156613105	0.08632874962403708	-0.48918695997772904	0.08632875231734886	122.98604405128063	0.5720810152599017	-0.48918696659075667	0.5720809942765491	0.0005431804361688404	-0.000985985924402649	0.0	0.0	0.0	0.0026640482701263497	0.0	0.0	0.0	-0.0011153326295409054	124.53787976313785	0.002477597410401669
