6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999916	-1.3795718256159396e-23	-3.7163570560782425e-23	-1.9389113558242968e-24	1.0002964000000032	1.2705494208814505e-22	3.2822526706104138e-24	-3.4371008812803406e-23	0.9999072045656874	-0.8340781620837628	-0.0007791601149670051	0.004406589433797903	-0.0007794764106940099	20.70781765582161	0.0008561134220976895	0.004406663052021566	0.0008557803253930713	-1.1347061705264256e-09	1599.565890624997	-0.8339083974629609	-0.000779317759472906	0.004405766139099193	-0.0007793177594748544	20.71200738989543	0.0008559534721743992	0.0044057661390989695	0.0008559534721750547	-1.1344941703869022e-09	-0.0001095059955711033	0.0	0.0	0.0	0.00029635608220113653	0.0	0.0	0.0	-9.279974007530704e-05	21.14130158008361	0.000265181438582025
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999963	-2.1010387558846902e-23	-1.0314479017393225e-21	1.7880336120946246e-23	1.0005928000000197	1.453720295725193e-22	1.852884572118782e-24	1.4457793618446838e-22	0.999814350917553	-1.6646804667393942	-0.0015581898509661144	0.00881208126668847	-0.0015594550665734438	41.43523447717105	0.0017139498722647227	0.008812375222059908	0.0017126164400194006	-1.3765798268713935e-09	1599.565890624997	-1.6640031494584142	-0.0015588205628993968	0.008808789684689455	-0.0015588205629034565	41.45200630816899	0.0017133096595413012	0.00880878968468884	0.0017133096595428022	-1.3760656321833047e-09	-0.00021902398400547296	0.0	0.0	0.0	0.000592624363507377	0.0	0.0	0.0	-0.00018566631737126397	42.308560025569115	0.0005303294904294368
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999948	-1.2255507955585659e-23	-5.244457432484204e-22	3.107552125239214e-23	1.0008891999999756	-8.828465590553963e-22	4.923379005915621e-24	-5.002788344720711e-23	0.9997214388001961	-2.491785921759243	-0.0023371723931504803	0.013216354690702484	-0.0023400193031923103	62.18218371108935	0.0025745427913196357	0.013217014916484065	0.0025715390111044297	-5.592936679853569e-08	1599.565890624997	-2.4902658856171804	-0.00233859184752495	0.013208952289518164	-0.0023385918475337343	62.21994933460153	0.0025731008053065823	0.013208952289519287	0.0025731008053088834	-5.589804109483624e-08	-0.00032855396794947696	0.0	0.0	0.0	0.0008888048958562278	0.0	0.0	0.0	-0.0002786000051814844	63.50171887163252	0.0007954442790247491
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999562000000006	7.92041980131775e-23	7.924257919359997e-22	-2.9460864696688633e-23	1.0011856000000128	-1.4440588261705736e-21	-1.6464202912255463e-23	-3.99693671985623e-23	0.9996282529519406	-3.3033888855562172	-0.0030849494511191846	0.01705508354862127	-0.003089960366912123	82.89046657292837	0.004132251741513794	0.01705621399345528	0.004125824012865485	-4.278368362205784e-06	1599.565890624997	-3.300704052582695	-0.0030874490011193337	0.017042351536582647	-0.0030874489982033906	82.95762775952724	0.0041291669205705496	0.017042351536651207	0.004129166921258434	-4.2751744618453446e-06	-0.0004380959500124799	0.0	0.0	0.0	0.0011848977313508831	0.0	0.0	0.0	-0.00037181616312292697	84.65626096449762	0.0010605930887053864
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999452500000001	1.4854840312472292e-22	3.2893730413232704e-21	-4.563390003332543e-23	1.0014819999999827	-5.255839437712934e-21	-1.368487605407729e-23	-3.22931311140702e-23	0.9995251486579995	-3.6912900432113283	-0.002136354463935105	-0.009688948022845652	-0.0021406932560825067	101.0725570912931	0.03339582478316041	-0.009689653530995398	0.03333057179470012	0.0034456628339816194	1599.565890624997	-3.687578698332709	-0.002138540247446936	-0.009679910001180281	-0.0021385409324071376	101.17596817429371	0.03336467256857412	-0.009679911233428186	0.03336467353928353	0.0034424486588955673	-0.0005476499328520233	0.0	0.0	0.0	0.0014809029217626572	0.0	0.0	0.0	-0.00047496411960173637	103.06763393610017	0.001328802785710901
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000112	-2.5114526886090004e-22	-1.0604111345794993e-20	-2.1006417091906648e-22	1.0017784000000067	3.94717353420504e-21	1.020145305849398e-22	1.042062283359603e-21	0.9993865855493187	-3.336529691550639	0.009485948968744324	-0.1417837871866559	0.009509069435855558	110.9049390163536	0.1420937629300551	-0.14178997208879623	0.14175450107422216	0.008155204655661368	1599.565890624997	-3.3326508370608465	0.009498011552047754	-0.14162513423717293	0.009498014747276457	111.0459686666347	0.14193476312451098	-0.1416251353510214	0.14193475984258344	0.00814607916044128	-0.0006572159190665338	0.0	0.0	0.0	0.0017768205190820414	0.0	0.0	0.0	-0.0006136026662986235	112.74588535458727	0.0016083503282872343
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999233500000006	-5.946171289725188e-22	-2.4780690025753404e-20	-9.690056916589195e-22	1.0020748000000113	-8.621948370101523e-21	6.804321544412201e-22	1.4103098571784101e-22	0.9992254732267367	-3.105191138868037	0.028143916793676883	-0.287129114879125	0.02822394453976884	116.02164042910445	0.29203861920649066	-0.28712680202508495	0.2912082263648709	0.0033949590285997622	1599.565890624997	-3.1011637621897146	0.028187337501322098	-0.2867544101197058	0.028187338594779843	116.2006397406261	0.29165750752230307	-0.2867544037621495	0.29165750523936335	0.0033905285921162136	-0.0007667939113172869	0.0	0.0	0.0	0.0020726505750621226	0.0	0.0	0.0	-0.0007748268740921807	117.78235823143072	0.0018956463185804155
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991240000000043	1.4221683184399703e-21	-5.951221723673192e-20	8.470329472543004e-25	1.0023712000000107	3.192678936438272e-20	4.8153823051406975e-22	-1.976974898891537e-21	0.9990558099463666	-3.059243122360196	0.05504673651847505	-0.403329511936435	0.05522564561659664	119.46691284605666	0.4403261800962321	-0.403301983578315	0.4388697658190634	0.001348374712444603	1599.565890624997	-3.054890602568167	0.05514706905233177	-0.4027281892832089	0.055147073660737046	119.68466268621042	0.43966969923117183	-0.4027281881016302	0.4396696845503573	0.0013463644249857524	-0.000876383912216766	0.0	0.0	0.0	0.0023683931414969286	0.0	0.0	0.0	-0.0009446360818409437	121.24476478491012	0.002186290573432344
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999979	-1.2027867851011064e-21	5.3016321564238695e-20	1.6025863362051362e-21	1.0026675999999992	1.2697870912289216e-20	8.624912985416914e-22	-2.586838620914633e-21	0.9988823083153887	-3.077353583781213	0.08584756762141718	-0.4981722305547861	0.0861614896104922	122.12627178559528	0.5657935260018634	-0.4981063192815634	0.563657509723033	0.0006022446377779817	1599.565890624997	-3.07260049584817	0.08602840709284204	-0.4973369675007557	0.08602840996091309	122.38353301091259	0.5648448853521173	-0.4973369754050497	0.5648448645770747	0.0006012348811826298	-0.0009859859244056495	0.0	0.0	0.0	0.0026640482701137265	0.0	0.0	0.0	-0.0011183167677720105	123.95505387344805	0.0024786441792545976
