6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	3.960540772903897e-23	-1.581370807854376e-22	7.742410533496339e-24	1.0002964000000032	1.1665165696018813e-21	-3.308722450212111e-26	-3.1485802836218445e-23	0.9999072045656868	-0.8340781620856021	-0.0007791601149640179	0.004406589433810851	-0.0007794764106910491	20.70781765584933	0.0008561134221074725	0.004406663052034472	0.0008557803254028666	-1.1504576464625022e-09	1599.565890624997	-0.8339083974648002	-0.0007793177594699188	0.004405766139112139	-0.0007793177594718945	20.71200738992317	0.0008559534721841805	0.004405766139111876	0.0008559534721848525	-1.1502427034332838e-09	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608220113653	0.0	0.0	0.0	-9.279974007586221e-05	21.141301580119713	0.0002651814385822376
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999961	2.333972816379623e-23	1.9661752288140446e-22	2.617861202607822e-23	1.0005928000000197	1.3385899893476124e-21	-7.795350092699732e-24	-3.671358430755358e-23	0.999814350917553	-1.664680466746183	-0.00155818985096321	0.008812081266698177	-0.001559455066570518	41.435234477181844	0.0017139498722576153	0.008812375222069513	0.0017126164400123023	-1.3686103030874363e-09	1599.565890624997	-1.6640031494652001	-0.0015588205628964916	0.008808789684699161	-0.0015588205629005322	41.45200630817979	0.0017133096595341969	0.008808789684698441	0.0017133096595357013	-1.3680990852603456e-09	-0.000219023984005584	0.0	0.0	0.0	0.0005926243635078209	0.0	0.0	0.0	-0.00018566631737104188	42.30856002557975	0.0005303294904297026
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999948	1.291725244562808e-23	1.0717349062931051e-21	2.6019793348468038e-23	1.0008891999999756	-1.6625668567825813e-22	-1.2017279939170386e-23	7.101841867135274e-23	0.9997214388001956	-2.4917859217389586	-0.0023371723931578815	0.013216354690990023	-0.0023400193031997084	62.182183711064276	0.002574542791959421	0.013217014916771635	0.002571539011743484	-5.592861574612792e-08	1599.565890624997	-2.4902658855969104	-0.0023385918475323573	0.013208952289805545	-0.0023385918475411294	62.219949334576484	0.0025731008059460096	0.013208952289806692	0.002573100805948327	-5.5897290463088444e-08	-0.00032855396794947696	0.0	0.0	0.0	0.0008888048958557842	0.0	0.0	0.0	-0.0002786000051824839	63.50171887159641	0.0007954442790247655
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999944	-1.2632702314909839e-22	-1.3786520007747807e-21	2.2922829135069503e-23	1.0011856000000123	-2.0862686188669432e-21	1.6411263353052069e-24	2.0614664353801535e-22	0.9996282529309375	-3.303386734953793	-0.0030849301857469556	0.01705512785295513	-0.0030899410701466686	82.89045989817613	0.004132378737686876	0.01705625830041432	0.004125950811315079	-4.280796036508137e-06	1599.565890624997	-3.300701903797528	-0.0030874297202024316	0.01704239580784251	-0.003087429717186275	82.95762108111084	0.004129293821938118	0.017042395807957803	0.004129293822532036	-4.27760032383306e-06	-0.0004380959500240313	0.0	0.0	0.0	0.0011848977313504395	0.0	0.0	0.0	-0.0003718161841338259	84.65625315445959	0.0010605930952705734
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994524999999947	-3.0059081715686983e-22	5.135401940525213e-22	-1.1011428314305904e-23	1.0014819999999889	-4.657834176951397e-21	-4.526332311890168e-24	1.9132356696106508e-22	0.9995251204953151	-3.689044564901142	-0.002135369774694022	-0.009667944928119142	-0.00213970660652502	101.06413092274482	0.03357550631816834	-0.009668648625996134	0.03350990133543667	0.0035462301415949533	1599.565890624997	-3.6853355815387787	-0.002137554610961646	-0.009658926498511107	-0.0021375553350875733	101.16753623512336	0.03354418649347593	-0.009658927719604395	0.0335441875038698	0.0035429221555499718	-0.0005476499328582439	0.0	0.0	0.0	0.0014809029217688653	0.0	0.0	0.0	-0.00047499229566642606	103.05797745517224	0.0013288116594113819
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999932	-3.6507120026660344e-22	-5.518843167835394e-21	1.223962608782464e-22	1.0017784000000145	-1.4084040330470878e-21	2.6575658720103673e-23	1.765216662077962e-21	0.9993864437018082	-3.3177505768726165	0.009575199128922787	-0.14144654572942725	0.009598537331609945	110.85533242063887	0.14331798608898197	-0.1414526959407228	0.14297578102126723	0.008200580581499101	1599.565890624997	-3.3138940242405344	0.009587376565868057	-0.14128827014574288	0.009587379993662843	110.99631474407919	0.14315761640456356	-0.14128827135418273	0.1431576131204899	0.008191404311612877	-0.0006572159190845312	0.0	0.0	0.0	0.0017768205190895774	0.0	0.0	0.0	-0.0006137446008845974	112.686438609778	0.0016083963532180108
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992335000000079	1.3840518358135267e-21	3.2259885070890467e-20	2.286988957586611e-22	1.002074800000007	2.0295332932686663e-20	1.1673172804348327e-23	1.6940658945086007e-23	0.9992253591519545	-3.052008813036049	0.02859925390745744	-0.285114953594214	0.02868057647128622	115.94305645989972	0.29472734114215676	-0.2851126237351186	0.29388926867040244	0.0033173183807421415	1599.565890624997	-3.0480507608465617	0.028643380383635703	-0.2847428773241426	0.02864338155297109	116.1219477881654	0.29434272066400285	-0.28474287033211226	0.29434271748606017	0.003312989265645981	-0.0007667939113153981	0.0	0.0	0.0	0.0020726505750579124	0.0	0.0	0.0	-0.0007749410373031096	117.67614019411437	0.001895684535268138
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991240000000025	-1.1765287637362232e-21	-3.0756825105987714e-20	-1.1612821706856458e-21	1.002371200000008	-8.953985285425209e-21	5.962053157486207e-22	-1.5077186461126546e-21	0.9990558862213502	-2.957722430566812	0.05587970538558549	-0.39803868344099785	0.05606132243911475	119.37990287486119	0.4452142922922407	-0.39801154534939664	0.44374174176395975	0.0012915492046988257	1599.565890624997	-2.9535141232376056	0.055981551880324804	-0.39744524886671273	0.0559815572550436	119.59748499284531	0.44455052375666	-0.39744524646817214	0.4445505066036512	0.0012896236382040497	-0.000876383912218655	0.0	0.0	0.0	0.0023683931414938274	0.0	0.0	0.0	-0.0009445597347744962	121.10507942948061	0.0021862643345037865
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999014499999994	-8.707498697774208e-22	-5.2681425912718024e-20	-1.474684361169737e-21	1.0026675999999737	-2.170776037223321e-20	1.1269773363218466e-21	-5.456586246212203e-21	0.9988826752640602	-2.918527878957363	0.0871540542743949	-0.48835498066455146	0.08747275527454496	122.04325055450099	0.5740060944081815	-0.48829054683122386	0.5718392817706103	0.0005712519620509728	1599.565890624997	-2.914019032785547	0.08733761379956975	-0.487536177753479	0.08733761824172732	122.30029196593146	0.573043684113041	-0.4875361846821803	0.5730436611642259	0.0005702941694861325	-0.0009859859244095391	0.0	0.0	0.0	0.002664048270088481	0.0	0.0	0.0	-0.0011179494085738638	123.78970599659364	0.0024785152555316914
