6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999915	-5.1412583792620885e-23	1.6664711492738317e-22	4.241782181171926e-24	1.0002964000000032	-5.653150829534404e-22	-2.3227231600489016e-24	9.661469554619363e-24	0.9999072045656867	-0.8340781620672338	-0.000779160114964979	0.004406589433812952	-0.0007794764106919725	20.707817655897703	0.0008561134221112291	0.004406663052036462	0.0008557803254066333	-1.1297314477356006e-09	1599.565890624997	-0.8339083974464357	-0.0007793177594708802	0.00440576613911424	-0.0007793177594728179	20.712007389971557	0.0008559534721879367	0.004405766139113865	0.0008559534721886201	-1.129520377036626e-09	-0.00010950599557121432	0.0	0.0	0.0	0.00029635608220091454	0.0	0.0	0.0	-9.27997400761953e-05	21.14130158014861	0.0002651814385821937
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999963	5.036537313712875e-23	-1.5991717346365174e-22	-8.232101456127731e-24	1.0005928000000197	-6.170105625155544e-23	-8.602678370551488e-24	-1.4558378780933288e-23	0.999814350917554	-1.6646804667760082	-0.0015581898509713812	0.008812081266700036	-0.0015594550665787475	41.43523447706961	0.0017139498722600261	0.008812375222071548	0.0017126164400146954	-1.3692908846906632e-09	1599.565890624997	-1.6640031494950118	-0.0015588205629046643	0.008808789684701019	-0.0015588205629087565	41.452006308067475	0.0017133096595366066	0.008808789684700467	0.0017133096595380935	-1.368779412645518e-09	-0.00021902398400547296	0.0	0.0	0.0	0.0005926243635078209	0.0	0.0	0.0	-0.00018566631737026458	42.3085600254836	0.0005303294904294206
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999956	1.5338906406938325e-22	3.747326698212228e-22	-2.2856654686065262e-23	1.0008891999999756	3.364573685171691e-22	-1.2096689277975477e-23	6.723324018831009e-23	0.9997214388001956	-2.491785921721801	-0.0023371723931544805	0.013216354691003103	-0.002340019303196269	62.182183711105445	0.002574542792077325	0.01321701491678477	0.002571539011861228	-5.592744644717859e-08	1599.565890624997	-2.490265885579763	-0.002338591847528952	0.013208952289818606	-0.002338591847537692	62.219949334617624	0.0025731008060638455	0.013208952289819817	0.002573100806066141	-5.5896121819056404e-08	-0.0003285539679486996	0.0	0.0	0.0	0.0008888048958557842	0.0	0.0	0.0	-0.00027860000518203963	63.50171887162791	0.0007954442790243517
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999967	1.2853724974584007e-22	-2.3161057151484775e-23	-1.6940658945086007e-24	1.001185599999982	-9.187925197545006e-22	5.9292306307801025e-24	6.702148195149652e-23	0.9996282529238968	-3.30338616838917	-0.0030849304856447562	0.01705512205728961	-0.003089941370530385	82.89045782077157	0.00413240486420516	0.017056252504245185	0.004125976897163868	-4.2811542134823e-06	1599.565890624997	-3.300701337716729	-0.0030874300203649597	0.017042390016504063	-0.003087430017347693	82.95761900260717	0.004129319928952471	0.017042390016620064	0.004129319929545703	-4.277958233419996e-06	-0.0004380959500216988	0.0	0.0	0.0	0.001184897731320499	0.0	0.0	0.0	-0.00037181619117692343	84.65625077787769	0.001060593097449256
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994525000000057	8.258571235729428e-24	-5.529404609896471e-21	-6.03510974918689e-24	1.0014819999999969	-4.479216104199147e-21	2.9778502051908996e-23	6.776263578034403e-23	0.9995251032387638	-3.6882862017534634	-0.0021426581308480017	-0.00970403067981271	-0.0021470097702807316	101.0596270684236	0.03361515541374987	-0.009704736837574765	0.033549472404792634	0.00357880335526561	1599.565890624997	-3.68457804446639	-0.002144850461339059	-0.009694978588778623	-0.0021448511932371985	101.16302951916795	0.03358379860368091	-0.009694979815300769	0.03358379964078656	0.003575464984352135	-0.0005476499328472467	0.0	0.0	0.0	0.0014809029217764036	0.0	0.0	0.0	-0.0004750095604163279	103.05305864324225	0.0013288170968284365
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999961	-1.9015889665859043e-22	-1.9697327671925127e-20	8.089164646278568e-23	1.00177839999999	-1.2733869812547524e-20	1.844149544850222e-22	4.1081097941833565e-22	0.9993861878388445	-3.313751877797198	0.009335716475800263	-0.1419396705161861	0.00935847124670381	110.7961206750609	0.14353422148785308	-0.1419458058958026	0.14319146309904748	0.00845119198431291	1599.565890624997	-3.309900820653194	0.00934759173941404	-0.1417808431366794	0.009347595354699631	110.93705609697636	0.14337360984076705	-0.1417808444170875	0.1433736062024666	0.008441735285761368	-0.0006572159190816428	0.0	0.0	0.0	0.0017768205190656391	0.0	0.0	0.0	-0.0006140006209631211	112.62499837407722	0.001608479383201455
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992335000000077	-9.275010772434588e-22	2.662224553220266e-20	-4.573977915173222e-23	1.00207479999999	-2.6670949926669783e-20	8.53518043256716e-23	4.421511984667448e-22	0.999224540299304	-3.0503250059974656	0.02759141526990367	-0.28651011169117496	0.02766987235182244	115.76548235393194	0.2944895536656573	-0.28650753593657974	0.2936519165698425	0.003468590647682805	1599.565890624997	-3.0463716339466385	0.02763400937335084	-0.28613621473364775	0.027634010828938627	115.94419471365543	0.2941052435012125	-0.28613620800178724	0.294105240184796	0.0034640641216121515	-0.0007667939113156203	0.0	0.0	0.0	0.0020726505750415154	0.0	0.0	0.0	-0.0007757605250979247	117.49749830067779	0.0018959589298566473
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991240000000009	-1.65256128009314e-21	-6.320295154615572e-20	7.572474548453445e-22	1.0023711999999994	7.957027506506897e-21	-5.116079001415974e-22	3.8963515573697815e-23	0.9990543004552592	-2.9658310207274226	0.053944332072778226	-0.4006407103314285	0.05411965884580747	119.04771364024465	0.4431419734389569	-0.40061275926177903	0.44167557623560766	0.001365119715156686	1599.565890624997	-2.9616158772002557	0.054042736931266475	-0.40004339640374725	0.054042742080124564	119.264879614203	0.44248129451679674	-0.400043394295501	0.4424812776115843	0.0013630844626279532	-0.0008763839122202106	0.0	0.0	0.0	0.0023683931414854096	0.0	0.0	0.0	-0.0009461470006834003	120.77672435039618	0.0021868100243055653
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999014500000006	-3.2017845406212553e-22	-6.022552485743845e-20	1.3222184306639628e-21	1.002667600000016	-8.889907242965422e-20	-9.27924593717086e-22	-5.170289110040249e-21	0.9988801997289191	-2.9414897671944322	0.08433166541992519	-0.4922113498877559	0.08464004476116523	121.5350727040338	0.5685856375035567	-0.4921451871588283	0.5664378831383614	0.0006042234731969067	1599.565890624997	-2.9369527257656998	0.08450949001059245	-0.4913860811751985	0.08450949343513516	121.79134565260767	0.5676323154455665	-0.4913860877636873	0.5676322931408906	0.0006032103987768717	-0.0009859859243975368	0.0	0.0	0.0	0.002664048270130114	0.0	0.0	0.0	-0.0011204277158570082	123.29271561469797	0.0024793853496840323
