6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	-7.102172739380296e-24	-1.955918189218387e-22	2.6469779601696886e-26	1.000200000000001	1.0521737391674512e-24	-1.1911400820763598e-25	1.531276749958165e-23	0.9999338800589289	-1.2748674004569693e-05	-494.16260335181823	2741.200914488692	-494.29446170518656	14158906.776127193	727.4803459893062	2741.202817406809	727.2867876741275	-6.526679042508476e-06	1599.565890624997	-1.2746967608361389e-05	-494.22830092682887	2740.835910378407	-494.22830092680283	14160789.1643	727.3834784758618	2740.8359103783923	727.3834784758259	-6.525809983745046e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.00019998000266735472	0.0	0.0	0.0	-6.61221270905273e-05	14160790.041965127	0.00017763326904611168
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893822	-8.003799607063096e-24	2.8957938884256395e-23	-9.403389203502819e-24	1.0003999999999935	-1.2260073992566951e-21	-3.0506420990955662e-24	2.874618064744282e-23	0.9998677425139987	3.3005504442371604e-06	-988.3614006173974	5482.594259819337	-988.888906234887	28326310.375506416	1455.4063112480992	5482.601873553848	1454.6319700802428	2.2640759734713358e-06	1599.565890624997	3.299667157619482e-06	-988.6242617908388	5481.13463075684	-988.6242617908254	28333843.942863375	1455.0188389587113	5481.134630756715	1455.0188389587136	2.26347320935387e-06	-0.00013365494204167923	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.00013226623279384865	28333845.697156284	0.0003552546439164649
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228782	2.4322418731509226e-23	1.505071668152485e-22	-1.2890782666026383e-23	1.000599999999987	2.691976585492573e-23	-1.0984958534704208e-24	1.3287829360051837e-23	0.9998015873617153	-8.057200426264899e-06	-1482.5963387094669	8224.179771035722	-1483.7833888163443	42502212.49605078	2183.7779609259983	8224.196906579762	2182.0354505090527	-9.004784034914337e-06	1599.565890624997	-8.05396701370473e-06	-1483.1879358561641	8220.896477130387	-1483.187935856214	42519172.06015092	2182.906143301709	8220.896477130538	2182.906143301696	-9.001189104676433e-06	-0.0002005158790870514	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467626188	42519174.69008116	0.0005328641403784924
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108236	-8.432279164365564e-23	-7.353040075555378e-22	-1.0402623383466876e-23	1.0008000000000166	-5.296073502707513e-22	9.132073962585425e-24	5.810116622572466e-23	0.9997354145986064	-1.002310229341674e-05	-1976.8673654824947	10965.95718308606	-1978.9779656307437	56686614.83621681	2912.5953601362494	10965.98765452789	2909.4971322180236	-1.0963766846543876e-05	1599.565890624997	-1.0017740769209957e-05	-1977.9193773842335	10960.121765242868	-1977.919377384067	56716781.2472357	2911.045453397533	10960.121765242668	2911.0454533975885	-1.0957932594264782e-05	-0.0002673991371393094	0.0	0.0	0.0	0.000799680170581106	0.0	0.0	0.0	-0.00026462041028630387	56716784.751780815	0.0007104617742039657
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486137109	-9.99399616086568e-23	-5.100991227043007e-22	-1.8793543517204787e-24	1.0009999999999932	1.500704154518205e-21	7.72917564369549e-24	-3.067847455836669e-23	0.9996692150059096	0.0004047494145706878	-2474.36767396012	13686.839682144622	-2477.6702063348826	70877013.31317334	3663.9345649053175	13686.88714196274	3659.063526805349	0.00040778265217886656	1599.565890624997	0.00040447886504016466	-2476.0140396134525	13677.738318623386	-2476.0140396130373	70924172.6264628	3661.498151447744	13677.738318623695	3661.498151447956	0.00040751148818182086	-0.0003343072607347695	0.0	0.0	0.0	0.0009995003330765465	0.0	0.0	0.0	-0.0003308397155145126	70924176.99588713	0.0008880514707385238
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987773673682	-6.651193869416385e-23	-1.5148125470459094e-21	-1.6014216659026615e-23	1.001199999999962	-1.7882453703314384e-21	1.257314531080602e-23	-7.040961374051372e-23	0.9996027529366662	0.005670965524540407	-3040.225938588402	15804.253825550888	-3045.095971132436	85009607.98976646	5015.314089967119	15804.316681679555	5007.312995579276	0.0070847456123883604	1599.565890624997	0.005666419490816166	-3042.654921386338	15791.647418160026	-3042.6549213820294	85077526.25624974	5011.313578882626	15791.647418163102	5011.313578883222	0.007079094400351637	-0.0004013031439682609	0.0	0.0	0.0	0.0011992805754435976	0.0	0.0	0.0	-0.0003973259868507735	85077531.25261647	0.001065732567599133
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310529696397	1.6893013341802952e-22	2.4996736366862455e-21	-3.2240191554866806e-23	1.0013999999999759	1.1476237644111702e-21	2.4087499437544167e-23	1.0799670077492329e-23	0.9995333827137376	-3.81071919996766	-4232.49557549542	10206.508776893483	-4240.409599775494	98374096.58368108	13257.520393013114	10206.532562354301	13232.808275723251	-4.757233792215466	1599.565890624997	-3.8071681421222556	-4236.45812753176	10197.021504348759	-4236.458130515534	98466196.49726343	13245.19710872608	10197.02150010384	13245.197111209118	-4.752811793025312	-0.0004690570204065902	0.0	0.0	0.0	0.0013990209136823528	0.0	0.0	0.0	-0.0004667261859864155	98466205.3071641	0.0012446090720955563
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608651006758	1.180552170235681e-22	3.855032231411533e-21	-6.6280328122649e-23	1.0016000000000158	3.441071348220595e-21	2.6284491144485007e-23	-8.315745959669094e-22	0.9994522603630644	90.13252399986223	-5645.387296620165	-30530.28960978173	-5657.4700909637995	108702647.18744878	47677.18880593934	-30530.026774442416	47574.954176381405	209.18015383734004	1599.565890624997	90.03785963667725	-5651.528129707655	-30497.96169460251	-5651.528164790735	108820889.70607032	47626.70438095019	-30497.961706092312	47626.70436417048	208.95865714153854	-0.000539280284801329	0.0	0.0	0.0	0.0015987213637123701	0.0	0.0	0.0	-0.0005478897010908233	108820784.73569249	0.0014282128875417572
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993887459675055	-3.333074647445672e-22	1.6403428298289965e-20	-6.479802046495397e-23	1.0018000000000136	9.156426159818986e-22	-2.7422691667357974e-23	-5.442186686108879e-22	0.9993547839059717	-87.84703049285936	-2904.3176787862394	-116460.96973664466	-2911.3229088286275	115110621.22487698	116320.0888468053	-116457.01257236478	116036.17275218124	292.3937768502901	1599.565890624997	-87.74580495648787	-2907.9703097320917	-116322.81943913236	-2907.968211221396	115255390.7245613	116182.10566740038	-116322.81994802995	116182.10627678451	292.04692856838113	-0.000611440924403469	0.0	0.0	0.0	0.001798381941392696	0.0	0.0	0.0	-0.0006454243355112187	115255640.45890911	0.0016179953464965035
20	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993167725437633	5.124549330888517e-23	-1.3227372383441561e-20	-2.4818065354551e-22	1.0019999999999958	5.8290689847672816e-21	-1.1785669367655537e-22	-3.6337713437209484e-22	0.9992456941519136	-168.59851781065734	4983.648901684849	-218701.0320737416	4997.033258255568	119051511.33996037	207404.76294153027	-218685.47814611692	206834.6467966964	206.15872856690905	1599.565890624997	-168.3890106384901	4990.820800720078	-218413.72932430072	4990.823747515157	119222836.69537073	207132.29985310667	-218413.73094029698	207132.29962759942	205.88790236651627	-0.0006834609624798435	0.0	0.0	0.0	0.0019980026626688473	0.0	0.0	0.0	-0.0007545904798844056	119223958.24178313	0.0018118177238264804
22	22.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992457322782401	1.8151916059659655e-21	1.3171468208922777e-20	-1.6517142471458857e-22	1.0021999999999982	-5.318519875809752e-21	-8.516386889049956e-22	1.2976544751935881e-21	0.9991300567490632	-97.24283275368548	17564.46469754174	-315123.05609926465	17616.395899629046	121777320.06080987	305872.6504246736	-315086.57819209964	304935.699576157	239.90436443330057	1599.565890624997	-97.11385168361399	17593.02794254984	-314668.6516303483	17593.02984241337	121975353.73215844	305431.5849533217	-314668.6532626262	305431.5844920195	239.55842460693415	-0.0007545523247781949	0.0	0.0	0.0	0.0021975835434856505	0.0	0.0	0.0	-0.0008703218711682947	121977651.17607987	0.0020077932831745787
24	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991755315732679	-1.2112571145736494e-22	2.8678312132544065e-20	2.286988957586611e-23	1.0024000000000006	-1.211638279399914e-20	-1.8670723739852916e-21	4.7615957129900495e-21	0.9990107365608889	-61.45328031798576	34228.958272357304	-400335.3250577165	34339.420419743314	123881662.06905183	400915.08394041256	-400269.29872457613	399559.53083466535	228.53160618692274	1599.565890624997	-61.36685355321452	34291.125210460596	-399706.36596676835	34291.126089552294	124106657.0442626	400285.21400149015	-399706.3673343067	400285.2144042421	228.17256459782607	-0.0008248084877513524	0.0	0.0	0.0	0.0023971245997221158	0.0	0.0	0.0	-0.0009897530831378936	124110455.35736912	0.0022049943299679545
26	26.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999105888881937	-2.2158381900172498e-21	1.3741203745069702e-20	-4.3198680309969315e-23	1.0026000000000115	3.271664758769735e-20	-1.429368098491632e-22	-8.216219588366713e-22	0.9988892175097797	-38.904439987336985	53328.633341211884	-475275.57881079847	53515.13714854092	125621793.66059916	486996.2659196833	-475172.5091238912	485193.8164221787	195.43770805288915	1599.565890624997	-38.8467009906358	53435.713190670074	-474467.2933191307	53435.71407168159	125874032.69076103	486168.04744225985	-474467.29439915204	486168.0487916473	195.1053335927092	-0.0008945110738297935	0.0	0.0	0.0	0.0025966258472778733	0.0	0.0	0.0	-0.0011113998663129	125879487.76054038	0.0024029857558590293
