6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	-8.759842686936563e-24	3.07846845490185e-22	3.331883507363595e-24	1.000200000000001	-1.5423609701663755e-22	7.246102165964522e-25	1.5948042210022373e-24	0.9999338800589289	-1.0101459851739492e-05	-494.16260334718845	2741.2009144833605	-494.2944617005526	14158906.776129562	727.4803459790841	2741.202817401508	727.2867876639199	-3.8620290683866185e-06	1599.565890624997	-1.0100107782277259e-05	-494.22830092219846	2740.8359103730754	-494.22830092216947	14160789.16430237	727.383478465641	2740.835910373092	727.3834784656169	-3.8615148206069095e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.61221270905273e-05	14160790.04196484	0.00017763326904625968
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893823	5.228939524192709e-23	-2.3616999105124004e-22	1.1970957824867416e-23	1.0003999999999935	8.065275670188037e-22	2.7660919683773244e-24	5.612916764539824e-23	0.9998677425139986	-5.1882314496651815e-06	-988.3614006078892	5482.59425983485	-988.8889062253891	28326310.37551034	1455.4063112465858	5482.601873569399	1454.6319700787292	-6.245018804293068e-06	1599.565890624997	-5.186842985685385e-06	-988.624261781328	5481.134630772349	-988.62426178133	28333843.942867298	1455.0188389571979	5481.1346307722615	1455.0188389571995	-6.243356195223139e-06	-0.00013365494204156818	0.0	0.0	0.0	0.00039992002131978877	0.0	0.0	0.0	-0.00013226623279418177	28333845.6971687	0.0003552546439159465
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228782	2.3931989482384196e-23	-5.202767529611531e-22	7.39830339867428e-24	1.000599999999987	2.1079870730301358e-21	-1.1779051922755114e-24	-3.0731414117570085e-23	0.9998015873617154	5.121072059864673e-06	-1482.5963387245552	8224.17977103246	-1483.7833888313774	42502212.496071585	2183.7779609380113	8224.19690657626	2182.03545052104	4.162900131632341e-06	1599.565890624997	5.119016936760806e-06	-1483.1879358712579	8220.896477127126	-1483.1879358712406	42519172.06017173	2182.9061433137167	8220.896477127037	2182.906143313687	4.1612381999854325e-06	-0.0002005158790870514	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467570666	42519174.69008879	0.000532864140378456
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108237	7.009859383019378e-23	-3.587978625010013e-22	-5.942465520580951e-24	1.0008000000000166	-7.382950926505295e-22	3.494010907423989e-24	1.0008223667401593e-22	0.9997354145986063	-2.542496516980464e-06	-1976.867365465501	10965.957183081497	-1978.9779656139542	56686614.836218506	2912.5953601567294	10965.987654523484	2909.4971322384063	-3.51454563678999e-06	1599.565890624997	-2.5411364932870343e-06	-1977.9193773672307	10960.121765238306	-1977.9193773672869	56716781.2472374	2911.0454534180017	10960.121765238266	2911.045453417982	-3.5126754085936875e-06	-0.0002673991371391983	0.0	0.0	0.0	0.000799680170581106	0.0	0.0	0.0	-0.0002646204102864149	56716784.75177505	0.0007104617742039655
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486137106	-9.099648482573346e-23	-2.6734477397713856e-24	-1.3314299139653534e-23	1.0010000000000012	1.3599643363759826e-21	8.629148150153185e-24	-1.3878105445169678e-22	0.9996692150059093	0.0003930740315954608	-2474.367674026348	13686.839682094738	-2477.6702064011947	70877013.31316744	3663.934565169711	13686.887141912699	3659.063527069474	0.0003961282134587236	1599.565890624997	0.00039281128632424086	-2476.0140396797265	13677.738318573432	-2476.014039679286	70924172.62645693	3661.498151711934	13677.738318573583	3661.498151712259	0.0003958647993357062	-0.00033430726073510267	0.0	0.0	0.0	0.000999500333084976	0.0	0.0	0.0	-0.0003308397155145126	70924176.99589293	0.0008880514707442549
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987773673475	-6.777587067014488e-23	6.7241181122190595e-22	1.0534972281475361e-23	1.0011999999999879	1.1890224997082241e-21	-1.349958759686541e-24	-8.793260783683706e-23	0.9996027529365424	0.005649225707759797	-3040.2257818149665	15804.252113415174	-3045.0958141079313	85009607.95818046	5015.3146493750655	15804.31496953551	5007.313554094299	0.007069935231873387	1599.565890624997	0.005644697101393057	-3042.654764488089	15791.645707389933	-3042.6547644836987	85077526.2246508	5011.31413784433	15791.645707393116	5011.3141378451965	0.007064295833471896	-0.00040130314398903043	0.0	0.0	0.0	0.0011992805754697674	0.0	0.0	0.0	-0.0003973259869743904	85077531.22103491	0.0010657325676645805
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999531052962119	-2.665506805890876e-23	-8.607178233083777e-22	6.5645053412208276e-24	1.0013999999999617	1.2021515103906657e-21	0.0	1.4134862307306138e-23	0.9995333826929553	-3.8109161531114024	-4232.507632736108	10206.469962693198	-4240.421679552688	98374090.52781336	13257.583811660314	10206.493747942011	13232.871575885807	-4.756347831915057	1599.565890624997	-3.8073649118124036	-4236.470196180652	10196.982726304368	-4236.470199124209	98466190.43851426	13245.260468523491	10196.982722073319	13245.26047100968	-4.75192665628883	-0.00046905702793088053	0.0	0.0	0.0	0.0013990209136694922	0.0	0.0	0.0	-0.00046672620677771576	98466199.24808611	0.0012446090815172253
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608649532901	-3.726944967918921e-23	-1.1890489694878258e-21	3.3881317890172014e-24	1.0016000000000198	-1.919800174951872e-21	-3.8989985353299515e-23	2.7687389463374945e-22	0.9994522598784316	90.17658574299267	-5645.654523312288	-30531.2002221421	-5657.7378903716435	108702511.60534056	47678.22954331331	-30530.937368513365	47575.99265964991	209.24363199216728	1599.565890624997	90.08187514633212	-5651.795650652588	-30498.871347231005	-5651.795685674813	108820754.04529543	47627.74402333135	-30498.8713585735	47627.74400717882	209.02206811143543	-0.0005392804322664919	0.0	0.0	0.0	0.0015987213637172473	0.0	0.0	0.0	-0.0005478901859886444	108820649.02343148	0.0014282130990094333
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999388745200338	1.2705494208814505e-24	1.301990225092346e-20	-5.971582278142817e-23	1.0018000000000025	-1.0742495353552663e-20	-1.088437337221776e-22	-3.970466940254533e-22	0.9993547810914801	-87.87769921504639	-2905.5281855221706	-116466.29697456014	-2912.5363349341646	115109852.90752219	116324.53606229014	-116462.3393880134	116040.60878931746	292.5623663955699	1599.565890624997	-87.77643858652121	-2909.1823492947615	-116328.14044698077	-2909.1802472974573	115254621.85399425	116186.5476966245	-116328.1409532423	116186.54830933319	292.2153183508429	-0.0006114416920401309	0.0	0.0	0.0	0.0017983819413822787	0.0	0.0	0.0	-0.0006454271518192125	115254871.55144873	0.0016179965553933854
