6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	-1.5679208510942638e-23	1.8476567906474468e-22	4.268251960773623e-25	1.000200000000001	-2.5811343834104676e-23	-2.124199813036175e-24	-8.483564362343852e-24	0.9999338800589289	5.404946929729704e-06	-494.16260333031425	2741.2009144901303	-494.294461683672	14158906.77615116	727.4803459826188	2741.2028174082593	727.2867876674524	1.1601749345572898e-05	1599.565890624997	5.404223483437173e-06	-494.228300905322	2740.8359103798443	-494.2283009052912	14160789.16432397	727.3834784691753	2740.835910379842	727.3834784691498	1.1600204516744305e-05	-6.681631826113055e-05	0.0	0.0	0.0	0.00019998000266735472	0.0	0.0	0.0	-6.612212709074936e-05	14160790.041970957	0.0001776332690461854
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893822	1.812683594348705e-23	-1.9217721735321982e-22	6.28657265540301e-24	1.0003999999999935	-4.932908126572231e-22	-1.760240343512843e-24	-3.983701830055381e-23	0.9998677425139985	-4.512269388669665e-06	-988.361400604087	5482.594259825915	-988.8889062215817	28326310.375512823	1455.40631124846	5482.6018735605785	1454.6319700805893	-5.572454723733245e-06	1599.565890624997	-4.511061824285808e-06	-988.624261777525	5481.134630763418	-988.6242617775238	28333843.94286979	1455.018838959072	5481.134630763445	1455.0188389590605	-5.570971171152408e-06	-0.00013365494204167923	0.0	0.0	0.0	0.0003999200213202327	0.0	0.0	0.0	-0.00013226623279407072	28333845.697170522	0.0003552546439162427
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228787	5.569903372687067e-23	4.846351947274683e-22	5.585123495958043e-24	1.000599999999987	9.10017787816538e-22	2.594038400966295e-24	-8.271806125530277e-23	0.999801587361715	-5.378377557008207e-06	-1482.5963387144038	8224.179771033803	-1483.7833888212047	42502212.496065624	2183.7779609302574	8224.196906577392	2182.035450513232	-6.358588199873338e-06	1599.565890624997	-5.376219175355636e-06	-1483.1879358611027	8220.896477128465	-1483.1879358610724	42519172.06016576	2182.906143305965	8220.89647712817	2182.906143305876	-6.356049695795955e-06	-0.00020051587908660723	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467637293	42519174.69009333	0.0005328641403785285
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108239	-7.14717136470318e-23	-4.4675694011744e-22	2.861383174943433e-23	1.0008000000000166	-3.391308162569405e-22	5.849821291975012e-24	2.5887444450459554e-23	0.9997354145986058	9.968177955670399e-06	-1976.8673654558615	10965.957183079247	-1978.9779656041192	56686614.836213924	2912.595360141088	10965.987654521035	2909.4971322228885	9.040063721840851e-06	1599.565890624997	9.962845811393243e-06	-1977.9193773575867	10960.121765236054	-1977.919377357458	56716781.247232825	2911.0454534023684	10960.121765235823	2911.045453402457	9.035253147782995e-06	-0.0002673991371389762	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102861928	56716784.75175796	0.0007104617742039653
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486137109	6.058270806338374e-23	-3.2393716276556647e-22	3.033436742354463e-23	1.0010000000000012	9.157484951003054e-22	2.4087499437544167e-23	-2.573391972876971e-22	0.9996692150059096	0.00040457466937368733	-2474.367673953357	13686.839682149943	-2477.670206328056	70877013.31319514	3663.934564922854	13686.887141967614	3659.0635268229557	0.00040759023016289573	1599.565890624997	0.0004043042366493382	-2476.014039606685	13677.738318628593	-2476.014039606195	70924172.6264846	3661.4981514652395	13677.738318628457	3661.4981514655747	0.00040731919412107594	-0.0003343072607347695	0.0	0.0	0.0	0.0009995003330847542	0.0	0.0	0.0	-0.0003308397155142905	70924176.99590911	0.0008880514707439219
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987773673684	-1.1892210230552368e-22	-1.4202095547494448e-21	4.753972416464761e-23	1.001199999999962	-4.01644494742268e-21	3.8301771083655395e-23	-1.682419191483854e-22	0.9996027529366666	0.005636323656768582	-3040.225938559184	15804.253825549364	-3045.09597110309	85009607.989682	5015.314089983699	15804.31668167828	5007.312995595726	0.007050042855960783	1599.565890624997	0.005631805393112503	-3042.6549213570956	15791.6474181585	-3042.6549213527055	85077526.25616518	5011.313578899192	15791.647418161825	5011.313578899683	0.007044419324894633	-0.0004013031439681499	0.0	0.0	0.0	0.0011992805754442628	0.0	0.0	0.0	-0.00039732598684999606	85077531.25256653	0.0010657325675992814
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310529696398	8.467682494582833e-23	-1.442364760276065e-21	4.764560328305439e-24	1.0013999999999759	-1.644355648416614e-21	3.893704579409612e-23	-4.1186977060240355e-23	0.9995333827137366	-3.810713484684971	-4232.49557548297	10206.508776914548	-4240.409599762979	98374096.58373666	13257.520393019342	10206.532562375389	13232.808275729381	-4.7572280742124935	1599.565890624997	-3.807162432165416	-4236.458127519302	10197.021504369804	-4236.458130503036	98466196.49731915	13245.197108732302	10197.021500124918	13245.197111215264	-4.752806080337404	-0.0004690570204064792	0.0	0.0	0.0	0.0013990209136834615	0.0	0.0	0.0	-0.00046672618598719303	98466205.30721411	0.0012446090720965172
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608651006756	-4.89373285276172e-22	3.462008943885537e-21	-3.875175733688424e-23	1.0016000000000158	3.2300542652358677e-21	1.0799670077492329e-23	-3.415660359802966e-22	0.9994522603630644	90.1325521949829	-5645.387296623903	-30530.28960987001	-5657.470090967452	108702647.18748581	47677.18880585795	-30530.026774530397	47574.95417629865	209.18018113942193	1599.565890624997	90.03788780218515	-5651.528129711398	-30497.961694690704	-5651.528164794384	108820889.70610742	47626.7043808689	-30497.9617061802	47626.70436408764	208.95868441471086	-0.0005392802848015511	0.0	0.0	0.0	0.0015987213637130352	0.0	0.0	0.0	-0.0005478897010901568	108820784.73570187	0.0014282128875420508
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993887459675053	-5.238898778767848e-22	1.2059102190941067e-20	-6.649208635946258e-23	1.0017999999999962	1.4098439890574203e-20	-1.1487884347136448e-23	6.005463596032989e-22	0.9993547839059717	-87.84703716735618	-2904.3176788160745	-116460.96973662998	-2911.3229088589615	115110621.22487621	116320.08884640833	-116457.01257234768	116036.17275178662	292.3937749139385	1599.565890624997	-87.74581162329522	-2907.9703097619645	-116322.81943911975	-2907.9682112517453	115255390.72456056	116182.10566700592	-116322.81994801489	116182.10627638943	292.0469266343316	-0.0006114409244036912	0.0	0.0	0.0	0.0017983819413760725	0.0	0.0	0.0	-0.0006454243355107743	115255640.45891264	0.0016179953464853431
