6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893814	3.7362093907795153e-23	-2.468373122307239e-22	-4.79764755280756e-24	1.0003999999999935	-2.5860974670857857e-23	3.666064474835019e-24	-9.907638504915144e-23	0.9998677425139981	-7.276290560184861e-06	-988.3614003639675	5482.594259851441	-988.888905981241	28326310.375497125	1455.4063112373105	5482.6018735858925	1454.6319700693211	3.425095445891202e-06	1599.565890624997	-7.274343294059605e-06	-988.6242615373427	5481.134630788941	-988.6242615372477	28333843.942854118	1455.0188389479263	5481.134630788753	1455.0188389477908	3.4241835839845217e-06	-0.00013365494204245647	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279418177	28333845.697151735	0.00035525464391668765
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108237	7.58690057833637e-24	5.248030852730433e-22	-5.386600148945316e-24	1.0008000000000166	-3.2384187155900036e-21	-1.793327568014964e-23	2.901087844345979e-23	0.9997354145986066	4.552447880996624e-07	-1976.867365416663	10965.95718300196	-1978.9779655649456	56686614.836221226	2912.595360093165	10965.98765444376	2909.4971321748926	-3.4062242975778646e-06	1599.565890624997	4.5500127009235935e-07	-1977.9193773183658	10960.12176515881	-1977.9193773183038	56716781.2472401	2911.0454533544707	10960.12176515858	2911.045453354434	-3.4044117114341363e-06	-0.0002673991371391983	0.0	0.0	0.0	0.0007996801705804404	0.0	0.0	0.0	-0.00026462041028652597	56716784.751776196	0.0007104617742035586
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995988478357941	-2.456395547037471e-23	8.277364779246633e-22	-4.870439446712227e-24	1.0012000000000039	-5.364921399451527e-21	1.588186776101813e-24	2.969909271310391e-23	0.9996030162259608	-3.3848638349809335e-06	-2965.517473872109	16450.08664878595	-2970.2676241263753	85080926.96751955	4371.567667865703	16450.155246683775	4364.5947127790105	-6.963904561416712e-06	1599.565890624997	-3.3821495252100355e-06	-2967.885777533283	16436.963928193207	-2967.8857775332026	85148873.78375266	4368.080339058112	16436.963928193407	4368.080339058029	-6.958349248806652e-06	-0.0004012326472599976	0.0	0.0	0.0	0.001199280575486179	0.0	0.0	0.0	-0.0003970625929581869	85148879.0344834	0.0010656215168182608
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994646951017615	2.1707866251351617e-22	-2.602138153524414e-21	-4.5157444000494886e-23	1.0015999999999963	-1.1861637635112408e-21	2.0593488530120178e-23	2.2668719250893213e-22	0.999469150819253	-5.945471271349606	-4676.036461136704	19031.130813541247	-4686.026571265927	113146833.27519917	8905.674263485393	19031.215647889054	8886.727934663748	-8.737734653739826	1599.565890624997	-5.939126493841784	-4681.025825725473	19010.90627735777	-4681.02582454065	113267561.76137897	8896.210131629814	19010.906268955358	8896.210137387303	-8.728448992661798	-0.0005354482250568512	0.0	0.0	0.0	0.001598721363693083	0.0	0.0	0.0	-0.0005309901310579902	113267575.2196352	0.0014212960250749248
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993252604828927	1.6390087529370712e-22	-6.11091919796615e-21	-1.3891340334970526e-22	1.0019999999999876	-3.0789647632693816e-21	2.8005026818595306e-23	-1.9693516023662483e-23	0.9992972787726326	2276.734103585805	-4580.031142455228	-93839.82726018495	-4592.275005783102	131946509.48652986	91596.0984090991	-93837.2002305228	91349.03161658178	7068.52798861514	1599.565890624997	2273.787562924549	-4586.346480058542	-93715.75593966267	-4586.33170084868	132128448.58848527	91474.99365841797	-93715.75648108267	91474.99145319659	7059.182259543576	-0.000674967256264089	0.0	0.0	0.0	0.001998002662660648	0.0	0.0	0.0	-0.0007029682516622062	132123977.1146135	0.0017913865593902293
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999185370100901	-5.565006463460753e-22	1.1686513573267582e-20	-1.7279472123987726e-22	1.002400000000013	1.2528887839311983e-20	9.01031297641762e-22	-6.623797647528629e-22	0.9990759258293952	-8042.575928034861	10099.4143209045	-308078.41766538506	10131.950540057243	140021527.56580877	272568.20560990844	-308044.6998644743	271664.3399279529	-3615.2341008201447	1599.565890624997	-8030.740960422789	10116.997169198337	-307591.37287503964	10117.040975315591	140265301.82823953	272137.2993310392	-307591.39994183904	272137.3013021498	-3609.5187347518986	-0.0008149618903474694	0.0	0.0	0.0	0.0023971245997345208	0.0	0.0	0.0	-0.0009245013903497371	140272926.79136923	0.0021788221966023147
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999048924917488	2.253107639696439e-21	1.612803671131391e-20	1.6940658945086007e-23	1.0027999999999881	-9.015818690574773e-21	1.3762961903902295e-21	7.639390151286535e-21	0.9988359539450028	-1569.1196132040081	35749.02988577624	-486724.81432934786	35883.248211370774	144755977.750138	466613.1885961012	-486621.08971125545	464768.65788037714	2061.6456902952436	1599.565890624997	-1566.5618960306701	35824.76393980749	-485827.84887848474	35824.75732296873	145062642.21279067	465753.28604590043	-485827.88114538876	465753.26682670123	2057.846366937005	-0.0009515276413860409	0.0	0.0	0.0	0.0027960873019896738	0.0	0.0	0.0	-0.0011647240828275445	145067093.52355725	0.0025724220023832264
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9989139343519846	-4.931425818914537e-21	-1.169646621039782e-21	6.3358064454621665e-22	1.003200000000003	-3.5790530153283205e-20	-8.88643440788168e-22	-2.7257520242643385e-21	0.998588907012143	-1292.8238018345974	72157.57363593062	-628302.6702171471	72467.1891606178	148246255.5791685	629035.7263403385	-628098.252189514	626144.4344376368	436.0417071685403	1599.565890624997	-1290.5210071001343	72338.10249226366	-626979.4558182192	72338.10965157441	148617148.41309878	627710.9681147432	-626979.4753339093	627710.9663060537	435.1233971042856	-0.0010866558446782	0.0	0.0	0.0	0.0031948908965221657	0.0	0.0	0.0	-0.0014120895171414103	148625573.17952216	0.0029687939228708188
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987790876582646	-5.844527336054672e-22	1.0278400707796113e-19	1.3129010682441656e-21	1.003600000000002	-6.546463539444312e-20	-3.271241242296108e-21	-1.909212263111193e-21	0.9983386925845107	1226.3151737456963	109148.26522813414	-739843.4247921447	109675.11710507936	151027405.94587687	751429.4274383697	-739517.2208477757	747490.105010665	2805.8336700174145	1599.565890624997	1223.9496317545547	109463.54118315323	-738090.6864677899	109463.55559100058	151463650.25579897	749649.2411024715	-738090.7041769067	749649.2383347905	2799.186463270141	-0.0012216582624061288	0.0	0.0	0.0	0.003593535510132209	0.0	0.0	0.0	-0.0016626889169312083	151472717.66960764	0.003366781989212348
