6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893814	-4.164192639714452e-23	2.7890545021817965e-22	1.3168715351844201e-24	1.0003999999999935	-8.838325583455595e-22	6.008639969585193e-24	-4.763236839325355e-23	0.9998677425139981	2.3735222875984617e-06	-988.3614003686561	5482.594259849592	-988.8889059859646	28326310.37551756	1455.406311233944	5482.601873584108	1454.6319700659665	1.3160712268472707e-05	1599.565890624997	2.3728870903778687e-06	-988.6242615420326	5481.134630787092	-988.62426154197	28333843.94287456	1455.0188389445607	5481.13463078697	1455.0188389444352	1.3157208496863866e-05	-0.00013365494204245647	0.0	0.0	0.0	0.00039992002132089856	0.0	0.0	0.0	-0.00013226623279418177	28333845.697162487	0.00035525464391698364
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108241	-3.444380070670807e-23	1.8450759871362815e-22	-2.6297726034285857e-23	1.0008000000000166	-4.327941313775449e-22	-9.674704444420211e-24	-2.9090287782264877e-23	0.9997354145986066	-2.4069232495094185e-06	-1976.8673654177628	10965.957182991626	-1978.9779655660207	56686614.836202845	2912.5953600958956	10965.98765443369	2909.4971321776165	-6.266839220188558e-06	1599.565890624997	-2.4056357462067173e-06	-1977.9193773194654	10960.121765148475	-1977.919377319378	56716781.24722168	2911.0454533571988	10960.121765148513	2911.0454533571574	-6.263504388144871e-06	-0.0002673991371387541	0.0	0.0	0.0	0.000799680170581106	0.0	0.0	0.0	-0.0002646204102858596	56716784.75176064	0.0007104617742036323
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999598847835794	-5.701590526205509e-23	-1.0528354836574936e-21	-7.64711932693023e-23	1.0012000000000039	2.7101083845197358e-21	-2.0275851174899815e-23	9.672057466460042e-23	0.9996030162259611	5.229798149230192e-06	-2965.5174738676023	16450.086648798155	-2970.267624121995	85080926.9675227	4371.567667858932	16450.155246695726	4364.59471277236	1.6950460303633009e-06	1599.565890624997	5.225604393470788e-06	-2967.885777528772	16436.9639282054	-2967.8857775288247	85148873.7837558	4368.0803390513465	16436.963928205343	4368.080339051372	1.6936938420179294e-06	-0.0004012326472601087	0.0	0.0	0.0	0.001199280575486179	0.0	0.0	0.0	-0.00039706259295763156	85148879.0344779	0.0010656215168181136
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994649876357233	4.7586046278950575e-23	4.66053409447077e-22	-4.147814463585902e-23	1.0015999999999816	1.7663019230416315e-21	-2.9354985578281846e-23	-8.735027268559973e-24	0.9994705473681236	-3.989275439380435e-06	-3954.311305673291	21934.980535035746	-3962.7583284647812	113509260.35487807	5832.32375617538	21935.10255293831	5819.923938710679	-7.2486598364776e-06	1599.565890624997	-3.9850126703450045e-06	-3958.523894489268	21911.663640997904	-3958.523894489384	113630183.5204353	5826.123993435683	21911.663640997405	5826.1239934354735	-7.24095450785703e-06	-0.0005351555344591195	0.0	0.0	0.0	0.0015987213636791165	0.0	0.0	0.0	-0.0005295928414124049	113630190.5133182	0.0014207339977440727
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999331023498177	6.1343714226932535e-24	1.4728844161568215e-21	6.744499842512367e-23	1.0020000000000047	-9.186601708564922e-22	-2.789914770018852e-23	1.403957110074003e-22	0.9993378071006426	-1.594250302967861	-5254.519543912483	27518.341684411247	-5268.553107639612	141921343.86393052	7595.253009887146	27518.528485002622	7575.073324910639	-3.3297232997434696	1599.565890624997	-1.5921224588217235	-5261.521189113985	27481.799532816978	-5261.5211755347	142110453.99815905	7585.1671228061905	27481.799534951228	7585.167107101979	-3.3253016941474054	-0.0006692003664486394	0.0	0.0	0.0	0.001998002662677933	0.0	0.0	0.0	-0.0006624122459136855	142110465.32814983	0.0017758769704020046
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991936077846129	4.264810889425402e-22	7.354840020568293e-21	1.3976043629695956e-23	1.0023999999999842	1.2213791582933383e-20	-1.630538423464528e-23	-3.15350366262776e-21	0.9991636978365417	2686.7705729419963	-12223.514406941065	-82988.89990835042	-12262.741328735805	160703015.49717167	84078.61601042205	-82986.40978288381	83807.14677478146	4528.7322428113575	1599.565890624997	2682.581210782719	-12243.618673568812	-82857.01867499309	-12243.62058020261	160967327.066159	83945.00306229672	-82857.01275569439	83944.98612015942	4521.535439451069	-0.0008067175244859005	0.0	0.0	0.0	0.0023971245997059455	0.0	0.0	0.0	-0.000836652059205042	160963856.05717224	0.002145942523452754
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990577563231119	-1.001192943654583e-21	5.3787439183595324e-20	2.8968526796097074e-22	1.0027999999999782	-9.620600214914344e-21	-1.2366681029912784e-22	-8.54656243779589e-22	0.9989402603552954	9772.39482848316	7607.116772328546	-324113.57773371425	7635.5763083171305	169151773.19048926	255263.75993359147	-324075.4323458172	254281.2491899416	6227.468661023124	1599.565890624997	9755.446758296024	7622.369016784328	-323513.42214784847	7622.334080033904	169490921.94711345	254791.09238148076	-323513.39476242824	254791.08226983785	6215.937363479682	-0.0009426878675072163	0.0	0.0	0.0	0.0027960873019794883	0.0	0.0	0.0	-0.0010603015657903532	169484437.6442921	0.0025326318260941883
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998924944906028	1.229891839413244e-21	7.36679377303642e-20	1.1231656880592023e-21	1.0031999999999992	-2.1013193355484683e-20	-4.785736151986796e-22	-7.011738737371099e-21	0.9987005475689922	-3095.086453431244	16831.969130082845	-518148.78772075794	16903.93392787392	174722846.658797	454472.8284408118	-518032.45006727707	452434.43651954137	5394.298542738226	1599.565890624997	-3089.228074300352	16872.008270775346	-517051.8597547743	16871.93816451059	175138469.6073362	453510.70333869715	-517051.91833084216	453510.6674654241	5382.878740031705	-0.0010756333801963786	0.0	0.0	0.0	0.0031948908965192886	0.0	0.0	0.0	-0.0013002974514392744	175141376.55866393	0.002924781846624453
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987933898265408	4.001383642829315e-21	7.348561388846771e-20	1.4670610646444482e-21	1.003599999999977	2.747181957829872e-20	-1.1640350277642222e-21	-8.431365956969306e-21	0.9984539650157597	-4288.762532339748	44365.62860170743	-665621.9646895183	44579.083624231906	179032213.66332784	630335.0951564439	-665395.7527878965	627102.9032121751	-6215.7017543479315	1599.565890624997	-4279.995392816783	44488.00530341869	-664035.553187468	44487.954529768765	179526050.27736247	628832.7846887166	-664035.5428535179	628832.6833899254	-6200.88754856821	-0.0012073387136162	0.0	0.0	0.0	0.003593535510106766	0.0	0.0	0.0	-0.001547231329546925	179538295.10421428	0.0033196855273439118
