6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138995	2.197653451430884e-23	4.8889682924334147e-23	-2.3723539968020833e-24	1.000200000000001	-3.835007843142849e-22	-4.235164736271502e-25	-2.2400050987935988e-23	0.9999338800589289	-1.0898225834580443e-05	-494.1626033417296	2741.200914497345	-494.2944616951156	14158906.776120145	727.4803459906807	2741.202817415446	727.2867876754979	-4.682486826823152e-06	1599.565890624997	-1.089676711885502e-05	-494.2283009167388	2740.8359103870575	-494.2283009167332	14160789.164292948	727.3834784772359	2740.8359103870275	727.3834784771963	-4.681863331139537e-06	-6.681631826101953e-05	0.0	0.0	0.0	0.0001999800026671327	0.0	0.0	0.0	-6.612212709119347e-05	14160790.041956227	0.0001776332690461477
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893824	-8.994761980901623e-24	-1.6821544936878372e-22	-1.520688838117486e-23	1.0003999999999935	4.447717066473128e-22	4.0234064994579265e-24	-1.8039154798556427e-23	0.9998677425139987	-7.0736350753577425e-06	-988.3614006096632	5482.594259816653	-988.8889062271403	28326310.375492368	1455.4063112469305	5482.601873551362	1454.6319700790268	-8.146480836330738e-06	1599.565890624997	-7.071742043481961e-06	-988.6242617831023	5481.134630754156	-988.6242617830807	28333843.942849316	1455.0188389575424	5481.134630754228	1455.0188389574969	-8.144312001720285e-06	-0.00013365494204145713	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279362658	28333845.69715262	0.00035525464391616886
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228783	-4.24839962607235e-24	2.770062435317579e-23	1.8303852594573396e-23	1.000599999999987	-5.90937829607883e-23	-3.7587087034409574e-24	4.867792468752057e-23	0.9998015873617152	-5.2809845933552425e-06	-1482.5963387147146	8224.17977103963	-1483.7833888215323	42502212.49605625	2183.7779609244267	8224.196906583597	2182.0354505074083	-6.296482564721373e-06	1599.565890624997	-5.278865296204078e-06	-1483.1879358614137	8220.89647713429	-1483.1879358613999	42519172.06015639	2182.9061433001375	8220.89647713437	2182.9061433000506	-6.293968854733754e-06	-0.00020051587908694035	0.0	0.0	0.0	0.0005998200719544568	0.0	0.0	0.0	-0.00019843232467681713	42519174.690083876	0.0005328641403784918
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326365524911	-6.276315615807353e-23	-1.4844252400631613e-22	4.7579428834050154e-23	1.000799999999973	5.104829345085253e-22	-1.9667046244060786e-23	3.586655136029928e-23	0.9997354144585525	1.2559743772726506e-05	-1976.9840890521355	10966.311758574637	-1979.0948139357408	56686572.61664293	2913.2315669370664	10966.34223010533	2910.132661855965	1.0395540675744996e-05	1599.565890624997	1.2553025358529014e-05	-1978.0361634621358	10960.476152687856	-1978.036163462152	56716739.016449004	2911.681321817664	10960.47615268767	2911.681321817469	1.039000879960465e-05	-0.0002673991954873595	0.0	0.0	0.0	0.00079968017053762	0.0	0.0	0.0	-0.00026462055037700517	56716742.521290354	0.0007104618402144891
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657434157814	-1.6589603493118503e-22	9.094751573347033e-22	5.394541082825825e-23	1.0010000000000172	-1.1177129134612527e-21	-1.4134862307306138e-23	-5.571888606157194e-23	0.999669196485651	0.0008508218287124692	-2479.3930767392003	13640.531991280744	-2482.7023294152377	70871955.7491786	3709.9191676088603	13640.579108740249	3704.9869263846626	0.0008916029830797925	1599.565890624997	0.0008502531235769774	-2481.04284500127	13631.461491950524	-2481.042845000264	70919113.37995635	3707.4521949609843	13631.461491950684	3707.45219496183	0.0008910100968004288	-0.0003343124604023103	0.0	0.0	0.0	0.0009995003331009472	0.0	0.0	0.0	-0.0003308582419010397	70919117.73018731	0.0008880593621074032
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995986793870215	1.2786888781089723e-22	-3.499040165548311e-22	7.975344593991271e-23	1.0012000000000225	1.961437138265341e-21	-4.012818587617248e-23	8.290334971251465e-23	0.9996023977357933	-0.01671701796230991	-3123.008136044174	14896.184083931077	-3128.011081177813	84912771.94914122	5882.945685618202	14896.239495361096	5873.558343020223	-0.011400576256404747	1599.565890624997	-0.016703622982726637	-3125.5046745071572	14884.30346561593	-3125.5046745529526	84980651.375622	5878.253676452246	14884.303465600413	5878.253676390855	-0.011391483599230808	-0.0004014011636475016	0.0	0.0	0.0	0.0011992805755048084	0.0	0.0	0.0	-0.0003976813289447564	84980656.08247533	0.0010658833781828374
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995303459500074	4.46492242321423e-22	1.435562026918429e-21	6.495683914256416e-23	1.0014000000000003	-1.3242301339136918e-21	-5.2727800966580196e-23	-2.536334281434596e-22	0.9995305763500765	-3.2552781333160765	-4573.178945960237	2232.808878682429	-4581.733240636556	97621963.0615008	19801.076081503255	2232.809384720046	19764.11123952445	-2.456703097808986	1599.565890624997	-3.2522538002039485	-4577.476542922353	2230.7349901620028	-4577.476557495173	97713702.27766672	19782.68434866415	2230.7349815266084	19782.68435582398	-2.4544212507591623	-0.00046976437199935933	0.0	0.0	0.0	0.001399020913708074	0.0	0.0	0.0	-0.0004695338636975109	97713711.53671862	0.0012457800281462147
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994592553627228	-1.8634724839594606e-23	-9.969577789183115e-22	5.2304284492953045e-23	1.0015999999999987	-1.0133690422713635e-21	-5.905407829138575e-23	-1.0185571190732961e-22	0.9994443132102713	99.16811134188725	-5060.601846222765	-53435.90487946343	-5071.4408128995965	106654171.68042979	65235.486141071146	-53435.106056641365	65095.08361545954	318.0960689149239	1599.565890624997	99.0647447985741	-5066.155015494011	-53379.40863801105	-5066.154664970052	106771206.90406986	65166.51454258127	-53379.40869455684	65166.514648571225	317.75975511327664	-0.0005408908923853496	0.0	0.0	0.0	0.0015987213636957432	0.0	0.0	0.0	-0.0005558412408533716	106771098.5430118	0.0014314176451036382
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993868548660059	5.61159327555974e-22	2.3854565377049235e-22	4.4892746204477917e-23	1.0018000000000085	-1.0532219424396784e-20	-3.549597444587552e-23	8.110340469959926e-23	0.9993425043567472	-159.28122264590405	-595.459294071756	-146498.2897312928	-596.8944526770996	112071620.63437855	142499.5995514681	-146491.78938168663	142150.0371525325	224.66706761578223	1599.565890624997	-159.09963890846785	-596.2166308760958	-146324.78494126053	-596.2139812205676	112214159.28290318	142330.83059761062	-146324.78585058756	142330.8311311397	224.4009838787957	-0.0006133331843438346	0.0	0.0	0.0	0.001798381941388263	0.0	0.0	0.0	-0.0006577118883050001	112214683.6382643	0.0016228052677938478
