6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	-3.127900768308019e-23	-3.35504456451508e-24	5.889525961377557e-25	1.000200000000001	6.618470604383787e-22	-3.1499037726019292e-24	8.298275905131974e-24	0.9999338800589288	-8.519247751792136e-06	-494.16260334935964	2741.200914494103	-494.2944617027451	14158906.77613794	727.4803459834236	2741.2028174121674	727.2867876682551	-2.3118507633625996e-06	1599.565890624997	-8.518107459706803e-06	-494.22830092436993	2740.8359103838166	-494.2283009243617	14160789.16431075	727.38347846998	2740.8359103837497	727.3834784699528	-2.3115429292937697e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.0001999800026669107	0.0	0.0	0.0	-6.612212709086038e-05	14160790.041971654	0.00017763326904592626
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893823	4.594161122119516e-24	3.5335170534795214e-22	-6.908612476042887e-24	1.0003999999999935	7.490947627280219e-22	-1.0521737391674512e-24	2.956674381509542e-23	0.9998677425139985	7.628467323684163e-06	-988.3614006101619	5482.594259830409	-988.8889062276571	28326310.375555646	1455.406311247984	5482.601873564939	1454.6319700800984	6.549042552251194e-06	1599.565890624997	7.626425808728057e-06	-988.6242617836015	5481.13463076791	-988.6242617835976	28333843.942912623	1455.0188389585958	5481.134630767804	1455.0188389585694	6.54729900305029e-06	-0.00013365494204156818	0.0	0.0	0.0	0.0003999200213202327	0.0	0.0	0.0	-0.00013226623279407072	28333845.69720123	0.0003552546439162056
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228783	2.701571880598188e-23	-2.108582643071174e-22	-1.520688838117486e-23	1.000599999999987	-1.955150565609938e-21	-4.102815838263017e-24	4.3092801191562527e-23	0.9998015873617152	6.015304811626265e-07	-1482.5963387116153	8224.179771034986	-1483.7833888184782	42502212.49604216	2183.7779609398626	8224.196906578654	2182.0354505229107	-4.3732805352192375e-07	1599.565890624997	6.012890826465436e-07	-1483.1879358583133	8220.89647712965	-1483.1879358583471	42519172.0601423	2182.906143315567	8220.896477129432	2182.906143315559	-4.3715346145642516e-07	-0.00020051587908694035	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467637293	42519174.69006392	0.00053286414037864
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108238	2.0924360775141388e-23	-3.0862439526598483e-22	-2.1705219273391445e-23	1.0008000000000166	2.608874712433046e-21	-8.58944348075064e-24	7.088606977334426e-23	0.9997354145986067	1.958073659807269e-06	-1976.8673654653571	10965.957183078244	-1978.9779656137027	56686614.83613686	2912.595360156738	10965.987654520211	2909.4971322384804	1.0568786710791756e-06	1599.565890624997	1.9570262536182277e-06	-1977.9193773670854	10960.121765235051	-1977.9193773670345	56716781.247155674	2911.04545341801	10960.12176523499	2911.0454534180544	1.0563162643005322e-06	-0.0002673991371390873	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102857486	56716784.75168879	0.000710461774203855
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486137118	3.3715881767661405e-24	5.998052057744514e-22	1.860825505999291e-23	1.0010000000000012	4.1388412083009265e-21	-3.1419628387214205e-23	-1.4002513409297653e-23	0.9996692150059125	0.00040496910553702034	-2474.3676722918376	13686.83968425524	-2477.6702046642704	70877013.31397991	3663.9345568390645	13686.887144073276	3659.0635187498838	0.00040801866021502063	1599.565890624997	0.00040469840915691223	-2476.0140379440504	13677.738320732478	-2476.0140379435147	70924172.62726964	3661.4981433868224	13677.738320732671	3661.498143387117	0.00040774733927926324	-0.00033430726073388104	0.0	0.0	0.0	0.000999500333084976	0.0	0.0	0.0	-0.000330839715511514	70924176.99669373	0.0008880514707428506
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987773684205	8.007108329513308e-24	-9.674704444420211e-23	3.986348808015551e-23	1.0011999999999897	-1.0980988067763953e-21	-2.414043899674756e-23	5.918642718939424e-23	0.9996027529391307	0.005663175333153959	-3040.2267119940716	15804.243758289444	-3045.096745773783	85009608.74482715	5015.307025200418	15804.30661440079	5007.305942095766	0.007071636424076132	1599.565890624997	0.005658635544290972	-3042.6556953992135	15791.63735891176	-3042.655695394812	85077527.01161435	5011.306519745785	15791.637358915228	5011.306519746714	0.0070659956686955445	-0.0004013031429155692	0.0	0.0	0.0	0.0011992805754713197	0.0	0.0	0.0	-0.00039732598438487675	85077532.0079847	0.0010657325664465127
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310531519256	4.6692691217393307e-23	3.6507120026660344e-22	4.065758146820642e-23	1.001400000000013	3.6271009592613206e-21	3.017554874593445e-24	1.3309005183733193e-22	0.9995333832460476	-3.8065329474928458	-4232.170486402736	10207.267920892189	-4240.083902057351	98374249.56144638	13256.08044875311	10207.291711687718	13231.371022580452	-4.7497525900462385	1599.565890624997	-3.802985788624375	-4236.132731055242	10197.77994083896	-4236.132734046013	98466349.54785323	13243.758500524013	10197.779936584859	13243.758503011115	-4.745337544004399	-0.00046905683803521466	0.0	0.0	0.0	0.0013990209137200477	0.0	0.0	0.0	-0.00046672565342771865	98466358.35153168	0.0012446088340294218
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608674720925	4.4151592375630403e-23	-4.751325438504591e-23	4.3622196783596465e-23	1.0016000000000054	2.4173261523453663e-21	-5.452774597949558e-24	2.5929796097822267e-22	0.9994522680506182	89.56465563462314	-5641.748679692313	-30514.836317608777	-5653.823672805066	108704805.11428338	47660.78242318376	-30514.573777918875	47558.58334088191	208.0538637738503	1599.565890624997	89.47058700388686	-5647.885497990665	-30482.524693287196	-5647.885532948929	108823048.88496841	47610.31525762201	-30482.52470507367	47610.31524193956	207.83355919102564	-0.0005392779121053989	0.0	0.0	0.0	0.0015987213637019507	0.0	0.0	0.0	-0.0005478820093236182	108822944.72483417	0.0014282095220493885
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993887544080938	2.9264988327636074e-22	9.613718072217903e-21	2.380162581784584e-22	1.0017999999999958	5.328260754703176e-21	2.4516309867091657e-22	1.8253560013330172e-22	0.9993548159800191	-87.40744468854551	-2892.6855159157244	-116395.1852926187	-2899.662670913302	115119312.53094026	116269.88485947388	-116391.2331094849	115986.0950231065	290.39538583979044	1599.565890624997	-87.30672288182323	-2896.323400190174	-116257.11204916355	-2896.3213163623227	115264088.28842844	116131.96025307075	-116257.11255113666	116131.96085913252	290.05090567330836	-0.000611432478652666	0.0	0.0	0.0	0.0017983819413749642	0.0	0.0	0.0	-0.0006453922407564851	115264338.42332864	0.0016179816684627991
