6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138992	2.057032747296869e-23	6.587666398372312e-23	3.0671857113466268e-24	1.000200000000001	2.860688343228889e-22	2.3723539968020833e-24	2.005085804828539e-24	0.9999338800589289	-9.098316598056045e-06	-494.1626033390012	2741.200914489778	-494.294461692358	14158906.77612591	727.4803459826485	2741.202817407898	727.2867876674848	-2.881526307646709e-06	1599.565890624997	-9.0970987982326e-06	-494.2283009140101	2740.835910379492	-494.22830091397594	14160789.164298717	727.383478469205	2740.83591037948	727.3834784691823	-2.8811426185341564e-06	-6.681631826124158e-05	0.0	0.0	0.0	0.00019998000266735472	0.0	0.0	0.0	-6.612212709097142e-05	14160790.041960195	0.0001776332690462963
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893821	-1.8274074092521486e-23	3.3641104640286617e-22	8.337980574534519e-24	1.0003999999999935	3.026356076311009e-22	8.880611056369306e-24	-2.5781565332052766e-23	0.9998677425139983	9.807288945012261e-06	-988.3614006106818	5482.594259832688	-988.888906228178	28326310.375541214	1455.4063112492738	5482.601873567256	1454.6319700813588	8.738539758269325e-06	1599.565890624997	9.804664338231463e-06	-988.6242617841218	5481.134630770189	-988.6242617841184	28333843.942898195	1455.0188389598857	5481.134630770121	1455.0188389598304	8.73621330002886e-06	-0.00013365494204179026	0.0	0.0	0.0	0.0003999200213202327	0.0	0.0	0.0	-0.00013226623279440384	28333845.69718462	0.0003552546439163905
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228783	3.769958359771679e-23	-6.4718611126148884e-24	2.320076182088732e-23	1.000599999999987	2.85119230979678e-22	5.730707283767376e-24	2.943439491708694e-23	0.999801587361715	3.5201827054152092e-06	-1482.5963387185213	8224.179771053363	-1483.7833888253751	42502212.496066816	2183.777960934959	8224.196906597257	2182.0354505179835	2.487039824700332e-06	1599.565890624997	3.518770030743085e-06	-1483.1879358652225	8220.89647714802	-1483.1879358652416	42519172.06016697	2182.906143310666	8220.89647714803	2182.906143310631	2.486046937515812e-06	-0.00020051587908694035	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467659503	42519174.69008567	0.000532864140378566
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108239	-1.3410252090709685e-22	1.7488583382841133e-22	4.9935239218601176e-23	1.0008000000000166	1.4342914774975474e-21	1.61465655570351e-24	2.1811098391798233e-23	0.9997354145986065	6.867233468256017e-06	-1976.8673654770162	10965.957183089564	-1978.9779656254275	56686614.83620205	2912.5953601407477	10965.987654531495	2909.49713222251	5.94039575298666e-06	1599.565890624997	6.863560070796008e-06	-1977.919377378751	10960.121765246366	-1977.9193773787536	56716781.2472209	2911.045453402028	10960.121765246271	2911.0454534020764	5.937234634372665e-06	-0.0002673991371389762	0.0	0.0	0.0	0.0007996801705804404	0.0	0.0	0.0	-0.0002646204102864149	56716784.751749136	0.0007104617742034474
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486137118	-9.314053697347091e-23	6.697648332617363e-22	7.980638549911611e-23	1.0010000000000012	2.940527815952507e-21	-1.709947762269619e-23	3.7692966152816363e-23	0.9996692150059119	0.0003928517088488661	-2474.3676725615433	13686.839683948425	-2477.670204934482	70877013.31383507	3663.934557970471	13686.887143766577	3659.0635198797727	0.00039591964595820175	1599.565890624997	0.0003925891121864294	-2476.0140382139375	13677.73832042587	-2476.0140382135473	70924172.62712474	3661.4981445174767	13677.738320426186	3661.49814451776	0.00039565637052670717	-0.00033430726073388104	0.0	0.0	0.0	0.0009995003330845323	0.0	0.0	0.0	-0.0003308397155117361	70924176.99656095	0.0008880514707426285
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987773682735	2.3088265257580108e-23	1.853149269914799e-22	7.81917289434126e-23	1.0012000000000056	8.294305438191719e-22	-8.285041015331125e-24	-4.8598515348715484e-23	0.9996027529387164	0.0056448566722738175	-3040.2265031539987	15804.245566118278	-3045.096536599375	85009608.62372348	5015.307565518308	15804.308422232869	5007.306481549489	0.007070860838699446	1599.565890624997	0.005640331568258202	-3042.655486393997	15791.639165300634	-3042.6554863892975	85077526.8904617	5011.307059633343	15791.639165304383	5011.307059634247	0.007065220701972544	-0.0004013031430626217	0.0	0.0	0.0	0.0011992805754875097	0.0	0.0	0.0	-0.00039732598479959877	85077531.88684267	0.0010657325666442305
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310531266621	-2.1440521477374478e-24	-2.210491294537707e-22	3.5575383784680616e-23	1.0014	-2.8891235039660116e-21	1.776122211273861e-23	-3.9228213369714784e-23	0.9995333831699719	-3.8067168792778268	-4232.207664744906	10207.154661893745	-4240.1211500005365	98374227.86953042	13256.290670247146	10207.178451929005	13231.580851210585	-4.750902121421663	1599.565890624997	-3.8031695493000477	-4236.169944634028	10197.666787376236	-4236.169947601774	98466327.84561202	13243.968526945402	10197.666783144763	13243.968529429869	-4.746486006973893	-0.0004690568633105254	0.0	0.0	0.0	0.0013990209137074087	0.0	0.0	0.0	-0.0004667257295389347	98466336.65001197	0.0012446088677847463
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608671361118	-1.6474790824096142e-22	-2.7255932055867285e-22	-1.037615360386518e-23	1.001600000000003	-1.4175096372300716e-21	4.441629017164737e-23	3.427307062827713e-22	0.9994522669604445	89.65533840947802	-5642.238783550284	-30517.05031623622	-5654.314828389787	108704499.16567275	47663.12790833915	-30516.787733918725	47560.923743841486	208.2062768645058	1599.565890624997	89.56117463345541	-5648.376143019497	-30484.73635779825	-5648.376178840219	108822742.7588446	47612.658275190035	-30484.736369035334	47612.65825861509	207.98581096405331	-0.0005392782482673225	0.0	0.0	0.0	0.0015987213636997337	0.0	0.0	0.0	-0.0005478831000944649	108822638.48242624	0.0014282099992047098
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993887532107324	2.659683454378503e-22	-6.278419963285688e-21	1.9778219318387914e-22	1.0017999999999805	-5.218781746270558e-21	1.9584989927295526e-22	2.337810934421869e-22	0.9993548114242641	-87.43840524356608	-2894.3203766922625	-116404.53652991298	-2901.3014779737005	115118078.30296949	116277.0371167867	-116400.58364188421	115993.22929576594	290.69961306093364	1599.565890624997	-87.33764815836123	-2897.9603336748596	-116266.4523328963	-2897.9582481948996	115262853.17181829	116139.10416519915	-116266.45283870648	116139.10477254767	290.35477235421195	-0.0006114336767464285	0.0	0.0	0.0	0.0017983819413596707	0.0	0.0	0.0	-0.0006453967994522445	115263103.22399668	0.0016179836107545356
20	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993167868930289	-6.534859188066927e-22	1.9512886247660505e-20	-2.625802136488331e-22	1.0020000000000093	9.75189032173876e-21	1.5789223532412192e-22	-1.24683249835833e-21	0.9992457583407383	-167.28496039855705	5005.2145373992	-218581.6609819063	5018.656704560344	119068361.33266456	207337.71905361128	-218566.1264275961	206767.80048256813	204.75567233831242	1599.565890624997	-167.07707477209223	5012.417077279729	-218294.51191314033	5012.420001687869	119239701.56485637	207065.3410660031	-218294.5135102834	207065.34084129945	204.48668636587368	-0.0006834466034037669	0.0	0.0	0.0	0.0019980026626828084	0.0	0.0	0.0	-0.0007545262426072136	119240821.99352331	0.0018117908792844605
22	22.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992457541182517	5.658180087658727e-22	1.5018000033937153e-20	-4.2182240773264157e-22	1.0022000000000157	1.1353629624996642e-20	1.9116474828345492e-22	-1.9058241313221758e-22	0.9991301699604246	-96.4374675098218	17603.970539212773	-314936.0418717658	17656.018117082174	121806301.80821903	305805.3232659606	-314899.6143924714	304868.6132130394	237.46712811089083	1599.565890624997	-96.3095437482795	17632.595645088753	-314481.9002021199	17632.5975077514	122004366.11864576	305364.34820553503	-314481.9018143471	305364.3477583823	237.12469757354953	-0.0007545304682812065	0.0	0.0	0.0	0.002197583543503154	0.0	0.0	0.0	-0.0008702085612396602	122006661.88170193	0.0020077464956007214
24	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991755607932822	-1.5500702934753697e-21	1.8512010941361142e-20	5.226193284559033e-22	1.0023999999999984	3.9347221498804016e-20	3.1139048723436214e-22	-1.5356707333720465e-21	0.9990109086391794	-60.94732342883934	34293.24368566281	-400083.1999453094	34403.91224799921	123924867.54888251	400878.5176420972	-400017.2723848156	399523.1569700398	225.77125700197513	1599.565890624997	-60.86159774921411	34355.52045711416	-399454.62528155174	34355.52129999195	124149915.97895293	400248.6934468574	-399454.6266342265	400248.69382984255	225.41654555201782	-0.0008247792436266252	0.0	0.0	0.0	0.002397124599720122	0.0	0.0	0.0	-0.0009895808344631137	124153711.33444495	0.002204923663986833
26	26.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991059254722615	-4.565507585700679e-22	2.455506162442854e-20	5.946171289725188e-22	1.0025999999999824	8.757473641662212e-21	1.7745340244977591e-22	-6.154541394749746e-21	0.998889456846952	-38.738527947355976	53424.50172797746	-474969.1416187341	53611.33880196064	125681026.98719122	487023.11776709015	-474866.2347851543	485220.6851238486	192.85591150691045	1599.565890624997	-38.68102591652424	53531.759286997265	-474161.35990945506	53531.7601235733	125933350.1672629	486194.83581768273	-474161.36099876056	486194.8371437831	192.52792077195303	-0.0008944744507608223	0.0	0.0	0.0	0.0025966258472486393	0.0	0.0	0.0	-0.0011111602630223523	125938800.81267162	0.0024028877012422494
28	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990365982731456	-1.1977045874175806e-21	-7.910334815289504e-20	1.0647204146986554e-21	1.0027999999999817	-2.8312076261974987e-21	7.53012290109073e-22	-2.8104553189897686e-21	0.9987666074980248	-9.274462852236931	72991.50833194301	-540857.6114167293	73266.47066990883	127190759.4661518	562167.3447477794	-540711.4447863436	559906.2356953361	153.89629647982161	1599.565890624997	-9.259988064862599	73152.12156723971	-539867.5479166264	73152.1226368736	127470634.7536277	561138.2728493058	-539867.5486687113	561138.2742438321	153.61458258187614	-0.0009638660965717198	0.0	0.0	0.0	0.0027960873019825883	0.0	0.0	0.0	-0.0012341537565221828	127477760.32171333	0.0026014161941390157
30	30.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998967379646987	3.423707172801882e-21	3.118140037079893e-21	1.9701986353135026e-21	1.0030000000000354	-3.680358155819935e-21	1.6407028188315798e-21	-3.907362985684088e-21	0.9986428271656096	29.444676963787323	91645.23869515338	-598260.2967173579	92015.19219719131	128510887.58986968	625812.2563545112	-598065.9293005434	623093.6408877026	123.163293189821	1599.565890624997	29.396503278034217	91864.64746063224	-597087.4487172153	91864.64848571265	128818556.7672121	624585.394640041	-597087.4488718671	624585.3954891572	122.92184005829738	-0.0010331538727235507	0.0	0.0	0.0	0.00299550897983357	0.0	0.0	0.0	-0.0013580946275575472	128827272.44074911	0.002800379944222439
32	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988981123822515	-2.8799120206646214e-23	5.87318881340739e-20	3.869246503057644e-21	1.0031999999999932	-4.9895322790961815e-20	1.4039571100740028e-21	-1.745734904291113e-21	0.9985184279228979	65.05831967629076	108820.0117023104	-647514.0752439409	109288.66040163425	129674256.00639766	678306.4792753457	-647267.9523569157	675141.068159863	99.35581278932673	1599.565890624997	64.94702081802454	109101.69341855403	-646160.6360011202	109101.69425826219	130009919.14788327	676888.6774964965	-646160.6353458391	676888.677738385	99.14813845270206	-0.0011024951422330912	0.0	0.0	0.0	0.0031948908965128697	0.0	0.0	0.0	-0.0014826706902619357	130020077.51856673	0.0029996904511187658
34	34.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988286801576235	2.0904773138236132e-21	-9.044702514076145e-20	2.673235981534572e-21	1.0033999999999874	7.385576728641784e-20	-5.924995466043831e-22	-9.727326366268385e-21	0.9983936405670037	89.79272808361094	124308.25231435499	-689307.4928551787	124877.17215273439	130705152.94108659	720622.2393730794	-689007.2637465163	717026.7696848048	74.61558076607113	1599.565890624997	89.63244922512511	124654.2673447776	-687777.3960845298	124654.26801527519	131068973.89930367	719022.6314002204	-687777.3946905395	719022.6310609176	74.44995213102268	-0.00117200637361388	0.0	0.0	0.0	0.0033942330680032246	0.0	0.0	0.0	-0.0016076510116550386	131080399.46094193	0.0031992767667143665
36	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998759006707866	-7.055784450628322e-21	-1.6010426186587653e-19	4.726443845678996e-22	1.0036000000000151	3.185182694855071e-20	-3.0975994881089764e-21	-1.5975041385216104e-20	0.9982686411922453	100.81988217004441	138082.4735909644	-724719.1049631715	138751.76137099776	131624834.46182908	754146.9949734686	-724363.2842901269	750140.7882858379	49.24228584386429	1599.565890624997	100.63246343483843	138493.82844427624	-723016.733770397	138493.82931370861	132016951.67311713	752375.4974228065	-723016.7319271475	752375.496615605	49.12661530570285	-0.00124176396197295	0.0	0.0	0.0	0.0035935355101457053	0.0	0.0	0.0	-0.0017328593416401892	132029465.52269335	0.00339907757991072
38	38.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9986890505995286	9.849299110673004e-21	-5.786950271465061e-20	-2.6156377411212795e-21	1.0038000000000034	-1.312502962758956e-19	-5.652250857027946e-21	-1.9669799101139364e-20	0.9981435610595027	100.5440500438003	150331.06205001503	-754981.301871728	151100.40609329788	132452506.54452398	780408.5814712005	-754568.92477445	776010.9576243365	26.12239966256241	1599.565890624997	100.34972214540736	150808.36368091844	-753110.5233732108	150808.36470099623	132873043.70117572	778474.7963686355	-753110.5212858279	778474.7950417147	26.057670610998816	-0.0013118094463699576	0.0	0.0	0.0	0.0037927982386998017	0.0	0.0	0.0	-0.0018581642588964323	132886480.76901944	0.003599040006226449
40	40.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998618795307842	-1.0113573390216346e-21	1.7200232191772088e-19	-4.823005601665986e-21	1.0040000000000249	-4.044497619844559e-20	-2.9790148754933742e-21	-8.151845084375387e-21	0.9980184952931246	94.31794183436624	161311.39314853816	-781167.8275716373	162180.64427649882	133205035.20457123	800821.2099752836	-780698.2415899016	796050.1763332108	7.580231576555641	1599.565890624997	94.12868958325782	161855.22225001486	-779131.7455738096	161855.2231379691	133654109.34120564	798733.9022399177	-779131.7432462818	798733.9003013438	7.5604740129340415	-0.0013821594345898671	0.0	0.0	0.0	0.003992021269562669	0.0	0.0	0.0	-0.001983470484554388	133668324.63349149	0.0037991196326171216
