6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	-4.3187926962006127e-23	6.328593430520704e-23	-3.0340984868445056e-24	1.000200000000001	9.418642413998296e-22	-9.959254575138453e-25	-2.713152409173931e-25	0.9999338800589289	-1.0070335466480173e-05	-494.1626033447894	2741.2009144832873	-494.29446169816936	14158906.776123913	727.4803459872356	2741.202817401313	727.2867876720705	-3.818507714186126e-06	1599.565890624997	-1.0068987562983854e-05	-494.22830091979904	2740.835910373002	-494.2283009197866	14160789.16429672	727.3834784737916	2740.8359103728967	727.3834784737687	-3.817999261484444e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.0001999800026669107	0.0	0.0	0.0	-6.612212709097142e-05	14160790.041959155	0.00017763326904596312
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893821	-2.671462506301258e-23	5.195686863568077e-22	-9.476181097407485e-24	1.0003999999999935	-1.6685291746378635e-21	5.69100261436483e-25	5.18542982397242e-23	0.9998677425139982	-1.6486577387695434e-06	-988.3614006165222	5482.5942598316215	-988.8889062340731	28326310.37551464	1455.40631125462	5482.601873566336	1454.6319700867348	-2.6849959476749065e-06	1599.565890624997	-1.6482165283253614e-06	-988.6242617899641	5481.134630769124	-988.6242617900123	28333843.94287162	1455.0188389652305	5481.134630769202	1455.0188389652083	-2.6842811221867134e-06	-0.00013365494204179026	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.00013226623279407072	28333845.697169475	0.0003552546439165758
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228788	-1.7139182292098734e-24	5.216267117208396e-22	-6.921847365843736e-24	1.000599999999987	-1.0314214319597209e-21	-2.4352197233561136e-23	7.146840492458159e-25	0.9998015873617149	-5.116572938732133e-06	-1482.5963387165607	8224.179771049212	-1483.7833888234131	42502212.49607035	2183.7779609265535	8224.19690659303	2182.0354505095183	-6.120625617768383e-06	1599.565890624997	-5.1145196211580045e-06	-1483.1879358632602	8220.896477143866	-1483.1879358632802	42519172.060170494	2182.906143302262	8220.896477143802	2182.9061433021607	-6.11818211417951e-06	-0.00020051587908649618	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467670608	42519174.69009781	0.0005328641403784542
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108243	9.17707258790831e-23	-9.986518448128201e-22	-1.8595020170192062e-23	1.0008000000000166	-6.862290361739917e-23	-2.0924360775141388e-23	-3.2504889350883775e-23	0.9997354145986067	-6.493211650195008e-06	-1976.8673654630895	10965.957183084052	-1978.9779656115297	56686614.83616065	2912.595360131531	10965.987654526034	2909.497132213261	-7.4614017867133955e-06	1599.565890624997	-6.4897383232386525e-06	-1977.9193773648155	10960.121765240854	-1977.9193773648628	56716781.24717945	2911.045453392815	10960.12176524081	2911.0454533928205	-7.457431280865983e-06	-0.000267399137138532	0.0	0.0	0.0	0.0007996801705804404	0.0	0.0	0.0	-0.0002646204102859707	56716784.75172105	0.0007104617742031513
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486137093	-7.452566446857758e-23	1.5961277099823221e-23	-1.2679024429212808e-23	1.0010000000000012	-5.184847488821182e-21	-2.829619439421397e-23	-1.292519337950859e-22	0.9996692150059157	0.00039492594723014915	-2474.3676675320066	13686.839699384698	-2477.670199898197	70877013.31408797	3663.934566682329	13686.88715920288	3659.0635285801445	0.0003979779865076125	1599.565890624997	0.0003946619640697848	-2476.0140331810508	13677.738335851911	-2476.014033180619	70924172.62737772	3661.4981532235506	13677.73833585212	3661.4981532239162	0.0003977133423375323	-0.00033430726073643537	0.0	0.0	0.0	0.000999500333084976	0.0	0.0	0.0	-0.0003308397155081822	70924176.99681187	0.0008880514707425989
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987773671675	2.20757961878152e-22	1.4146244312534866e-21	-3.4013666788180496e-23	1.0012000000000134	-9.617265022684529e-22	-1.842296660278103e-23	-2.8693241088239426e-23	0.999602752945754	0.00563517289176707	-3040.2193765933744	15804.270468649565	-3045.0893986263413	85009609.8914382	5015.30434591293	15804.333324991027	5007.303267115664	0.0070462472394829095	1599.565890624997	0.005630655550550883	-3042.648354121566	15791.664047985541	-3042.648354116855	85077528.15868443	5011.303842601619	15791.664047988366	5011.3038426025205	0.007040626736025958	-0.00040130314416906985	0.0	0.0	0.0	0.00119928057549505	0.0	0.0	0.0	-0.00039732597775965354	85077533.15509498	0.0010657325646815635
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310528160102	7.414185266435298e-23	1.708888971085551e-21	-8.570914635029452e-23	1.0014000000000018	-6.393510564993866e-22	-7.199780051661553e-24	4.086933970501999e-23	0.9995333854830557	-3.796739342051062	-4230.70529840161	10214.343423178772	-4238.615975668528	98374656.51734692	13254.573761238435	10214.367256868045	13229.86717311076	-4.735907114876878	1599.565890624997	-3.793201300970331	-4234.666163260866	10204.848869650903	-4234.666166082902	98466756.69747245	13242.253217973795	10204.848865503061	13242.25322042027	-4.731504940234583	-0.0004690571741082217	0.0	0.0	0.0	0.0013990209137091827	0.0	0.0	0.0	-0.0004667234153752741	98466765.4907241	0.0012446082016374259
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608574183258	3.832824086325709e-23	-4.778589311494339e-22	-1.4632494163818037e-22	1.001600000000015	6.903530278359361e-21	-2.0302320954501512e-23	-1.7914746834428452e-22	0.9994523042777729	87.87331241718381	-5640.9452584256705	-30372.580593270446	-5653.018587567517	108710419.63842386	47629.89505322657	-30372.320683578924	47527.76392386828	204.34369997698192	1599.565890624997	87.78101700114495	-5647.08105491693	-30340.41990623705	-5647.081088592426	108828666.66632836	47579.46107236886	-30340.419917618856	47579.46105506911	204.12732607480314	-0.0005392879712953941	0.0	0.0	0.0	0.001598721363711705	0.0	0.0	0.0	-0.0005478457623161322	108828565.04205897	0.001428200700096925
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993886893502172	-8.893845946170154e-24	2.7980674621361743e-21	5.632769099241098e-23	1.001800000000005	-3.966443533755075e-21	-3.8275301304053695e-23	-6.818615225397118e-23	0.999354957993897	-84.560170313673	-2981.487943836967	-115772.0168950691	-2988.6795808311244	115135808.16637544	116091.22922910939	-115768.10986378042	115807.89189590026	286.98022439532957	1599.565890624997	-84.46271749052197	-2985.237277477084	-115634.69040975472	-2985.2352256274226	115280595.79150487	115953.52410041401	-115634.69091375661	115953.52469169063	286.63981410769793	-0.0006114975763220885	0.0	0.0	0.0	0.0017983819413840518	0.0	0.0	0.0	-0.0006452501352037981	115280843.7495194	0.0016179545557977201
