6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	2.1945101651031825e-23	2.3349323458901845e-22	-1.4823076576950256e-24	1.000200000000001	9.9350347268029e-22	-5.624828165360589e-26	-1.1117307432712693e-24	0.9999338800589289	-9.805919152086062e-06	-494.1626033569724	2741.200914497313	-494.29446171032646	14158906.776124658	727.4803459807772	2741.2028174154416	727.2867876656053	-3.6095790928811765e-06	1599.565890624997	-9.80460664042663e-06	-494.2283009319837	2740.835910387026	-494.22830093194204	14160789.164297465	727.3834784673339	2740.8359103870234	727.3834784673026	-3.6090984600321447e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.0001999800026671327	0.0	0.0	0.0	-6.612212709119347e-05	14160790.041959662	0.00017763326904618484
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893821	-8.645691762404245e-24	4.136300109459164e-22	-2.838883862281991e-24	1.0003999999999935	-3.009283068467915e-22	1.6014216659026615e-24	8.735027268559973e-25	0.9998677425139986	-1.642677760173683e-06	-988.3614006150011	5482.594259833229	-988.8889062325102	28326310.375510223	1455.4063112380586	5482.601873567864	1454.6319700701706	-2.6915403050224997e-06	1599.565890624997	-1.6422381500798462e-06	-988.624261788442	5481.134630770731	-988.6242617884492	28333843.94286719	1455.0188389486734	5481.134630770727	1455.018838948639	-2.6908237372325145e-06	-0.00013365494204179026	0.0	0.0	0.0	0.0003999200213200107	0.0	0.0	0.0	-0.00013226623279395967	28333845.697165046	0.00035525464391609503
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228782	-2.2065870020464565e-23	6.489066469355991e-23	-7.610061635487854e-24	1.000599999999987	9.752393247551192e-22	-8.999725064576942e-24	-2.6469779601696886e-23	0.9998015873617154	-1.0455769759118994e-05	-1482.596338730158	8224.179771032128	-1483.783388836995	42502212.49605042	2183.7779609216896	8224.196906575666	2182.0354505046853	-1.1417879828513833e-05	1599.565890624997	-1.0451573783411704e-05	-1483.187935876863	8220.896477126793	-1483.187935876856	42519172.06015055	2182.9061432974013	8220.896477126442	2182.906143297326	-1.1413321531358927e-05	-0.0002005158790870514	0.0	0.0	0.0	0.0005998200719542348	0.0	0.0	0.0	-0.00019843232467615086	42519174.69008319	0.0005328641403781597
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108241	3.790141566717973e-23	-4.896909226313924e-23	-1.463778811973838e-23	1.0008000000000166	2.351164938230925e-21	-1.1487884347136448e-23	3.729591945879091e-23	0.9997354145986064	-7.108460240488057e-06	-1976.8673654546733	10965.957183079137	-1978.9779656029737	56686614.83620386	2912.5953601386504	10965.987654521017	2909.4971322204333	-8.056876513364841e-06	1599.565890624997	-7.104657806811671e-06	-1977.919377356396	10960.121765235941	-1977.9193773563118	56716781.24722271	2911.0454533999314	10960.121765235797	2911.045453399998	-8.05258913195514e-06	-0.0002673991371387541	0.0	0.0	0.0	0.0007996801705804404	0.0	0.0	0.0	-0.00026462041028652597	56716784.7517649	0.0007104617742034099
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486137112	-1.0953525671427191e-22	7.778674131550664e-22	1.3023131564034868e-23	1.0010000000000012	-1.6743194389257347e-21	-7.940933880509066e-26	2.279577419298136e-22	0.9996692150059097	0.0003907432428804896	-2474.367673963807	13686.839682121574	-2477.6702063386606	70877013.31315218	3663.9345649575744	13686.887141939324	3659.0635268575506	0.00039373920736034053	1599.565890624997	0.0003904820555949619	-2476.0140396171414	13677.73831860024	-2476.0140396167926	70924172.6264416	3661.4981514999367	13677.738318600184	3661.4981515001914	0.00039347738185920185	-0.0003343072607345474	0.0	0.0	0.0	0.0009995003330845323	0.0	0.0	0.0	-0.0003308397155141794	70924176.99587995	0.0008880514707436627
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999598777367365	7.347349072941013e-23	-1.250511797722966e-21	6.482449024455567e-23	1.0011999999999661	2.3023149599759934e-21	-1.3049601343636564e-23	8.253277279809089e-23	0.9996027529366532	0.005648207173991068	-3040.2259473447157	15804.253813143456	-3045.0959799027783	85009607.98532182	5015.314134219897	15804.316669272022	5007.3130397613195	0.007061895773997094	1599.565890624997	0.005643679384114186	-3042.654930149697	15791.647405762475	-3042.6549301453674	85077526.25180292	5011.313623100101	15791.647405765656	5011.313623100647	0.0070562627883426245	-0.00040130314397148186	0.0	0.0	0.0	0.0011992805754482549	0.0	0.0	0.0	-0.000397325986863324	85077531.24819243	0.0010657325676074836
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310529683248	2.9619683374298815e-23	-1.364199501112254e-21	6.802733357636099e-23	1.0013999999999987	1.0860550570576232e-21	-3.928115292891818e-23	-1.955057921381332e-22	0.9995333827099376	-3.8110675906305405	-4232.500539794449	10206.504268237824	-4240.414573365792	98374095.49349259	13257.533625526039	10206.528053645037	13232.821483496065	-4.756990162044498	1599.565890624997	-3.807516208148105	-4236.46309650015	10197.016999897218	-4236.46309948715	98466195.40655816	13245.210328956087	10197.016995634596	13245.210331415106	-4.752568389322433	-0.0004690570217221553	0.0	0.0	0.0	0.0013990209137065219	0.0	0.0	0.0	-0.00046672618978748335	98466204.2165158	0.0012446090738156609
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608650738486	-8.237395412048071e-23	3.138786465169217e-22	7.580944877925988e-23	1.0016000000000012	-1.2244920043744979e-21	-8.703263533037935e-23	1.2027867851011064e-22	0.9994522602757443	90.11383765137705	-5645.43799874525	-30530.432502320982	-5657.520902060063	108702622.77731635	47677.37982812129	-30530.169663524568	47575.14478499529	209.14466915568488	1599.565890624997	90.01919292195127	-5651.578887630008	-30498.104436654765	-5651.578923014983	108820865.28181387	47626.89520214163	-30498.10444776596	47626.895185560454	208.92321003951645	-0.0005392803116430074	0.0	0.0	0.0	0.0015987213636981818	0.0	0.0	0.0	-0.0005478897884586072	108820760.3388814	0.0014282129257235084
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993887458279986	-2.5453340064991724e-22	-1.1541935637083113e-20	-3.3457801416544864e-23	1.0018000000000016	4.28365737250181e-21	-2.1604634110905e-22	3.2949581648192284e-22	0.9993547833960331	-87.85373975671901	-2904.543042375786	-116461.93137973346	-2911.5488158500566	115110481.93180135	116320.90064227495	-116457.97413970079	116036.98250694321	292.40099565867064	1599.565890624997	-87.75250653408669	-2908.195958641304	-116323.77995772395	-2908.193859415692	115255251.33120275	116182.91651610793	-116323.78046671611	116182.91712544159	292.0541388543168	-0.0006114410639956458	0.0	0.0	0.0	0.0017983819413809488	0.0	0.0	0.0	-0.0006454248457785432	115255501.07109925	0.0016179955656877398
