6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138995	-1.1503600778774956e-23	1.2351460906641809e-22	2.5609511764641738e-24	1.000200000000001	2.840769834078612e-22	4.996170899820287e-25	3.381514344116777e-24	0.9999338800589289	-4.303191369444903e-06	-494.1626033564697	2741.2009144902945	-494.29446170983545	14158906.77611675	727.4803459697775	2741.2028174083957	727.2867876546071	1.937439722041745e-06	1599.565890624997	-4.302615391940067e-06	-494.2283009314808	2740.835910380008	-494.2283009314511	14160789.164289553	727.3834784563355	2740.835910379978	727.3834784563028	1.9371817426071734e-06	-6.681631826101953e-05	0.0	0.0	0.0	0.0001999800026669107	0.0	0.0	0.0	-6.612212709097142e-05	14160790.041946225	0.00017763326904592596
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893823	3.4526518767963377e-23	1.126950866542245e-23	6.763028688233554e-24	1.0003999999999935	9.6495581537986e-22	-1.138200522872966e-24	3.517833709065516e-23	0.9998677425139985	7.50046102257329e-06	-988.3614006089067	5482.59425982445	-988.8889062264184	28326310.3755215	1455.4063112542904	5482.601873558956	1454.6319700864178	6.4938191671899405e-06	1599.565890624997	7.498453764402043e-06	-988.624261782346	5481.134630761952	-988.6242617823592	28333843.94287847	1455.0188389649006	5481.134630761823	1455.0188389648904	6.492090320090631e-06	-0.00013365494204156818	0.0	0.0	0.0	0.0003999200213202327	0.0	0.0	0.0	-0.00013226623279407072	28333845.69716717	0.0003552546439162056
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228786	1.0540597109640721e-22	5.320955095533108e-22	1.8224443255768306e-23	1.000599999999987	1.9513653871268953e-21	2.594038400966295e-24	9.423241538204091e-24	0.9998015873617151	-4.607570799635141e-06	-1482.5963387149773	8224.179771036514	-1483.783388821767	42502212.49605786	2183.7779609175814	8224.196906580211	2182.035450500621	-5.63995937591244e-06	1599.565890624997	-4.6057217482853335e-06	-1483.1879358616764	8220.896477131175	-1483.1879358616345	42519172.060158	2182.906143293294	8220.89647713099	2182.9061432932604	-5.637707766054536e-06	-0.00020051587908671828	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467648398	42519174.69008482	0.0005328641403786026
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326249165414	-1.3281211915151413e-22	8.364053307442191e-22	-3.57342024622908e-24	1.0008000000000161	4.784412663006712e-21	1.2387856853594143e-23	-1.0667321179483846e-23	0.9997353627226865	0.0019303938017210384	-1999.5440498149462	10856.20520399178	-2001.678884111883	56673087.99735633	3035.3035979728866	10856.234934126598	3032.0746837472184	0.0022248919296998793	1599.565890624997	0.0019293613020660344	-2000.6082565786423	10850.428316422474	-2000.6082565769984	56703250.81551076	3033.688428832776	10850.428316422876	3033.6884288341416	0.0022237080030615914	-0.0002674108345490461	0.0	0.0	0.0	0.0007996801705804404	0.0	0.0	0.0	-0.00026467229993656476	56703254.27719039	0.0007104829178172851
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996650065976754	-1.6101566931712216e-22	-9.455005273726128e-23	-2.0117032497289633e-23	1.0010000000000228	2.049025638967356e-21	2.932851579868015e-23	8.735027268559973e-24	0.9996663311463377	-4.3132183794212455	-2977.6047257612468	5720.387874813008	-2981.5811441143355	70103921.74768348	10718.131048785077	5720.395451315372	10703.850892074184	-5.4824419265858175	1599.565890624997	-4.310347698726717	-2979.5967365870833	5716.588220949091	-2979.596740201374	70150821.11274923	10711.011743425941	5716.588217982251	10711.01174410759	-5.478800323585123	-0.0003350495251485692	0.0	0.0	0.0	0.0009995003331062708	0.0	0.0	0.0	-0.0003337245335003096	70150829.34904754	0.0008892585706592275
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995942451344809	3.6274185966165414e-22	-5.401952621114301e-22	-3.3881317890172014e-23	1.0012000000000014	4.97578916952698e-21	3.494010907423989e-23	-1.0185571190732961e-22	0.9995834341715694	107.62049378144035	-3809.153258439543	-39097.39593551899	-3815.2721223869444	79915308.39845741	50321.38284460415	-39096.97315663094	50240.13250352785	257.50771754014215	1599.565890624997	107.53629992453263	-3812.2875370059014	-39066.38666963659	-3812.2873518859965	79981064.96461348	50281.47151284252	-39066.386742762974	50281.47149930806	257.3034807850104	-0.00040583720629872873	0.0	0.0	0.0	0.001199280575483074	0.0	0.0	0.0	-0.0004166526160782498	79980958.85569933	0.0010737018152241545
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995213426194155	2.6046263128069735e-23	-1.061919912016796e-20	-3.9387032047324965e-23	1.0014000000000145	8.675523204015358e-21	1.5077186461126545e-22	2.9455570740768295e-22	0.9994829241767692	-176.79478459477386	401.2695707145822	-122818.21156075914	402.0261462577029	85507935.56139913	126758.13402775071	-122813.49171577264	126515.46923763103	161.53435895896982	1599.565890624997	-176.6389536620492	401.6694268858395	-122705.24022059294	401.6717912947178	85593142.3107293	126641.5386458761	-122705.24111884974	126641.53907901993	161.3857755137089	-0.00047877197359714893	0.0	0.0	0.0	0.0013990209137220433	0.0	0.0	0.0	-0.0005172095530350103	85593694.86550009	0.0012648691435970358
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994487238155877	1.286219530405655e-21	-7.268601478625965e-21	2.159934015498466e-22	1.0016000000000012	-1.7651743104305993e-20	2.0942889620862576e-22	6.225692162319107e-22	0.9993712189034663	-181.14133476702804	12301.929086868491	-212499.04100750585	12328.410635251004	88761133.50950684	219563.66977028846	-212482.56373735113	219075.0921345795	119.67420864966493	1599.565890624997	-180.96575946111696	12316.458944642256	-212276.6087093222	12316.461046431505	88865969.64021644	219333.84260761944	-212276.6102415522	219333.84260436456	119.54894027604288	-0.0005514281929964337	0.0	0.0	0.0	0.0015987213636984036	0.0	0.0	0.0	-0.0006289788622724558	88867575.52220958	0.001459969978325337
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993769739441227	1.2235390923088368e-21	-1.1975087110485281e-20	2.515687853345272e-22	1.0018000000000093	1.159101060846466e-20	9.467710767934942e-22	-7.767292126321934e-22	0.9992537088074495	-91.73573236177342	30042.60571169248	-292887.8807160949	30115.446030575833	90948685.68603837	310089.7318900912	-292851.7567487079	309301.5724258119	190.6362977389718	1599.565890624997	-91.63929433150385	30083.7859709978	-292543.8922498431	30083.786891643747	91073351.65196595	309725.54034002597	-292543.89365267404	309725.54094166803	190.41240084193794	-0.00062322021725968	0.0	0.0	0.0	0.0017983819413891497	0.0	0.0	0.0	-0.0007465698064490482	91076306.66759051	0.001657049019240768
