6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	7.362734632334499e-24	1.7810852949491792e-23	-1.3863547066388743e-24	1.000200000000001	-2.594104575415299e-22	2.5808035111654463e-25	2.660212849970537e-24	0.9999338800589289	-3.4995390628864697e-06	-494.1626033501242	2741.200914479983	-494.2944617034938	14158906.776122782	727.4803459850951	2741.202817398047	727.2867876699231	2.743357238614408e-06	1599.565890624997	-3.49907065337282e-06	-494.2283009251346	2740.835910369699	-494.2283009251103	14160789.16429559	727.3834784716513	2740.835910369631	727.383478471621	2.7429919473791776e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.00019998000266735472	0.0	0.0	0.0	-6.612212709074936e-05	14160790.041951459	0.0001776332690461854
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893823	2.8919888576078956e-23	2.647441181312718e-22	-8.046812998915853e-24	1.0003999999999935	7.686294600740742e-22	3.513863242125262e-24	-1.6715665818471582e-23	0.9998677425139985	7.098413305811846e-06	-988.361400607563	5482.594259827683	-988.8889062250463	28326310.37552368	1455.4063112418035	5482.6018735621465	1454.631970073914	6.029654288795428e-06	1599.565890624997	7.09651364283678e-06	-988.6242617810019	5481.134630765185	-988.6242617809875	28333843.94288065	1455.0188389524171	5481.134630765012	1455.0188389523835	6.028049016141703e-06	-0.00013365494204156818	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.0001322662327942928	28333845.697169777	0.0003552546439164273
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228783	-3.924144825951563e-23	-9.30121585424027e-22	1.4214271646111228e-23	1.000599999999987	-8.774731937962518e-24	-5.029258124322408e-25	-5.712178438046188e-23	0.9998015873617156	6.184947011206532e-06	-1482.5963387238733	8224.17977103789	-1483.783388830737	42502212.49606113	2183.7779609233608	8224.19690658167	2182.0354505063906	5.209988659771625e-06	1599.565890624997	6.182464947419395e-06	-1483.1879358705755	8220.896477132554	-1483.1879358706003	42519172.06016126	2182.9061432990725	8220.896477132444	2182.9061432990316	5.207908704749872e-06	-0.00020051587908694035	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467592876	42519174.69007727	0.0005328641403784925
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108238	-4.025722605173075e-23	-5.097417806796778e-22	2.792561747979021e-23	1.0008000000000166	-3.3311688233143496e-21	-3.57342024622908e-24	-3.8566468879672364e-23	0.9997354145986065	2.6990479473170125e-06	-1976.867365478159	10965.957183102064	-1978.9779656265246	56686614.8362386	2912.595360132725	10965.987654544018	2909.4971322145084	1.7571911357663338e-06	1599.565890624997	2.6976041816486875e-06	-1977.9193773798943	10960.12176525886	-1977.91937737985	56716781.24725748	2911.04545339401	10960.121765258786	2911.0454533940706	1.7562560651347403e-06	-0.0002673991371390873	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102859707	56716784.75178988	0.0007104617742039287
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657509031474	4.5385745849559524e-23	-1.3085864941690889e-21	2.406102965794247e-23	1.0009999999999817	-2.311870550412206e-22	5.161607022330893e-24	-1.079702309953216e-22	0.99966922344154	5.277071199452621e-05	-2471.796930158726	13707.128213648599	-2475.096025699901	70879300.28316791	3643.6498534941293	13707.175828092782	3638.805813721688	4.753255917239585e-05	1599.565890624997	5.2735437647082395e-05	-2473.4415587841677	13698.013327453358	-2473.4415587840153	70926460.35719126	3641.2269204601453	13698.013327453482	3641.226920460131	4.750095124835251e-05	-0.0003343049705328507	0.0	0.0	0.0	0.0009995003330652338	0.0	0.0	0.0	-0.00033083127709238427	70926464.73516893	0.000888047902541431
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995988380532076	-1.9377863901912248e-22	-2.4174849710229763e-22	2.7555040565366456e-23	1.0011999999999934	5.371485904792747e-21	-3.7004751883172244e-23	-3.5575383784680616e-23	0.9996029801148151	0.0009544083675637012	-2977.8635982981464	16365.803682715232	-2982.6335536977203	85071120.10279407	4458.347021510192	16365.871498087696	4451.235486504889	0.0010107328208068794	1599.565890624997	0.0009536430654838017	-2980.2418985755353	16352.748357173541	-2980.241898574202	85139062.99603266	4454.79050984281	16352.748357173949	4454.790509843879	0.0010099265392293204	-0.0004012424337724448	0.0	0.0	0.0	0.0011992805754748683	0.0	0.0	0.0	-0.0003970987184458119	85139068.21250382	0.0010656367865235917
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995317494349618	-2.1464344279016004e-22	7.416038151007416e-22	3.006966962752766e-23	1.0014000000000123	-2.7966380940376827e-21	-3.8698817777680846e-23	8.888551990249814e-23	0.9995360993811964	-0.06346516288111524	-3679.434724233725	17536.85222291058	-3686.3120506886094	99104874.34868565	6764.360730281183	17536.92854293467	6751.7702606369685	-0.06290230221250386	1599.565890624997	-0.06340584988389211	-3682.8669129878876	17520.538956240835	-3682.866913128092	99197319.69986473	6758.0683341863305	17520.538956163775	6758.06833403575	-0.06284378874514435	-0.00046836022856869183	0.0	0.0	0.0	0.0013990209137193824	0.0	0.0	0.0	-0.0004640082539850051	99197325.30050214	0.0012434726418804533
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994633992937784	-1.6474790824096142e-22	1.769901813067462e-21	1.5352472168984193e-23	1.0015999999999672	-7.898793991383165e-21	-2.3531634065908532e-23	-8.470329472543004e-24	0.9994637314716218	0.6484265029840972	-5504.666055003629	3568.262128678078	-5516.433662713772	111706183.96141951	21608.00459892166	3568.2632975605393	21561.91786176357	5.6643076956014555	1599.565890624997	0.6477380394246561	-5510.576597364913	3564.474729088043	-5510.576617177579	111826126.59294777	21585.069583273093	3564.4747120546167	21585.06960750783	5.658295526127768	-0.0005367447279043227	0.0	0.0	0.0	0.001598721363664485	0.0	0.0	0.0	-0.0005364123717735348	111826130.26732254	0.001423533288601622
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993925337667031	-1.5140713932170618e-22	-5.967082415610529e-21	-2.901087844345979e-23	1.0017999999999812	-5.205017460877675e-21	-1.129730193400423e-22	-1.0587911840678755e-23	0.9993762711377058	115.40674644685592	-5997.946156999273	-57311.716300256994	-6012.394253857935	120534804.42939138	68569.01492112338	-57310.783724355104	68403.121068097	450.4309180708705	1599.565890624997	115.27128557707759	-6005.337623841385	-57243.51406910928	-6005.337091428935	120683343.44373725	68487.41625147752	-57243.51409887828	68487.41648990264	449.8948951496688	-0.0006076508156646699	0.0	0.0	0.0	0.0017983819413603358	0.0	0.0	0.0	-0.0006239234620638135	120683160.33734421	0.0016094734745911307
