6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	-2.9224291041498467e-24	-2.813737571660379e-23	9.132073962585426e-25	1.000200000000001	6.992521677380267e-22	-3.639594695233322e-25	1.7092860177795765e-23	0.9999338800589289	4.661238156586478e-06	-494.16260334667993	2741.200914485948	-494.29446170004366	14158906.776138555	727.4803459845239	2741.2028174040547	727.2867876693443	1.0869791958157293e-05	1599.565890624997	4.660614254907215e-06	-494.2283009216899	2740.835910375663	-494.2283009216606	14160789.164311364	727.3834784710801	2740.835910375638	727.383478471042	1.0868344592981806e-05	-6.681631826113055e-05	0.0	0.0	0.0	0.0001999800026677987	0.0	0.0	0.0	-6.612212709030524e-05	14160790.04195909	0.00017763326904633392
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893823	-6.8986863086922505e-25	-4.853035566624111e-22	9.813670787329121e-24	1.0003999999999935	1.2494397716490973e-22	-4.016789054557502e-24	2.4034559878340773e-23	0.9998677425139986	-3.3930465938283303e-06	-988.3614006169607	5482.594259832482	-988.8889062344657	28326310.375519548	1455.4063112397298	5482.601873567015	1454.6319700718716	-4.4271081478655105e-06	1599.565890624997	-3.392138553581132e-06	-988.6242617904019	5481.134630769981	-988.6242617904041	28333843.94287651	1455.0188389503437	5481.134630769878	1455.0188389503398	-4.42592952048415e-06	-0.00013365494204156818	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.0001322662327937376	28333845.69717611	0.0003552546439163909
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228783	-1.199114103181371e-22	1.4161332086907835e-23	1.6398028463251222e-23	1.000599999999987	1.971204486938367e-21	-1.359223182547135e-23	5.717472393966528e-23	0.9998015873617149	3.811032911471557e-08	-1482.596338720069	8224.179771048981	-1483.7833888268908	42502212.49607668	2183.777960930603	8224.196906592812	2182.0354505136343	-1.014255440168199e-06	1599.565890624997	3.809503516546569e-08	-1483.1879358667709	8220.896477143639	-1483.1879358667566	42519172.06017684	2182.9061433063116	8220.896477143584	2182.90614330628	-1.0138505245659167e-06	-0.00020051587908694035	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467648398	42519174.69009904	0.0005328641403786769
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999732636610824	6.234956585179702e-23	1.0088956495186768e-22	2.8402073512620757e-23	1.0008000000000166	9.782568796297127e-22	-1.429368098491632e-23	-1.572304908340795e-23	0.9997354145986066	-9.96098134874046e-06	-1976.8673654650593	10965.957183064798	-1978.977965613474	56686614.836114556	2912.5953601337856	10965.987654506778	2909.4971322155357	-1.0934938893115031e-05	1599.565890624997	-9.95565305405188e-06	-1977.9193773667873	10960.121765221613	-1977.9193773668062	56716781.24713336	2911.0454533950697	10960.121765221566	2911.045453395098	-1.0929119981326159e-05	-0.0002673991371388652	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102860817	56716784.75167843	0.0007104617742038913
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657502117928	-1.885971796620903e-24	1.3438442405985491e-21	2.774032902257834e-23	1.0010000000000059	-1.6382675991082237e-21	8.337980574534519e-24	-1.095319479918217e-22	0.9996692211953088	0.00017746516706483817	-2472.363657346324	13701.36820896951	-2475.663511007756	70878673.88484469	3649.413975455764	13701.415782094266	3644.5622643988404	0.00016853950521544903	1599.565890624997	0.00017734654166273717	-2474.008670317973	13692.257162497632	-2474.0086703178176	70925833.75050904	3646.9872119516835	13692.257162497881	3646.9872119518045	0.0001684274309144778	-0.00033430566211854203	0.0	0.0	0.0	0.0009995003330894123	0.0	0.0	0.0	-0.0003308335240670564	70925838.12601544	0.0008880488800476066
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995988261392033	-9.732276215053903e-23	-2.181427476535044e-21	1.9852334701272663e-24	1.0012000000000025	4.1999599294012445e-21	2.014350227689133e-23	4.2034010007494656e-23	0.9996029385192374	0.001734536862355526	-2986.7668475017786	16258.948746938515	-2991.551099820796	85059685.8500683	4561.345527011831	16259.0156367505	4554.069508993881	0.0018710629008492105	1599.565890624997	0.0017331460784083246	-2989.152418459357	16245.978855326366	-2989.15241845688	85127624.16818455	4557.706905720154	16245.978855327703	4557.706905722232	0.0018695703392204589	-0.00040125435255821773	0.0	0.0	0.0	0.0011992805754844048	0.0	0.0	0.0	-0.00039714033054515715	85127629.34048878	0.0010656545917645352
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995316431355595	-1.0520413902694427e-22	-5.688355636404661e-23	4.2272238023909926e-23	1.0013999999999923	6.0998548300926404e-21	2.681388673651894e-23	8.099752558119247e-24	0.9995357384731969	-0.1237688480373381	-3731.2297442547692	16551.2020951464	-3738.2042797613694	99004832.73132816	7656.1197611659145	16551.269909544204	7641.866705694898	-0.12883750956202858	1599.565890624997	-0.12365322133121139	-3734.711993269643	16535.807466152266	-3734.7119934991006	99097231.08384912	7648.998639534973	16535.807466027905	7648.998639301686	-0.1287176750237978	-0.0004684665777747005	0.0	0.0	0.0	0.0013990209136998698	0.0	0.0	0.0	-0.0004643693295528279	99097236.44562241	0.0012436281613717826
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994630383098141	2.7825032317303767e-22	4.019965428109706e-22	-2.2446373102238958e-23	1.001600000000027	-2.3120823086490195e-21	3.613124915631625e-23	-2.321929066660851e-22	0.9994626692152281	-0.35100611270732407	-5416.023437908613	413.83200824941656	-5427.603512534047	111400892.27054049	24300.036433678113	413.8318432790366	24248.182197691247	3.8844869426500517	1599.565890624997	-0.35063380640557057	-5421.846522484153	413.3929109099525	-5421.846544441526	111520665.90610889	24274.25282792938	413.3928987776697	24274.252841099464	3.880365299452572	-0.0005371059057420711	0.0	0.0	0.0	0.001598721363724563	0.0	0.0	0.0	-0.0005374751986919514	111520672.46445368	0.001424007959922721
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993918943787681	9.317362419797304e-23	-1.5721990292223882e-21	5.166900978251232e-23	1.001799999999993	-3.3462036581281134e-21	-6.5645053412208276e-24	3.9916427639358904e-22	0.9993753112393442	85.61936092075383	-5880.892392792731	-59051.63807414656	-5895.062440202403	120191462.46617773	71700.62859985516	-59050.65825617495	71527.08943236544	312.4483816910331	1599.565890624997	85.5189457035957	-5888.149033069516	-58981.40303188234	-5888.148653779242	120339770.94543621	71615.34905733411	-58981.403071268665	71615.34922754418	312.07676075029127	-0.0006082905924470367	0.0	0.0	0.0	0.0017983819413720829	0.0	0.0	0.0	-0.0006248839599764264	120339679.8707938	0.0016100079815898575
20	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993196817287247	-2.5707449949168015e-22	2.9705974855800347e-21	1.9100592960584473e-22	1.0020000000000167	2.780385649362241e-21	-1.334076891925523e-23	6.261691062577415e-22	0.9992733496179399	-129.73458740468155	-1331.8273957925599	-155014.99320846496	-1335.3970341424374	125613993.71610847	149033.20968978485	-155007.8069000569	148627.65987515787	242.48872964163988	1599.565890624997	-129.56978806841792	-1333.7032150881469	-154810.90273009357	-1333.700705127349	125790915.40577547	148836.9947403192	-154810.90348205683	148836.99528388467	242.16947251813258	-0.000680549792761951	0.0	0.0	0.0	0.001998002662689678	0.0	0.0	0.0	-0.0007269145204142172	125791409.07331108	0.0018013554525752168
22	22.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992480077105916	-3.6422416731934914e-22	-5.435939818122879e-21	4.421511984667448e-22	1.0022000000000022	-1.5233887556368591e-21	-2.0081298294827342e-22	6.140988867593677e-23	0.9991620284412079	-120.22480340658134	7783.594480148862	-258718.5801846344	7806.591510230851	129133017.17296337	243579.7168080672	-258696.32060501794	242841.3525107742	225.57612376204517	1599.565890624997	-120.06149757006125	7795.984901678177	-258344.9221468299	7795.987525688348	129338579.33581832	243227.92329185925	-258344.92373977872	243227.92284534537	225.25033219454227	-0.0007522751774386659	0.0	0.0	0.0	0.0021975835434891954	0.0	0.0	0.0	-0.0008383228532224935	129339987.58242963	0.0019958734276021117
24	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991772650884211	2.464865876510014e-22	4.601506485958987e-21	8.893845946170154e-22	1.0024000000000215	6.208751503374021e-22	-7.162722360219177e-23	-2.5961559833344305e-22	0.9990453683445606	-73.78815684703086	21017.27403143622	-354344.6245709686	21085.064564341188	131694455.41675365	342615.60744849726	-354297.85064105236	341469.0098485786	230.6980184598723	1599.565890624997	-73.68182827847991	21054.679378111898	-353787.3067788567	21054.681033585992	131928837.70404555	342076.73720567237	-353787.30823277077	342076.73693408375	230.3351736433372	-0.00082307354369533	0.0	0.0	0.0	0.002397124599742938	0.0	0.0	0.0	-0.0009550876064381259	131931517.94275594	0.0021921288724806327
26	26.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991072858933131	1.2756316185649763e-21	-5.231063724005745e-21	1.1265538198482195e-21	1.0025999999999966	-5.553190353846556e-20	7.261189940337489e-22	-2.6605304873257574e-21	0.9989255788840962	-49.97194247492778	37851.41332526618	-439049.1574300175	37983.73646474602	133735988.9830832	437450.77126242383	-438969.3090035464	435847.56176152366	206.70605556195957	1599.565890624997	-49.89596163357252	37925.98248452311	-438301.86815697956	37925.98333145816	133999455.50612071	436706.20254314854	-438301.8693208893	436706.203048322	206.35422885786653	-0.0008931128132300016	0.0	0.0	0.0	0.0025966258472628133	0.0	0.0	0.0	-0.001074998720034765	134003678.63725688	0.002389429749022673
28	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990378103643615	-1.3179832659276914e-21	9.240176542478756e-21	9.020900888258298e-22	1.002799999999987	-2.326926561049651e-20	1.4933190860093314e-21	3.249218385667496e-21	0.9988038441196546	-33.851477114038964	56889.65920883116	-514102.8669593323	57103.89587413414	135455583.07072136	523664.76770870236	-513982.4693004845	521577.96598350845	168.66915657247608	1599.565890624997	-33.79738457296518	57012.646581438195	-513161.1565905387	57012.64742365621	135748418.82503074	522705.5422827873	-513161.1574936708	522705.5435527563	168.3601960436632	-0.0009626528372350292	0.0	0.0	0.0	0.0027960873019883454	0.0	0.0	0.0	-0.0011968718457846654	135754316.19120288	0.0025874358278229863
30	30.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9989686194693717	2.930733997499879e-21	9.153186258795739e-20	-1.666960840196463e-21	1.0029999999999937	1.6843250156151764e-20	2.343316648579022e-21	8.470329472543004e-25	0.9986808249652793	-10.078302241705998	76397.13648219168	-580725.2445363556	76705.44146130874	136947687.90746215	599578.5253919328	-580557.9431105114	596996.5879010262	132.3906280724203	1599.565890624997	-10.061430556404497	76577.03085973523	-579586.0534686388	76577.03192980088	137270162.28551534	598402.350415991	-579586.054127569	598402.3517100025	132.13092139982692	-0.0010319127695198494	0.0	0.0	0.0	0.0029955089797923935	0.0	0.0	0.0	-0.0013200459120839417	137277748.76373646	0.002785963255699101
32	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988995386172517	6.886377861177462e-21	-4.2993963034529796e-20	-3.894657491475273e-21	1.0031999999999868	-7.721891160349104e-20	3.5211159617361265e-21	1.359487880343152e-21	0.9985569239513381	20.247282003909874	95159.87321860537	-639394.2935452092	95569.55643965946	138260845.09930646	664742.3917439332	-639174.9865275668	661665.7881239849	105.20720502357248	1599.565890624997	20.211864630065193	95402.3812426413	-638056.9153138966	95402.38226250606	138613192.81912264	663351.9945928736	-638056.915497309	663351.9953184976	104.98715015727765	-0.0011010673349679267	0.0	0.0	0.0	0.0031948908965060085	0.0	0.0	0.0	-0.00144411828570878	138622395.85152993	0.0029849007902383916
34	34.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988304275103745	3.82520078980042e-21	1.3567350232645757e-19	-3.7726847470706535e-21	1.0034000000000005	1.1780195417233907e-19	2.9425924587614395e-21	-3.888728260844493e-21	0.998432416556365	49.00039456771445	112645.4616206638	-690337.62178358	113160.806867554	139423724.91959786	719381.32971085	-690062.5376083124	715819.8521729837	85.39758037337312	1599.565890624997	48.91102987199819	112954.42841365612	-688804.0333795169	112954.4293238234	139806139.80374575	717783.2205675388	-688804.032870901	717783.2207890307	85.20786923079146	-0.0011702569732839237	0.0	0.0	0.0	0.003394233068016281	0.0	0.0	0.0	-0.0015688133880893055	139816827.4691471	0.003184170803569623
36	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987611780770717	1.7381116077658243e-21	-1.9721468110921876e-20	-3.791319471910248e-21	1.0036000000000005	5.46044024612221e-20	7.691059161069047e-22	-3.3237572850258745e-21	0.9983075105036646	70.96478976304792	128643.3480104339	-734039.6375762561	129266.6030003618	140457452.5515186	764244.6673450564	-733706.2133464465	760214.4191354294	66.29462640535931	1599.565890624997	70.83011214534989	129021.27904099024	-732313.7802756472	129021.27967596197	140870091.29742414	762447.7926654491	-732313.7790810356	762447.7924369727	66.13875598758375	-0.001239589897127747	0.0	0.0	0.0	0.003593535510130218	0.0	0.0	0.0	-0.0016939233747941978	140882099.98835465	0.0033837107037812497
38	38.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9986917146181951	-7.911287727355165e-21	2.5282239409646356e-20	-1.179069862577986e-21	1.0038000000000098	-1.2962992224779813e-20	2.710505431213761e-22	4.8060649427209004e-21	0.9981823687643698	82.93787795082956	143059.71547796312	-771354.0995746148	143791.46338331985	141380596.15419766	800460.8177386852	-770960.6972053379	795981.1461453986	46.25637319724995	1599.565890624997	82.77436036674607	143507.96816124074	-769440.6982015312	143507.9688777309	141823587.60974315	798475.21498036	-769440.6965283846	798475.2143280872	46.141630813643914	-0.0013091419342832935	0.0	0.0	0.0	0.0037927982387062167	0.0	0.0	0.0	-0.0018192851317038368	141836745.26635158	0.0035834657143631143
40	40.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9986219917296857	-3.249218385667496e-21	-1.459395416471797e-20	-2.930733997499879e-21	1.004000000000002	-1.5691200644591188e-19	1.068955579434927e-21	-2.260222716453375e-20	0.9980571169239397	85.9783567958973	155975.5326768185	-803365.8797077986	156815.52888668844	142210291.91607067	829351.8682813974	-802911.4504463042	824442.7625064157	27.420370412498713	1599.565890624997	85.80251780145001	156494.81597196127	-801269.3746574946	156494.81695474705	142683747.1287059	827187.5488545338	-801269.372749799	827187.5478392411	27.3488127990836	-0.0013789585968497183	0.0	0.0	0.0	0.00399202126953989	0.0	0.0	0.0	-0.0019447729216134785	142697890.09396487	0.0037833875427359413
44	48.666666666666664	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998316388163804	4.0606759491371155e-21	-1.7638275280444648e-19	-1.6212210610447308e-21	1.0048666666666513	-3.6969600015861193e-20	3.071341466744093e-21	1.676786422384613e-20	0.9975150320863657	469.7560434853716	198249.9588277638	-899926.6540984028	199550.73245421165	145037188.47417346	895865.1114578824	-899204.2391619728	889310.8928255144	-515.7760608313836	1599.565890624997	468.64553856032313	199079.00263568532	-897078.5541560479	199078.99382676734	145643706.547286	893029.865540139	-897078.5172046669	893029.8226723281	-514.1437258378238	-0.0016850307033748747	0.0	0.0	0.0	0.004854862726166987	0.0	0.0	0.0	-0.0024880605708983766	145660638.25903365	0.004650772590166186
48	57.33333333333333	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9980062059966538	-8.93450352763836e-21	1.2264698263063367e-19	6.827085554869661e-21	1.0057333333333351	-3.7180511219727512e-19	-1.2732599263126643e-20	2.184159157789939e-20	0.996975735577433	244.50495003445815	223453.05389112365	-959546.5727041708	225183.14416378294	147225558.32210758	917122.9606938013	-958555.79025363	909136.919882576	-445.5267112044434	1599.565890624997	243.8485755582217	224578.64851517303	-955982.5662175813	224578.63914952075	147967174.03997007	913716.5265780487	-955982.5435578787	913716.4931384566	-443.8719086822409	-0.0019957842564866184	0.0	0.0	0.0	0.005716960329231306	0.0	0.0	0.0	-0.003028846751330267	147985512.25996947	0.005518510037504582
52	66.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9976926139604257	-6.2375506235806676e-21	1.0666770608068129e-19	1.0547254259210548e-20	1.0065999999999857	1.113052114668986e-19	-1.8382309021312827e-20	1.3447495070609272e-20	0.9964396115674671	164.6642940655335	237736.85895952358	-998819.852471794	239859.3595305102	149109205.22212744	920667.3169282255	-997565.4130145422	911374.2887216744	-324.66313681571745	1599.565890624997	164.16914138338456	239138.10284964668	-994565.7118032172	239138.0920214608	149988069.20515916	916746.0409689209	-994565.6905022867	916746.0163505984	-323.2803422602253	-0.0023100521567059203	0.0	0.0	0.0	0.006578315360108389	0.0	0.0	0.0	-0.0035667416999773274	150007016.77785546	0.00638582681455185
56	74.66666666666666	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.997376587156283	1.5161889755851976e-21	2.6225325893119292e-19	-1.1248597539537108e-20	1.0074666666666663	4.911876298491908e-19	7.806255641895631e-21	-1.3833742094557234e-20	0.9959063448085316	143.0928856107834	246089.18888833743	-1026337.707210042	248578.76845586122	150833655.24025574	917462.2664156901	-1024824.7515362435	906934.69058405	-229.50582758529927	1599.565890624997	142.61619873674456	247750.68642407045	-1021410.7631729605	247750.6753219377	151852024.83064437	913057.9799795502	-1021410.741781936	913057.9573568944	-228.40408265207387	-0.0026268600214247122	0.0	0.0	0.0	0.007438929096998428	0.0	0.0	0.0	-0.004102057135495384	151871213.4601995	0.0072524429649684224
60	83.33333333333333	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9970588612263834	2.5097586227144918e-20	6.20451633863775e-20	-8.497434526855141e-21	1.008333333333337	4.437402322757938e-19	-2.56650983018053e-20	2.0200041726120554e-20	0.9953754919501903	135.26022643402825	250872.80056892376	-1046739.5764247205	253709.58916483205	152464289.50763112	912028.1860831445	-1044972.3154765826	900307.9138392473	-166.8102269761298	1599.565890624997	134.76559791539987	252781.82037888063	-1041151.0057157864	252781.80720291426	153624468.48407263	907158.8431049457	-1041150.9917804855	907158.818515571	-165.9196226945819	-0.0029454724215853562	0.0	0.0	0.0	0.008298802814699248	0.0	0.0	0.0	-0.0046352341686183565	153643726.18716997	0.008118269287872834
64	92.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.996739962163779	-8.194196731738101e-21	5.60159828678214e-20	-3.0831999280056533e-21	1.0091999999999874	-2.7342223537368816e-19	-1.0686167662560253e-20	-2.9680034471790683e-20	0.9948466633555866	129.1095357772263	253543.17472142653	-1062408.5587895028	256712.64976311664	154032227.1752551	906319.7821508507	-1060390.5146320688	893429.634233201	-123.50447188644908	1599.565890624997	128.5952508782878	255690.0956348621	-1056166.6457925478	255690.0805288236	155336521.83918738	900994.9293145272	-1056166.6373996867	900994.9049943872	-122.77885257373532	-0.0032653633369401774	0.0	0.0	0.0	0.009157937784753404	0.0	0.0	0.0	-0.005166660879590895	155355759.74309665	0.008983286579971066
