6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	2.373346613537147e-23	1.8866335411109456e-22	1.1216569106219056e-24	1.000200000000001	-2.936325738440738e-22	-2.5477162866633253e-24	1.688110194098219e-23	0.9999338800589289	9.584599395111582e-07	-494.16260334481603	2741.200914485172	-494.29446169818755	14158906.776132453	727.480345973732	2741.2028174032316	727.2867876585791	7.195054555268143e-06	1599.565890624997	9.583316506867619e-07	-494.2283009198257	2740.8359103748867	-494.2283009198048	14160789.16430526	727.3834784602897	2740.835910374815	727.3834784602755	7.194096499084627e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.612212709097142e-05	14160790.041956672	0.00017763326904640713
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893821	1.329444680495226e-23	-1.4020380510528799e-22	4.837352222210106e-24	1.0003999999999935	-1.378221866856253e-21	5.935848075680527e-24	-3.501951841304498e-23	0.9998677425139986	3.341864371577685e-06	-988.3614006030689	5482.594259833119	-988.8889062205513	28326310.375525586	1455.4063112424942	5482.601873567706	1454.6319700745803	2.315205818376853e-06	1599.565890624997	3.34097002860959e-06	-988.6242617765066	5481.134630770621	-988.6242617764935	28333843.942882556	1455.0188389531077	5481.13463077057	1455.0188389530497	2.3145894419794546e-06	-0.00013365494204179026	0.0	0.0	0.0	0.0003999200213211205	0.0	0.0	0.0	-0.00013226623279329346	28333845.697175417	0.0003552546439166137
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228786	1.617965278153722e-23	-7.153457937358584e-23	1.496866036475959e-23	1.000599999999987	1.819863522065665e-21	1.2506970861801778e-23	2.2658131339052534e-23	0.9998015873617152	4.832737226934114e-07	-1482.5963387202223	8224.179771049754	-1483.7833888270434	42502212.496051215	2183.7779609197355	8224.196906593595	2182.0354505027594	-5.202602133067557e-07	1599.565890624997	4.830797814673481e-07	-1483.1879358669235	8220.89647714441	-1483.187935866909	42519172.060151346	2182.9061432954477	8220.896477144366	2182.9061432953995	-5.200525126926704e-07	-0.00020051587908671828	0.0	0.0	0.0	0.0005998200719544568	0.0	0.0	0.0	-0.00019843232467637293	42519174.690073065	0.00053286414037827
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999732636610824	-4.2139889125901444e-23	-1.158979299860298e-22	1.376428539288238e-23	1.0008000000000166	-7.663927636977307e-22	-3.8381180422460486e-25	7.591532789766666e-23	0.9997354145986063	-4.385780894153868e-06	-1976.8673654863155	10965.95718308649	-1978.9779656345816	56686614.83622764	2912.5953601287606	10965.98765452849	2909.4971322105735	-5.430155271824333e-06	1599.565890624997	-4.383434866969467e-06	-1977.9193773880554	10960.121765243292	-1977.919377387903	56716781.24724651	2911.045453390047	10960.121765243268	2911.0454533901334	-5.427265672272021e-06	-0.0002673991371388652	0.0	0.0	0.0	0.0007996801705802186	0.0	0.0	0.0	-0.000264620410286637	56716784.75178604	0.000710461774203336
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999665748613711	5.715818032741421e-23	2.2306083270349964e-22	1.0587911840678755e-23	1.0010000000000012	2.894682157682368e-21	-3.7454738136401094e-23	-5.841880358094502e-23	0.99966921500591	0.00040568698024253535	-2474.3676739556095	13686.839682137315	-2477.6702063304037	70877013.31317016	3663.9345649331567	13686.887141955172	3659.063526833259	0.00040867704409174624	1599.565890624997	0.0004054158040083267	-2476.0140396089378	13677.738318615975	-2476.0140396085408	70924172.6264596	3661.4981514755355	13677.738318616019	3661.498151475883	0.0004084052853492243	-0.0003343072607346584	0.0	0.0	0.0	0.0009995003330840887	0.0	0.0	0.0	-0.0003308397155142905	70924176.995883	0.000888051470743441
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987773673682	5.818057556452975e-23	2.247443106861676e-21	-8.4967992521447e-24	1.0011999999999694	3.078594186354958e-21	-5.058374881884275e-23	1.8211208365967456e-23	0.9996027529366653	0.005664520663980511	-3040.225939279073	15804.253824544858	-3045.0959718241083	85009607.98942001	5015.3140935173815	15804.31668067337	5007.312999123852	0.007078275725805725	1599.565890624997	0.0056599797966699	-3042.6549220775632	15791.647417154678	-3042.654922073127	85077526.25590308	5011.313582430019	15791.64741715762	5011.3135824306355	0.007072629674533063	-0.0004013031439682609	0.0	0.0	0.0	0.0011992805754518032	0.0	0.0	0.0	-0.00039732598685099564	85077531.25227626	0.0010657325676046775
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310529695354	2.6019793348468038e-23	2.4862269886485836e-21	-1.852884572118782e-24	1.0013999999999816	3.2504889350883774e-22	-5.397188060785995e-23	1.112789534455337e-22	0.9995333827134354	-3.8107188662641764	-4232.495759607415	10206.508417938006	-4240.409784232198	98374096.49867812	13257.521197935306	10206.532203396182	13232.809079140854	-4.7572341164061145	1599.565890624997	-3.8071678087308665	-4236.458311817848	10197.021145727947	-4236.458314801607	98466196.41222094	13245.197912901378	10197.021141483243	13245.197915384284	-4.752812116915083	-0.00046905702051100017	0.0	0.0	0.0	0.0013990209136894483	0.0	0.0	0.0	-0.00046672618628809285	98466205.22212185	0.001244609072235526
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608650985501	-3.3150751973165177e-22	-5.639783590835547e-21	-8.237395412048071e-23	1.0015999999999796	-8.033048713522971e-22	-2.5252169740018828e-23	-2.0117032497289632e-22	0.9994522603559607	90.13198948794249	-5645.391194564182	-30530.301890655366	-5657.473997029896	108702645.21606465	47677.20328468581	-30530.039055205445	47574.968623277484	209.174552919537	1599.565890624997	90.03732568678775	-5651.532031943893	-30497.97396253814	-5651.532066794743	108820887.7335467	47626.71884446842	-30497.973974174976	47626.718827221135	208.95306215488768	-0.0005392802869281086	0.0	0.0	0.0	0.001598721363676678	0.0	0.0	0.0	-0.0005478897081980342	108820782.76626408	0.0014282128906059485
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993887459564527	-2.3759274170483127e-22	-6.629832757277815e-21	-2.7147405959500326e-22	1.0017999999999867	1.1205822375700766e-20	3.6369477172731524e-23	-5.385011962169215e-22	0.9993547838648913	-87.83656454328016	-2904.3383220158453	-116461.04009344806	-2911.343602189844	115110610.03669284	116320.15254627429	-116457.08292203184	116036.23629132292	292.38698569904153	1599.565890624997	-87.73535107036014	-2907.9909790754673	-116322.88971376553	-2907.988880857409	115255379.52831875	116182.16929259474	-116322.89022141836	116182.16990189734	292.0401454762843	-0.0006114409354630546	0.0	0.0	0.0	0.0017983819413656553	0.0	0.0	0.0	-0.0006454243766183251	115255629.26127204	0.0016179953640764633
