6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	-5.554517813293581e-24	5.003119216965733e-23	2.2267702089927506e-24	1.000200000000001	-2.895429928956116e-22	-1.01908651466533e-24	-9.952637130238029e-24	0.9999338800589291	6.122619978668809e-06	-494.16260334128333	2741.20091449234	-494.2944616946555	14158906.776157772	727.4803459796792	2741.20281741045	727.2867876645187	1.2360166767848568e-05	1599.565890624997	6.121800472615533e-06	-494.2283009162924	2740.835910382054	-494.22830091627316	14160789.164330581	727.3834784662362	2740.8359103820317	727.3834784662157	1.2358520952085753e-05	-6.681631826113055e-05	0.0	0.0	0.0	0.00019998000266735472	0.0	0.0	0.0	-6.612212709074936e-05	14160790.04197683	0.0001776332690461854
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893821	-3.776575804672103e-23	4.969105550177552e-22	5.221164026434711e-24	1.0003999999999935	1.415504551425243e-21	-5.260868695837256e-24	1.3883399401090016e-23	0.9998677425139985	3.6379965304149666e-06	-988.361400604567	5482.594259827658	-988.8889062220619	28326310.375527237	1455.4063112519157	5482.601873562305	1454.6319700839967	2.6131295498998954e-06	1599.565890624997	3.6370229371624907e-06	-988.6242617780055	5481.134630765161	-988.624261778004	28333843.942884214	1455.0188389625268	5481.134630765171	1455.018838962469	2.61243385737654e-06	-0.00013365494204179026	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.00013226623279384865	28333845.69717678	0.0003552546439165021
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228783	-2.708520197743634e-23	-4.690444945420688e-23	-1.352605737646711e-23	1.000599999999987	-5.142681129915679e-22	-8.748262158360821e-24	5.921289696899594e-23	0.9998015873617152	5.54366310734622e-06	-1482.5963387145791	8224.17977105061	-1483.7833888214077	42502212.49607382	2183.7779609201743	8224.196906594356	2182.0354505031855	4.562345886370167e-06	1599.565890624997	5.541438395415471e-06	-1483.1879358612782	8220.896477145268	-1483.1879358612753	42519172.06017397	2182.906143295887	8220.896477145126	2182.906143295826	4.560524486199047e-06	-0.00020051587908694035	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467637293	42519174.69009062	0.00053286414037864
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108241	1.077253855340059e-22	7.858348168151771e-22	-4.740737526663912e-23	1.0008000000000166	-5.66837095280538e-22	-1.0534972281475361e-23	4.796324063827476e-23	0.9997354145986066	-9.653675537265372e-06	-1976.8673654669797	10965.95718306404	-1978.9779656152898	56686614.83613209	2912.595360130799	10965.987654506103	2909.4971322125357	-1.0656121326974244e-05	1599.565890624997	-9.64851162556191e-06	-1977.9193773687084	10960.121765220852	-1977.9193773686209	56716781.247150876	2911.045453392084	10960.12176522089	2911.0454533920956	-1.0650450784996668e-05	-0.0002673991371387541	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.0002646204102860817	56716784.75169564	0.0007104617742034104
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486310137	-8.365112098626258e-23	4.868057166548074e-22	-8.703263533037935e-23	1.0009999999999855	-5.1988764720100816e-21	-1.9667046244060786e-23	2.2658131339052534e-23	0.999669215067863	0.0004037721509785115	-2474.3625452116567	13687.021532595103	-2477.6650706982555	70877030.21257849	3663.801372017083	13687.068993654497	3658.9305112179163	0.000406697653572337	1599.565890624997	0.0004035022546622535	-2476.008907256178	13677.920047911792	-2476.008907255831	70924189.53148922	3661.3650470656903	13677.920047911462	3661.365047065894	0.0004064272110618233	-0.00033430724342626926	0.0	0.0	0.0	0.0009995003330687828	0.0	0.0	0.0	-0.00033083965354079227	70924193.90099753	0.000888051444364143
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987777357883	9.610515228886097e-23	-1.4635141141778208e-22	-7.811231960460751e-23	1.0011999999999914	8.453388813597917e-22	-2.691976585492573e-23	-6.79214544579542e-23	0.9996027542831012	0.0056476531530142895	-3039.8941628569046	15807.67525469693	-3044.7636628185705	85009974.42824759	5012.0402277230305	15807.738139899844	5004.044362975065	0.007044002215436194	1599.565890624997	0.005643125799657646	-3042.3228753640233	15795.066112349843	-3042.322875359503	85077892.84154186	5008.042326218703	15795.066112353255	5008.042326219651	0.0070383835001477935	-0.000401302775400311	0.0	0.0	0.0	0.0011992805754733158	0.0	0.0	0.0	-0.00039732463988050883	85077897.83920941	0.001065731996991436
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310561909829	1.0471444810431288e-22	3.8707817502745426e-21	-9.020900888258298e-23	1.0014000000000114	-1.1745700000456977e-21	-2.9196166900671664e-23	-1.2027867851011064e-22	0.999533395348693	-3.7918254634424593	-4230.533817233816	10241.835194654386	-4238.444159714965	98377491.26863681	13227.784993071751	10241.859158936599	13203.128469703028	-4.734854689235133	1599.565890624997	-3.7882919640322084	-4234.49446545572	10232.315052110029	-4234.494468442747	98469592.79830223	13215.489306186859	10232.315047888535	13215.48930867897	-4.730453476882892	-0.00046905379755205514	0.0	0.0	0.0	0.0013990209137182737	0.0	0.0	0.0	-0.0004667135451326392	98469601.58618489	0.0012446037901108948
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608736736736	1.682419191483854e-22	-8.244118736066902e-21	-1.6178329292557137e-22	1.0015999999999814	-5.182359329538623e-21	-1.5670109524204555e-23	1.1170246991916085e-22	0.9994523015326335	89.86860336753533	-5647.244002086715	-30409.30631003616	-5659.330723106687	108713311.7873834	47585.38840596446	-30409.045507786992	47483.35257987196	208.35072939398833	1599.565890624997	89.77421249685334	-5653.386573458653	-30377.106241099464	-5653.386609874542	108831560.4900226	47535.000778853544	-30377.106252312533	47535.00076119597	208.13010917394456	-0.000539271707179003	0.0	0.0	0.0	0.001598721363678895	0.0	0.0	0.0	-0.0005478485089593548	108831455.83998646	0.0014281962322907993
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993887565566373	7.182839392716467e-22	2.6291373287181447e-21	-3.0535537748517526e-22	1.0017999999999996	-1.90074193363865e-21	-1.425927027143411e-22	-7.0854306037822225e-22	0.9993548514403643	-87.32899898156549	-2916.4078218618374	-116286.86658024606	-2923.442195159112	115127379.34967245	116173.03199592252	-116282.92195494949	115889.48267287512	292.8336513162534	1599.565890624997	-87.228364474668	-2920.0754297691515	-116148.92157965213	-2920.073335247924	115272160.91406341	116035.22203131557	-116148.9220849406	116035.22264100969	292.4862781399638	-0.0006114303287951231	0.0	0.0	0.0	0.001798381941378954	0.0	0.0	0.0	-0.0006453567575184584	115272409.14984055	0.0016179688919229205
