6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138995	-1.0203272855841597e-23	-2.896224022344167e-22	1.3334151474354807e-24	1.000200000000001	9.054186636107433e-22	-1.6576699475562675e-24	1.730461841460934e-23	0.999933880058929	5.089985700578837e-06	-494.16260334484684	2741.200914492658	-494.2944616982251	14158906.776145078	727.4803459914091	2741.2028174107754	727.2867876762391	1.1294912544599356e-05	1599.565890624997	5.089304411504425e-06	-494.22830091985645	2740.835910382372	-494.2283009198423	14160789.164317885	727.3834784779643	2740.8359103823577	727.3834784779377	1.129340857256933e-05	-6.681631826101953e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.612212709086038e-05	14160790.041965185	0.0001776332690463331
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893823	1.8957325278490288e-23	-4.002495373572586e-22	4.652063764998227e-24	1.0003999999999935	4.696599169178083e-22	-3.2822526706104138e-24	1.6477437802056313e-23	0.9998677425139986	3.59399285116524e-06	-988.3614006014456	5482.594259821049	-988.8889062189616	28326310.375514504	1455.4063112484735	5482.601873555718	1454.6319700806018	2.5769337962628924e-06	1599.565890624997	3.5930310340832103e-06	-988.6242617748827	5481.134630758551	-988.6242617749042	28333843.942871463	1455.018838959085	5481.1346307585845	1455.0188389590726	2.5762477401217897e-06	-0.00013365494204156818	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279395967	28333845.697164074	0.0003552546439163167
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228784	-3.570111523778867e-23	6.620885971772442e-22	6.88214269644119e-25	1.000599999999987	2.0487741760611396e-21	-1.5617169965001162e-24	3.284899648570584e-23	0.9998015873617151	-6.439610605866619e-06	-1482.5963387127013	8224.179771042755	-1483.7833888195075	42502212.496059656	2183.7779609248073	8224.196906586605	2182.0354505078535	-7.435387298755814e-06	1599.565890624997	-6.437026343746956e-06	-1483.1879358593997	8220.896477137414	-1483.1879358593762	42519172.0601598	2182.9061433005177	8220.89647713738	2182.906143300496	-7.432418910116222e-06	-0.0002005158790868293	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467692815	42519174.69008844	0.0005328641403786393
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108238	-1.2457340025048597e-23	1.733770563911146e-22	-1.0561442061077058e-23	1.0008000000000166	-3.844603138248464e-22	2.3558103845510227e-24	1.0799670077492329e-23	0.9997354145986069	-5.45929629879538e-07	-1976.8673654750219	10965.957183066834	-1978.977965623355	56686614.8361355	2912.5953601329275	10965.987654508992	2909.497132214712	-1.556008743136772e-06	1599.565890624997	-5.456376030335848e-07	-1977.9193773767547	10960.121765223646	-1977.919377376681	56716781.247154295	2911.045453394212	10960.121765223772	2911.0454533942734	-1.5551807295823782e-06	-0.0002673991371390873	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.0002646204102857486	56716784.75168997	0.0007104617742034112
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657486137106	3.8367945532659636e-23	1.2063602053473356e-21	-1.588186776101813e-23	1.0010000000000012	2.239211005405548e-21	8.470329472543004e-24	4.550155113531695e-23	0.9996692150059093	0.0003999899381524301	-2474.3676739663556	13686.83968214361	-2477.670206341065	70877013.31319954	3663.9345649213283	13686.887141961506	3659.0635268212977	0.000403011612714181	1599.565890624997	0.0003997225700326076	-2476.014039619694	13677.738318622272	-2476.0140396191964	70924172.62648906	3661.498151463716	13677.738318622358	3661.4981514639176	0.0004027436213242172	-0.00033430726073510267	0.0	0.0	0.0	0.0009995003330845323	0.0	0.0	0.0	-0.00033083971551495684	70924176.99591814	0.0008880514707441067
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987773673686	7.99387343971246e-23	8.522474938358347e-22	-2.6469779601696887e-24	1.001199999999962	-3.228333729561757e-21	2.2075796187815202e-23	7.718587731854812e-23	0.9996027529366658	0.005671976519935925	-3040.2259392627043	15804.2538245435	-3045.0959718077725	85009607.98937589	5015.314093488383	15804.316680672377	5007.312999094962	0.007085742985847901	1599.565890624997	0.005667429675764341	-3042.654922061179	15791.647417153436	-3042.6549220568254	85077526.25585885	5011.313582401079	15791.647417156737	5011.313582401718	0.007080090978247126	-0.00040130314396792774	0.0	0.0	0.0	0.0011992805754442628	0.0	0.0	0.0	-0.0003973259868507735	85077531.25222456	0.0010657325675994653
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995310529695355	1.6045980394548653e-22	-4.727502636863064e-23	3.8539999100070664e-23	1.001399999999977	-1.9407113008372122e-21	-1.1461414567534751e-23	3.65282958503417e-23	0.9995333827134362	-3.810721964857785	-4232.495759549569	10206.50841822578	-4240.4097841744015	98374096.49868049	13257.52119763994	10206.532203683593	13232.80907884628	-4.757237138603105	1599.565890624997	-3.807170904437033	-4236.458311759944	10197.0211460155	-4236.458314743881	98466196.41222322	13245.197912606349	10197.021141770427	13245.19791508942	-4.752815136302869	-0.0004690570205108891	0.0	0.0	0.0	0.0013990209136843484	0.0	0.0	0.0	-0.0004667261862877596	98466205.22212718	0.0012446090722319778
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994608650985505	-3.5660087079406043e-22	-1.7226267866988314e-21	9.698527246061739e-23	1.0015999999999796	1.781627925431014e-21	-2.943439491708694e-23	-2.1620515978666014e-22	0.9994522603559604	90.13193857300111	-5645.391194529371	-30530.301889887807	-5657.473996995307	108702645.2161192	47677.20328400869	-30530.039054437937	47574.968622601424	209.17450306207158	1599.565890624997	90.03727482532133	-5651.532031909043	-30497.973961771382	-5651.532066760192	108820887.7336013	47626.718843792	-30497.973973408283	47626.71882654433	208.95301235021526	-0.0005392802869277753	0.0	0.0	0.0	0.0015987213636762345	0.0	0.0	0.0	-0.0005478897081988117	108820782.76636899	0.0014282128906058032
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993887459564531	1.1096131609031335e-22	5.192100208432047e-21	3.006966962752766e-23	1.0017999999999867	-9.121486050744747e-21	-5.394541082825825e-23	5.088550430630209e-22	0.9993547838648905	-87.83653839318315	-2904.3383220248725	-116461.04009224201	-2911.343602199503	115110610.03682494	116320.15254503826	-116457.08292083115	116036.23629008766	292.38700981546367	1599.565890624997	-87.73532495039576	-2907.990979084506	-116322.88971256085	-2907.988880867059	115255379.52845104	116182.16929136011	-116322.89022021912	116182.16990066055	292.0401695640985	-0.0006114409354626101	0.0	0.0	0.0	0.0017983819413660985	0.0	0.0	0.0	-0.0006454243766184361	115255629.26137923	0.0016179953640766517
