6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138995	2.255059785942064e-23	1.068518828071499e-22	1.1415092453231781e-24	1.000200000000001	2.978511949680942e-23	-1.6014216659026615e-24	1.2645937204710687e-23	0.9999338800589289	-7.088585273777426e-06	-494.1626033454012	2741.2009144759477	-494.2944616987827	14158906.776120706	727.4803459810703	2741.202817394045	727.2867876659004	-8.795228482085804e-07	1599.565890624997	-7.087636474315109e-06	-494.2283009204109	2740.835910365663	-494.2283009203998	14160789.164293509	727.3834784676269	2740.835910365629	727.3834784675976	-8.794057355033412e-07	-6.681631826101953e-05	0.0	0.0	0.0	0.0001999800026671327	0.0	0.0	0.0	-6.612212709074936e-05	14160790.041952983	0.00017763326904600023
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893824	-7.821158127811388e-23	1.9670354966511e-22	8.377685243937064e-24	1.0003999999999935	-1.0541655900824788e-21	-2.726387298974779e-24	4.657357720918567e-23	0.9998677425139985	1.1693274447225122e-05	-988.361400609089	5482.594259815331	-988.888906226596	28326310.375501372	1455.4063112482972	5482.601873549909	1454.6319700804193	1.066835823621659e-05	1599.565890624997	1.1690145116827451e-05	-988.6242617825282	5481.134630752834	-988.6242617825367	28333843.94285833	1455.0188389589086	5481.134630752778	1455.01883895889	1.0665518003109328e-05	-0.00013365494204145713	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279384865	28333845.697142847	0.00035525464391624264
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042028895	1.1091499397601037e-22	-9.32292107351366e-22	1.1951105490166144e-23	1.0006000000000206	-1.8450759871362815e-22	-8.880611056369306e-24	-1.3216360955127256e-22	0.9998015873425329	3.863248452034895e-06	-1482.550646865973	8224.225980921065	-1483.7376604189578	42502204.17582969	2183.8381649335724	8224.243116567774	2182.095606435907	2.7791216925834305e-06	1599.565890624997	3.861698102674136e-06	-1483.142225838463	8220.942668731695	-1483.142225838369	42519163.7382757	2182.96632331794	8220.942668731603	2182.9663233179635	2.7780121992216065e-06	-0.00020051589907973724	0.0	0.0	0.0	0.0005998200719884092	0.0	0.0	0.0	-0.0001984323438625021	42519166.36822588	0.0005328641534616392
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326324030991	1.4526615045411252e-22	7.856098236885627e-22	-1.3367238698856928e-24	1.0008000000000068	-1.220296544307629e-21	-9.052664623780336e-24	-3.441071348220595e-23	0.9997354035793478	0.00030245075092443587	-1978.6172532583805	10937.566621893955	-1980.7297300087512	56683374.74071997	2934.3369506730887	10937.596939924733	2931.21556316858	0.00028925734943732094	1599.565890624997	0.0003022889683164714	-1979.6702265347199	10931.74635779706	-1979.670226534448	56713540.291291416	2932.775486721134	10931.746357796937	2932.7754867213157	0.00028910342542260223	-0.00026740334598911273	0.0	0.0	0.0	0.0007996801705709002	0.0	0.0	0.0	-0.00026463143246150994	56713543.782842815	0.0007104668423208481
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999665709266715	1.4442904367420886e-22	-2.7266784665503978e-21	3.838118042246048e-24	1.0009999999999972	4.269575449753707e-22	-2.3505164286306835e-23	-1.257843926672636e-22	0.9996691030896672	-1.3116997563953172	-2484.840174351181	13407.889756177103	-2488.1567851708132	70844761.50196144	3908.724699603933	13407.935273372843	3903.5277822807498	-1.5364466810160193	1599.565890624997	-1.3108231143468227	-2486.4938843135196	13398.974413898313	-2486.4938872016	70891910.0828177	3906.125661335851	13398.974411874759	3906.1256567229198	-1.535425047611847	-0.0003343466208876132	0.0	0.0	0.0	0.0009995003330807613	0.0	0.0	0.0	-0.0003309516687951831	70891915.7583235	0.0008881018149346677
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995985553087829	-6.446714821993277e-23	9.358390578179933e-22	1.429368098491632e-23	1.0012000000000096	1.0903431613530981e-21	-5.43953970814871e-23	-2.7057408708854555e-22	0.999602030466257	-27.92889412599889	-3089.214998661092	13976.72450773317	-3094.164224132717	84807851.399612	6656.617942126357	13976.77310099996	6645.993552437441	-39.30454817856598	1599.565890624997	-27.90652556942093	-3091.6860425263135	13965.578948212747	-3091.686074185327	84875688.6725161	6651.309707608489	13965.578950652418	6651.309641347786	-39.273205271227056	-0.0004015252917089246	0.0	0.0	0.0	0.0011992805754915017	0.0	0.0	0.0	-0.0003980487446343197	84875726.66003242	0.0010660469520383852
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995288037141701	3.2949581648192284e-22	-9.037576849407368e-22	4.065758146820642e-23	1.0013999999999905	-4.777689338987881e-21	-6.28921963336318e-23	-1.096907666694319e-22	0.9995192977295297	-996.1510466795311	-9786.159224875893	-25410.812469407938	-9804.471294987101	94881153.0709152	39081.631515425965	-25410.571355625267	39008.24607112174	-936.6665780093455	1599.565890624997	-995.2367975288513	-9795.48131066707	-25387.249445159658	-9795.472931150427	94971534.82626663	39045.3917677922	-25387.249999534135	39045.40449130297	-935.7980226525752	-0.00047130733368474023	0.0	0.0	0.0	0.0013990209136974308	0.0	0.0	0.0	-0.0004808178448460684	94972536.11730672	0.001250067728022995
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994573059609557	-4.2266944067989587e-22	8.02775475760263e-21	-6.013933925505532e-23	1.0015999999999872	-1.3020166948719477e-20	1.2615496958168736e-22	1.2193039275725653e-21	0.9993933298028729	-2319.613213969454	4482.01433058626	-210324.16425545342	4491.621639845776	95333633.82550806	158150.71322560273	-210310.6939651193	157802.2624731486	-3121.421541748419	1599.565890624997	-2317.3136066535562	4487.170246249584	-210102.20437630138	4487.168756959512	95443301.51945724	157983.81317719587	-210102.19713144843	157983.79137885536	-3118.1274345275883	-0.0005428413507534871	0.0	0.0	0.0	0.0015987213636839937	0.0	0.0	0.0	-0.0006068542959533333	95447105.53543726	0.001449517353190872
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993894971934124	-2.617331807015788e-22	-3.553504384056763e-20	8.385626177817574e-23	1.001799999999994	-1.0219452508623133e-20	4.605741650695258e-23	-1.1612821706856458e-21	0.9992604297799521	1377.3018919126887	30117.764204928528	-370772.7862915333	30190.397240356706	95070083.08161993	306623.1948589294	-370724.90648264665	305845.8935020244	1629.6962015718493	1599.565890624997	1375.8447367420956	30158.46672053249	-370332.6835642638	30158.45646273972	95198565.11347896	306259.23690599756	-370332.6876688043	306259.2275452811	1627.7617722678372	-0.0006106892393083407	0.0	0.0	0.0	0.0017983819413736344	0.0	0.0	0.0	-0.0007398438370173749	95200716.4604499	0.0016507839865275108
