6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138992	-3.350660507268549e-23	1.4505439221729894e-23	1.942220078274509e-24	1.000200000000001	-1.4275483011440153e-22	-2.4153673886548407e-25	-6.399730963200264e-23	0.9999338800589291	-5.143628513906151e-07	-494.16260335695745	2741.200914476063	-494.29446171033595	14158906.776127025	727.4803459858564	2741.202817394182	727.2867876706849	5.694483698789554e-06	1599.565890624997	-5.142940044799494e-07	-494.22830093196865	2740.8359103657795	-494.22830093195137	14160789.16429983	727.3834784724124	2740.835910365766	727.3834784723828	5.69372545084605e-06	-6.681631826124158e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.61221270905273e-05	14160790.041952731	0.00017763326904629684
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893821	-8.21522697163165e-23	-6.574431508571464e-23	-1.4227506535912076e-24	1.0003999999999935	5.206274775408756e-22	-1.6212740006039342e-24	4.337073387738035e-23	0.9998677425139985	1.5383758459392993e-06	-988.3614006069744	5482.594259825878	-988.8889062244228	28326310.375520933	1455.4063112426516	5482.601873560588	1454.6319700747433	5.189497214814765e-07	1599.565890624997	1.537964148914269e-06	-988.6242617804133	5481.134630763381	-988.6242617803642	28333843.942877907	1455.0188389532652	5481.134630763454	1455.0188389532134	5.188115616871794e-07	-0.00013365494204179026	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279384865	28333845.697172567	0.0003552546439163541
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228787	6.457633606078976e-23	-5.567521092522914e-22	1.3367238698856928e-24	1.000599999999987	-2.0754954185690527e-21	-6.061579528788587e-24	-8.862082210648117e-23	0.9998015873617152	-3.8079892906353053e-06	-1482.596338714503	8224.179771048459	-1483.783388821361	42502212.496069215	2183.777960928292	8224.19690659225	2182.0354505112477	-4.7838968075666346e-06	1599.565890624997	-3.8064611171125323e-06	-1483.1879358612016	8220.896477143113	-1483.1879358612284	42519172.06016935	2182.906143304	8220.89647714302	2182.9061433038905	-4.781986958844045e-06	-0.00020051587908660723	0.0	0.0	0.0	0.0005998200719540129	0.0	0.0	0.0	-0.00019843232467659503	42519174.69009534	0.0005328641403780106
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108233	1.0497914590032985e-22	-5.992228706232141e-22	-2.354486895570938e-23	1.0008000000000166	-3.962724529721037e-21	-1.2983426894632322e-23	-8.099752558119247e-23	0.9997354145986064	1.4831823946224177e-06	-1976.867365471451	10965.957183084418	-1978.9779656197418	56686614.8362022	2912.595360138781	10965.987654526552	2909.4971322205456	4.761879499710631e-07	1599.565890624997	1.4823890156706032e-06	-1977.9193773731843	10960.12176524123	-1977.919377373071	56716781.24722109	2911.045453400064	10960.121765241332	2911.045453400113	4.759345516021178e-07	-0.0002673991371395315	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.00026462041028652597	56716784.75175474	0.0007104617742038179
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657511496491	4.7976475528075605e-23	-6.064491204544774e-22	-6.244221008040295e-23	1.001000000000008	7.534093368030985e-22	-1.199081015956869e-23	1.8052389688357277e-23	0.9996692242211905	1.0829984379597591e-05	-2471.174428104329	13707.92623072682	-2474.4726921848746	70879519.09387746	3641.8585740297094	13707.973855253522	3637.0169185050777	9.91511317624827e-06	1599.565890624997	1.0822745116319403e-05	-2472.8186400050295	13698.810810492563	-2472.8186400048635	70926679.24068244	3639.436831252775	13698.810810492338	3639.436831252817	9.908519879658266e-06	-0.0003343047239487223	0.0	0.0	0.0	0.000999500333092296	0.0	0.0	0.0	-0.0003308304971833985	70926683.61880761	0.0008880475610914129
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995988478357943	9.5185327447702e-23	6.5515351492159965e-22	-8.827671497165911e-23	1.0012000000000039	-2.2743364029369997e-21	-1.511424415256892e-23	-1.7311235859509764e-23	0.9996030162259617	3.8335830668074776e-06	-2965.517473980076	16450.08664889545	-2970.2676242344887	85080926.96748148	4371.567667896929	16450.155246793656	4364.594712810346	2.9087433649692682e-06	1599.565890624997	3.83050893077273e-06	-2967.885777641333	16436.963928302615	-2967.8857776412265	85148873.78371447	4368.0803390893125	16436.963928303187	4368.080339089384	2.906422974367396e-06	-0.00040123264725977546	0.0	0.0	0.0	0.0011992805754864008	0.0	0.0	0.0	-0.0003970625929568541	85148879.03443667	0.0010656215168178918
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995319266656839	1.3921118837022434e-22	2.966732897758187e-22	2.144052147737448e-23	1.0014000000000138	-1.5880014876446013e-21	1.7205356741102976e-24	2.371692252312041e-23	0.9995367906094429	4.949057116391486e-06	-3459.896450737473	19192.43817215761	-3466.3628177705687	99290840.15508455	5101.722706818409	19192.531566813068	5092.230418366915	4.05437143126619e-06	1599.565890624997	4.9444284287035115e-06	-3463.120844494215	19174.581433570445	-3463.120844494167	99383372.62524836	5096.976038995244	19174.58143357049	5096.976038995351	4.050599224205731e-06	-0.00046818291483505036	0.0	0.0	0.0	0.0013990209137209346	0.0	0.0	0.0	-0.00046331670516755984	99383378.74754965	0.001243183657129989
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994649876357238	2.4256244282504984e-22	9.47062244369113e-22	1.0971723644903358e-22	1.0015999999999816	2.4664805330657174e-21	1.0587911840678755e-23	1.700418641613008e-22	0.9994705473681238	-1.1149674015541677e-05	-3954.311305723851	21934.980535081588	-3962.758328515384	113509260.35484408	5832.3237561765245	21935.102552984663	5819.923938711906	-1.1987962367129513e-05	1599.565890624997	-1.1137759950985843e-05	-3958.5238945398787	21911.66364104369	-3958.5238945399324	113630183.5204012	5826.123993436823	21911.663641043702	5826.123993436698	-1.1975219157814856e-05	-0.0005351555344586752	0.0	0.0	0.0	0.0015987213636784515	0.0	0.0	0.0	-0.0005295928414128492	113630190.51329005	0.0014207339977436281
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993980307423609	5.16623923376119e-23	-7.73446959961583e-22	8.811789629404894e-23	1.0017999999999954	-5.303167403640768e-21	-1.037615360386518e-23	1.344135408174168e-22	0.999404286498518	-2.2198013102752156e-06	-4448.76198638086	24677.71347225568	-4459.454212297923	127736189.26503356	6563.370881139047	24677.867943000263	6547.675177170913	-3.036819631233811e-06	1599.565890624997	-2.2171336236038197e-06	-4454.094981904307	24648.21086533229	-4454.094981904252	127889314.2304999	6555.524264740961	24648.21086533224	6555.524264740833	-3.0331890640828616e-06	-0.0006021505138767889	0.0	0.0	0.0	0.001798381941374521	0.0	0.0	0.0	-0.000595891009269302	127889322.09294368	0.0015982725544438066
